{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '干净卫生，环境优雅，有酒店自己的特色，装修的很漂亮，服务员的态度非常好，让人入住得很愉快。交通便利，酒店不远处就有到火车站、动物园、中山公园、海水浴场的公交车，对于旅行的人来说非常方便。酒店距离与“北京王府井”齐名的台东商业步行街步行只有10分钟，距离青岛文化街步行只有五分钟，相邻还有文具街、玩具街，周围吃饭很方便，肯德基等很多快餐店就在酒店附近，有空调和24小时热水，电视频道也很多，另外酒店内的', '短评打分': 5}
{'短评内容': '总体还可以  稍微小一点  离台东挺近的', '短评打分': 5}
{'短评内容': '服务态度不好 ，卫生也不好，床单是脏的没人换，让下一批客人接着住，卫生间的卫生也不好，就是一个普通的旅馆，根本够不上星级，不建议大家入住', '短评打分': 1}
{'短评内容': '内部设施太差了，奔着“迷你四星”去的，结果连三星都到不了，卫生很差，房间太小，唯一可以提到的是服务还算不错，不推荐做旅游酒店，如果是和情人开房间的话，住一晚上还可以，呵呵！！', '短评打分': 1}
{'短评内容': '服务很好，房间也不错还有电脑，离步行街很近，走走15分钟。  ', '短评打分': 5}
{'短评内容': '服务和地理位置都不错，就是卫生上需要再加强一些。', '短评打分': 5}
{'短评内容': '一般,房间太小，而且 损坏的地方也不少，服务很好', '短评打分': 1}
{'短评内容': '＋服务可以还可以…', '短评打分': 3}
{'短评内容': '房间较小 比较特色 适合情侣 有点潮湿 建议住惯大房间的还是不要选择 一般都没有窗户 不过地理位置不错 总体来说性价比 算好', '短评打分': 5}
{'短评内容': '位置很不错，就是房间小了点，附近也有很多好吃的。', '短评打分': 5}
{'短评内容': '位置不错，逛街挺方便，住的圆床房，还有电脑，很有家的感觉，就是卫生间稍微小了点，楼梯陡了点，总体不错，推荐！！！', '短评打分': 5}
{'短评内容': '房间内没有窗户；卫生间狭小，还要担心碰到头，洗澡是热水器的，用一会就没热水了，还要等半个小时烧水；整个宾馆好像是住宅改的，不推荐入住。', '短评打分': 1}
{'短评内容': '很不错，位置很好，离步行街很近，豪华大床房看起来很舒服，还有电脑，就是窗户跟想象的不一样，太小了而且在一楼外面就是街道，没办法开窗', '短评打分': 5}
