{'descr': '住的最差的一次好不好。还高级，东西都是残缺不全的', 'star': 4}
{'descr': '很失望，以前一直住这里，觉得软硬件都很不错，也许是现在入住率太高，员工的服务效率极低，前台办理入住折腾了20分钟，一边办理入住一边接电话，让我不停的等，10点钟的热水就是温水，还号称恒温，床边的宽带形同虚设，根本用不起来，以为是线的问题，换了写字台的线一没用，哎，总之这次让人很不舒服', 'star': 1}
{'descr': '值得推荐，一直都很满意。房间也很大，空调也很好。', 'star': 5}
{'descr': '交通便利，就是晚上还是有点吵，从房间到电梯不是很好找', 'star': 5}
{'descr': '位置很好找，交通方便，门口有很多车。\n吃饭的地方不多。', 'star': 5}
{'descr': '房间蛮大,床很大.比较干净.但是很遗憾房间里没有面巾纸', 'star': 5}
{'descr': '该酒店卫生一般，房内装饰太陈旧了，跟酒店的品牌很不相符，应该不断更新才能对得起汉庭这个品牌。', 'star': 1}
{'descr': '感觉早餐不及以前那么好了，而且那次的南瓜粥貌似不太新鲜，估计是偶发事件，其他都不错', 'star': 5}
{'descr': '房间用品设施齐全，比较卫生、整洁，就是房价偏高了一点儿', 'star': 5}
{'descr': '还不错，房间宽带速度也可以，退房的速度不是一般的快，不像别的要等着查房', 'star': 5}
{'descr': '离苏州广电总局比较近  离十全街散散步也就到 蛮不错的', 'star': 5}
{'descr': '一年前住过这个酒店，很安静，交通也方便，周围闹中取静。\n\n发名片的太多了。', 'star': 5}
{'descr': '整体都不错，就是总有发小广告的人出入，临街的房间比较吵闹', 'star': 5}
{'descr': '一切都挺好 夜间安保也好 进大门还要刷卡', 'star': 5}
{'descr': '以后不会住了 。门口一条街晚上很安静！第一次到苏州，一出门没地方逛。关窗户被窗户夹住手了 ，手血肿厉害。问前台要创口贴，说没有 。', 'star': 1}
{'descr': '已入住苏州汉庭酒店', 'star': 5}
{'descr': '喜欢超大的床，卫生也不错。位置也非常棒，开始以为到这边来了很难找，没想一切顺利，轻松就找到了。不错。以后仍然选择汉庭！', 'star': 3}
{'descr': '喜欢超大的床，卫生也不错。位置也非常棒，开始以为到这边来了很难找，没想一切顺利，轻松就找到了。不错。以后仍然选择汉庭！', 'star': 3}
{'descr': '大床房床大，挺干净。交通也比较方便。不错的', 'star': 5}
{'descr': '喜欢超大的床，卫生也不错。位置也非常棒，开始以为到这边来了很难找，没想一切顺利，轻松就找到了。不错。以后仍然选择汉庭！', 'star': 5}
{'descr': '还不错哦,干净整洁，价格合理实惠，地段不错位于市区中心地段', 'star': 5}
{'descr': '很好 就是电视机小了点 别的都不错 推荐', 'star': 3}
{'descr': '安保很好，晚上进大厅都是要刷卡的 电梯也是', 'star': 3}
{'descr': '+安保很好 进大门要刷卡 电梯也是 环境很好', 'star': 5}
{'descr': '这加环境不错，干净，唯一一点周围餐厅不多', 'star': 5}
{'descr': '地方还不错,周围环境也可以\r\n就是停车不方便...旁边有娱乐场所晚上有点小闹', 'star': 3}
{'descr': '地理位置不错,性价比高,不过停车不方便,地下停车场一晚上要20块,如果可以免费停车就更好了', 'star': 3}
{'descr': '停车地方太小,停车非常不方便!性价比还可以', 'star': 5}
{'descr': '中规中矩的酒店，房间的大小，床垫的软硬，洗澡水的大小都不错。如果你想要一个性价比很高、同时入住质量得到保障的酒店，建议你选择这家酒店。。 ', 'star': 5}
{'descr': '典型的经济型酒店，只是住宿而已。交通比较方便', 'star': 1}
{'descr': '晚上有人K歌，外面也有声音，吵的，其他还好', 'star': 5}
{'descr': '特大床的确床很大（2米），有塞小卡片招嫖的', 'star': 3}
{'descr': '上班时间出租车很不好拦到，司机都说那里很堵车不愿意去。晚上就无所谓了，周围都是会所', 'star': 5}
{'descr': '此店值得一住，地理位置较佳，距周边园林及观前街较近。', 'star': 5}
{'descr': '一个不错的酒店 交通方便 去观前街也就几站路 价格差不多 房间挺大的', 'star': 5}
{'descr': 'it is a nicely located hotel, quiet place to sleep through the night!', 'star': 3}
{'descr': '门口就有公交站，去哪里都很方便。环境也不错，值得一住！', 'star': 3}
{'descr': 'It is a nicely appointed lodging at a good location for tourists.', 'star': 5}
{'descr': '就是位置稍微偏了点，另外都不错。', 'star': 5}
{'descr': '前台态度不是很好，房间做了担保的，但去的时候已经是晚上11点了房间还是脏的，还没准备好。卫生状况一般。', 'star': 1}
{'descr': '还不错的', 'star': 5}
{'descr': '定的是大床房，床非常大，房间很干净，环境也挺安静，特别是入门处空间很宽敞，洗脸台设计我非常喜欢，希望几天后到杭州定的汉庭也能有这样的环境。', 'star': 5}
{'descr': '位置稍偏，但周围商业还可以，晚上就在附近吃饭，算方便的。\r\n房间宽敞，家庭房的床很舒适。', 'star': 5}
{'descr': '还可以住。', 'star': 5}
{'descr': '如果地下停车场免费就更好了。', 'star': 3}
{'descr': '如果地下停车场免费就更好了。', 'star': 5}
{'descr': '苏州打车很难，而这个地方地段比较尴尬，公交线路比较少，附近又没什么可以逛的地方。别的都还是达到常规汉庭的标准的。', 'star': 1}
{'descr': '门口的202公车可以送你到大部分景点，比较方便', 'star': 5}
{'descr': '座落的地點離主要景點稍遠了些,因其他都客滿了所以訂了此間酒店.6/15下午check in 時值班的經理服務態度非常好,房間也挺寬敞明亮的,浴室與廁所分開的格局不錯,大體上我十分滿意!', 'star': 5}
{'descr': '比较好的汉庭，出去银行吃饭娱乐都很方便', 'star': 3}
{'descr': '就是停车比较困难，下面停车场要收费，还很贵，后来停到竹辉去了，不错，那里地方大', 'star': 5}
{'descr': '感觉很不错的一家汉庭，性价比高！门口就有公交站，到各大景点都方便~', 'star': 5}
{'descr': '很好，谢谢', 'star': 3}
{'descr': '蛮好的，不过到市区稍微有点不方便', 'star': 3}
{'descr': '地理位置不错,出行方便.另早餐比较可口.', 'star': 5}
{'descr': '整体还不错，交通位置比较好', 'star': 3}
{'descr': '还不错，性价比合适', 'star': 5}
{'descr': '离单位近，床特别舒服', 'star': 5}
{'descr': '前台服务很好，虽然很忙，但态度友善，洗澡的水也很大，这是我最喜欢的', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '五一的时候去的，中央空调没办法控制，房间里特别闷热。', 'star': 5}
{'descr': '性价比很好', 'star': 5}
{'descr': '下次到苏州还入住。我们住的标间，是我住过最好的汉庭。。。', 'star': 5}
{'descr': '很 好 ', 'star': 5}
{'descr': '值得推荐，很不错！以后会一直住。', 'star': 5}
{'descr': '性价比非常高', 'star': 5}
{'descr': '比较干净，适合简单的商务选择。', 'star': 5}
{'descr': '不错，员工出差一直用这家', 'star': 5}
{'descr': '酒店地段好,离十全街很近,出行很方便,不错的地方', 'star': 5}
{'descr': '这家汉庭感觉是苏州性价比最高的。', 'star': 5}
{'descr': '酒店比较新，房间设施没的说，标准间床是1米2的，比很多快捷酒店都好，前台服务员业务还比较生疏，办入住有些慢，但可以看出是经过正经培训的，如果去苏州玩，可以选择这里，性价比很高！', 'star': 5}
{'descr': '厕所竟然是玻璃门', 'star': 1}
{'descr': '离长途汽车南站不远，交通便利，服务也很好', 'star': 5}
{'descr': '总体评价较好\r\n大床房周五晚上238一间，性价比一般；\r\n北向房间不沿马路稍微安静一些，但客房的门、墙壁隔音不好，走廊和隔壁的声音都能听见；\r\n卫生设施良好。', 'star': 5}
{'descr': '很喜欢酒店的风格，地段，对汉庭一直有好感。百元房超实惠，竹辉的汉庭内设 还是很新的', 'star': 3}
{'descr': '这是一个性价比不错的酒店，值得推荐', 'star': 5}
{'descr': '不错的酒店，性价比极好，好几次住这家汉庭了', 'star': 5}
{'descr': '非常好的酒店，各方面都很好，性价比极高，以后去苏州的首选酒店，值得推荐。', 'star': 5}
{'descr': '帮朋友订的，朋友评价很好，说以后还要住汉庭的酒店！', 'star': 5}
{'descr': '在连锁酒店里这家是非常不错的，但是靠马路这边太吵，经常一晚被吵醒好几次。另外洗手间是玻璃门，又朝外开，所以经常会碰到门上，请日后入住的朋友注意。', 'star': 5}
{'descr': '设施还是ok就是交通不方便', 'star': 1}
{'descr': '比较方便', 'star': 5}
{'descr': '地方很好找，房间很多，屋里很大，电脑接口不错，还不止一个。服务态度真的是很好，我麻烦前台不少事情全部解决了，打扫卫生的把屋里乱糟糟的都打扫了，非常非常意外，很好。卫生间水堵了五分钟就弄好了，态度非常好！个人认为已经非常不错了，服务态度和服务能力都很棒，走了我主动办了张卡，不知道其它汉庭怎么样\r\n唯一的缺点是早饭不够好，十五块贵了，改进下吧，以后还去这个', 'star': 5}
{'descr': '地段不错，离十全街很近，去工业园区也很方便。环境也不错，房间大！安静，早饭的馄饨很好！', 'star': 5}
{'descr': '酒店还不错。推荐', 'star': 5}
{'descr': '个人觉得是苏州市区内最好的一家汉庭，在ELONG上定价格也很便宜！', 'star': 5}
{'descr': '临近沧浪亭，出门公交车站，去火车站、观前街……都不错，走几步就是十全街，很多吃的、逛的', 'star': 5}
{'descr': '总的不错', 'star': 5}
{'descr': '从火车站有直达车，非常方便，距离网师园等也不远。酒店服务很好。', 'star': 5}
{'descr': '上海24K我刚刚住过，服务不负责任，我打前台电话问南浦大桥如何走，离本店有多远，回答是不清楚，我们前台的人度不知道，你自己去问吧。找车问保安，他知道，可方向给指反了。', 'star': 1}
{'descr': '各方面都不错~~~', 'star': 5}
{'descr': '这次在这儿住了三晚。很干净。也安静。不错。', 'star': 3}
{'descr': '在苏州来说。绝对是一个特超所值的酒店了。我住的是特价房，房间比较宽大，地理位置也方便，在网定了，同来的同事也说我定的好。呵呵。下次来苏州还住这儿。', 'star': 5}
{'descr': '很不错！', 'star': 5}
{'descr': '房间布局很简约~ 又不失现代感~ 需要物品齐全` 特别吹风机每个房间都有 很好~ ', 'star': 5}
{'descr': '性价比极高，停车方便。', 'star': 5}
{'descr': '喜欢住这里', 'star': 5}
{'descr': '空调噪音较大，其他不错，值得再次入住', 'star': 5}
{'descr': '这次住的房间比以前住的要小很多，而且窗正好对着大排风口，感觉很不舒服。', 'star': 5}
{'descr': '很满意，下次还住。', 'star': 5}
{'descr': '这是第二次在汉庭酒店连锁（苏州竹辉路店）住了，这次的房间比上次的大些，舒适度得到了较大的提升。对汉庭一直最满意的是卫生和设备这两方面，服务人员的态度也是不错的。', 'star': 5}
{'descr': '早餐没有在房费里面，很遗憾， 在旁边都没有早餐店，只得在这里消费，15元资助餐，其他还好。', 'star': 5}
{'descr': '虽然在经济型酒店中价格不算低，但物有所值。', 'star': 5}
{'descr': '第一次入住汉庭的酒店，这家酒店给我的印象是超值。以至于到上海我仍坚持入住汉庭（事后证明每个城市的管理还都是有巨大的差别的，不能一概而论）', 'star': 5}
{'descr': '不提供中、晚餐，很不方便', 'star': 1}
{'descr': '性价比好', 'star': 5}
{'descr': '車子很難停', 'star': 3}
{'descr': '很ok的，地點也ok', 'star': 5}
{'descr': '大床房间，真的温馨舒适哦，性价比出乎意料，下次还是我的首选！', 'star': 3}
{'descr': '大床房间，真的温馨舒适哦，性价比出乎意料，下次还是我的首选！', 'star': 5}
{'descr': '價錢再便宜一點更好!', 'star': 5}
{'descr': '一切都蛮好的，物美价廉', 'star': 5}
{'descr': '房间不错，交通也方便，推荐。', 'star': 5}
{'descr': '感觉有种家的感觉(我的老婆语)    老婆说好就好 ', 'star': 5}
{'descr': '酒店卫生比较干净，房间格局比较舒适。但是卫生间设计的不是特别合理，门的格局不好。其他都还可以。地理位置交通方便。', 'star': 3}
{'descr': '卫生服务方面非常好,住着很舒适,但酒店的位置离市中心稍微有点远,另外就是房间有点小,其它的还都不错.', 'star': 3}
{'descr': '我觉得酒店的位置比较方便，环境还可以，总的来看还不错，值得推荐', 'star': 3}
{'descr': '酒店的内部卫生环境挺好的,人员服务也很热情,整体感觉酒店的性价比还是不错的,就是早餐供应时间太短了!', 'star': 3}
{'descr': '不错，服务好，比较卫生，就是主客的朋友进入不太方便，当然也是为了安全考虑', 'star': 5}
{'descr': '房间比较雅致，虽然偏小了些；房间里有两个网线接口，感觉有点惊喜（虽然只带了一台笔记本）；书房的灯比较亮，感觉不错；但电视机安装得太高，坐在床上时看电视比较吃力；工作人员服务态度挺好，但直到入住的第二天下午在我们要求下才整理了房间卫生；不送早餐这一点似乎不够贴心；因为房间价位是220元/晚，所以我们觉得汉庭的服务应该做到比现在更好，才更令人满意。', 'star': 5}
{'descr': '房间满大的，淋浴很大，满舒服的', 'star': 5}
{'descr': '住的周末物价100元大床房间，很划算。上午九点开的房，洗澡间有很多头发没有清理干净，电视遥控器不好用，要拍拍才能正常。其它还不错，不包含早餐。', 'star': 5}
{'descr': '我住的是周末特价房，只有星期天有，才100元/天。非常的划算。前台服务态度很好，问旅游线路啊什么的都很热心。房间布置干净整洁，卫浴设施也很好。总之非常满意。', 'star': 5}
{'descr': '跟经济型的酒店一样，没什么特别的好，没什么特别的不好', 'star': 5}
{'descr': '酒店的价格还是蛮优惠的,服务态度也挺好的,而且地理位置也挺好的,交通很方便.', 'star': 5}
{'descr': '我们住了一共住了两天！位置好!环境好！主要让人觉得酒店比较安全！面积也不小，从两条网线设计可以看出设施很人性化，总之下去去苏州就选它了', 'star': 5}
{'descr': '酒店的价格是很优惠的，挺满意的，条件也不，我这人对酒店也没什么挑剔的，感觉还不错', 'star': 5}
{'descr': '酒店的服务一般的，卫生和设施都都很一般的，酒店的位置还可以在市中心，价格高了，下次不会在入住这家酒店了', 'star': 1}
{'descr': '前台服务员态度非常好，酒店的安全设施也非常到位，就是卫生间的毛巾稍微陈旧了，些整体不错。下次还会选择这家酒店人住', 'star': 5}
{'descr': '设施条件挺新的，挺干净，性价比高，服务什么的都很好', 'star': 5}
{'descr': '酒店的地理位置稍微有点偏,不是很好找,不过方面都挺好的,而且价格也很便宜,但要房间能带电脑就更好了', 'star': 5}
{'descr': '饭店的位置还算可以，火车站出来有202和游5路可以直达！饭店对面的202车站，大概做四站可以到观前街，很快、而且坐车的人很少。但是没有到虎丘的车，去的话需要打车去，大概不到30块钱左右可以到。\r\n酒店的服务很好！很热情！房间也干净整齐！价格也不贵！适合旅行居住！', 'star': 5}
{'descr': '酒店的服务设施，环境卫生，交通条件都挺不错的，价格相对适中，总体来说还可以。', 'star': 5}
{'descr': '设施很好，地理位置也可以，坐车都很方便。感觉很好！整体评价：优！', 'star': 5}
{'descr': 'Very OK!', 'star': 5}
{'descr': '性价比高，位置也很好，就在市中心，服务也蛮周到的，卫生方面也不错', 'star': 5}
{'descr': '酒店的房间比较干净。价格也便宜，就是位置偏点，交通不方便', 'star': 1}
{'descr': '房间很大，性价比较高，浴室设备很好，很整洁。。。❤❤', 'star': 5}
{'descr': '环境卫生挺好的,价格也算实惠.地理位置有点偏僻.', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '酒店服务不错，我住的是特大床房，可能是4楼还在局部装修的关系，房间味道有点重，后来出门的时候把窗子打开通风才好一点。酒店的房间很干净，卫浴设施不错，门口交通也很方便，但是房价也相对别的经济型酒店稍贵。酒店的缺点是：房间装修有味道，毛巾有味道，空调不够冷。', 'star': 3}
{'descr': '总体还可以。', 'star': 5}
{'descr': '与07年十一期间入住。&lt;br /&gt;\n在此做一番简单且客观的评价：&lt;br /&gt;\n1.地理位置：一般，周围便利设施还可以，离网狮园，鸡鸣湖较近；但去观前街、苏州乐园、虎丘等地点交通并不十分方便。&lt;br /&gt;\n2.硬件设施：酒店为新酒店，有些设施并没有开放，如餐厅；房间有些装修的气味；隔音效果尚可；房间布局以及粉刷颜色给人的感觉不够温暖；电视机较差（SVA25寸普通彩', 'star': 3}
