{'短评内容': '很好........', '短评打分': 5}
{'短评内容': '我们带着宝宝一起去的，其实就是想找个好点的酒店透透气，宝宝6个月，酒店设施比较完善，对于小婴儿的床，宝宝椅，都很齐全。服务也好，态度好！服务意识高！美中不足就是酒店里吃东西的地方都太贵！！每顿饭至少也要500往上。。酒店特别干净，蚊子也相对少一些！总体玩的很开心，舒服！', '短评打分': 5}
{'短评内容': '酒店环境优雅舒适，和想象环境差不多。服务人员温馨得体，唯一不足房间隔音不好，导致睡眠不足。总体评价满意。', '短评打分': 5}
{'短评内容': '酒店很大气', '短评打分': 5}
{'短评内容': '酒店服务非常好，沙滩很大，视野宽广，早餐略显不够丰富，品种很少，口味不太适合中国游客。', '短评打分': 5}
{'短评内容': '性价比很高，喜欢酒店的园景，很多泳池，巧克力冰淇淋超级好吃，几乎天天都要吃', '短评打分': 5}
{'短评内容': '酒店很好！环境很美！', '短评打分': 3}
{'短评内容': '酒店很好超级喜欢，之前不知道为什么那么多评论说酒店不好。', '短评打分': 3}
{'短评内容': '硬件不错，服务一般，早饭尚可，性价比不高！', '短评打分': 1}
{'短评内容': '新，干净，管理好。因水上中心是对外承包，服务很差，小心被宰。', '短评打分': 5}
{'短评内容': '整体感觉不错', '短评打分': 3}
{'短评内容': ' 很好，下次再来', '短评打分': 3}
{'短评内容': '环境不错，但服务员很少', '短评打分': 3}
{'短评内容': '已入住，比较滿意，泳池很不错。', '短评打分': 3}
{'短评内容': '酒店是新开的，服务很好，早餐很丰盛，味道也很好。金色沙滩很棒，是个休闲度假的好地方', '短评打分': 5}
{'短评内容': '\n\n帮朋友预定的这家酒店，反映很好，下次还会再次预定', '短评打分': 5}
{'短评内容': '很高档的商务型酒店,没有喜来登布置的那么有度假感,室内装修很俗气的感觉,室外泳池很小只能玩水,沙滩的躺椅和遮阳伞很廉价,不是坏的,就不抗风,大多数时间只能收起来不用,唯一值得称赞的是早餐,品种丰富.', '短评打分': 1}
{'短评内容': '还可以吧，服务不错，早餐还可以，就是服务的速度有点慢！适合度假！', '短评打分': 5}
{'短评内容': '新开的酒店，房间和公共区域设施都很好，沙滩管理的不错，很喜欢；', '短评打分': 5}
{'短评内容': '酒店是新开的，服务很棒，早餐很丰盛，味道也很好。沙滩很棒，是个度假的好地方，本来只住一天的，后来又住了一天。很好。下次还来。', '短评打分': 5}
{'短评内容': '酒店是新开的，服务很棒，早餐很丰盛，味道也很好。沙滩很棒，是个度假的好地方，下次还来。', '短评打分': 5}
{'短评内容': ' 视野极好', '短评打分': 3}
{'短评内容': '服务很好，准五星，房间也很大。住过美高梅旗下拉斯维加斯和澳门的酒店，感觉差不多，会向朋友推荐', '短评打分': 5}
{'短评内容': '入住这家新酒店的豪华房,晚上洗完澡发现淋浴室的水不能通过下水很好排放全漫到了整个卫生间和客房卫生间一侧,通知服务中心先来了维修人员然后服务折腾了好久近半夜两点多才收拾好能睡觉。笫二天前台或大堂经理或那个部门连一个致歉都没对我表达,这就是五星的水平吗？', '短评打分': 1}
