{'短评内容': '交通便利方便', '短评打分': 5}
{'短评内容': '还不错。位置也挺好找的。 比较方便 也还算干净  会推荐别人的 ', '短评打分': 5}
{'短评内容': '房间很整洁，赞一个！', '短评打分': 3}
{'短评内容': '不错，很干净，去火车站很方便!离故宫，中街都很近！', '短评打分': 5}
{'短评内容': '酒店挺好，还算干净，就是上网速度太慢，网速最低的时候3K，有点慢了，不过在中街这个地脚，这个价格算便宜了', '短评打分': 5}
{'短评内容': '酒店位置非常理想，房间也很好，超出预期。', '短评打分': 3}
{'短评内容': '交通便利，周边吃用俱全，到哪里都不远，酒店里还有二人转的打折优惠卡。', '短评打分': 5}
{'短评内容': '性价比尚可，服务态度好！但一楼靠路边的房间挺吵.', '短评打分': 3}
{'短评内容': '大床房很小啊，进屋就是床了。。。不过服务态度很好，一直让保留房间也没有怨言', '短评打分': 5}
{'短评内容': '位置很不错！交通便利，如家的早餐12块，还是挺好的。', '短评打分': 5}
{'短评内容': '环境优雅，卫生干净。服务热情。', '短评打分': 3}
{'短评内容': '位置很好的，到哪儿都方便，只是大门有楼梯，拖着箱子不太方便。', '短评打分': 5}
{'短评内容': '挺不错的哈就是窗户打不开哈', '短评打分': 3}
{'短评内容': '  标准间很舒服，干净舒适，很大。下次还会光临。', '短评打分': 3}
{'短评内容': '环境与服务都很不错', '短评打分': 5}
{'短评内容': '在他们家住了一个星期了，每次去沈阳都会住在这里，离中街很近，吃的东西也很多，出门就是故宫，很好', '短评打分': 5}
{'短评内容': '因为车晚点，如家帮我延长了入店时间，十分感谢，就是房间的插坐有限，不是很方便，电视信号也不太好。。。。总的来说还可以吧！', '短评打分': 3}
{'短评内容': '在这儿住了三天，如家一如既往的好，干净温馨。', '短评打分': 3}
{'短评内容': '环境好，很干净，服务态度很满意，位置也不错，交通很方便的，下次还会光临的！', '短评打分': 5}
{'短评内容': '还行的，，别的服务都还行。前台挺好的。早饭挺好的。中饭晚饭都有。离中街，故宫，大帅府都很近。有利于外地游客。', '短评打分': 5}
{'短评内容': '  还好，比较干净', '短评打分': 3}
{'短评内容': '一如既往的好，每个月都去沈阳都会住这家。服务很好，房间干净～', '短评打分': 3}
{'短评内容': '设备都很久，毛巾虽然没味道，但是看着很脏，用的太久了', '短评打分': 1}
{'短评内容': '环境很好，服务员的服务态度很好，离故宫很近', '短评打分': 5}
{'短评内容': '如家（沈阳故宫店）的环境很不错，地理位置对于想在沈阳玩的朋友来说是很便利的，服务人员也很周到。', '短评打分': 5}
{'短评内容': '房间有点小 价格有点贵 交通还算方便 态度一般 毛巾有头发', '短评打分': 5}
{'短评内容': '离中街很近，逛街吃饭非常方便，就是房间有点小，没有行李架，床单上有头发', '短评打分': 5}
{'短评内容': '房间干净又大，床很舒服，屋内暖和。', '短评打分': 3}
{'短评内容': '酒店床很舒服，总体满意，但隔音不好', '短评打分': 3}
{'短评内容': '床很大但有些硬 望改进', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '网线是坏的，水不热，房间小，有异味，不过态度还行', '短评打分': 3}
{'短评内容': '地理位置很好，环境也不错，就是房间隔音稍差点。', '短评打分': 5}
{'短评内容': '不错，干净，还有书桌，交通方便，位置好找。', '短评打分': 5}
{'短评内容': '服务态度还可以，就是没有停车位，想停车还要放到附近的收费停车场', '短评打分': 1}
{'短评内容': '不错.标间比较大,比较干净，性价比高,交通方便.', '短评打分': 5}
{'短评内容': '大床房间特别小，从来没有见过这样小的大床房，都转不过身来。房间里没有吹风机。服务态度倒还是不错。', '短评打分': 1}
{'短评内容': '离沈阳故宫很近，五分钟的路程~这个是最大的优点~~我住的是大床房，房间有点小...设施一般般~床的被子褥子什么的不是一般酒店那样的白色，显得不是很整洁~', '短评打分': 5}
{'短评内容': '还可以吧，就是进店发现价格还要低一点，低—元', '短评打分': 3}
{'短评内容': '感觉房间很不错，干净整洁，设备齐全，是一般出差旅行的较好选择', '短评打分': 5}
{'短评内容': '除了离故宫比较近这个优点之外，实在看不出其优点了。这家店或许是时间太狼未装修了，显得很陈旧，一进屋就感觉很潮有股怪味，床上用品也觉得有霉味。服务还可以。', '短评打分': 1}
{'短评内容': '位置很好 去哪都很方便  感觉也不错 只不过电吹风有点少 没有借到 隔音有待提高……', '短评打分': 5}
{'短评内容': '酒店隔离外边的声音，内部门挺薄，不怎么隔音', '短评打分': 5}
{'短评内容': '地理位置非常好，服务周到，性价比很高,如果停车方便一些就更好了，门前停车容易被贴条，原因是停车位置太少。', '短评打分': 5}
{'短评内容': '优点：对于去沈阳旅游的客人来说酒店位置很好，就在沈阳故宫的斜对面，刘老根大舞台的附近，步行也都不超过五分钟的，周围各类吃饭的地方选择也多，味道和价格也是很不错的；\n缺点：酒店开业时间比较久所以房间和床单什么的都比较旧，尤其是无法开窗的房间有明显的异味，让人感觉很不好，原本计划住两天的我们只住了一天后就结帐离开了，改住了沈阳的汉庭全季酒店的，虽然比这个性价比高。\n', '短评打分': 1}
{'短评内容': '很巧，住在上次住的房间楼下，不过浴室的莲蓬头有点漏水哦，修理一下，217', '短评打分': 5}
{'短评内容': '我很喜欢如家', '短评打分': 3}
{'短评内容': '比较舒服，地点也比较好，吃饭什么的都比较方便。除了窗户小了点外其他还都不错~！！', '短评打分': 5}
{'短评内容': '酒店还是不错的，交通也算方便，只是位于十字路口的地方，不太方便停车。另外12元的早餐一般，内容比较少。', '短评打分': 5}
{'短评内容': '挺好的，非常方便，无论是去故宫还是去大帅府。自助早餐也还可以，但是其他时候就不建议去吃，性价比不高。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '酒店位置不错，离故宫很近，其它也都还可以', '短评打分': 5}
{'短评内容': ' 离故宫和中街很近  比较干净  服务好', '短评打分': 3}
{'短评内容': '旅店朝向不好,窗户外面是墙,而且刚开门就是会有味', '短评打分': 3}
{'短评内容': '酒店环境很好，位置紧靠名胜古迹故宫，夜晚可以看见美丽的故宫很美丽。', '短评打分': 3}
{'短评内容': '酒店所处地理位置不错，在故宫的斜对面，正阳路上。步行到大帅府也在15分钟内，坐294路可以到北陵，坐140路转218路也可以到东陵。酒店附近各色饭店很多，公交车和很多，还有地铁。离朝阳街、中街都很近。只是去机场不是非常方便，需要打的到马路湾（我打车打了11元），乘坐机场大巴（15元）。\n\n我住的是商务大床房，170元，4月30日和5月1日两晚。由于订得早，价格优惠。五一节的门市价是189元。4月3', '短评打分': 5}
{'短评内容': '非常好，很干净，在商业区购物很方便，下次还会在来', '短评打分': 5}
{'短评内容': '离故宫和大帅府很近，不错！不过房间太小了！', '短评打分': 5}
{'短评内容': '服务非常好，特别值得一提的是，我们入住的时候，行李忘在房间门口半小时，多亏保安提醒，物品一样不少，非常感谢。', '短评打分': 5}
{'短评内容': '酒店距离沈阳故宫步行只需5分钟，离步行街也只要10分钟，很方便。房间有点小，但很干净，服务很规范。', '短评打分': 5}
{'短评内容': '干净，离故宫很近，免费送的12元自助早餐非常好，整体上这个酒店还是非常不错的。', '短评打分': 5}
{'短评内容': '如家快捷沈阳故宫店,沈阳市沈河区正阳街196号\n很温馨，支持！！！', '短评打分': 5}
{'短评内容': '就在中街故宫附近··交通很方便··离怀远门地铁站也不远··\n设施也就是如家的标准··', '短评打分': 5}
{'短评内容': '离故宫很近，在房间里能看到故宫，比较舒适~', '短评打分': 5}
{'短评内容': '床比较舒服，很宽，睡两个人都ok的，就是北面的房会有点阴冷~', '短评打分': 5}
{'短评内容': '不错非常好 推荐都来 太好啦不错非常好 推荐都来 太好啦', '短评打分': 5}
{'短评内容': '和以前一样，地理位置，服务，硬件设施都没的说！！！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '   酒店位置很好，离中街很近，临马路稍微有点吵，不过房间蛮大的，暖气不是很热得开空调，总的来说还是蛮好的，推荐。', '短评打分': 3}
{'短评内容': '不错 干净 快捷 不错 干净 快捷 不错 干净 快捷 不错 干净 快捷 ', '短评打分': 5}
{'短评内容': '不错 和以前一样 下次还会入住 还会推荐朋友来', '短评打分': 5}
{'短评内容': '以前住过很多次 感觉都很好  但是这次下午两点来的 告知要等十五分钟才能入住 接待大厅非常冷 入住后发现地板破损 相对其他商务间小很多 入住前并未告知 面盆是坏的 也没人检修（该问题在打扫时显而易见） 总之对这次入住很不满意', '短评打分': 5}
{'短评内容': '酒店的位置非常好，在故宫和张氏帅府之间，非常适合旅游人士。', '短评打分': 5}
{'短评内容': '地理位置好，对面就是沈阳故宫，房间够大，卫生间淋浴器不太好用', '短评打分': 5}
{'短评内容': '位置非常好，出门很方便，旅行住很适合，价格也适中，不错', '短评打分': 5}
{'短评内容': '  感觉还不错！', '短评打分': 3}
{'短评内容': '酒店位置不错！服务也很到位~                                                                  ', '短评打分': 5}
{'短评内容': '不错，干净，交通方便，服务也挺好，早餐继续努力吧.', '短评打分': 5}
{'短评内容': '+酒店位置好,服务也好,卫生也很好,是很好的入住选择!', '短评打分': 5}
{'短评内容': '还行                                                                ', '短评打分': 3}
{'短评内容': '酒店的卫生，装潢，地理位置，服务质量都很好，很对得起这个价格！推荐！', '短评打分': 3}
{'短评内容': '总体不错，性价比还可以，卫生状况良好，停车位较紧张', '短评打分': 5}
{'短评内容': '我对该店的各项都很满意！卫生，地理位置和舒适度完全物超所值。', '短评打分': 3}
{'短评内容': '商务大床  床很大  整体不错  卫生也不错', '短评打分': 5}
{'短评内容': '如家一如既往                                                                       ', '短评打分': 5}
{'短评内容': '酒店的位置非常好，在故宫和张氏帅府之间，非常适合旅游人士。而酒店附近还有许多小吃，便宜又好吃。酒店里沈阳北站仅20分钟的公车路程，交通方便。我订的标准房房内干净整洁，缺点是隔音有问题，能隐约听到隔壁房的声音。但对于199元这个价格已经是物超所值。', '短评打分': 5}
{'短评内容': '性价比不错了，出门左转2分钟就能到中街和兴隆大家庭，挺好的', '短评打分': 5}
{'短评内容': '+环境不错,离故宫非常近', '短评打分': 3}
{'短评内容': '+离故宫和中街真的非常近。缺点是靠近景点,家常饭馆少。', '短评打分': 5}
{'短评内容': '环境可以，闹市中心，就是交通太赌', '短评打分': 5}
{'短评内容': '交通方便，如家连锁都还可以了，经济实惠，还不错，下次会再来。。。。。', '短评打分': 5}
{'短评内容': '离沈阳故宫非常近，我们住的标间面积较大，感觉很不错。', '短评打分': 5}
{'短评内容': '就是位置好，在沈阳故宫对面。距离中街也很近，很适合旅游', '短评打分': 5}
{'短评内容': '第二次住了  很不错   过几天还会入住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店的位置很好，离故宫很近，想要旅游的可以住在这', '短评打分': 3}
{'短评内容': '酒店位置很好，很方便', '短评打分': 3}
{'短评内容': '蛮方便的\r\n', '短评打分': 5}
{'短评内容': '房间很大。地段很好，出行方便。就是早餐一般。去的那天没有牛奶提供竟然。只有豆浆。咖啡竟然还是不含的，要另外付费。还没有咖啡杯。一律都是玻璃杯，感觉不是很好。', '短评打分': 5}
{'短评内容': '作为快捷酒店来讲卫生、服务都算不错的了。只是餐厅的价格（不是指早餐）相对一个快捷酒店来讲比较贵，菜做的也不好（例如我们要的芸豆炖排骨里的排骨都咬不烂）', '短评打分': 1}
{'短评内容': '很满意，卫生不错，服务态度也不错。。', '短评打分': 5}
{'短评内容': '夏天能好点  天冷是绝对不推荐  空调一直打着屋子也不暖和  卫生间更不用说了  冷的受不了   感冒了', '短评打分': 1}
{'短评内容': '不错，以后还选择如家', '短评打分': 5}
{'短评内容': '来晚了   刚在那儿住过  位置不错  环境很好  服务态度也不错  就是隔音有一点点不好   总的来说性价比很高了', '短评打分': 5}
{'短评内容': '地理位置超好，景点和地方特色小吃都在附近，故宫及帅府步行可至，中街也不远，交通很便利。就是房间稍微小了一些，隔音差了一点，总体而言还是值得推荐。', '短评打分': 5}
{'短评内容': '性价比可以', '短评打分': 5}
{'短评内容': '總體來說還好`', '短评打分': 5}
{'短评内容': '就是一般如家风格，离故宫和中街很近，价格如能低些就好了。', '短评打分': 5}
{'短评内容': '位置挺好找，这边交通还是非常方便的，房间的卫生和设施还不错，服务也还好，整体感觉这家酒店的性价比还是非常高的', '短评打分': 3}
{'短评内容': '刘老根大舞台，故宫，大帅府和大家庭商场都在附近500米，是个好地方', '短评打分': 5}
{'短评内容': '酒店下面有个餐厅吃饭很方便,位置非常好.卫生服务很不错,设施齐全.', '短评打分': 3}
{'短评内容': '位置不错，离沈阳著名的中街、故宫、张氏帅府、刘老根大舞台都非常近；地下一层的茶餐厅价格合理，味道不错；唯一遗憾的地方就是房间暖气不大热，晚上被冻醒后又开的空调', '短评打分': 5}
{'短评内容': '位置还是不错的,位于市中心,出行都很方便,房间的卫生和设施上也都不错,很符合酒店的价位,是一家性价比很高的酒店.', '短评打分': 3}
{'短评内容': '位置较好,出门比较方便.服务,设施总体感觉较好.唯一遗憾的是我住的房间的窗户被外面的装饰物挡住了,在房间分不清白天黑夜,让人有种压抑感.', '短评打分': 5}
{'短评内容': '酒店的服务卫生都很不错，硬件设施也很达标，价格合理适中，位置也很好，值得推荐入住的酒店。', '短评打分': 3}
{'短评内容': '酒店挺不错的，位置好\\交通方便，硬件设施和环境一般，总体来说一般。', '短评打分': 5}
{'短评内容': '酒店的位置不错，里故宫很近，附近还有大型超市和刘老根大舞台。', '短评打分': 5}
{'短评内容': '靠近故宫，位置还好，就是服务和设施都一般。', '短评打分': 5}
{'短评内容': '除了隔音效果不好 卫生一般 其他的都不错\r\n位置非常好', '短评打分': 5}
{'短评内容': '隔音效果差吧，服务人员的态度也超级差，我在那426房间，第一晚是对门有家小孩在晚上11点多了还在楼道里吵吵嚷嚷的跑闹，这还好，起码半夜里安静了，第2晚上被吵一整夜就没睡觉，隔壁425房间不知道住进去一堆什么人，男男女女们一屋子人又打牌又看电视，闹了一夜，给前台打了五次电话，保安第一次上去转了一圈，那屋子人正好那两分钟没闹，保安居然说没有听到动静，气愤，到了一两点了再给打电话，保安第二次上去只提醒了', '短评打分': 1}
{'短评内容': '酒店的停车不方便没有停车场，开车去的话要把车子停到别处，内部环境还不错，交通也还方便', '短评打分': 3}
{'短评内容': '酒店的软件方面还是不错的,硬件设施方面有些陈旧了,周边交通还是蛮方便的,酒店的隔音也不是很好,整体感觉价格还是比较合适的.', '短评打分': 5}
{'短评内容': '房间的本身条件环境还是不错的,我们当时加了一张床,可是加的那张床可不怎么样,就是那种折叠床,睡着太不舒服了；酒店位置还不错,出行都挺方便的；', '短评打分': 5}
{'短评内容': '酒店的服务，环境还可以，设备也很齐全，位置也不错，交通挺方便的', '短评打分': 5}
{'短评内容': '带老婆和小孩从广东回老家铁岭，路过沈阳，小孩子想到故宫参观，于是选择住在这里。总体感觉还可以，离故宫、中街都比较近，房价也不贵。', '短评打分': 5}
{'短评内容': '应该承诺有优惠券,而且在活动其内.服务人员说没有了发没了.这家酒店的位置很好,环境硬件设施也很不错.', '短评打分': 5}
{'短评内容': '酒店挨着沈阳故宫，旅游很方便，而且交通很方便，去那里都很近。', '短评打分': 5}
{'短评内容': '酒店的所在位置的交通不是很方便，其他象服务价格卫生等方便都很好', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '我自去年6月开始,就一直住在故宫这家店!!真的不错,.给打个满分', '短评打分': 5}
{'短评内容': '&lt;font face=&quot;宋体&quot;&gt;Sample Text&lt;/font&gt;&lt;br /&gt;\n&lt;br /&gt;\n一直住在这里,服务态度特别好,认为是很值得推荐的一家酒店了.&lt;br /&gt;\n&lt;br /&gt;\n设施很齐全,干净的没话说.价格也很实惠,关键是押金也适度,不像玫瑰大酒店,押金收很高,信用卡预授权就不提了,要是用现金的筒子', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;如家的感觉真好。奢侈豪华您甭想，干净方便请进来。我怎么有点做广告的嫌疑了？但是的确非常好。我到过几个城市的如家酒店，统一的感觉是干净，这是出门在外非常值得注意的地方。房间确实不大，但麻雀虽小，五脏俱全。服务态度应该说没得挑，上网又非常方便。对于我们这些经常外出又必须用网络联系的假白领来说，这是必不可少的。它就象是一个临时的办公室，很安静地让你处理各种问题。没有过多', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;感觉挺好,离故宫很近,几分钟就到了.可以预授权,但我的中行卡不可以,很是郁闷.但结帐时可以刷卡.&amp;lt;/P&amp;gt;', '短评打分': 5}
