{'短评内容': '酒店前台办事效率太低', '短评打分': 4}
{'短评内容': '挺好的，无意中订的这家酒店，还是比想象的好的多，算是意外收获吧', '短评打分': 5}
{'短评内容': '如果要是送两位早餐就更实在一点了，一位是不是有点太扣门了，就睡一觉，还要加点附加费用？', '短评打分': 5}
{'短评内容': '帮朋友预定的，朋友挺满意的，帮朋友预定的，朋友挺满意的，', '短评打分': 5}
{'短评内容': '酒店不错，就是营销的方式方法不太好，通过预定的还好，不预定的话，到前台，从来就说没房间', '短评打分': 5}
{'短评内容': ' 不错的，就是办理入住的时候慢一点，希望越来越好点吧。。。。。。', '短评打分': 5}
{'短评内容': '还不错!', '短评打分': 3}
{'短评内容': '大床房还不错，早餐也还行，服务也挺好。就是浴室不咋样。', '短评打分': 5}
{'短评内容': '酒店整体环境还不错。', '短评打分': 3}
{'短评内容': '酒店感觉不错 房间里再亮一点更好', '短评打分': 3}
{'短评内容': '还可以，就是骚扰电话太多，第二天把电话线拔了，结果晚上8点左右有位小姐来敲门问我要不要按摩，真是敬业啊！！出于安全的考虑，我连门都没开。', '短评打分': 1}
{'短评内容': '整体还不错，适合商务客人。', '短评打分': 3}
{'短评内容': '，酒店位置不错，房间干净，以后还住这里。', '短评打分': 3}
{'短评内容': '价格不低,服务不行,每天酒店做鸡的都会准时打电话给客人,问要不要服务!!女人们不要让你的的男人住在这家酒店!房间是挺大,但是设施根本就不行.', '短评打分': 1}
{'短评内容': '在这么偏僻的地方还有这种很好的酒店。下次还来', '短评打分': 5}
{'短评内容': '地理位子，环境，卫生都很不错，早餐一般般，不过服务蛮热情', '短评打分': 5}
{'短评内容': '地理位置，环境，卫生都不错，早餐一般般。服务态度很好，4星饭店房间供应免费矿泉水或水果就好了。', '短评打分': 5}
{'短评内容': '早餐越来越次，卫生间地砖太滑，晚上打扰的人太多。', '短评打分': 5}
{'短评内容': '如果住在开发区的话, 最后住在旁边的国尊王朝酒店... 这个酒店服务不好, 就是早饭还可以', '短评打分': 1}
{'短评内容': '是比较卫生的，服务质量比较一般。早餐丰富。 晚上可以叫楼下的人上来做保健，舒服。价格偏贵一点点', '短评打分': 5}
{'短评内容': '每次都是住在这里，早餐马马虎虎。因为找不着这个价为比较好的酒店', '短评打分': 5}
{'短评内容': '干净、整洁、我每次都住那里.比较新的酒店，住店的人都还不错', '短评打分': 5}
{'短评内容': '酒店人员缺乏培训, 仅仅checkin 花了我20分钟, 愁死了... 早饭不错....房间内的环境还可以... 但是还是贵了点儿', '短评打分': 1}
{'短评内容': '卫生设施都还可以，唯一不满的是房间空调开到最大都不暖和。房间大，就更冷了。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '酒店的设施绝对没有四星,跟三星差不多,十月十几号,房间的空调没用,不能制热,不能制冷,房间一阵阵的霉味,住的一个大床房,浴室连澡都不能冲,只有自己拿着喷头淋,四星级酒店,连一次性的剃须都没有,酒点客房服务没有剪刀等工具。床头没有设置电源插座。服务员做完卫生也不知道将客房的窗户打开通风。晚上下面桑拿的电话打个不停，很让人讨厌。总之，这个酒店不行。', '短评打分': 1}
{'短评内容': '+还可以', '短评打分': 5}
{'短评内容': ' 已入住酒店', '短评打分': 5}
{'短评内容': '还不错，价格也合适，适合商务人士。位置也好，干净。', '短评打分': 5}
{'短评内容': '可以，不错的酒店。不过好像大连的司机不太知道路怎么走。', '短评打分': 5}
{'短评内容': '位置不错，客房服务很好，前台人员的服务一般，没有微笑。', '短评打分': 5}
{'短评内容': '不错的酒店。下次出差还是会订。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '该酒店尚属中规中矩，早餐品种稍嫌单调了点。值得一提的是该酒店位置不太好找，费了我好长时间才找到，但也许是对开发区不太熟的缘故。总之，整体来说还可以！顺便提一句，结账的时候前台有个女服务员可能是刚刚和客人通过电话，不太满意，嫌客人太烦，背后还在说人家，不过我想即使有什么不开心的也不要在背后说人家。尤其是当着其他客人的面。一点建议！', '短评打分': 5}
{'短评内容': '房间很干净，地理位置靠近我办事的地方很方便，性价比较高，下次还会选择。', '短评打分': 5}
{'短评内容': '自住餐味道很好\r\n', '短评打分': 5}
{'短评内容': '一切一般，早点还行', '短评打分': 1}
{'短评内容': '适合商旅', '短评打分': 3}
{'短评内容': '适合商旅', '短评打分': 3}
{'短评内容': '房间很大,电视太小, 价格高了点, 商务住宿比较适合. \r\n较大的房间应该设一组沙发. \r\n总体来说, 开发区的酒店价格要远远高于市内的同档次酒店.', '短评打分': 5}
{'短评内容': '适合商旅', '短评打分': 5}
{'短评内容': '隔音有一点差', '短评打分': 5}
{'短评内容': '当时在网上看的介绍说房间里电脑，但是实际去了之后发现是不有，这点挺不方便的，而且标间只送一份早餐，另外还得单买，不过酒店的住宿条件还是不错的，住着也蛮舒适的，价格也还可以接受。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都很不错，位置出行交通方便，在市中心的位置，价格合理适中，作为四星级酒店还是比较不错的各个方面都是很达标的，值得推荐入住。', '短评打分': 5}
