{'短评内容': '小地方最好的酒店，如果还去，依旧不二的选择吧', '短评打分': 5}
{'短评内容': '环境不错，周边逛街吃饭都厅挺方便', '短评打分': 3}
{'短评内容': '环境不错，酒店自助餐是亮点。', '短评打分': 3}
{'短评内容': '每次去盐城都住金陵，环境和服务都不错，早餐也合口。\n', '短评打分': 5}
{'短评内容': '性价比 不错的酒店 环境也不错 服务也很好 在这样的二县城市 有这样的酒店和服务 是很好了', '短评打分': 5}
{'短评内容': '地理位置与内部设施均不错，就是价格还可以便宜点就好了。', '短评打分': 5}
{'短评内容': '一般，服务态度可以，但交通不是很方便，酒店餐饮不怎么样，比较吵利于休息。', '短评打分': 1}
{'短评内容': '价格还算实惠，酒店坏境也好，出行也方便，距离汽车站比较近，打车也就10元', '短评打分': 5}
{'短评内容': '非常好，比扬州金陵好', '短评打分': 3}
{'短评内容': '老酒店，房间内有无线网络。\n房间内的地毯斑斑点点，该换新的了。\n中餐厅服务一般，菜品一般。\n前台、门童服务热情。\n枕头可选择，很舒适。\n毛巾和浴衣有点硬。\n淋浴室内的防滑垫太脏！！！\n有直饮水龙头，提供直饮水，但是龙头漏水并且出水量小。', '短评打分': 5}
{'短评内容': ' 基本符合五星条件，但早餐不够丰富。', '短评打分': 3}
{'短评内容': '地段很好。紧挨着市政府大楼。而且后面正在修建酒店的二期工程。前台服务人员比较热情，还主动询问了对酒店有什么意见。\n然而，一踏进我们入住的房间，里面一股“脏袜子”的味道令我们立刻失去了体验这间“五星级”酒店的乐趣。不知道金陵集团是如何进行管理的？总之，相比其他城市的五星级酒店，这家五星级的差距是比较大的。', '短评打分': 1}
{'短评内容': '环境不错，早餐很美味', '短评打分': 3}
{'短评内容': '五星级酒店比较舒服，价格也不太贵，适合入住', '短评打分': 5}
{'短评内容': '来盐城必住这里，房间很大，服务很好。就是过年前入住交通不太方便，打车打很久，礼宾部冒着严寒跑到街上拦车，感动一下~', '短评打分': 5}
{'短评内容': '盐城的5星酒店充其量最多苏南的4星，早餐不怎么样，其他就那样吧', '短评打分': 5}
{'短评内容': '不知为什么，酒店提供的电热壶，水烧开后静置5分钟内水上就会浮现一层水锈。不知是壶不好还是水不好？每次都是这样的！', '短评打分': 5}
{'短评内容': '地理位置方便，和同一集团下的其他金陵酒店相比还有些差距', '短评打分': 5}
{'短评内容': '当地应该是最好的酒店了，总体感觉还可以，不过似乎还未达到五星的标准', '短评打分': 5}
{'短评内容': '盐城的标志性酒店了！早餐丰富，人流丰富！', '短评打分': 5}
{'短评内容': '早餐还蛮多种的，吃了两碗小馄饨啊~鸡蛋煎得效率很高，是好员工', '短评打分': 5}
{'短评内容': '老牌酒店，设施不旧，地段也不错，还有什么好苛求的呢', '短评打分': 5}
{'短评内容': '当地最好的酒店，相比一线城市5星酒店比服务还有差距。', '短评打分': 5}
{'短评内容': '服务非常到位。晚间在床头准备了水跟杯子，帮客人把牙刷去了包装放在杯中，这些细小的服务充分体现了酒店的细心服务', '短评打分': 5}
{'短评内容': '在盐城来说算是不错的酒店了，不过硬件方面与其他城市的五星有差距', '短评打分': 5}
{'短评内容': '在盐城总的来说算是不错了，可是入住的时候赶上了什么会议，一楼的小姐把外国人引到比较清幽的金海湾吃早餐，看到中国人就赶到旁边的大厅去 乱糟糟的全是人 很过分', '短评打分': 5}
{'短评内容': '酒店位置不错，服务不错。早餐丰富。下次还来', '短评打分': 5}
{'短评内容': '豪华，干净，服务态度好，离城市中心近。唯一的不足就是不怎么能愿意给叫出租车。', '短评打分': 5}
{'短评内容': '在盐城地区应该是最好的酒店.房间够宽敞，内部设施较齐全，毛巾类的用品看上去都蛮新的。价格适中还带早餐。我们去盐城基本上都会选住驿都。', '短评打分': 5}
{'短评内容': '去盐城都住这里。这次因为大床房没有了，给我免费升级到行政楼层。房间很大，床很舒适，还有水果。早餐也还行。', '短评打分': 5}
{'短评内容': '很好的酒店，服务和地理位置都很好，价格还说的过去！房间的飘窗感觉也不错哦！早饭也不错，很有盐城的特色！', '短评打分': 5}
{'短评内容': '盐城最好的酒店，按说装修啥的也一般，但是住起来感觉很舒服，服务也很好，每次到盐城都入住，50个字到了吗，真麻烦啊，50个字到了吗，真麻烦啊。', '短评打分': 5}
{'短评内容': '多次入住，什么都好，就是价格比金陵VIP卡来的贵。。。。。。。。。。。。。。。。。。。-----------', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '非常好，地理位置也比以前好很多，酒店游泳池比较小', '短评打分': 5}
{'短评内容': 'GOOD HOTEL GOOD SERCICE', '短评打分': 5}
{'短评内容': '这个酒店还不错，住在店里总的感觉还算好。房间不算很大，再宽敞些就和价格配套了。', '短评打分': 5}
{'短评内容': '总体还好，交通方便，就是隔音还要再好点！', '短评打分': 5}
{'短评内容': '盐城最好的五星宾馆，地理位置不错，出行方便。', '短评打分': 5}
{'短评内容': '不愧为盐城最好的宾馆，人气很足，总导致早餐环境拥挤。', '短评打分': 5}
{'短评内容': '所有的服务人员态度都非常好！酒店内部＋房间，整体都很好，推荐。', '短评打分': 5}
{'短评内容': '餐厅的菜做得很棒，使我常常想去吃。 但行政廊差，几乎没有特殊服务， 连早餐都与一般房在一起。 ', '短评打分': 5}
{'短评内容': '环境幽美，光线让人感觉很舒服，服务人员态度很好，泡澡池有浴盐，如果再有牛奶就更好了', '短评打分': 5}
{'短评内容': '本人第一次入住驿都金陵大酒店，给我印象是环境好，干净', '短评打分': 5}
{'短评内容': '早餐人多了，新开了旁边的小厅，花色品种少了。。。还有苍蝇。天热了这方面的管理要加强了！', '短评打分': 5}
{'短评内容': '硬件环境很不错，值得推荐 是盐城条件最好的酒店了', '短评打分': 5}
{'短评内容': '价钱有点贵,环境也还可以,但早餐太差,而且只有一张卷!不是很满意!', '短评打分': 1}
{'短评内容': '不错,比较干净,在盐城这样的酒店值得推荐', '短评打分': 5}
{'短评内容': '酒店不错，价格也不高。是苏北五星级酒店一流。', '短评打分': 5}
{'短评内容': '很不错的一家酒店 同属金陵集团管理 但比盐城迎宾馆位置更好 算是市中心的位置 值得推荐', '短评打分': 5}
{'短评内容': '早餐在一楼,用餐环境还是不错的,种类也很齐全!', '短评打分': 5}
{'短评内容': '房间隔音效果太差点,凌晨5点被隔壁或者楼上吵醒了!比较郁闷!', '短评打分': 5}
{'短评内容': '送水果服务还是蛮满意的,但仅限于首日入住才有,有点不满!与酒店沟通后隔日又送过两次.', '短评打分': 5}
{'短评内容': ' 很不错的酒店，在盐城应该是最好的了，金陵的管理，中规中矩。下次还住。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '应该是当地最好的酒店了，金陵集团管理，服务很好，每次到盐城都住。', '短评打分': 5}
{'短评内容': '总的来说还可以 各方面还符合五星的标准 早餐单份 希望以后能加一份', '短评打分': 5}
{'短评内容': '游泳池很大，很好，金陵饭店不愧是名牌，盐城最好的酒店', '短评打分': 5}
{'短评内容': '一般吧，硬件可以。服务一般。餐厅不错。奇怪的是好房间都是吸烟的。行政层的lounge很差。', '短评打分': 3}
{'短评内容': ' 十这个酒店不错；景观房我喜欢', '短评打分': 3}
{'短评内容': '非常好的酒店，在盐城算最好的了！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '值得一住，在盐城来讲，比起其它的酒店，还算比较好的酒店', '短评打分': 5}
{'短评内容': '盐城最好的酒店，不错！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '出行交通方便，酒店服务设施都比较好。附近餐饮也很多。', '短评打分': 5}
{'短评内容': '很好！干净、环境好，下次到该城市还会去。', '短评打分': 5}
{'短评内容': '不错。盐城没几家像像样样的酒店，马马虎虎算是一家。入住那天正赶上当地出租车罢工！！！\n酒店有接送服务就好了', '短评打分': 5}
{'短评内容': '这家酒店的位置有点偏，其他的都挺好。房间面积大，服务人员服务意识到位。', '短评打分': 5}
{'短评内容': '该酒店环境、服务、购物、餐饮都是一流的。有必要加大对娱乐项目的管理。', '短评打分': 5}
{'短评内容': '硬件一流，服务较差。', '短评打分': 3}
{'短评内容': '出租车很难叫，地方里老城区中心比较远。没有人接送的话就不太方便。', '短评打分': 5}
{'短评内容': '整体环境不错，设施蛮好房间也是挺大的，价格还是算是比较不错。服务态度还是蛮好的。', '短评打分': 5}
{'短评内容': '金陵集团的酒店硬件设施还行。服务也还马马虎虎，没有感到很特别的地方。', '短评打分': 5}
{'短评内容': '不错，服务 和硬件上 金陵的品牌管理还可以', '短评打分': 5}
{'短评内容': '物超所值，值得推荐，尤其是服务亲切，环境整洁。', '短评打分': 5}
{'短评内容': '大堂挺气派。最好有帮助预订出租车服务，那天遇上盐城出租车罢工，差点傻眼了', '短评打分': 5}
{'短评内容': '早饭人太多了，被安排到另外一个小房间，品种缩水了，不过正好我也太胖了，就当减肥无所谓了。\r\n其它都不错，勉强能达到5星标准。', '短评打分': 5}
{'短评内容': '地理位置优越，环境优雅整洁，服务热情周到。', '短评打分': 5}
{'短评内容': '帮同事订的，已经是第二次订了，如果你能接受价格的话，那应该是盐城的首选！', '短评打分': 5}
{'短评内容': '非常好的酒店！！！！！！！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '非常好的金陵连锁酒店，服务好，设施也不错。入住率超高。', '短评打分': 5}
{'短评内容': ' 很好', '短评打分': 5}
{'短评内容': '硬件和服务很好，自助晚餐也不错，值得继续入住。', '短评打分': 5}
{'短评内容': 'hen hao ! hen gan jing ! \r\nfu wu de tai du ye hen hao ! \r\nhen man yi ! ', '短评打分': 5}
{'短评内容': '非常好的金陵酒店。！！！！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '非常好的金陵连锁酒店。！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '服务很周到，服务人员态度都很好，硬软件都比较到位，就是网络接口能多一些就好了，', '短评打分': 5}
{'短评内容': '不是很好， 味道不好 ！ 需要改进， 可能和当地的人有关！ 一本地客户群为主！ ', '短评打分': 3}
{'短评内容': '盐城比较好的酒店， 就是味道不是很好\r\n', '短评打分': 5}
{'短评内容': 'A房的其他设施都还不错，就是卫生间实在是太小了，连转个身都挺困难！', '短评打分': 5}
{'短评内容': '非常不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常好的酒店，价位偏高。', '短评打分': 3}
{'短评内容': '非常好的酒店，价位偏高。', '短评打分': 5}
{'短评内容': '酒店什么都好，就是价格高了。如果你很有钱，那我强烈推荐。', '短评打分': 5}
{'短评内容': '第一次入住金陵旗下的酒店。硬件和软件都不错。去火车站和汽车站比较方便', '短评打分': 5}
{'短评内容': '非常好的酒店，值得推荐。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还很不错，卫生服务也很达标，价格合理适中，位置出行交通方便，整体来讲算是比较不错的酒店。我们去那边一般都入住这家酒店。', '短评打分': 5}
{'短评内容': '盐城最好的酒店了，出差都住在那里。', '短评打分': 5}
{'短评内容': '在盐城是很好的酒店，一般都住这里。各项服务都好。', '短评打分': 5}
{'短评内容': '很好的一家酒店，虽然在入住时遇到一点小问题，单酒店的处理让我非常满意。', '短评打分': 5}
{'短评内容': '酒店的保安素质很低，大堂经理也不太友善，反正够不上五星级酒店的标准', '短评打分': 1}
{'短评内容': '无烟房少，要不到。\r\n早餐可选用的少。', '短评打分': 1}
{'短评内容': '非常好,就是价格有点高.', '短评打分': 3}
{'短评内容': '对盐城当地来说,该酒店是最好的,不过价位有点偏高.不过下次,我还入住该酒店.', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '饭店的自助餐质量太差,简直和价格不成正比,完全是糊弄乡下人的做法', '短评打分': 1}
{'短评内容': '酒店设施交通都很便捷，卫生也挺不错，很舒适。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务不错，就是价格偏高', '短评打分': 5}
{'短评内容': '很好的酒店，价位偏高。', '短评打分': 3}
{'短评内容': '不错的酒店，值得推荐。', '短评打分': 5}
{'短评内容': '非常不错的金陵连锁酒店，服务到位，值得推荐，不过2010年价格有所提高。', '短评打分': 3}
{'短评内容': '非常好的金陵连锁酒店，就是今年价格涨了许多。', '短评打分': 5}
{'短评内容': '早餐品种少了些,健身设施损坏未能得到及时修缮', '短评打分': 5}
{'短评内容': '各方面非常棒,不愧为金陵酒店的老品牌\r\n\r\n', '短评打分': 3}
{'短评内容': '非常喜欢的酒店,感觉温馨\r\n', '短评打分': 3}
{'短评内容': '现在啊\r\n开始涨价了 \r\n还有 21楼的酒廊因为客人太少 没有开', '短评打分': 5}
{'短评内容': '值得推荐的一家酒店', '短评打分': 5}
{'短评内容': '酒店不错，下回还来', '短评打分': 3}
{'短评内容': '酒店好啊，设施好，早餐好', '短评打分': 3}
{'短评内容': '很好，早餐好', '短评打分': 5}
{'短评内容': '不错，早餐好吃', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房灯的开关不好，进门开灯最远就到吧台，还要找半天才找到主室的灯开关。\r\n\r\n淋浴的门底间隙很大，水都流到外面去，洗完澡容易滑倒。\r\n\r\n窗帘隔光效果很好。\r\n早餐好丰富。\r\n\r\n\r\n', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '酒店环境很好， 交通也方便， 服务热情， 尤其是客户关系主任史明珠，在我们入住的第二天早晨，我们要了辆出租车，她关心的询问了我们去哪里，我们顺便说了肚子不舒服，去医院。 我们回来的时候在大厅正好看见了史小姐，寒暄了几句后问我们又没用早餐，那时早餐已经结束了，史小姐通知西餐厅为我们准备了粥，真的很感动，觉得很有心。以后去盐城肯定住驿都。', '短评打分': 3}
{'短评内容': '卫生，性价比高', '短评打分': 3}
{'短评内容': '比较不错，性价比高。', '短评打分': 5}
{'短评内容': '盐城市最好的酒店，无论是环境还是服务态度，强烈推荐', '短评打分': 3}
{'短评内容': '交通方便，只是早餐一般', '短评打分': 5}
{'短评内容': '酒店整体来说算是比较不错的，中上等，感觉没有开元好，不过他们的硬件和服务条件也都算是不错的，位置也比较方便。', '短评打分': 3}
{'短评内容': '同事说，没有上海的五星级酒店好，不过，可能在当地算是不错的酒店了吧。', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '硬件设施在盐城来说算是不错的了，但位置离市中心有点远。价格稍微有点高。', '短评打分': 5}
{'短评内容': '早餐双份，宽带免费，地段不错，服务态度也好。价位稍微偏高。', '短评打分': 5}
{'短评内容': '隔音效果不是很好，喜欢睡懒觉的容易被早起的闹醒！', '短评打分': 5}
{'短评内容': '位置虽然离开中心有点远 其实离开高速入口是很近的\r\n\r\n唯一问题 房间里面放餐巾纸的那个 漆盒子 味道还是很重的 油漆味道\r\n还有 一次性拖鞋也是有很重的塑料味道的\r\n这个闻一下就知道了', '短评打分': 5}
{'短评内容': '金陵酒店集团的，各方面都是盐城最好的。离市区较远，不过打车不难。遗憾的是网上订酒店不能享受金陵的积分和会员优待，此点非常不满意。', '短评打分': 5}
{'短评内容': 'I think it is the best hotel in Yancheng. ', '短评打分': 5}
{'短评内容': '酒店的很新，设备很好，价格也不贵，商务套很好，西餐厅的晚饭也不贵，服务很好', '短评打分': 3}
{'短评内容': '物有所值！', '短评打分': 5}
{'短评内容': '属于金陵集团，该酒店较新，硬件和服务完全能达到5星标准。住过苏南其他金陵集团的饭店，如果是老店那么硬件有落伍的感觉。普遍感觉国内的酒店在如何保持领先方便不如国外的酒店。但是这家还是不错，非要找一点缺点的话，位置不在老市区。早餐也不错。性价比还是比较高的。', '短评打分': 5}
{'短评内容': '服务很好,我没想到盐城有那么好的酒店。健身房,游泳池都很不错。', '短评打分': 5}
{'短评内容': '酒店的各个方面都还不错，只是房间里还有些味道。', '短评打分': 5}
{'短评内容': '酒店的性价比挺好，设施条件挺好，我一般出门对酒店要求是舒适为主，这家酒店符合的要求', '短评打分': 5}
{'短评内容': '在酒店前台办理入住和退房时，服务员快速、有礼貌，比较专业。一路碰上酒店员工都能主动微笑着问好。客房特别是卫生间都不算大，但整洁。房间里的空调算是比较静音的，所以休息得比较好。', '短评打分': 5}
{'短评内容': '酒店的位置非常好,出行很方便.环境设施比较不错卫生服务也很好.', '短评打分': 5}
{'短评内容': '酒店的环境设施都挺好的就是价格有些偏高了.', '短评打分': 5}
{'短评内容': '性价比很高，十分不错的酒店，自助餐也不错。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
