{'短评内容': '非常好也方便', '短评打分': 5}
{'短评内容': '酒店位于人民公园西门外，闹中取静。入住速度快，服务态度好，设备七成新。但是有些地毯和卫生间的死角不大干净。总体比较满意。而且离宽窄巷子很近，我走路比较慢，也只花了十一分钟。酒店大堂就有康辉旅行社，方便出游哦。', '短评打分': 5}
{'短评内容': '住一晚，然后乘机去了九寨沟，车在酒店后停了3天，免费，超值！', '短评打分': 5}
{'短评内容': '住的安逸，酒店位置很好，楼下的饭店味道不错！', '短评打分': 5}
{'短评内容': '房间比较宽敞，是按要求预留的楼层，安静，只是没有送矿泉水！', '短评打分': 3}
{'短评内容': '房间很大，就是网速太慢。', '短评打分': 3}
{'短评内容': '5.23到时停热水，28日走那天停电！我可真够倒霉的。不过这里的环境很方便，休假来成都休假建议住在这', '短评打分': 5}
{'短评内容': '不错环境满方便的。', '短评打分': 3}
{'短评内容': '酒店服务员态度不错，环境嘛也还可以，去哪里都方便！第4次入住这个店了！ \n', '短评打分': 5}
{'短评内容': '酒店服务员态度不错，环境嘛也还可以，去哪里都方便！第3次入住这个店了！ \n', '短评打分': 5}
{'短评内容': '交通比较方便，闹中取静，内部也还是不错。值得推荐', '短评打分': 5}
{'短评内容': '房间很好，也很安静，离宽窄巷子很近', '短评打分': 3}
{'短评内容': '环境不错，离人民公园很近，价格也便宜。。不错。。', '短评打分': 5}
{'短评内容': '酒店服务很好，就是不太隔音，能听到隔壁房间很吵的很声音，别的都很不错', '短评打分': 5}
{'短评内容': ' 酒店不错，闹中取静，性价比高', '短评打分': 3}
{'短评内容': '位置很方便，距地铁走路10分钟左右就到了。隔壁就是人民公园，当然，步行5分钟就到了小资、伪小资、以及看不起小资们的文艺青年最爱的宽窄巷子。房间比例适中，装修装潢类似于上世纪90年中期的国内二线城市的三星级酒店。很好，我推荐。只是建议若对空气有较高要求的童鞋们不要选择靠停车场低楼层的房间，因为，每当早中晚餐时间，一楼厨房的油烟会将你叫醒。', '短评打分': 5}
{'短评内容': '酒店服务员态度不错，环境嘛也还可以，去哪里都方便！第二次入住这个店了！', '短评打分': 5}
{'短评内容': '还行，离宽窄巷子比较近，设施一般。占字符占字符占字符占字符占字符', '短评打分': 5}
{'短评内容': '此酒店位于市中心，距离地铁站很近，交通便利。酒店舒适，设备齐全，但是房间偏小，不过不影响。', '短评打分': 5}
{'短评内容': '环境较好，预定方便，服务较好，下次还会预订', '短评打分': 5}
{'短评内容': '服务较好，地理位置较好，房间空间不大，价格实惠', '短评打分': 5}
{'短评内容': '很干净整洁，不错。。离市中心也不远，算是个比较新的酒店。', '短评打分': 5}
{'短评内容': '人民公园旁边，中心地带，公车地铁很方便 不吵。还不错哈。', '短评打分': 5}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '酒店地理位置很好,也很安静,住得还算舒服.\r\n希望服务更完善一些,没有给旅客准备电吹风,前台也没有,多数服务员态度都比较好,有一位爱理不理的,让人不是很爽', '短评打分': 5}
{'短评内容': '酒店位置还是不错，可以走路到宽窄巷子、人民公园，不远处也有53路车可以直接坐到盐市口（天府广场），回程的车站据说有点远，我们是走路回酒店的。\r\n酒店的服务很一般。在前台办理入住手续花的时间太长；打电话到总台想借用一下小刀，说没有，借打火机，也说没有。\r\n设施方面，房间内网线插口的位置设计得很奇怪，不是在桌子附近，而是在房间的角落，只能将笔记本放在腿上操作，很不方便，而且插口处可能是松动了，老是掉线', '短评打分': 5}
{'短评内容': '非常棒！', '短评打分': 5}
{'短评内容': '+还是不错', '短评打分': 5}
{'短评内容': '+不错，地毯该修了', '短评打分': 5}
{'短评内容': '+房间还比较宽敞，出行方便，前台态度好，比较干净', '短评打分': 5}
{'短评内容': '总的来说还是不错的。。。。。提前打个电话还可以帮忙酒店延时', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '酒店挺安静，也挺干净，感觉挺舒适的。', '短评打分': 5}
{'短评内容': '酒店挺不错，位于市中心，出行挺方便。房间里挺干净，设施也齐全，住挺满意。', '短评打分': 5}
{'短评内容': '空调的声音较大，电视信号不好，卫生间的设施比较差，淋浴区都转不开身。', '短评打分': 1}
{'短评内容': '交通不错  其他的一般吧 对得起这个价格了', '短评打分': 5}
{'短评内容': '总体感觉满意，地方不错，背街也很安静。房间也很干净。就是网速。。\r\n只能白天的时候用。', '短评打分': 3}
{'短评内容': '没有什么特别的感觉。总体来说不错把。', '短评打分': 5}
{'短评内容': '交通方便，位置很棒，但是不知道为何本店不提供早餐，好像其他店都提供吧？不含早不说，怎么价格还那么高呢？高出了同等级酒店不少，希望能够适当降价……', '短评打分': 5}
{'短评内容': '服务方面挺好的，很热情，打扫卫生很及时，卫生间、卧室里都打扫的很干净呢~！', '短评打分': 5}
{'短评内容': '酒店比较新，设施挺齐全，位置也不错，位于市中心，出行比较方便。', '短评打分': 5}
{'短评内容': '房间布置的挺温馨，卫生打扫的很干净，服务也能做到随叫随到，感觉住的挺不错的。', '短评打分': 5}
{'短评内容': '装修的不错，房间布置得也很整洁，而且面积也挺大的，最主要的就是酒店挨着人民公园，环境很好，非常安静。', '短评打分': 5}
{'短评内容': '所处的地段很好，比较繁华，买东西、吃饭都很方便，就是它在一个小巷子里，不是太好找，下次可以拿张酒店的名片给司机看，上面有地图的。', '短评打分': 5}
{'短评内容': '酒店就在人民公园边上，周边有人人乐超市、美术馆还有人民政府都在附近，出差办事很方便。', '短评打分': 5}
{'短评内容': '这家店好像是去年刚开业的，设施都比较新，而且也很干净，位置也好，在市中心呢。', '短评打分': 5}
{'短评内容': '这家酒店的条件比较一般，配置硬件舒适度都只能说是及格，价格也偏高，性价比不合理，出行也不是很方便，那个地段连打车都达不到，不值得推荐入住。', '短评打分': 1}
{'短评内容': '其他都很好，但这个级别的酒店来讲价格偏高', '短评打分': 5}
{'短评内容': '性价比不错，值得推荐\r\n\r\n总体感觉：比一般的经济型酒店档次略高，尤其是其大堂，宽敞明亮，明朝椅，插花，鱼缸很有中国风味道，皮沙发很舒服。据说是最新的一家安逸158连锁店，但没什么装修味道了，刚好有促销，还送早餐，呵呵。 酒店在市中心，到哪儿都近，特别是去宽窄巷子，几分钟就走到了。离武侯祠、琴台路、天府广场都特近。在闹市中心晚上却很安静，有情调。酒店的床很舒服。我们要的大床房，1米8的。洗澡水很热', '短评打分': 5}
