{'短评内容': '不错，下次还会再来光顾的！！！', '短评打分': 5}
{'短评内容': '赶早班机入住该酒店真的挺好的，去机场只要几分钟。', '短评打分': 5}
{'短评内容': '房间干净离机场有点远  打的十元', '短评打分': 3}
{'短评内容': '这里环境挺好，安静，就是第一去可能不太好找，要是有接送服务就更好了', '短评打分': 5}
{'短评内容': '前台服务很好，是新装修的酒店，很干净，而且有 WIFI，包括酒店也设置了无限网络，很适合带笔记本和平板的入住，很方便', '短评打分': 5}
{'短评内容': '酒店环境和设施都挺好的，就是早晨去机场的的士有点黑 ', '短评打分': 5}
{'短评内容': '很不错的，打车到机场五分钟，干净整洁，温馨。', '短评打分': 5}
{'短评内容': '还不错，适合住。而且距离机场超近。不要用酒店那个机场司机，超级贪心要三十。门口就有出租，才十一K', '短评打分': 3}
{'短评内容': '在机场周边的酒店中，算是性价比较高的一家。住宿环境还可以。到机场就是9元钱。', '短评打分': 5}
{'短评内容': '已是再次回来住  真的很不错  要早点预定哦  不然没位', '短评打分': 5}
{'短评内容': '非常干净 温馨，适合乘坐飞机的人住，里机场很近', '短评打分': 5}
{'短评内容': '离机场非常近,打车3分钟可以到,不过司机可能会表现的很不高兴,8元起步费至少得给个10块,可能因为天气原因,房间有点霉味,重庆蚊子很多,记得点蚊香', '短评打分': 5}
{'短评内容': '基本继承了如家的风格，但作为新开酒店，感觉卫生还有需要改进的地方。边上很安静，是个学校。', '短评打分': 5}
{'短评内容': ' 硬件都很好很人性化！离机场很近、价格也在接受范围内、不错不错', '短评打分': 3}
{'短评内容': '酒店很可以，感觉很干净，离机场也不远。但是从机场到酒店打车8元，但是师傅会说我在那排队等了很久，就收10元。然后再从酒店到机场的话，可能是因为我们走的比较早，早上六点左右，出租车没有打表，就15元。', '短评打分': 5}
{'短评内容': '房间有的比较小，但是干净，服务态度也较好。', '短评打分': 5}
{'短评内容': '不错，虽然离机场不是太远，但是因为没有机场接送，所以还是不方便。下次还会选择', '短评打分': 5}
{'短评内容': '是小户型的家的感觉！服务态度也很好！\n很温馨……\n', '短评打分': 5}
{'短评内容': '很好很舒适，卫生环境很不错', '短评打分': 3}
{'短评内容': '酒店服务很好,设施也不错,值得推荐,以后继续支持!', '短评打分': 5}
{'短评内容': '很干净整洁，非常不错，但是没有电脑。', '短评打分': 3}
{'短评内容': '很好哦，就是前台比较忙，去的时候那个帅哥同时接两个电话，都没时间理我们了。。。囧了个囧。。。房间里面比较干净，不过和图片里面的床单不是一样的，图片上的是红的，实际是淡绿的，还是很清爽的。厕所里面东西很全的，洗澡间是和坐便是可以用帘子隔开的，还有吹风机可以吹头发，还是不错的。。最可爱的是坐电梯是要用房卡刷下才可以的，这个感觉比较安全一点。总体来说，没有太惊艳的感觉，但是性价比比较高。。。ps，我住的', '短评打分': 5}
{'短评内容': '环境很舒适，毛巾都很干净，就是有些装修的味道，还好天气热开窗睡倒也还好。离机场很近，周围吃饭也很方便干净，适合懒人赶早晨的飞机', '短评打分': 5}
{'短评内容': '离机场很近，大床房很舒适，睡眠环境也挺安静。推荐，适合飞机在凌晨到去入住的人。', '短评打分': 5}
{'短评内容': '环境和服务都蛮好。特别是因为新店，所以毛巾浴巾又白又软很舒服，好。', '短评打分': 5}
{'短评内容': '干净，方便，离机场距离近。不过房间内装修的味道很大。', '短评打分': 5}
{'短评内容': '离飞机场很近，住宿方便\n后面有小吃一条街吃饭也很方便\n如家干净卫生，大床房也住的舒服·', '短评打分': 5}
{'短评内容': '酒店离机场很近，可以慢慢散步过去。客服人员态度很好，对待客户很有耐心。酒店内部设施齐全，干净卫生。特别提一个，网速相当快哦。', '短评打分': 5}
{'短评内容': '离机场很近，适合睡懒觉的人，一如既往的支持。', '短评打分': 5}
{'短评内容': '新装修的很干净 也安静 旁边就是一个小学 离机场也挺近的很方便 就是一大早被出租车给坑了...................', '短评打分': 5}
{'短评内容': '宾馆人员服务态度不错，离二路的商业区不到1公里，步行10分钟左右。', '短评打分': 3}
{'短评内容': '如家酒店的标准风格，临街房间夜间比较噪，卫生和服务都可以。？', '短评打分': 3}
{'短评内容': '环境不错，设施齐全，价格合理，离飞机场挺近。', '短评打分': 5}
{'短评内容': '不错，挺干净，离机场较近，工作人员也特别热情。', '短评打分': 5}
{'短评内容': ' 成功入住，感觉超值。房间设备新且干净，距离机场不远。管理也到位，开房后到楼层，服务员已把房门打开；进电梯上楼要刷房卡，感觉很安全。', '短评打分': 3}
{'短评内容': '价格实惠，环境很好，干净安全，最重要离机场也很近', '短评打分': 3}
{'短评内容': '定了两间房,再次评价这酒店值得住,新装修的,干净卫生,顺便说一句:酒店随机有检查打扫卫生情况的监督员，询问顾客满意不...这细节我只在如家遇到过。', '短评打分': 5}
{'短评内容': '装修温馨,网速快,服务态度好,隔音,性价比高,唯一不足就是机场的士不知道附近怎么走,在的士出机场交单时一定记得问下那个机场的收单员路怎么走,我就是靠收单员指路顺利到达的。我一同事没问，结果在的士上兜了半小时多（实际正常时间不超过十分钟）.', '短评打分': 5}
{'短评内容': '离机场很近，周围吃饭的地方也较多，环境也不错，物美价廉！', '短评打分': 5}
{'短评内容': '酒店干净、简洁，不错！走路到机场大约需要20分钟，周边吃东西还算方便。', '短评打分': 5}
{'短评内容': '作为一家商务酒店还算不错，价格比较合理，就是有的标准间太小。离江北机场不算太远，但是因为没有免费接送，所以需要打车。', '短评打分': 5}
{'短评内容': '返现速度快。。。物超所值。。值得推荐。。这样的价格这样的房间很值得', '短评打分': 5}
{'短评内容': '不错哦，管理很到位，房间很干净！', '短评打分': 3}
{'短评内容': '新店挺干净的，还不错呀', '短评打分': 3}
{'短评内容': '酒店环境不错干净卫生，离机场近周边吃也方便。就是过道隔音效果差。', '短评打分': 3}
{'短评内容': '还不错，离机场很近。各方面服务都不错。前台服务态度也不错啦', '短评打分': 5}
{'短评内容': '气味比较大，靠马路比较吵，其它挺好。', '短评打分': 3}
{'短评内容': '差点迟到了，还好离机场近，推荐睡懒觉赶飞机的朋友入住，哈哈', '短评打分': 5}
{'短评内容': '新酒店，设备新，服务好！比较安静！', '短评打分': 3}
{'短评内容': '在5.30_5,31入住重庆如家宾馆双凤店305.308,301三间二天大床房。入住人徐志富、臧权同、关庆华。', '短评打分': 3}
{'短评内容': ' 环境不错，很安静，外面空气也很好', '短评打分': 3}
{'短评内容': '还不错，新装修的，一切都是新的，就是希望一如既往的保持。房间比较干净，离机场较近，打车不到10分钟就到了，只要不到10块钱，下次赶机再继续住这儿。', '短评打分': 5}
{'短评内容': '帮朋友订的，房间干净整洁，唯一不好的是房间没有茶叶包，要是对网订的房间配一两包小茶包就更好了。', '短评打分': 5}
{'短评内容': '﹢房间设施很新，奇怪的是空调不给力，不知道是不是缺氟了，风不小但不冷。进入房间后觉得另一间更好要求更换，前台人员很不耐烦。总体还好。', '短评打分': 3}
{'短评内容': '离机场很近，附近交通也非常方便，有公交车直达上清寺，朝天门，观音桥。非常可喜的一点是服务态度很好，是在重庆住的服务态度最好的酒店之一。内部设施也很新。', '短评打分': 5}
{'短评内容': '还不错就是大床房房间有些小，装修味道重', '短评打分': 3}
{'短评内容': '如家依然温馨，新开业的酒店，入住时有优惠。\n离重庆江北机场很近，打车基本起步价就能到。\n酒店位置在渝北区政府对着的双凤路上，向南300米，有的司机不知道位置。', '短评打分': 5}
{'短评内容': '干净，舒适，交通便利，离机场近。附近比较繁华', '短评打分': 5}
{'短评内容': '干净，房间环境很好，很漂亮，地理位置很方便，服务好，极力推荐。', '短评打分': 5}
{'短评内容': '不错，前台服务人员态度非常好，房间很干净，东西也很新，离机场也很近，总体不错！', '短评打分': 5}
{'短评内容': '一如既往的温馨如家的感觉。一百分满意!', '短评打分': 3}
{'短评内容': '新开业的酒店，很新，很干净，稍微有点装修的味道，但不大。住进去和离开时遇到的服务员态度都很热情，很好，我接人飞机晚点，和前台讲晚退房也可以，去机场走着也不远，门口有很多小饭店，吃东西也很方便。', '短评打分': 5}
