{'descr': '房间略小', 'star': 4}
{'descr': '每次去淮安都住这家宾馆，感觉很好，干净方便，前台服务态度也很好', 'star': 5}
{'descr': '与其他锦江之星相比酒店稍显旧一些，包括毛巾等不是很新的，但是空调不错，还是大金的，可见锦江之星在软硬件上是下了一些功夫的。', 'star': 5}
{'descr': '算锦江的平均水平，没有什么特点（就是没有优点，也没有缺点）。', 'star': 5}
{'descr': '我很喜欢锦江之星！', 'star': 5}
{'descr': '房间很干净，卫生和设施还不错，服务是挺好的，它这个位置实际是有点偏的，整体的感觉还是很不错的', 'star': 3}
{'descr': '酒店周围的环境稍微差了点,但内部环境还可以,比较整洁,不过针对它位置环境来讲,价格还是有些高的.', 'star': 3}
{'descr': '有点冷。。。', 'star': 5}
{'descr': '服务很满意，卫生条件还可以，只是卫生间有些霉味，不过，洗过一次澡就没味了', 'star': 5}
{'descr': '本身就是属于快捷酒店，所以没有太多的要求，就那样吧，不过房间的卫生条件还可以，没有遇到什么问题。', 'star': 3}
{'descr': '酒店内部餐厅，吃饭不方便，价格在当地还算是不便宜，卫生条件还可以', 'star': 1}
