{'短评内容': '酒店很大，位置也不错，就是稍微有点吵，设备有些旧了', '短评打分': 5}
{'短评内容': 'vvvvvvvvvvvvvvvvvvvvv', '短评打分': 1}
{'短评内容': '临近商业区，出行购物方便，但酒店环境实在一般，不但没有早餐，室内还有霉味。', '短评打分': 1}
{'短评内容': '非常不推荐这家酒店，金叶阳光大酒店让我非常失望：\n1、前台服务态度差。我在前台续刷房卡，服务员手头还真利索，刷完卡“拍”的一声就扔在了前台上，而且距离我还很远，哎。。。。。真是无语；\n2、餐厅消费号称可以挂房费。本人一个人到餐厅吃饭，要一了一个“面筋”一个“刀削面”，在餐厅结账时我说挂房费吧，然后让我非常吃惊的一幕出现了，就听餐厅前台服务员说“吃了这么点，还挂房费，有病啊”，当然真要晕那了，这个咱', '短评打分': 1}
{'短评内容': '离机场巴士站点较近，朝马路边的房间较好，没有那么压抑的感觉，另外酒店房间内装修和家具都一般，电视还不是平面的，但是如果只是停留一晚的话，考虑地段，性价比还是可以的', '短评打分': 5}
{'短评内容': '房间有点小，设施一般，价格也很一般，周围环境还行。离汽车站和火车站比较近，出行方便，而且有去机场的大巴车。', '短评打分': 5}
{'短评内容': '性价比很高，是呼和浩特最中心的地带，离机场大巴始发站不行两百米，非常方便。', '短评打分': 5}
{'短评内容': '给朋友代定的，据说还可以，在新华广场对面，坐机场巴士比较方便', '短评打分': 5}
{'短评内容': '房价很实惠，但是房间有点干燥，隔音不太好，别的还可以', '短评打分': 3}
{'短评内容': '呼和浩特金叶阳光大酒店房间不错，比较干净，服务也挺好，就是水不是很热，洗澡有一点冷', '短评打分': 5}
{'短评内容': '位置很好，环境不错，冬季房间很温暖，水很热，性价比不错。', '短评打分': 3}
{'短评内容': '房间不错，比较干净，到，服务也挺好，就是水不是很热，洗澡有一点冷', '短评打分': 3}
{'短评内容': '呼和浩特金叶阳光大酒店的地理位置很好，在呼市的市中心，第一次去呼市，坐飞机过去的。从机场坐机场大巴基本上直接到酒店前面。很好找。', '短评打分': 5}
{'短评内容': '呼和浩特金叶阳光大酒店环境不错，位置很好，性价比不错，过一个街，就到机场大巴停的地方了', '短评打分': 5}
{'短评内容': '环境不错，位置很好，性价比不错，过一个街，就到机场大巴停的地方了', '短评打分': 5}
{'短评内容': '各方面都挺好的，值的入住…', '短评打分': 3}
{'短评内容': '位置很不错，就是冬天有点冷，希望能改善一下', '短评打分': 5}
{'短评内容': '房间太贵,我12月二十五日如住五楼126元,十六日如住二楼,180元!', '短评打分': 3}
{'短评内容': '还可以吧！', '短评打分': 3}
{'短评内容': '呼和浩特金叶阳光大酒店的地理位置很好，在呼市的市中心，第一次去呼市，坐飞机过去的。从机场坐机场大巴基本上直接到酒店前面。很好找。住的是景观房，视野很好。对面就是新华广场和内蒙古国际大酒店。相同的地理位置但相对经济的价格很难得。在此提几点建议，酒店设施有些陈旧，服务需进一步提升。房间面积偏小，洗漱用品质量一般，特别是洗发水和沐浴液感觉很差~~~~~希望进一步提高~~~~', '短评打分': 5}
{'短评内容': '房间设施一般，服务挺好，比较干净！在这个价位比较合适，推荐', '短评打分': 5}
{'短评内容': '   很不错```就是有点冷 ```   服务态度好```', '短评打分': 5}
{'短评内容': '稍微有点旧，隔音一般，楼道走路都能听到，热水很好！', '短评打分': 5}
{'短评内容': '已经是第二次入住了 感觉依旧性价比不错 地理位置尤其优越 元旦购物啥的特别方便 可以接受', '短评打分': 5}
{'短评内容': '不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '凑合 位置好~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '该酒店离火车站比较近,交通方便,酒店的早点有些简单,建议增加一些花样.', '短评打分': 5}
{'短评内容': '房间光线不好有潮味', '短评打分': 5}
{'短评内容': '总体还行  就是我们已经入住了  但是服务员还敲门问有人吗  我很理解不了', '短评打分': 5}
{'短评内容': '不太满意', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 5}
{'短评内容': '房间太小啦!还有前台男服务员的态度太差劲啦!', '短评打分': 5}
{'短评内容': '位置好,方便出行.其它各方面条件也不错,综合来讲还一家很好的酒店.', '短评打分': 5}
{'短评内容': '进到房间后的第一感觉就是设施稍显陈旧，卫生状况和如家、锦江之星等相比明显低着一个档次。要求信用卡担保却不让刷卡结账，理由是刷卡机坏了。总之没有宾至如归的感觉。以后不会再住这家酒店。', '短评打分': 1}
{'短评内容': '酒店的环境还不错，卫生设施都还可以，服务态度价格都还行，', '短评打分': 5}
{'短评内容': '管理粗放', '短评打分': 1}
{'短评内容': '房间面积小，卫生差，设施一般，价格高，地理位置还可以。', '短评打分': 1}
{'短评内容': '价格比较有优势，房间也是非常干净舒适的。', '短评打分': 5}
{'短评内容': '住着还可以，就是床中间凹进去了些，其他都很好。', '短评打分': 5}
{'短评内容': '位置还是很好找的，卫生挺干净，价格说实话也不贵服务也挺好挺满意的。', '短评打分': 5}
{'短评内容': '酒店地处繁华地段，步行就到购物街，距离车站很近非常方便的地段。', '短评打分': 5}
{'短评内容': '酒店卫生处理的很好，很彻底房间看起来干净舒适。', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，房间很干净，配套设施完善，服务周到，下次如果来附近外出还会入住的。', '短评打分': 5}
{'短评内容': '酒店的服务很好，无论前台还是客房态度都非常专业热情。', '短评打分': 5}
{'短评内容': '我感觉房间面积没有介绍的那么大，卫生打扫的都是干净的，设施方面可以，这家酒店也没有早餐提供，感觉不是很方便，酒店位置还不错，位于繁华地带，周边餐饮购物挺多的，交通也很便利。整体感觉还可以。', '短评打分': 5}
{'短评内容': '酒店的硬件配置设施齐全。环境基本达标。', '短评打分': 5}
