{'短评内容': '一般般，性价比还算可以，毕竟价格在那里。', '短评打分': 4}
{'短评内容': '空调真的太吵， 厕所还堵的。。。。不过服务态度很好~~·', '短评打分': 5}
{'短评内容': '说实话给的那间房真的不好，热水小，空调温度打不上去', '短评打分': 5}
{'短评内容': '服务不好，入住办理时间太长了，不放便，不推荐该酒店', '短评打分': 1}
{'短评内容': '办理的时间太长了，等不起，既然预订却要在酒店等半天，服务不好', '短评打分': 1}
{'短评内容': '服务不好，在网上订的房间要等到很晚才给你', '短评打分': 1}
{'短评内容': '在网上面定酒店的目的就是为了放便一点，但是到该酒店办理入住时却等了半天才有房间，而不预订的客人一到就有房间，该酒店服务不好。', '短评打分': 1}
{'短评内容': '干净，方便，出门就有超市，肯德基，匹萨店。', '短评打分': 5}
{'短评内容': '   一如既往的喜欢，就是空调很吵，灯光有点暗~~~~~', '短评打分': 5}
{'短评内容': ' 不错，设备还算新，环境也行', '短评打分': 3}
{'短评内容': '蚊子多…晚上吵，隔音差，皮蛋粥不错', '短评打分': 3}
{'短评内容': '不错的酒店，早点还行，中午在那吃的牛排非常棒，物美价廉', '短评打分': 5}
{'短评内容': '服务态度满意，房间设施比较齐全，周围交通方便', '短评打分': 5}
{'短评内容': '还可以。位置还不错。房间也挺大的，比想像中好。', '短评打分': 5}
{'短评内容': '居然是复式楼，在国庆节日和旅游景点附近，这个价格相当值了', '短评打分': 5}
{'短评内容': '设施简陋、热水流量很小，早餐更是难以下咽，酒店性价比极低。', '短评打分': 1}
{'短评内容': '总体感觉一般，卫生间有点小，洗脸池在房间内，感觉格局不是很好！', '短评打分': 5}
{'短评内容': '性价比比较高，处在市中心，周围设施很方便', '短评打分': 5}
{'短评内容': '地理位置极佳，临街的房间比较吵，最好采取措施进行整改。', '短评打分': 5}
{'短评内容': '隔音不错,地处闹市,出行方便,就是停车位紧张.', '短评打分': 5}
{'短评内容': '十住宿条件不错服务热情但早饭很差品种太少数量不够', '短评打分': 3}
{'短评内容': '＋这里的环境真不错，还在闹市区，虽然空间有一点点小，整体还是很不错的！极力推荐这里  还有，网上预定，性价比很高！', '短评打分': 3}
{'短评内容': '酒店位置不错，房间有点小，但是小温馨，还不错', '短评打分': 3}
{'短评内容': '还可以的还可以的还可以的还可以的还可以的还可以的还可以的还可以的还可以的还可以的还可以的还可以的还可以的还可以的还可以的', '短评打分': 5}
{'短评内容': '还可以的还可以的还可以的还可以的还可以的还可以的还可以的还可以的还可以的还可以的', '短评打分': 5}
{'短评内容': '酒店从预定到入位到退房都非常满意', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '环境不错。在市区。方便购物。都蛮好的。床也蛮大的。隔音效果也不错，还是让，大家都喜欢。适合小情侣做。', '短评打分': 5}
{'短评内容': '＋没电脑，不给力', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '环境很好，服务也挺好，就是免费早点开放时间太短，我在那里住了几天一次早餐都没吃到，还有那里的点餐服务还有时间限制而且没有夜宵的。', '短评打分': 5}
{'短评内容': '地段好，床够大，价格适中，服务也还行，就是房间有点小', '短评打分': 5}
{'短评内容': ' 挺好', '短评打分': 3}
{'短评内容': '卫生不错的，地理位置好，服务好，就是为什么订的时候说双早，但是就给我一张。。 ', '短评打分': 5}
{'短评内容': '房间的设施不错，卫生间很干净，去前台是要求安排有窗的房间，也能得到很好的回复。就在市中心，出门很方便。总体来说性价比不错，唯一可惜的就是早餐……', '短评打分': 5}
{'短评内容': '环境ok，以后还要去。最重要的是交通方便。而且啊，早餐还挺丰富的。', '短评打分': 5}
{'短评内容': '每次來都住這裡．．．．．．．．．．．．．．不錯不錯~！！', '短评打分': 5}
{'短评内容': '位置很好，但是装修比较旧了，晚上睡觉比较吵，窗户很小', '短评打分': 5}
{'短评内容': '房间很舒适很干净', '短评打分': 3}
{'短评内容': '挺不错的 。。。住了很多次了，就是价格涨的太快了 。。。。。', '短评打分': 5}
{'短评内容': '酒店在市中心，交通、逛街是非常方便，楼下酒是牛排馆。', '短评打分': 5}
{'短评内容': '这次不好，窗户都没有了。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '5楼水很小，窗户也是一点点大，还没有窗帘。早饭太差了，去的很早前台竟然说只剩一间房。', '短评打分': 1}
{'短评内容': '地理环境很好，屋内设施也很好，我住的是标准大床房，室内空间很大，很舒服，值得推荐~~', '短评打分': 5}
{'短评内容': '绍兴豪尚豪商务酒店环境、设施、服务都不错，交通也很方便，适合旅游入住，总体很好！', '短评打分': 5}
{'短评内容': '环境不错，地段也还行，关键是服务员态度很好。总体来说还算满意。', '短评打分': 5}
{'短评内容': '早餐太差了，服务态度也不好，搞的自己很牛逼一样。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '不错！要是小床房窗户能在开大一点就好了.总台服务再快一点 其他没意见了啊', '短评打分': 5}
{'短评内容': '很好～很满意～', '短评打分': 3}
{'短评内容': '服务态度以及环境各方面都很好。就是床有些软，睡得有点酸。但总体还是很好，值得推荐。。', '短评打分': 5}
{'短评内容': '地理位置比较好，但房间里面不是很干净，然后早饭也超级差', '短评打分': 1}
{'短评内容': '太吵了，而且五楼小窗户没有窗帘，其他还好', '短评打分': 3}
{'短评内容': ' 酒店位置很好，离咸亨酒店7分钟步行，鲁迅故居10分钟。住的大床房，靠床的，由于靠马路，有点吵，别的都不错，推荐', '短评打分': 3}
{'短评内容': '干净，空间大！住的是靠路边的小床房，不错！会推荐！', '短评打分': 5}
{'短评内容': '酒店位置相当不错，离主景点很近。酒店比较干净，但大厅还不够档次，价格稍贵。', '短评打分': 3}
{'短评内容': '酒店位于市中心,交通便利，购物及去各景点都挺便捷。前台服务态度较好.房间比较干净.因为听说靠马路的房间比较吵,所以要了另一边的房间,还比较安静.只是地毯显得较脏,早餐品种较少.', '短评打分': 5}
{'短评内容': '酒店交通比较方便，购物去各景点都还挺便捷。不过酒店的设施比较旧。而且还住了个无窗房。空气不流通。', '短评打分': 5}
{'短评内容': ' 酒店位于闹市区,泊车位很少,停车很不方便.不过房间还算干净,不靠马路的房间虽然没窗但很安静', '短评打分': 3}
{'短评内容': '地点还可以，门面很小，不太好找；虽然设施老旧，但是该有的基本都能保证，网速比较快的；过节的关系吧，check in等了半个多小时才处理好；免费的早餐内容非常少，基本可以说没有什么吃的；最让人不能理解的是，床单上的污渍需要额外收取费用，难道房间费用不包括这些洗涤的费用吗？！入住的朋友，请注意好你们的屁股和脚，否则是要额外消费的。。。', '短评打分': 1}
{'短评内容': '交通要道，距离老城，鲁迅纪念馆各10分钟路程步行。临马路侧有噪声，停车有限。', '短评打分': 3}
{'短评内容': '一、222房间渗水\n二、部份房间被单更换不及时\n三、早餐不但差，更是差，连碗具也没有，吃的东西一样也没有，提醒了服务员、提醒了总台，总算来了一点东西\n四、沿路汽车声音响得厉害（这不是服务的问题，也不算酒店的错，但客观存在，请作好思想准备）\n五、第一天泡的茶水第三天走的时候也没清理\n六、部份设置添加不及时或不到位，如拖鞋等\n七、提醒：入住时和每天都要核对酒店放置的毛巾等，并不时清点，否则的话赔钱没商', '短评打分': 1}
{'短评内容': '  我记的我从贵网站订的是标间，怎么变成大床房了。', '短评打分': 3}
{'短评内容': '*', '短评打分': 3}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '交通非常方便，购物也很方便，吃饭也很方便，房间内豪尚豪可以送餐，服务很好，价格也很便宜，绝对值得旅游入住！！', '短评打分': 5}
{'短评内容': '好的，合乎他的的价格，会介绍朋友这家酒店的', '短评打分': 5}
{'短评内容': '＋住在马路边有点吵，窗户有一条缝，合不起来。前台服务态度不错，问她要一把椅子，很快就拿来了。', '短评打分': 3}
{'短评内容': '住宿环境还可以，但是，房务清扫类的工作人员素质不是很高。希望是清洁阿姨配合客人的时间而不是要客人随时配合阿姨的时间。', '短评打分': 5}
{'短评内容': '走廊灯光比较暗，地毯看起来有点脏，不知道是不是地毯的颜色比较暗沈的原因。房内装修不错，挺明亮的。最特别是洗手盘安装在房内而不是厕所里。', '短评打分': 5}
{'短评内容': '除了早餐种类太少了点，以及服务态度有一点不够以外，其它都还不错。房间比较干净，空间比较大。', '短评打分': 5}
{'短评内容': '在人民路与解放路交汇处，早上有点吵，服务质量不错，免费早餐提供，早餐种类稍微有点少，如果去晚了，很可能没有了', '短评打分': 5}
{'短评内容': '  还行吧  本来的大床变双标了  郁闷', '短评打分': 3}
{'短评内容': '交通很便利，离鲁迅家，咸亨酒店，沈园都很近，条件凑合，不足的就是邻街窗隔音不太好…', '短评打分': 3}
{'短评内容': '不错，蛮干净的，服务也很好，值得一住。门口牌子有点小，找了老半天。', '短评打分': 5}
{'短评内容': '挺好的，干净舒适，马路边吵了一些，服务态度也好，自助早餐也比较丰富。', '短评打分': 5}
{'短评内容': '\n很干净，设计的好，路边，噪音挺严重的', '短评打分': 3}
{'短评内容': '服务不错,环境也不错,就是卫生间的格局设计的不合理,总体来说还是不错的,下次去还住这家酒店', '短评打分': 5}
{'短评内容': '价格实惠，装潢很新颖，独特，不过靠马路那边实在是太吵了！', '短评打分': 5}
{'短评内容': '总体感觉还行，就是住的是五楼，水压不够，水有点小。', '短评打分': 5}
{'短评内容': '这家酒店说实话 里面的设施是非常不错的，什么东西都有。而且杯具都是比较新颖的，房间比较宽敞。但是给我的感觉不是很有安全感，而且周围的坏境比较吵杂，隔音确实不怎么滴。所谓的牛排也不便宜么，我只是学生，这个价对我来说还是比较贵的，旁边没有什么小吃的店面。前台的服务人员一点都不专业，早餐就别说了，真是没什么好吃的，一大早起来像去吃个早饭却没有了，上的速度很慢，而且更可笑的是有几个服务员还在那里和我们抢吃', '短评打分': 1}
{'短评内容': '还行\n干净\n靠马路的也能将就，不是特别吵\n', '短评打分': 5}
{'短评内容': '新装修好的酒店 \n里面装修蛮舒服的\n也挺干净的\n不过相对价格也有点高   标间180\n位子就在市中心，离鲁迅故里、电影院、解放路都挺近的。出门比较方便。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '商务酒店搞的像是快捷酒店一样，电脑512的，卡的不得了，而且电脑房全部是靠马路的，像睡在大街上一样，当做快捷酒店住住还可以，如果说是商务酒店，还是差了点。', '短评打分': 1}
{'短评内容': '总体来说还是不错的，本人是凌晨近五点到酒店的，服务态度很好，房间虽小，但是很温馨！', '短评打分': 5}
{'短评内容': '房间总体不错，靠马路的房间比较吵，房间的电脑不带音响，只有耳机，水小且不热', '短评打分': 5}
{'短评内容': '酒店的地毯很软，房间设计小而紧凑，设施齐全，就是隔音效果不好。', '短评打分': 5}
{'短评内容': '房间满干净的，但是洗澡水不够热，水也太小', '短评打分': 5}
{'短评内容': '和人民西的豪尚豪牛排是一伙的，比较好找。酒店应该新装修不久，整体干净明亮，灯光和床铺都温暖舒适，还可以在房间点下面豪尚豪的餐，位置没得说，基本上就在市中心，离主要地标景点近，旅行办事都方便，性价比超好，下次来绍兴还住这。几个缺点需留意，第一由于位置原很多房间临路面因比较吵，有人可能不喜欢。第二是厕所与浴室没做分离，对于一间连厕所消毒剂都有提供的酒店来说还可多考虑细节。第三是早餐比较一般，没有体现和', '短评打分': 5}
{'短评内容': '+这个商务酒店还可以。干净。', '短评打分': 5}
{'短评内容': ' 酒店的地毯很软，房间设计小而紧凑，设施齐全，就是隔音效果不好。', '短评打分': 5}
{'短评内容': '卫生条件不错，就是地方有点小，还没停车场。。。。。。。。', '短评打分': 5}
{'短评内容': '，不错', '短评打分': 5}
{'短评内容': '酒店的地理位置不错，就在市中心，前面有个十字路口，是一条购物街，购物房间，而且酒店有自己的停车场，自驾过来很方便', '短评打分': 5}
{'短评内容': '酒店内部看起来装修的很新，装修的很时尚现代，房间里很宽敞明亮，住着很舒服，整体环境不错', '短评打分': 5}
{'短评内容': '房间打扫的很干净整洁，房间打扫的很干净，采光很好，很通透，服务不错，办事有效率，很及时', '短评打分': 5}
{'短评内容': '隔音真差！！！还有就是和网上说的不一样，就给了一份早餐，虽然我定的是单人房的', '短评打分': 1}
{'短评内容': '位置好，卫生挺不错的，住着蛮舒适的，特别是卫生间干净很喜欢', '短评打分': 5}
{'短评内容': '还可以,就是卫生间太小了,隔音不是很好.停车场还要收费,总台只报销一半的钱.', '短评打分': 3}
{'短评内容': '酒店的门面不是太大,如果不是绍兴本地人我想不太找的到,就是在豪尚豪牛排这里进去,停车是停在杭州大厦地下停车场的,里面设施还可以,就是卫生间有点小，说是09年才开业的,但看起来没那么新,也许是灯光的原因,不过这个价格也还可以。如果要找实惠经济型的酒店，我建议这家酒店可以。', '短评打分': 5}
