{'descr': '价格、卫生、设施一般、地理位置还行', 'star': 4}
{'descr': '房间很干净，环境也不错，离摩天轮很近，性价比高！', 'star': 3}
{'descr': ' 再次入住，房间布局温度调节床上用品都不错，就是卫生间花洒不够配套。推荐。', 'star': 3}
{'descr': '这家是格林豪泰里我觉得最好的，安静，也很干净，就是附近停车收费', 'star': 5}
{'descr': '服务环境都不错', 'star': 3}
{'descr': '  有点小声音', 'star': 3}
{'descr': '离天津之眼很近，酒店比较偏僻，附近没什么设施，晚上去天津之眼以后只能直接回酒店.', 'star': 5}
{'descr': '位置很好，很安静，离天津之眼、古文化街也非常近，溜达溜达就到了。房间有点小，不过也不错啦。', 'star': 5}
{'descr': '酒店整体还算不错。位置稍偏，比较安静。离大悲寺码头很近，晚上去坐船很方便。', 'star': 5}
{'descr': '房间整洁、干净、水也不错，距离海河很近，每天早晚可欣赏晨曦和夜景。我们已经连续两年居住。今年门前停车位取消了，要到停车场停车，起步3元，每小时1元，需自费。', 'star': 5}
{'descr': '房间不错，安静，干净，前台服务态度也很好，推荐入住。', 'star': 5}
{'descr': '酒店热水很好，环境很好。', 'star': 3}
{'descr': '总得来说还可以，但请前台人员对客人的预订天数看仔细后再办理', 'star': 5}
{'descr': '服务态度非常差,好象谁欠他们钱似的,娘的', 'star': 3}
{'descr': '不错的酒店 很干净服务态度也不错 卫生也干净打扫的也相当快', 'star': 5}
{'descr': '格林豪泰这家店最干净了，服务也比较好，整体都不错，隔音也还可以。', 'star': 5}
{'descr': '住宿环境还可以，挺干净整洁的，电视信号略微有点差，空调要是温度再低一些就好了，前台服务态度不错，要了根网线，很快就送到了。离天津之眼很近，价位适中，赞一下~~', 'star': 5}
{'descr': '不错 房间挺整洁的  就是隔音效果不太好', 'star': 5}
{'descr': '酒店位置还不错，离古文化街和大悲院近，房间里能看到摩天轮，床有点儿高，设施有些老旧，卫生间渗水不好，洗澡时水都能漫过脚面了，希望有所改进。', 'star': 5}
{'descr': '卫生还可以,电视有点难搞,总体性价比是不错的.前台接待人员在优质的服务意识方面还有很大提升空间.', 'star': 3}
{'descr': '刚入住，环境比预想的要好，就是房间有点小。网速还可以，呵呵', 'star': 5}
{'descr': '非常的干净，而且周围的环境比较安静，是我觉得不错的酒店', 'star': 5}
{'descr': '设施不错，服务也很好！', 'star': 3}
{'descr': '环境挺好，很方便，也很舒服', 'star': 3}
{'descr': '床有点高了，设施有点旧，别的都挺好。只是提前没有说没有电脑，有点模糊了。', 'star': 5}
{'descr': '干净容易找，离古文化街和摩天轮都很近，周围都是商业区', 'star': 5}
{'descr': '不错，很干净，周围的环境也不错，我觉得是格林豪泰最好的店了', 'star': 5}
{'descr': '酒店整体不错，窗外可以看到摩天轮，感觉还是不错的，第一次入住的时候，发现淋浴设施有些破损，没有防滑垫，电视机颜色失真，节目也太单调了，在房间的意见单上填写了自己的意见，就是不知道有没有人看到，呵呵 不过，还是感觉不错的，会向朋友推荐', 'star': 5}
{'descr': '周围环境比较安静，酒店环境还可以，只是节假日价格上调了。', 'star': 5}
{'descr': '住宿条件比较不错~~交通还算便利~~坐长途汽车下车后十几块钱就坐到了~~', 'star': 5}
{'descr': '一般一般一般\n收拾收拾收拾收拾收拾收拾身上时身上收拾收拾收拾收拾收拾收拾', 'star': 5}
{'descr': '这家酒店住着很不错的，服务也挺好的，而且环境也很好，是不错的可以入住的酒店', 'star': 5}
{'descr': '服务热情，住宿环境不错，交通方便。', 'star': 3}
{'descr': '环境不错~周围很适合散步，很安静，房间装修也很好，和同学住的很舒服。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '比附近的宜家要好，房间很不错 ，房间不大，床偏硬，舒服', 'star': 5}
{'descr': '不错哦~~就是洗澡水太小了！希望检修一下', 'star': 5}
{'descr': '酒店位置不错  适合游玩 路修好了会很漂亮 晚上散步很方便 ', 'star': 5}
{'descr': '那天去了  网络在维修  都没有网络的，床还很高，不是很舒服', 'star': 1}
{'descr': '订的大床房，房间布置还算可以，就是床不够宽，而且相对如家等酒店感觉不是那么干净。但总体还是不错，尤其是靠近天津之眼，夜景不错哦', 'star': 5}
{'descr': '希望服务可以加强，尤其是服务员的服务态度，谢谢，', 'star': 5}
{'descr': '位置不错，交通比较方便，服务也好，房间也还可以，房间设施比较齐全~', 'star': 5}
{'descr': '酒店比较安静，离天津之眼很近，晚上的景色很不错。', 'star': 5}
{'descr': '酒店干净，且地理位置方便，位于大悲寺旁边，在窗口可以看见天津之眼。但由于酒店门口及所在马路近日正在施工，因此外部环境略差。', 'star': 5}
{'descr': '闹中取静！就是修路有点吵！隔音有待提高！早餐不咋地', 'star': 5}
{'descr': '  满意', 'star': 3}
{'descr': '马路施工太吵', 'star': 3}
{'descr': '要的商务B，有电脑，网速不快，但是快捷酒店陪电脑的不多，环境还好，就是隔音太差，晚上都没睡好，旁边太吵了！离天津之眼很近，很方便！', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '好挺好真的挺好的啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', 'star': 5}
{'descr': '房间不大', 'star': 3}
{'descr': '天津天纬宜必思酒店还不错，环境可以，比较干净，离天津之眼很近。有机会还会去的\n\n', 'star': 5}
{'descr': '很好，态度、服务、都很周到。环境不错 很干净', 'star': 5}
{'descr': '还可以，房间很暖和，很干净\u3000入住的人不是很多', 'star': 5}
{'descr': '价格合理，服务周到，房间整洁，床很舒服', 'star': 3}
{'descr': '床有点小~ 总体还好 比较简单 地理位置相对不是很好 有点偏 ', 'star': 5}
{'descr': '很不错···很干净 就是空调开着特热 不开还有点小冷 总体感觉很舒服', 'star': 5}
{'descr': '还可以根火车站也挺进的价格也很合算服务态度也很好网速也很快的', 'star': 5}
{'descr': '很干净、总体来说还算不错、周围没有大型商业建筑、晚上非常的安静，服务态度很好、很满意', 'star': 5}
{'descr': '非常棒  地理位置适中  服务态度和卫生都很棒  强列推荐  ', 'star': 5}
{'descr': '房间干净，空调效果好~隔音效果不太好。走廊说话极为清晰，洗浴喷头水流太小，建议更换喷头', 'star': 5}
{'descr': '靠近天津比较著名的大悲院，房间还可以的，就是小了一点。不过还是值得推荐。', 'star': 5}
{'descr': '不错的酒店，地理位置、公共交通、周边环境和内部环境都不错！', 'star': 5}
{'descr': '总体来说还可以，服务周到有求必应，热水也挺烫的。貌似网和电视是一根线，如果上网电视信号就特别差只能看一两个台。拖鞋是非常滑，在厕所里。只要沾水，你就赶紧出厕所不然非常可能被滑倒。。。。', 'star': 5}
{'descr': '很干净的一个酒店，已经住过好多次了，，以后还是会考虑的', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '设施都挺不错哒，环境很好，服务周到吧，早餐很美味，推荐哦', 'star': 5}
{'descr': '挺好的', 'star': 3}
{'descr': '不错的酒店哦，地理环境非常好！周边景色迷人，又是步行街，又是天津之眼~~~完美啊~~~', 'star': 5}
{'descr': '一般，房间有点小，到是还算干净，前台有些男士的服务态度有待加强。但是最主要的问题是热水实在是太慢了，要放15分钟的水才能热，这得浪费多少水啊！听着卫生间里的水哗哗的……实在心疼！', 'star': 5}
{'descr': '酒店内部环境和服务不错，交通也很方便，紧挨天津眼和大悲寺。就是楼道有点长，入住晚了就会被分到离电梯很远的房间', 'star': 5}
{'descr': '酒店不错', 'star': 3}
{'descr': '非常不错，离天津之眼很近的一家经济型就行', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '卫生很好，室内也很整洁，可能位置不太好找，不过知道世界天乐的人应该就会很快找到啦。总体来讲还是很满意的。', 'star': 5}
{'descr': '价格实惠，有返券，地理位置好,就是没有早餐不好', 'star': 5}
{'descr': '就是位置不怎么好找，但闹中取静，总的感觉还是不错。', 'star': 5}
{'descr': '替朋友预定的，感觉还不错，卫生也不错，就是服务一般，希望加强服务', 'star': 3}
{'descr': '这个酒店的地理位置确实不错。。住的地方安静。。但是步行不远就是海河。。天津之眼。。离公交站很近。。酒店环境也很好。。\r\n', 'star': 5}
{'descr': '帮朋友订的，感觉还不错，就是希望服务可以更好一点', 'star': 3}
{'descr': '这次是帮朋友订的，还是以前的评价，虽然服务一般，但是性价比还不错，希望服务可以更加好', 'star': 5}
{'descr': '   就是酒店房间有点小,隔音差了点，其他的还不错！', 'star': 5}
{'descr': '非常方便，离天津之眼等地方都很近~前台服务很周到~', 'star': 5}
{'descr': '感觉还可以，不过隔音差了一点，能听到走廊的声音。', 'star': 5}
{'descr': '\n总体环境还不错，前台服务态度良好～', 'star': 5}
{'descr': '酒店的位置和设施都还不错，希望可以加强一下服务就更好了，谢谢', 'star': 5}
{'descr': '酒店很好 比图片上的要华丽舒适 位置也方便 下次去的话还要定这里 推荐~', 'star': 5}
{'descr': '房间挺干净的，服务也很不错哦~~价格也不贵，一个不错的选择！', 'star': 3}
{'descr': '网速很慢，QQ语音聊天老断。另外，我没有找到电视的开关O(∩_∩)O~', 'star': 5}
{'descr': '隔音有點差, 其他都不錯, 有掛牆電腦, 網路不快, 上傳非常的慢', 'star': 5}
{'descr': '位置不错，环境也可以，就是酒店房间有点小，离火车站较近，去哪打车都便宜。总之，一切都还可以。', 'star': 5}
{'descr': '+挺干净的，态度也不错。', 'star': 5}
{'descr': '酒店周围环境很安静，酒店设施还可以，服务人员态度很好。', 'star': 5}
{'descr': '不错、性价比很高、位置好、酒店环境也很好、很满意', 'star': 5}
{'descr': '天津的位置不错 很安静 环境不错 性价比高', 'star': 5}
{'descr': '酒店的位置还不错，交通比较方便，但是服务员的态度实在是我住了这么多快捷酒店里都不能和这家酒店比的，一位老阿姨服务员，那叫一个牛，一般打扫房间都要叫好几次才来，换遥控器都给你扔，而且说话特**，希望酒店在服务方面可以改良', 'star': 5}
{'descr': '酒店地处的周边环境很不错，本身内部的装修有点老旧，但是蛮适合商住', 'star': 3}
{'descr': '+隔音效果很差,隔壁说话都能听见.淋浴龙头是坏的,不过床很大,房间也蛮干净.', 'star': 5}
{'descr': '就在大悲院的旁边，离天津之眼也很近，比较安静，挺舒适的', 'star': 5}
{'descr': '  首先肯定的是服务态度非常好，很耐心也很尽心的为客人解决问题。但是房间实在是有问题，卫生间少毛巾、少洗漱用具，电视机遥控是坏的。', 'star': 1}
{'descr': '很不错的酒店。性价比比较高。地理位置佳，服务到位，卫生洁净。值得推荐！', 'star': 5}
{'descr': '+网络太慢', 'star': 5}
{'descr': '房间设施很全 服务态度也很好 都很不错 就是周围环境不太好 有些脏', 'star': 3}
{'descr': '不错,性价比高,交通便利,环境安静,感觉比如家好,服务也好', 'star': 5}
{'descr': '位置还是可以的，闹中取静，离海河也近，但是房间的被子太厚了，中央空调也不凉快。睡眠质量不好', 'star': 5}
{'descr': '都很好，就是周围环境有点脏。热水很好，服务态度也不错。', 'star': 5}
{'descr': '跟津龙湾比起来,真是好太多了啦!', 'star': 5}
{'descr': '其他还可以，淋雨不太好。。。。。。。。。', 'star': 5}
{'descr': '价格比较低，设施不错，值得一住', 'star': 5}
{'descr': '卫生和设施还可以，其它的都一般了，早餐太简单了，但性价比还是可以的。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '性价比算是可以啦。建议解决隔音不好的问题。还有建议增加门口的停车位，并且修理停车挡，刮车底盘，我心疼到现在。', 'star': 3}
{'descr': '位置是相当好。卫生洁具可以更人性化一点，比如说活动的花洒，能用来冲脚。隔声性能不好。另外，停车位太少，且不方便，容易刮底盘。', 'star': 5}
{'descr': '服务不错。环境很好，推荐', 'star': 5}
{'descr': '酒店周围饭店、超市很少，宾馆隔音效果差，电视就那么几个台，最郁闷的是电视与机顶盒要两个遥控器。真接收不了。第一次出差住在普通标间，结果前后两间的嚎叫声让我，彻夜无眠。第二次住了豪华标间，此问题基本解决。卫生间下水太慢，浴帘用一根ppr管连接着，我真不明白，要这样做还不如不弄浴帘呢！', 'star': 5}
{'descr': '作为快捷酒店算是不错的了。性价比可以。只是门口停车位的横档刮了我的车底盘，希望下次住的时候修好了。另外，为什么住过了没有给我入住记录？', 'star': 5}
{'descr': '房间湿度比较大，隔音不是很好，卫生间不大，洗澡的龙头不能拿下来，调温容易溅一身。空调很好，电视业不错。\r\n', 'star': 5}
{'descr': '房间有点小，不过还算很舒适。位置离天津之眼很近，古文化街也不远走着去就可以。总而言之不错啦！', 'star': 5}
{'descr': '就在金刚桥附近，离火车站和沿海河边的各个景点都比较近，尤其是著名的天津之眼，在房间里就能看到，方便晚上看海河和周边的夜景，走出去以后吃饭的地方也比较多比较方便。再说说房间，房间内部比较局促，没有一般标间的茶几和靠椅，但是有的都是很实用的家具。还免费提供两瓶矿泉水，比较人性化，床也挺舒适的。洗手间的换气扇不知道是坏了还是本来就没有，反正不能用。房间的灯光设置不够合理。', 'star': 5}
{'descr': '环境不错', 'star': 5}
{'descr': '距离古文化街步行十分钟的路程，在一条胡同里，比较安静。性价比不错，再去天津，会考虑再住', 'star': 5}
{'descr': '房间本来就不大，床边上竟然放个镜子柜子，晚上睡觉一闪一闪的。窗户后边有个娱乐场所，晚上很吵。总体感觉不如隔壁的那个酒店。', 'star': 1}
{'descr': '位置不错，值得推荐', 'star': 3}
{'descr': '离我们开会的地方非常近，环境还行，值得推荐', 'star': 5}
{'descr': '环境还算不错，窗外就是天津之眼，惬意啊~~~哈哈！', 'star': 5}
{'descr': '设施较旧，床上用品已经洗不出来了，显得不太干净，隔音效果不好，不过服务还好，让换下订单枕套，马上就来给换了。', 'star': 1}
{'descr': '宾馆的环境还可以，交通方便。', 'star': 5}
{'descr': '酒店停车位只有不到10个，其余的都收费！！', 'star': 3}
{'descr': '酒店还不错，性价比挺高的，值得推荐', 'star': 3}
{'descr': '总体来说，酒店还是不错的，价位也合理，不过酒店的早饭应该卫生些，我吃了后闹肚子，5555555555', 'star': 5}
{'descr': '各方面条件不错，就是难找了点~', 'star': 5}
{'descr': '位置先对不好，周边配套设施比较少', 'star': 1}
{'descr': ' 停车位是收费的，总体来讲还不错', 'star': 5}
{'descr': '还可以  就是卫生间的门坏了  换的拉帘  还有卫生纸的盒子没了 没有及时安装上', 'star': 5}
{'descr': '整体房间墙体不太干净，毛巾等卫生用品不如7天，睡眠也不舒服', 'star': 1}
{'descr': '其他都很好，就是床垫太差了，咯得慌', 'star': 5}
{'descr': '卫生干净，洗澡时冷，没浴霸，位置交通不错，性价比还成，服务一般', 'star': 3}
{'descr': '感觉都还不错，价格不贵，住这里当时出行还比较方便', 'star': 3}
{'descr': '很安静，而且房间内很暖，卫生很不错，总之，是个不错的选择！', 'star': 5}
{'descr': ' 总体感觉还行，地理位置比较方便，性价格较高', 'star': 3}
{'descr': ' 总体感觉还行，价格公道，环境不错。', 'star': 5}
{'descr': '服务员态度还行，酒店附近有几个景点，旅游很方便。房间很干净，但物品卫生和配套设施需要加强，最要命的是热水不热', 'star': 3}
{'descr': '毛巾颜色有点灰，一条明显有污渍，热水只能算温水，客服还行。酒店旁边就是大悲禅院，走路去古文化街或天津之眼都不到15分钟，在名流茶馆听完相声正好走回来睡觉。虽然离火车站、机场有点远，但我出来玩首要关注的还是景点。总体而言，我最满意酒店的地理位置，其他方面只能算一般。', 'star': 5}
{'descr': '很干净很不错', 'star': 3}
{'descr': '很好的酒店，很干净，就是卫生间的水不太热', 'star': 5}
{'descr': '网点稍微少一点', 'star': 5}
{'descr': '也许是因为那天刮大风把  饭店外面的设施响了一晚上   希望饭店晚上也注意一下周围的环境     害得我们没怎么睡着觉  ', 'star': 5}
{'descr': '地理位置有点偏，房间还是可以的。因为有旅行社的人，所以噪音有点大。隔音效果不好。电视的台数比较少，而且不好操作。卫生，服务都还不错。设施卫生比较好。', 'star': 1}
{'descr': '酒店环境还可以，就是价格稍微有点高，位置一般化，交通不是太方便 ', 'star': 5}
{'descr': '酒店还不错，比较干净，服务方面有一些细节需要注意，上次早上帮我们换毛巾的时候，把用过的毛巾拿走了，可是没有把新的送过来。总的来说还不错，值得推荐 ', 'star': 5}
{'descr': '在这个价位和他的位置来说，我觉得酒店的硬件条件和服务都还不错，也挺干净的，但是他位置虽然不错，但是周边环境不是特别好，有一些小摊什么的，不过总体来说还算可以。', 'star': 5}
{'descr': '性价比很好的酒店   哈哈后', 'star': 5}
