{'短评内容': '很好环境服务什么都不错一直住这', '短评打分': 5}
{'短评内容': '四星级酒店居然没有停车场，床太硬，最离谱的是电视机电源开关竟然和廊灯是一个，想关灯看电视没门，打电话问客服居然说酒店都是这样设置的', '短评打分': 5}
{'短评内容': '环境不错，酒店服务也不错，就是当时楼上都封楼了，只住到6楼，比较吵', '短评打分': 5}
{'短评内容': '有点贵！', '短评打分': 5}
{'短评内容': 'd', '短评打分': 1}
{'短评内容': 'QQ房硬件设施对于单身商务旅客还好，就是空调供暖是个问题，不过前台在入住前提醒了。', '短评打分': 5}
{'短评内容': '设施老了', '短评打分': 5}
{'短评内容': '位置比较好', '短评打分': 3}
{'短评内容': '性价比还可以', '短评打分': 3}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': 'no milk', '短评打分': 3}
{'短评内容': '服务差了点，晚上牛奶没有，果汁没有，香烟没有，Minibar里空的，啥也没有。结账的时候还问我是否有消费，我说你们里面是空的。\r\n地漏是会反味的。\r\n空调不错，很暖和。\r\n结账的时候发票少给了，回来才发现，还要去打电话去催，耽误了报销。\r\n里面只有一个饭馆晚上有饭吃，而且贵的离谱，非常贵，人均500元吃不饱。\r\n如果不是离客户比较近，下次应该不选择这家酒店了。', '短评打分': 1}
{'短评内容': '房间很宽敞,舒适,很安静,设施非常好,位置在市中心交通便利.', '短评打分': 3}
{'短评内容': '位置好，住的挺舒服，干净卫生，房间还有水果，服务特别好，出门下雨想叫一辆出租车，不好等，酒店人员在雨里等了很长时间，感动，就是原价位挺高的，在网上订好优惠很多。', '短评打分': 5}
{'短评内容': '觉得房间布置很好，电视也很好很大，感觉空气不好，有不好气味，卫生条件打扫不是很干净', '短评打分': 3}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置以及交通很方便的，性价比不错的酒店，', '短评打分': 5}
{'短评内容': '总的来说还可以，相对于价格来说，环境还可以，值得推荐', '短评打分': 5}
{'短评内容': '位置，价格，服务都好', '短评打分': 5}
{'短评内容': '酒店的位置非常好,环境硬件设施都很不错,价格也很合理.', '短评打分': 5}
{'短评内容': '酒店的环境挺好的，挺舒适，性价比高，提供的早餐也不错', '短评打分': 5}
{'短评内容': '位置很好，逛街、旅游很方便，硬件很好的融合了古典与现代，就是餐厅营业时间有点短，没吃上饭。', '短评打分': 5}
{'短评内容': '房子总的说来还是可以的，我连续住了三天QQ房，最后一天可笑的是：前天服务员整理房间时居然没有放卫生纸，我当天晚上12点回来没有注意，第二天早上一看都傻眼了。还有就是液晶显示器效果很差，经常接收不到信号，其次，电视频道太少，幸好有CCTV-5，否则就死了。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;建议你们的领导到大河锦江去学习一下，除了房子新点别的真没有什么特色，价格一天三涨&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;酒店设施比较好，也是我去郑州的唯一选择。但是最近房价一直在变，我以前住时358元，现在涨到418元，建议对VIP客户还执行原价格因为我经常到郑州出差，而且住的时间长能否制订一个合理的价格？另外现在又不是旺季，没有必要一天三变吧！很讨厌！&amp;lt;/P&amp;gt;', '短评打分': 3}
