{'descr': '还好，比较适合安静的生活', 'star': 5}
{'descr': '很好～很舒服～设施齐全～', 'star': 3}
{'descr': '好', 'star': 3}
{'descr': '周末特价房确实很值，房间大设施齐全，住着很舒服。', 'star': 5}
{'descr': '挺舒服的', 'star': 3}
{'descr': '距离南开大学的西门挺近的，不远的地方是家乐福，买东西什么的也挺方便。我住的是大床房，除了闷了点，其他都挺不错的。', 'star': 5}
{'descr': '环境很好，房间不错，早上有点吵，不错啦！！！！', 'star': 5}
{'descr': '房间大，敞开式卫生间不方便。。没有衣柜，这个价格有点贵', 'star': 1}
{'descr': '本来定的是百元房，歪打正着却住进了商务大床房。（过程很复杂）\n贵127房间确实大很多，但是房间内的设备基本和百元房是一样的。', 'star': 5}
{'descr': '性价比不高,如果不是因为位置原因,不会推荐朋友住宿. 房型混乱,预订了高级大床房,房间很小,不如曾经住过的百元房!!! \n', 'star': 1}
{'descr': '开始的房间巨臭无比，幸亏后来给换了。房间很大，百元很值。', 'star': 3}
{'descr': '地理位置优越。\n前台的服务有待提高。正在给我办理入住，确接了预订的电话。让我等了很久。这种是不应该的。应该专人负责接电话。', 'star': 5}
{'descr': '周日特价房真的很好，很超值。希望多增加这样的特价房。比如周一，周五等等。', 'star': 1}
{'descr': '每次去都订白堤路店，各方面都很便利，楼下的市场里有很多小吃，还不错。', 'star': 5}
{'descr': '离天津中心区还比较近，毗邻天津两大高校，地理位置好，交通还算便利。', 'star': 5}
{'descr': '还可以，没什么特别的。经常出差在外，汉庭酒店是我目见过的最“扣气”的连锁酒店。上个大堂公共厕所还得刷门卡，对于等待办理入住的有内急的客人比较尴尬，还好有保洁员帮开了门', 'star': 1}
{'descr': '公事入住此店，整体还可以吧。没有什么特别的。', 'star': 1}
{'descr': '特价房超实惠，环境卫生很好，周围吃饭犯人地方挺多的，非常值得推荐', 'star': 5}
{'descr': '特别好，房间特别大，感觉像星级房间。什么用品都有，比北京的房间都大，价格赶上促销巨便宜，物超所值！', 'star': 5}
{'descr': '这个百元的活动超级合算啊，我订的是原价239的标间，1.5米加1.2米两张床，房间非常大。虽然洗漱用品什么的还是快捷酒店的level', 'star': 5}
{'descr': '很干净整洁，室内格调简单明快，就是隔音不太好，能听到外面的杂音。可能是新酒店还有些装修的味道。', 'star': 5}
{'descr': '这是我住过的最高性价比的酒店了，屋子很大，设备齐全，下次我还选汉庭白堤路店', 'star': 3}
{'descr': '汉庭真不错，百元房大双人床，干净！赞', 'star': 3}
{'descr': '住宿条件不错,挺干净,物有所值.', 'star': 3}
{'descr': '汉庭确实不错！以前没有住过，虽然价格高点，但是很值得！房间宽敞、布局非常合理，特别是卫生间的干湿分区设计，很好！', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '感觉还不错！地点环境服务都还可以，以后还来这家！', 'star': 5}
{'descr': '离南开大学西门很近，步行5分钟。周围吃饭的地方很多，房间比较大但是隔音不太好。', 'star': 5}
{'descr': '环境还行 卫生间小了点 最好的就是双网线 一般酒店是没有的', 'star': 3}
{'descr': '位置不错，周边环境也还可以。出行，饮食等都比较方便。值得推荐。', 'star': 5}
{'descr': '离南开大学很近，比较方便，酒店隔音效果不太好', 'star': 5}
{'descr': '比较高档的一家，周围银行很多。在高新区附近', 'star': 5}
{'descr': '原本预定的是是双床房，酒店给安排的是大床。要求换房酒店称收到的订单就是大床，换房间需要加钱，非常不满意要求处理后。酒店给换回了双床房，觉得酒店的管理很不专业。', 'star': 3}
{'descr': '环境不错~交通很方便~周围就是数码街，有个大家乐福，买东西很方便~', 'star': 5}
{'descr': '房间干净，感觉不错', 'star': 3}
{'descr': '环境不错，地理位置好，就是交通不太方便。', 'star': 5}
{'descr': '地理位置不错很方便，周边环境也不错，紧邻南开天津大学', 'star': 5}
{'descr': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '前台服务态度不错。房间干净，设施比较齐全舒适。是性价比比较高的快捷酒店。', 'star': 5}
{'descr': '服务不错，而且听到同事大力推荐。结果还是不错的，希望以后有机会还会预定他们的酒店。', 'star': 3}
{'descr': '环境舒适，卫生还是做的比较不错的，有同事再出差的话，会向他们推荐的，加油！', 'star': 5}
{'descr': '卫生比较好，就是洗手间的淋雨房有点怪味，可能是垫脚的塑料垫没经常清理的缘故。', 'star': 5}
{'descr': '  汉庭酒店很宽敞干净', 'star': 5}
{'descr': '房间采光很好，也很干净，就是房间小了点，总体还是很不错的。', 'star': 5}
{'descr': '虽然只住了一晚上，但感觉不错，比较卫生，而且位置也不错', 'star': 5}
{'descr': '为同事定的，反映还不错！以后继续推荐给同事！', 'star': 5}
{'descr': '比想象中好一点 便捷酒店来说算是不错的\n\nBen Cheung', 'star': 5}
{'descr': '很干净，很舒适，双床房的房间真的好大，四五个同学一起在屋里也不会觉得拥挤。\r\n地点在白堤路上，虽然离鞍山西道比较近，但是感觉不乱，有点闹中取静的感觉。\r\n感觉不足的地方就是洗澡的地方太小。隔音不是特别好，晚上有噪音，不知是管道噪音还是别的，应该不是外部的噪音。', 'star': 5}
{'descr': '+环境很好，不过我们定的是6点到9点，但是等到9点多别人退房才能住上，有些不守时', 'star': 5}
{'descr': '快捷酒店住的不多，但感觉性价比还是不错的，房间大小和设施也挺满意。就是赶上了楼下烤肉店深夜施工，多次报警也没管用，炒得睡不好。', 'star': 5}
{'descr': '这个酒店还不错，就是贵点。这个酒店还不错，就是贵点', 'star': 5}
{'descr': '商务大床的房间很大，淋浴也很舒适，总体都不错，就是价格有些偏贵，下次还会入住的~', 'star': 5}
{'descr': '白堤路上，黄金地段。周围的银行非常多。有一家粥店很有特色。', 'star': 5}
{'descr': '好像是刚装修过，或是刚刷过漆，过道里味道很大，但屋中还好。屋子挺干净的，就是有点小。位置还不错，主要是离南开大学西门比较近。还有对面就是招商银行。', 'star': 1}
{'descr': '白堤路已经修整完工。汉庭几乎面对南大西门，位置不错。朝南向的商务大床房，空间大，卫生也好。设施干净。价格比同类快捷酒店高了30元左右。总体来说值得推荐。美中不足是7楼楼道里有刚装修的气味（橡胶味？）。但是房间里没有。', 'star': 5}
{'descr': '房间很温馨，床还不错很舒服，价格一般，地理位置还可以', 'star': 5}
{'descr': '非常好，从服务人员到客房舒适度都非常不错，很愉快的一次入住', 'star': 5}
{'descr': '服务尚可，卫生也可，但设施较差，环境一般，临街靠店嘈杂', 'star': 5}
{'descr': '离南开大学很近，对我很方便。白堤路上也有很多店，吃饭很方便。', 'star': 3}
{'descr': '周边的环境还不错，底商还有中国银行，烤肉，便利店，总体上说不错。', 'star': 5}
{'descr': '位置不错，服务卫生条件都还可以，就是价格稍微贵了点！', 'star': 5}
{'descr': '不错，就是李市中心稍远点儿。头一晚因为床单有点刺、枕头有点硬，没睡好。后来习惯就好了。', 'star': 5}
{'descr': '很不错。。。。。。。。。。。。。。。。。。。。。。。', 'star': 3}
{'descr': 'henbucuo..............................', 'star': 5}
{'descr': '房间整洁卫生，适合居家旅行，位置稍微偏些。', 'star': 5}
{'descr': '环境不太好，但是里面设施很好，空间很大，性价比比较高', 'star': 5}
{'descr': '服务还可以，只是白堤路在修路，外面灰尘很多', 'star': 3}
{'descr': '很好', 'star': 5}
{'descr': '酒店位置不错只是外面道路施工有点脏房间里面不是很大但设施还算齐全总体感觉不错', 'star': 5}
{'descr': 'h', 'star': 5}
{'descr': '条件不错，卫生和房型都很好~~设施齐全，服务也很好~~很推荐~~', 'star': 5}
{'descr': '住的周日百元房，觉得还是非常合适的，酒店设施也不错，地点也好，只是洗澡间外的地面在洗完澡后太过于湿滑，有待改进，隔音效果一般，有待改进。', 'star': 5}
{'descr': '设施及房型都还不错，就是靠白堤路的房间，因对面楼房平改尖顶整晚施工很吵，第二天只好换房。不过宾馆的服务人员态度很好，一有房间就给换了。', 'star': 3}
{'descr': '酒店位置就在南开大学的后门附近,交通比较方便.虽然近期门口修路出行受点儿影响,但从信价比来看还是很好的.我只看到了双床间和商务大床间,其它的不太了解,双床间和商务大床间的开间较大,双床房间里有一张1.5米的大床和一张1.2米的小床,还有一个单人沙发一张长桌.商务大床间只是把2张床换成了一张1.8米的大床,其余一样.卫生不错,酒店的服务人员态度也不错.', 'star': 5}
{'descr': '就是毛巾有点旧了，其他都非常好~~\r\n给个好评吧~~ ：》', 'star': 5}
{'descr': '位置很不错，可惜现在白堤路修路，房间又是正对马路，吵死~~不能睡懒觉~~而且房间的窗子太小了，屋里特别憋，也特别潮，不开空调不开排风，根本没法呆。吹风机也是时好时坏。。。开门就对着床，没有什么私密性，屋子不小，但是设计方位不好。总之除了近，就没有什么喜欢的~~~服务还算是可以的。', 'star': 1}
{'descr': '再一次入住，这次感觉不错，8725，房间比较大，床虽然比较硬，但也还算舒服。电视还是太小了。不过，也就可以了。\r\n隔音明显比以前好，但不知是否有做过什么处理，还是我这次运气比较好。\r\n再次推荐吧。', 'star': 5}
{'descr': '地点十分偏远，远离商业区，距离商业步行街需要打车13-15元。房间的被子居然血迹一大摊，叫服务员过来换被子，被子换了，但是一句话都没有就走了，态度实在一般！', 'star': 1}
{'descr': '可以', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '服务很好~总体感觉不错~热水很好~\r\n地理位置也不错，很方便出行。\r\n推荐！', 'star': 5}
{'descr': '整体来说，酒店设施和服务相对不错，交通也方便，唯一就是空间不太大，8518和8417的房型相比，前者较后者空间大一号。其它相对不错', 'star': 5}
{'descr': '卫生间进去就有点小问题，早上洗澡洗到一半水管断了，都没法洗了~就是位置挺好~', 'star': 1}
{'descr': '整体感觉不错。地理位置也不错', 'star': 3}
{'descr': '整体感觉还是非常不错的！！位置也不错！！！ 就是19点晚餐就没了！！20点出去只能吃个沙县。哎', 'star': 5}
{'descr': '周末百元价格很好！干净', 'star': 3}
{'descr': '汉庭都差不多', 'star': 5}
{'descr': '位置不错，比较繁华，周围吃饭也方便。', 'star': 5}
{'descr': '房间真的很不错，性价比也很高，房间内的设计比较有创意，节省空间，但又不会觉得别扭', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '我住的是1百元的新春百元房，价格低设施好非常的超值，说点感受仅供大家参考，若想在店外夜间停车单独收费10元，房内卫生间是玻璃设计，淋浴不错，舒服最喜欢这个了。环境很好，推荐', 'star': 5}
{'descr': '很不错', 'star': 5}
{'descr': '房间很大，温暖，也很舒服，隔音效果很好。稍微不足的是设施简陋了点……', 'star': 5}
{'descr': '住了2天，感觉非常不错。天津原本一向是如家的天下，这家汉庭听说是天津第一家，总体感觉比如家要好多了。床头有网线，大厅有无线网络。房间也够大，且地理位置也很好，离天南大很近很近。', 'star': 5}
{'descr': '大堂服务人员态度非常好，服务也很周到！总体感觉不错', 'star': 5}
{'descr': '商旅酒店，性价比好！干净！位置不错！周日特价房很好！', 'star': 5}
{'descr': '酒店的服务比较一般，硬件条件还可以，位置挺方便的，经济实惠。', 'star': 3}
{'descr': '环境很好，热水很大，靠近大学，非常方便，如果有需要值得选择。', 'star': 5}
{'descr': '规范、便捷、宾至如归', 'star': 5}
{'descr': '酒店房间的窗户是对着楼层的,感觉不是很舒服,不通风,不过卫生环境还可以,服务也比较周到,建议下次选择窗户对外的房间,应该会好些.', 'star': 3}
{'descr': '酒店各方面感觉都还可以,卫生条件很好,而且服务态度也比较好,就是价格有些偏贵,不过还是可以推荐的.', 'star': 5}
{'descr': '酒店的位置不错的，交通很方便的，服务卫生以及设施都不错的，酒店的价格还可以的，性价比不错的酒店', 'star': 5}
{'descr': '这家酒店挺满意的，环境不错，而且位置也方便，性价比挺好，值得推荐 ', 'star': 5}
{'descr': '酒店的硬件设施和环境服务都不错，我感觉比如家好，这个位置也还不错，打车挺方便的。', 'star': 5}
{'descr': '酒店的服务卫生条件都非常好的,房间的设施很齐全的,酒店的位置很好的,性价比不错的酒店,很实惠的', 'star': 5}
{'descr': '酒店环境,服务都还可以.内部设施也很齐全.交通方便.', 'star': 5}
{'descr': '要能告知如何成公交到达就更好了，毕竟住店的，都非本地人\r\n', 'star': 5}
{'descr': '酒店的环境，服务都挺好的，地理位置不太好，不是很好找，有些偏', 'star': 5}
{'descr': '酒店的整体非常好,服务卫生以及房间的内部设施都很好的,酒店值得推荐入住的', 'star': 5}
{'descr': '房间还不错，我住过两次了，房间有大有小，都很干净。\r\n位置还算不错，附近有家乐福、颐高数码、上岛咖啡等。\r\n就是没有免费的停车场（倒是有个收费的），晚上车停在门口总觉得不安全。', 'star': 5}
{'descr': '人员服务很热情,卫生情况也很好,位置非常好,周围有很多大学,而且也属于高新区,很不错', 'star': 5}
{'descr': '酒店的布局设计比较好,挺喜欢的,酒店楼下有比较有特色的韩式餐厅,还有一个农贸市场,可以满足不同层次的客人.酒店向东或向西都有公交车站,出行交通方便.', 'star': 5}
{'descr': '我比较喜欢住这中连锁酒店，经济实惠，性价比高，而且设施比较统一，干净', 'star': 5}
{'descr': '早餐品種宜再加強', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '比较干净，有时感觉隔音不好。上网速度很快。楼下餐饮交通都还不错。另外，可以看到一些海外的电视台，可惜一些频道不同时段总是在换，不知何故。为了多看点儿台湾新闻，下次来还可以住。价位还可以更平实一些。', 'star': 5}
{'descr': 'GOOD SERVICE AND GOOD PEOPLE', 'star': 5}
{'descr': '室内整洁，设施也不错，比其他快捷酒店好多了', 'star': 3}
