{'短评内容': '挺好的，环境很好，服务态度也很棒，下次还回来！', '短评打分': 5}
{'短评内容': '酒店服务很好，还有免费的小停车场，不错！', '短评打分': 5}
{'短评内容': '前台服务热情，客房整洁.下次入住还会选择这家店。', '短评打分': 5}
{'短评内容': '酒店的服务很好，就是设施旧了点，电视不是液晶的，下次过来希望可以看到液晶电视', '短评打分': 5}
{'短评内容': '酒店的位置和周边的环境都很好，房间很暖和', '短评打分': 5}
{'短评内容': '整体感觉算是值得信赖的酒店。服务比硬件要好很多。可以达到快捷的目的了，有停车场，周边的环境很不错。', '短评打分': 5}
{'短评内容': '酒店有停车场，挺方便。服务比较热情,问路能耐心仔细的指引。给超好评吧!不错的酒店，可以考虑常住。', '短评打分': 5}
{'短评内容': '酒店的位置和服务都很满意。这个地方很安静；对面就有大型超市，购物太方便了。还可以去公园，而且很漂亮。感觉生活都很惬意呢', '短评打分': 5}
{'短评内容': '设施相对如家比较旧些，比较节约些，凑活住吧', '短评打分': 5}
{'短评内容': '房间很干净，设施设备需要换新了，酒店提供叫醒服务，真的是个不错的酒店。', '短评打分': 5}
{'短评内容': '服务不错，位置很好，对面就是个超市，购物很方便，建议更换电视', '短评打分': 5}
{'短评内容': ' 干净，服务不错，略吵', '短评打分': 3}
{'短评内容': '总体来说 店的设施还是不错的  不过酒店的电脑不是网吧那种的  玩游戏的话还得自己下载，比较麻烦 ，如果可以改进一下 就更好了', '短评打分': 5}
{'短评内容': '酒店提供防噪音的耳塞，创意新颖，还免费发放身份证套，服务没说的。', '短评打分': 5}
{'短评内容': '酒店装修简单大方，房间颜色为暖色，住后感觉挺舒适，建议早餐种类多点就好了', '短评打分': 5}
{'短评内容': '很不错的酒店，最最满意的还有停车场，比其他酒店好太多了，下次还来', '短评打分': 5}
{'短评内容': '舒适的房间，干净的酒店，特色的早餐，温馨的服务，值得推荐', '短评打分': 5}
{'短评内容': '不错  还有停车场  还行', '短评打分': 3}
{'短评内容': '服务态度不错 不过硬件和价钱不符 价格略高', '短评打分': 5}
{'短评内容': '有车位，不过有些紧张；定的大床房可是床有些小，应该不到1.8米。洗手间设计有些不合理，干湿不分；洗手台很小，没有放东西的地方，而且上面有个玻璃架子，洗脸的时候会磕到头，很碍事；能上网，不过网速很慢；服务还不错，值得推荐。', '短评打分': 5}
{'短评内容': '很好！位置方便：对面就有一个大超市，旁边还有两个公园，上滨河东路也很快！环境干净：走廊、房间里都很好，大概是前一个客人抽烟比较凶，房间里有烟味儿，开窗放会儿就好了！服务较好：可以主动给老人安静的房间，结账也比较快，不用等查房！最爱的是热水超好啊！！！', '短评打分': 5}
{'短评内容': '房间温馨 干净整洁 服务态度好 不小心把手机落在酒店 热心帮我保存 非常感谢 以后太原住宿首选', '短评打分': 5}
{'短评内容': '可免费停车，早餐自助，不错。', '短评打分': 3}
{'短评内容': '太原金广快捷酒店服务好房间舒适', '短评打分': 3}
{'短评内容': '酒店卫生，服务都不错，就是临近街道，有点吵，但地理位置不错，要不吵，可能就得去市郊了，事都有利有bi吧，总体不错，还会去的！', '短评打分': 5}
{'短评内容': '中博的太原找个酒店很难啊，这家酒店的卫生和服务带给我以外的惊喜，很喜欢这家小小的酒店，前台的男员工是我见过最帅的前台了，呵呵，下次还来看你们！', '短评打分': 5}
{'短评内容': '前天很可爱的服务人员，提供贴心的服务，这家酒店的生意很好啊，每次看见服务员都是忙忙碌碌的，下次还来这家！', '短评打分': 5}
{'短评内容': '房间卫生干净，洗澡水很大，晚上回来可以洗个舒服的热水澡，早上吃一顿山西特色的早餐，美美的，我喜欢这家酒店！', '短评打分': 5}
{'短评内容': '酒店的位置不错，很适合在附近办事，性价比高，房间虽然不大，但是卫生很干净！', '短评打分': 5}
{'短评内容': '房间卫生很干净，服务很好，可以免费停车。', '短评打分': 5}
{'短评内容': '房间设备简单，干净。床特别舒服。服务员热情周到。', '短评打分': 5}
{'短评内容': '酒店早餐是自助式的，品种多颜色也好看，用餐后很舒心，且干净。入住感觉打扫房间的阿姨们很热情。', '短评打分': 5}
{'短评内容': '不错，房间干净，早餐不错，有机会，下次还会来住', '短评打分': 5}
{'短评内容': '酒店设施简单大方，非常干净。前台的服务员们都很热情。感觉很好，下次还住金广。', '短评打分': 5}
{'短评内容': '很喜欢这家酒店的风格，简单明了，我和朋友都感觉很不错，酒店的卫生很干净，服务也是热情大方的，大厅有个很温馨的会客区，不错，性价比真的很高！', '短评打分': 5}
{'短评内容': '太原的房价真的很高啊，但是这家酒店真的是不错，性价比很高，我在酒店感受到家一般的感觉，让我很窝心！服务人员的服务意识很高，什么时候都是笑脸迎人，下次还会选择这里入住！', '短评打分': 5}
{'短评内容': '来到太原感觉城市很朴素，让我感觉更好的是这家酒店，真的是闹中取静，给人特别安静的感觉，酒店还有个小小的停车场，让我们这些有车一族很喜欢，随便说下服务也是很不错的！', '短评打分': 5}
{'短评内容': '酒店的房间行业内简单，但是感觉很现代，卫生镇的是干干净净，服务人员很专业，在我入住的时候出入大厅都会热情的打招呼和微笑，让我很有家的感觉，酒店的早餐很不错啊，15块钱不是很贵，品质还是不错的啊！', '短评打分': 5}
{'短评内容': '位置不错，酒店的卫生和服务很好，每个员工都是笑嘻嘻的！下次还会选择这里，我很喜欢他们的阳面房间，简单但是性价比很高，在这样的闹市区特别难的，大家都选择这里哦！', '短评打分': 5}
{'短评内容': '房间温馨，网速慢，建议提高网速，下次过来希望看到贵酒店的进步', '短评打分': 5}
{'短评内容': '房间很干净，煎鸡蛋太好吃了，吃了5个，满足了，走咯', '短评打分': 5}
{'短评内容': '前台工作人员为我考虑周到，由于修路主动向我推荐安静房，很感动，顶起', '短评打分': 5}
{'短评内容': '前台服务员热情问候，床上用品舒适，需要电吹风的时候前台可以很快送上来，效率很快，不错不错', '短评打分': 5}
{'短评内容': '酒店很干净，服务好，位置也不错，最好的是有停车位，下次还住这家店', '短评打分': 5}
{'短评内容': '酒店真的很不错，服务很人性化，服务员的专业水平很高，对周边的环境介绍很到位，尤其是他们的微笑很真诚，特别喜欢这家酒店！', '短评打分': 5}
{'短评内容': '每次都推荐给朋友住，朋友们的反应都不错，位置真的是闹中取静，卫生干净，服务员很有礼貌，尤其是问候语很特别，会分时间段啊~继续支持啊！', '短评打分': 5}
{'短评内容': '酒店的位置很不错，价位适中，前台的服务很人性化，有服务员给客人拿重行李，酒店的早餐很不错，蛮有本地特色！', '短评打分': 5}
{'短评内容': '还可以  从汉庭转过来的   购物吃饭都很方便', '短评打分': 5}
{'短评内容': '这是我在太原住过的最干净的一家快捷酒店，虽然来太原的机会不多，但是我下次还会入住@随便说一下，他们的早餐挺实惠的，有本土特色！', '短评打分': 5}
{'短评内容': '酒店卫生干净，服务很给力，很好满足我的出行要求，以后还会入住的！', '短评打分': 5}
{'短评内容': '这家酒店的卫生不错，服务也很好，尤其是大厅设置一个会客区很温馨！', '短评打分': 5}
{'短评内容': '我觉得还是很满意的，房子比较干净，前台的一位姓李的经理很热情，我提出的问题都能很好的解决，下次我还住这家酒店', '短评打分': 5}
{'短评内容': '听朋友介绍的，入住后感觉真的很不错，以后还会再住！', '短评打分': 5}
{'短评内容': '太原酒店的房价比较高，这家店是价位适中，酒店的卫生很干净，酒店的服务很棒，是我在太原住宿的首选！', '短评打分': 5}
{'短评内容': '金广在府西街附近有两家店，我经常选择国贸店，国贸店的卫生和服务真的特别好，给我家的感觉，经常推荐朋友们入住国贸店！', '短评打分': 5}
{'短评内容': '这家店最大的特点是卫生特别好，服务周到，酒店的早餐品种丰富！是住过的酒店里性价比很高，建议朋友们去入住！', '短评打分': 5}
{'短评内容': '金广快捷非常好，干净舒适，下次还住这里。', '短评打分': 3}
{'短评内容': '感觉一般，就是窗户靠马路太吵。可能其他房间会好点', '短评打分': 5}
{'短评内容': '感觉一般吧，不能上网一晚上没人解决，还说网络维修。后来问了同住的同事，说他们房间网络没问题。郁闷', '短评打分': 1}
{'短评内容': ' 还可以', '短评打分': 3}
{'短评内容': '环境不错，就是早晨以后暖气有点凉！', '短评打分': 3}
{'短评内容': '前台的两位服务人员态度超好，停车服务也很热情，卫生良好，网速较快，是当地性价比极高的快捷酒店，推荐。', '短评打分': 5}
{'短评内容': '房间还算干净卫生，前台服务也还好，能停车，但也就是停在马路旁的便道上，而且8点被电话吵醒要求挪车，可能十一期间入住价格稍高，感觉和同价位快捷酒店相比，服务设施都不算很好，性价比不高，如果不是考虑他的位置，应该不会再住了', '短评打分': 1}
{'短评内容': '金广快捷酒店总体来说还不错，对得起这个价格了。唯一不足是附近修路，绕了很大一圈。', '短评打分': 5}
{'短评内容': '很舒服很温馨的酒店，非常好，下次来太原还会入住这家。', '短评打分': 5}
{'短评内容': '就位置来说相当不错，就卫生条件也非常好，床比较舒服 睡觉很稳定。但设施一般，这个价格就有些偏高了', '短评打分': 5}
{'短评内容': '酒店环境比好，室内卫生状况也比较好，周围的有很多食品店及餐馆，比较方便', '短评打分': 3}
{'短评内容': '地理位置方便，店内条件还不错，值得推荐 \r\n', '短评打分': 5}
{'短评内容': '+已入住', '短评打分': 5}
{'短评内容': '真的很好  很温馨 很舒适', '短评打分': 5}
{'短评内容': '周边环境一般，停车场有点小，但是，房间是新装修的很干净，服务员态度不错，性价比还可以！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 1}
{'短评内容': '不错 第二次住了 ', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '价格再便宜些就好了！', '短评打分': 5}
{'短评内容': '金广还是不错的，比如家便宜一点点。\r\n提些意见：\r\n1、早餐太简单了；\r\n2、建议送些茶叶等，成本应该没什么；\r\n3、我住了3天2夜，中途没给我换牙具；\r\n4、电视考虑更新一下吧，现在液晶也很便宜，还显档次；\r\n5、建议上无线网络；\r\n6、房间没有“永久性电源”，手机充电不方便。其它快捷一般都有的。', '短评打分': 5}
{'短评内容': '好，服务员服务态度很好。', '短评打分': 5}
{'短评内容': '离府西街不远，办事等都挺方便的', '短评打分': 5}
{'短评内容': '很不错的酒店。特别是前台的微笑服务深深打动我。', '短评打分': 3}
{'短评内容': '价格较高', '短评打分': 5}
{'短评内容': '很适合来太原公出的人员居住，经济实惠。', '短评打分': 3}
{'短评内容': '酒店的性价比还是可以接受的,与它的各方面条件也都挺相符的,地理位置一般吧.', '短评打分': 5}
{'短评内容': '很舒适！下次到太原很乐意还住这家！', '短评打分': 5}
{'短评内容': '早餐选择太少，房里的电视信号不好，其它服务都还不错，出行也便利', '短评打分': 5}
{'短评内容': '饭菜太差了', '短评打分': 3}
