{'descr': '非常好非常好', 'star': 5}
{'descr': '此店在市中心，出去玩很方便，第一次住如家，确实干净，热水什么的也都很好，房间也够大，住着确实舒服，跟汉庭一样', 'star': 5}
{'descr': '还可以，位置不错，卫生一般，晚上有些吵，值得推荐', 'star': 5}
{'descr': '说实话，房间还是挺好的，各方面都挺满意的，唯一不足的是：隔音不太好，尤其是靠马路的房间，窗外车水马龙的，没法睡，强烈建议宾馆加装双层玻璃窗', 'star': 5}
{'descr': '服务态度很好，可以推荐~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '很好，比较安静。推荐入住。', 'star': 3}
{'descr': '各方面多还可以。空调不是很好。下次会考虑住的', 'star': 5}
{'descr': '很不错的地方，下次还来！服务员态度杠杠的', 'star': 5}
{'descr': '还行还行 还行 还行 还行，就是不爆早餐啊不包括早餐', 'star': 5}
{'descr': '酒店个方面 服务都很不错 就是停车稍微有点困难  ', 'star': 5}
{'descr': '房间干净，服务尚可，有个胖胖的值班经理笑的很可爱。', 'star': 5}
{'descr': '隔音效果太差，环境不错，住的那天晚上，有人喊救命，把大家都搞醒了，杯具呀\n，希望酒店方加强管理，让客人能够安心睡觉\n\n', 'star': 5}
{'descr': '如家酒店就是干净清爽，服务业好，之前是以个靠近楼梯口的房间，觉得太吵，就去换个房间，服务员很周到，换了个安静点的。以后还去。', 'star': 5}
{'descr': '服务很亲切，房间干净，床单被套不是很干燥，希望可以改进', 'star': 5}
{'descr': '酒店很干净舒服。感觉很好。以后还会来住。', 'star': 5}
{'descr': '酒店在繁华地段，闹中取静。前台服务热情迅捷，房间干净舒适，感觉很满意。以后来启东就住这家如家了。', 'star': 5}
{'descr': '干净，整洁，性价比很高，就是车位多一点就更好了', 'star': 5}
{'descr': '感觉很干净，很整洁值得推荐，早饭能送就更好了', 'star': 5}
{'descr': '酒店很干净 服务也不错 如果能送早餐的话就更棒了', 'star': 5}
{'descr': '属于启东比较实惠的宾馆，秉承了如家的品质，周围交通也不错。不过ELONG没有数码房预订，比较可惜。', 'star': 5}
{'descr': '如家也住过几次，总体感觉还可以。只是房间比较小。早餐还是物有所值的！', 'star': 5}
{'descr': '格调很温馨、卫生很到位、就是隔音效果有待改善', 'star': 5}
{'descr': '交通很好，但不要住601，因为他就在通道口，很压抑的一个房间', 'star': 5}
{'descr': '住的是大床房，房间干净整洁，窗户是过道窗，隔音不是最好。', 'star': 5}
{'descr': '选这家主要是考虑 价格实惠，如家的一贯风格，卫生方面外面杂牌军比还是很有竞争力的。\n这家的缺点是：不隔音，走廊上一大早就有人大声说笑，在房间内能听得一清二楚，靠近电梯的房间还能听到电梯停靠“叮”的声音。', 'star': 5}
{'descr': '我今晚8点之前入住，请帮我保留房间，尽量宽敞一点的，谢谢了', 'star': 3}
{'descr': '不错的酒店，值得推荐，价廉物美，嘿嘿！下次还去', 'star': 5}
{'descr': '很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境还不错，就是靠马路的房间早上车辆会比较吵。', 'star': 3}
{'descr': '酒店挺干净，就是隔音不好。停车位太少，车子就停在马路边，主要是没有酒店人员管理引导。', 'star': 5}
{'descr': '隔音效果太差，总体感觉不是太好。不是很推荐大家入住', 'star': 1}
{'descr': '环境不错,很适合出差住宿!', 'star': 3}
{'descr': '环境很好,价格也公道', 'star': 3}
{'descr': '房间干净卫生,服务员也和热情,下次来还住这家酒店!', 'star': 5}
{'descr': '房间不错，很干净，很温馨，品质一直有保证，服务员很礼貌，服务很周到，隔音效果也还可以。', 'star': 5}
{'descr': '房间干净设施好，但隔音太差，服务员7点开始拍门打扫。', 'star': 3}
{'descr': '酒店不错，如家一样。', 'star': 3}
{'descr': '房间还是一般，位置还可以，价格还是挺好的，基本和快捷酒店都差不多。', 'star': 5}
{'descr': '很好很温馨，干净舒适，很不错，下次回家还住那', 'star': 5}
{'descr': '前台很热情，春节期间房客较多有忙不过来的感觉，门口停车位有些少，周边生活很方便的说，值得入住，如果有无烟房或者家庭房就更好了，很多人是回家探亲的，这样更符合客人需求。', 'star': 5}
{'descr': '前台还是不错的 要求加床也安排了 不过估计是春节的原因吧 热水明显不足呢 不知能否改进呢', 'star': 3}
{'descr': '和其它城市的如家差不多，位置还算方便，下次还会再去住。', 'star': 5}
{'descr': '酒店是新的，环境还可以，就是房间的隔音效果比较差，价格还可以，在市中心，总体说来不错', 'star': 5}
{'descr': '房间还行就是隔音不怎么样!', 'star': 3}
