{'短评内容': '很不错的酒店住几次了', '短评打分': 5}
{'短评内容': '在二级算可以的 个人觉得还是贵了些  装修老了些', '短评打分': 5}
{'短评内容': '涨价后性价比不好了，交通还可以，现在早餐也不行了。', '短评打分': 5}
{'短评内容': '已经住几次了，感觉还是很不错的，以后继续住这里！', '短评打分': 5}
{'短评内容': '住得还不错。自驾停车不怎么方便。', '短评打分': 3}
{'短评内容': '位置很好,酒店也不错,就是暖气不足感觉比较落后冷.', '短评打分': 5}
{'短评内容': '位置很好  交通方便  餐饮服务还可以  房间很安静   性价比不错', '短评打分': 5}
{'短评内容': '自贡最好的酒店之一，不错，每次去自贡都住雄飞，价廉物美', '短评打分': 5}
{'短评内容': '大堂比较气派，前台服务热情，办事快捷，房间安静，舒适，下次还来住', '短评打分': 5}
{'短评内容': '酒店细节方面比较差劲，特别是酒店电视和遥控板已经很古老了，而且几乎丧失了相应的功能，按很久都没反应！卫生死角比较多，更可恶的是浴缸里面还有明显的污垢痕迹和毛发，洗澡间设计也不科学，冲洗和浴缸是在一起的，洗澡后卫生间全是溢出水……此外，酒店前台是坐着为客人办理手续的，显示出对客人的不尊敬，一般四五星级酒店都需要站着为客人服务的，细节决定成败！这样的价位下有些后悔，不过幸好是自己第一次来体验入住的，建', '短评打分': 1}
{'短评内容': '性价比较高，可以一住。唯一感觉不太好的地方：就是被子的舒适度不够。', '短评打分': 5}
{'短评内容': '内部设施不错，地理位置也不错，就是房间没有地毯感觉不太好。', '短评打分': 5}
{'短评内容': '酒店有点年份了，内部装修都有点旧。房间放置的收费物品太多了，少点档次。', '短评打分': 5}
{'短评内容': '市中心，房间不错,。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间里空间挺大的，卫生做得很好，感觉干净整洁，挺舒适。 \n', '短评打分': 5}
{'短评内容': '非常好的酒店，价位比较便宜，房间的舒适度也很好，早餐没有以前的好了，但是还是不错。', '短评打分': 5}
{'短评内容': '在这个地方算性价比比较高的四星酒店了!还算干净，位置也还不错，就是旁边没啥好吃的地！', '短评打分': 5}
{'短评内容': '位置和环境都不错，建议可以换一下电视。。。\r\n', '短评打分': 5}
{'短评内容': '位置和条件都比较好,很安静,就是到8楼商务房间不方便 ', '短评打分': 5}
{'短评内容': '四星级的酒店，在自贡就他和汇东好点，但是汇东的价位超高，雄飞就非常不错，各方面的指数都超过平均，很不错，一般到自贡都住这里。现在的早餐比以前稍微少了点，但还是不错。', '短评打分': 5}
{'短评内容': '服务很一般,第一天晚上升级了一个套间,但估计是弄错了,第二天早上硬是让我补了几十元的差价,结账非常慢!!', '短评打分': 1}
{'短评内容': '商务楼服务需提高', '短评打分': 5}
{'短评内容': '进入酒店一股怪味，空调制冷效果不好，早餐品种少，酒店停车还要收费，不爽', '短评打分': 1}
{'短评内容': '自贡的这个酒店还是不错的，性价比较高！', '短评打分': 5}
{'短评内容': '地毯太脏了，应该好好洗一下。电视信号太差，其他的还不错，商务和旅游都是不错的选择。', '短评打分': 5}
{'短评内容': '商务楼太远了，性价比没有原来高了。', '短评打分': 5}
{'短评内容': '春节到自贡看灯会的时候入住，位置非常好，也比较卫生，住的还是靠江边，夜景很漂亮，推荐入住。唯一遗憾的是停车在酒店下面露天停车场还要收停车费，不爽。', '短评打分': 5}
{'短评内容': '去自贡度假不错的选择，也是唯一的1-2个不多的选择之一，去住吧。\r\n早餐不错。', '短评打分': 5}
{'短评内容': '卫生条件好，交通便利，窗外风景不错。', '短评打分': 5}
{'短评内容': '交通比较方便，早餐很丰富的哈，下次还会入住这家酒店的哈。', '短评打分': 3}
{'短评内容': '设施略显陈旧，应该装修一下。', '短评打分': 5}
{'短评内容': '真的很差，呵呵我还是第一次评差', '短评打分': 1}
{'短评内容': '地理位置很好，靠江边，房间还算宽敞，卫生间还是半天放式的，位置不错，就是电视差了点，呵呵！还是很值得推荐的。', '短评打分': 5}
{'短评内容': '还不错的，就是房间走廊较长。', '短评打分': 5}
{'短评内容': '大年三十、初一两晚入住，感觉很好，卫生打扫得非常干净，服务人员态度非常好，房间设施很齐全，宽带、冰箱、保险柜、自费用品食品饮料一应俱全，就是电视老了点儿，该配高清平板电视了，现在电视价格也降下来了，三千的36寸平板液晶应该是此类星级酒店的标配了。', '短评打分': 5}
{'短评内容': '房间距离电梯太远', '短评打分': 5}
{'短评内容': '价格一般，早餐不错。', '短评打分': 5}
{'短评内容': '房间设施稍显成旧', '短评打分': 3}
{'短评内容': ' 自贡老牌星级酒店，位于老城区，购物比较方便。', '短评打分': 3}
{'短评内容': '市中心的大酒店，性价比是绝对的优势！\r\n酒店总体设施非常好，房间里的设施应该相对的改进一下，地理位置也很好。值得推荐@', '短评打分': 5}
{'短评内容': '酒店房间里的设施太陈旧了,感觉达不到四星级的标准,而且空间很小,地理位置还可以,不过整体的性价比不是很好.', '短评打分': 3}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '标间设备设施低于四星级标间标准', '短评打分': 1}
{'短评内容': '配套设置和环境配置得都比较好，早餐也很好，服务质量也不错。交通来说稍微远一点。', '短评打分': 5}
{'短评内容': '服务态度很好，无骚扰电话！', '短评打分': 3}
{'短评内容': '卫生好，服务态度好，早餐丰富，但蔬菜少，四星宾馆中觉得性价比很好！', '短评打分': 5}
{'短评内容': '酒店服务员的态度不错，就是房间旧了一点。', '短评打分': 5}
{'短评内容': '酒店位置不错，观景房还可以，但酒店标示有美发厅，去洗头时，却告知没有，有点失望', '短评打分': 5}
{'短评内容': '在自贡能够住到如此的酒店已经感到比较满足了，当然不能与大城市的酒店进行比较了。', '短评打分': 5}
{'短评内容': '从去年到自贡开始一直在这里住。房价在当地不算便宜的了，但性价比还是蛮高的。完全是按照四星级的服务来的。房间有点小，这是唯一美中不足的地方。位置在自贡来说也算是不错的了。周末或者晚上到河边喝喝茶，打打牌，很不错。', '短评打分': 5}
{'短评内容': '酒店的餐饮方面还是不错的,住宿条件比较一般,里面设备有些陈旧,性价还能接受吧.', '短评打分': 5}
{'短评内容': '在自贡来讲同等星级的酒店就有两家，这家从位置价格来讲都很有优势，环境硬件设施比较达标，卫生服务也很好，性价比很好的四星级酒店值得推荐入住。', '短评打分': 5}
{'短评内容': '服务还不错，开车过去的，出行方便，当时住的套房358元，感觉有点偏高了', '短评打分': 5}
{'短评内容': '自贡老城区的，打车出行还是比较方便的，起步价吧，环境硬件设施舒适度也都还不错，价格也比较合理适中值得推荐入住的酒店类型。', '短评打分': 5}
{'短评内容': '酒店的价格到不贵，但条件感觉一般，没有自贡汇东大酒店条件好，以后去可能不会在选择这家酒店', '短评打分': 1}
{'短评内容': '在县级城市来说，这个酒店还算不错的，住了两天，感觉服务，环境都还不错', '短评打分': 5}
{'短评内容': '酒店还成,但是洗手间里的手纸质量不是很好,其他方面都还可以接受,环境也不错', '短评打分': 5}
{'短评内容': '每次去自贡都是住这家酒店，位置很方便，房间的设施也挺舒适的', '短评打分': 5}
{'短评内容': '总体来说不错，就是在该酒店停车还要收我10元，觉得有点不爽。', '短评打分': 3}
{'短评内容': '这个酒店手脚有点不干净，上次手机被偷了 一直到现在他们没有给一个答复！', '短评打分': 1}
{'短评内容': '总体还可以，对得起4星。但早餐小孩要另收费让人心中不爽，其他酒店都不收。小孩实际吃不了什么东西。', '短评打分': 3}
