{'短评内容': '卫生干净，饭菜便宜实惠', '短评打分': 5}
{'短评内容': '比较干净整洁，服务态度不错，停车也方便。就是房间隔音效果太差了。', '短评打分': 5}
{'短评内容': '房间还可以，不是很贵。值得一去', '短评打分': 3}
{'短评内容': '一个人住来这个酒店是不错的选择，经济实惠', '短评打分': 3}
{'短评内容': '还不错哦，性价比挺高，位置也还不错，住的挺合适', '短评打分': 5}
{'短评内容': '第二次入住，其他的同上', '短评打分': 5}
{'短评内容': '前台的服务还可以。在立交桥旁边，有点不好找。吃饭的地方有点远，旁边还有一个大超市，要一站路。去高铁很方便。', '短评打分': 5}
{'短评内容': '很干净 空间一个人住也刚好 非常喜欢这种格局 下次还会入住  只是附近吃饭不太方便 ', '短评打分': 5}
{'短评内容': '房间很干净，隔音效果一般，无窗的屋子会很闷，有网线，电视，空调，这个价位已经非常好了', '短评打分': 5}
{'短评内容': '性价比高。', '短评打分': 3}
{'短评内容': '房间还不错 ，麻雀虽小五脏俱全，还比较干净，就是隔音有点差。总体觉得还好', '短评打分': 3}
{'短评内容': '从济南西站出来坐K156直达门口，交通很方便~', '短评打分': 5}
{'短评内容': '大体尚可,就是位置稍偏', '短评打分': 3}
{'短评内容': '如果要赶早上的高铁或者动车，住在这里很好的，离开济南西客站比较近，打车最多10分钟，公交车有4趟可以到西站的，也就是20分钟就到了。', '短评打分': 5}
{'短评内容': '房间太小了，桌子也小，只能放台笔记本。不过这个价格也就这样。', '短评打分': 3}
{'短评内容': '前台很友善，服务很贴心。房间小而干净，性价比高。', '短评打分': 5}
{'短评内容': '其它还好，就是新房刚装修，还有异味存在。桌子有点小，放个电脑就差不多满了，床还比较大。。。。主要还是室内空气控制的有点不好。。。', '短评打分': 5}
{'短评内容': '挺好，干净，就是没有拖鞋比较麻烦。。。。介意的话，慎重考虑', '短评打分': 5}
{'短评内容': '酒店设施不错，很齐全，环境也很清静，晚上休息比较好！', '短评打分': 5}
{'短评内容': '房间小巧，精致，隔音效果好，前台服务热心周到，强烈推荐', '短评打分': 5}
{'短评内容': '很干净，有点如家的感觉', '短评打分': 3}
{'短评内容': '干净整洁 隔音效果较好 服务热情 在立交桥西南角 不是太好找', '短评打分': 5}
{'短评内容': '酒店挺暖和，也干净，坐公交车也方便，还能上网！', '短评打分': 5}
{'短评内容': '酒店位置交通很便捷，对于第一次来济南的外地人来说很容易找到。前台服态度很好。房间干净整洁，就是有些小。此外，没有一次性拖鞋，需要出一元钱买，没有一次性洗漱用品，其他都OK！', '短评打分': 5}
{'短评内容': '酒店两厕均有公交站，挺方便', '短评打分': 3}
{'短评内容': '房间隔音效果不太好,走廊里的走路声都能够听见，墙壁也很薄，应该是木板不是砖块', '短评打分': 1}
{'短评内容': '好找，从火车站打的大概要18元，内部环境也不错，就是室内没拖鞋，一个人，两个人住都行', '短评打分': 3}
{'短评内容': '房间虽然小 东西很齐全 关键 是 便宜啊 ', '短评打分': 5}
{'短评内容': '地点在立交桥旁边，不是很好找，位置在路边，旁边是加油站和物流中心，环境还是比较安静\n就是房间小了点，并且床头不能关灯，必须下床去关灯，隔音效果一般', '短评打分': 5}
{'短评内容': '服务人员的态度非常的好，房间很干净，房子一个人住刚合适，物美价廉！', '短评打分': 5}
{'短评内容': '还不错，就是房间小了点，以后还会来的', '短评打分': 3}
{'短评内容': '不错，如果明天去西站顺利，以后还会考虑入住', '短评打分': 5}
{'短评内容': '非常不错，物有所值！可以走路越800米去西边的超市下吃饭', '短评打分': 5}
{'短评内容': '很好 老顾客 一直都来  服务很好  房间很干净 ', '短评打分': 5}
{'短评内容': '房间很舒适 性价比很高 服务也很周到 但是周边环境比较偏僻 按照网站上的地址从汽车站打的过来司机找不到 后来还是司机大叔打电话给酒店前台才弄明白的 希望能再具体点儿把地址说清楚', '短评打分': 5}
{'短评内容': '虽然旧了点，不过还是很好。肃静，交通也方便', '短评打分': 5}
{'短评内容': '房间很干净，物美价廉', '短评打分': 3}
{'短评内容': '时尚简约，但是房间过小，电视过小，刷牙的杯子是一次性的不好，希望多多跟布丁学习', '短评打分': 5}
{'短评内容': '环境服务非常不错，房间小但很有感觉，安排合理，床的软硬也适中，很棒。', '短评打分': 3}
{'短评内容': '房间较小但干净，感觉不错。没有浴巾只有毛巾不太方便', '短评打分': 5}
{'短评内容': '房间很小，但是非常的干净整洁，热水很好。总之还不错。', '短评打分': 3}
{'短评内容': '进来第一天，印象就很好。房间干净，床上用品干净，洗手间也干净，灯光也明亮。网络尤其好用。服务员姑娘热情有礼，还主动将手机借给我们打电话找老朋友并指点道路和公交。\n所不足的就是没有电话，对外联络不便。门前缺少便民的餐饮。\n下次来济南，我还会选这里。', '短评打分': 5}
{'短评内容': '不错，离市区远了点。', '短评打分': 3}
{'短评内容': '距离市区有些远。服务还好。有些难找到。因为是立交桥下，会遮挡视线。', '短评打分': 5}
{'短评内容': '酒店蛮好，就是周围太荒凉了', '短评打分': 3}
{'短评内容': '不错，房间很干净，就是隔音稍差，不过还好，客人不多很安静', '短评打分': 5}
{'短评内容': '酒店距离西外环很近，交通便利，现在西二环经十路以北正在修路，估计修好后交通会更好些，订的无窗房间，有点闷', '短评打分': 5}
{'短评内容': '酒店很干净，房间是小点，这价格实惠。', '短评打分': 3}
{'短评内容': '再次入住了这家,不说别的,品质依旧;距离济南西客站非常近,房型虽有一些紧凑,但非常的舒适,交通也算得上比较便利,有多路公交车直达市中心;', '短评打分': 5}
{'短评内容': '环境不错服务好价格便宜', '短评打分': 3}
{'短评内容': '酒店距西站不远，附近也方便。房间很小，几不隔音。价格便宜就没那么多讲究了', '短评打分': 3}
{'短评内容': '就是地理位置比较偏僻。环境还是很好的。榻榻米房也很有感觉。', '短评打分': 5}
