{'descr': '卫生情况一般，靠马路的房间很吵，设施不好用。', 'star': 3}
{'descr': '环境还行，交通一般，边上有小吃，价格还算可以，性价比高。', 'star': 5}
{'descr': '周边交通还行。。。吃的地方好像不是特别多。。。', 'star': 5}
{'descr': '整体还不错吧，交通方便，蛮清爽的，值得推荐一下。', 'star': 5}
{'descr': '酒店环境很好，服务总结还可以，就是浴室的门边的门槛有点不适应，差点被绊倒了', 'star': 5}
{'descr': '房间比较干净，帮同事订的，之前北京同事来出差，都住的这家酒店，离市中心也进。走5分钟。', 'star': 5}
{'descr': '前台服务不错，有问必答，还免费赠送早餐，下次还会入住的', 'star': 5}
{'descr': '反正住得无惊无险。没有想像中的好，被单没有洗干净。卫生间打扫不干净。', 'star': 3}
{'descr': '整体感觉不错，交通便捷，房间卫生、整洁。', 'star': 5}
{'descr': '很不错的酒店，只是不是数字电视，房间不大不小，有很多衣挂', 'star': 5}
{'descr': '客房环境干净整洁；餐厅早餐不错；美中不足的是房间里的空调，我住的是530房间，空调开启后有一股严重的烟味，建议及时清洗。', 'star': 5}
{'descr': '快', 'star': 3}
{'descr': '一般。房间小，设施一般，服务一般，位置还可以。', 'star': 5}
{'descr': '整洁干净，但是靠马路的房间晚上还是很吵的  靠里面的要好一些 ', 'star': 5}
{'descr': '挺好的，虽然没有窗的房间，但房间干净，色调舒服，周边环境也不吵，交通也方便', 'star': 5}
{'descr': '床比较舒服,就是房间小了点,总体来说比较干净,价钱就是有点高了，可能是市中心的缘故', 'star': 5}
{'descr': '价格中不包含早餐，稍贵了些。qita其他选择少了些', 'star': 5}
{'descr': '出行和购物都很方便，值得推荐，如果能改善一下早餐就更好了', 'star': 5}
{'descr': '环境还好，但价格相对贵了些！！！bijiao比较干净', 'star': 5}
{'descr': '酒店的房间不是特别干净，地上也都是灰尘，而且陈设都比较旧了，房间也特别小，住的不是很舒服。唯独就是地段比较好', 'star': 5}
{'descr': '房间比较小，卫生不是太好，卫生间的地上很脏', 'star': 5}
{'descr': '订的是商务间，挺好的，床和枕头都很软，就是无锡蚊子挺多的。', 'star': 5}
{'descr': '一般', 'star': 5}
{'descr': '解放西路的这家店比较旧，里面的卫生间设施都比较旧了，而且也很脏，地上的灰斗被扫到了墙角的缝里，洗澡区也很脏，房间很小，就只能放的下两张床，而且8楼的房间对面就是餐厅一股油臭味，住着很不舒服', 'star': 5}
{'descr': '位置很好，离中心5分钟，房间也很新，就是感觉房间小了点，不过满舒适的。', 'star': 5}
{'descr': '感觉锦江之星就是比其他的连锁更正规些，希望保持，并不断改进！', 'star': 3}
{'descr': '交通方便，房间太小，服务一般。早餐不错。', 'star': 5}
{'descr': '位置不错，停车位比较少，价格没啥优惠，房间比较小，但还是比较舒适！', 'star': 5}
{'descr': '酒店很干净，服务员也很热情周到，地点也不错，推荐。', 'star': 5}
{'descr': '一次性预定了好几间房，客人同时入住的。居然就算我一间入住，其他取消……搞什么！', 'star': 1}
{'descr': '锦江之星全国连锁，品质还是有保障的。', 'star': 5}
{'descr': '位置比较尴尬，不算特别热闹的地方,房间太小了。', 'star': 1}
{'descr': '此酒店非常不错，值得下榻', 'star': 5}
{'descr': '地理位置很好，很方便，而且房间比较安静', 'star': 5}
{'descr': '蛮不错的酒店，房间很干净，设施完善，性价比不错，下次还会住的', 'star': 5}
{'descr': '蛮不错的酒店，房间很干净，设施完善，性价比不错，下次还会住的', 'star': 5}
{'descr': '非常好！就是房间大小不一了！到了前台一定要说要大房间，前台的才会给你了！', 'star': 5}
{'descr': '酒店管理和服务没有人性化，大床房和标间的价格是一样的，房间明明有空，让换一下就是不可以，酒店非常的小，地点也不大好，以后不会再选择了。', 'star': 1}
{'descr': '酒店给我安排的房间硬件设施条件还不错，卫生条件也很好，就是有点吵.', 'star': 5}
{'descr': '很舒服的酒店', 'star': 5}
{'descr': '位置还不错，位于无锡市中心，离大成巷步行街很近。马路上在修路，灰尘很多。', 'star': 5}
{'descr': '酒店位置不错！  房间装修也比较新，性价比也很好', 'star': 5}
{'descr': '总体感觉还不错的 ', 'star': 5}
{'descr': '酒店的地理位置不错，就在大成巷步行街后，出门很方便。房间比较清爽，其他都还好。', 'star': 5}
{'descr': '干净舒适的酒店', 'star': 5}
{'descr': '这家酒店位于解放西路上，非常便利，可以步行去市中心。交通比较方便，门口也有停车场。服务非常好，值得选择。', 'star': 5}
{'descr': '还应该多提供一些商务方面的服务，比如旅游、租车等。', 'star': 5}
{'descr': '酒店非常好,卫生和服务方面做的都非常到位,位置也非常好找,性价比也比较合理,是一家值得推荐的酒店.', 'star': 3}
