{'descr': '房间干净卫生', 'star': 5}
{'descr': '不错的地方，大家可以去住，我强烈推荐，性价比比较高', 'star': 5}
{'descr': '万通内部设施较新，房间内也很干净，因处于闹市区，晚上有点吵。', 'star': 5}
{'descr': '宾馆很好，房间大而且干净，服务热情，就是位置在小巷不太好找到', 'star': 5}
{'descr': '鼓楼点这家如家环境挺好的。设施配置比较新，位置出行也很方便。', 'star': 5}
{'descr': '房间整洁舒适，配置齐全，位置出行方便。', 'star': 5}
{'descr': '地理位置很好，市中心地段上的，出行很方便。', 'star': 5}
{'descr': '位置有些偏.不太好找,不过硬件和软件条件还不错,房间住起来挺舒服的.', 'star': 5}
{'descr': '酒店的硬件设施配置比较全，环境还不错。', 'star': 5}
{'descr': '标准的设施和服务，简洁舒适的装修，房间提供纯净水，这非常好，因为我每天都要泡普洱茶。位置也很好，附近有许多小吃，出门往南街口有一家很好吃的羊肉店，叫“昊宏铜锅居”，烤羊排烤羊腿涮羊肉都很好，还很便宜，可以去尝一尝。', 'star': 5}
{'descr': '房间很干净，设施配置也很达标的一家连锁店。', 'star': 5}
{'descr': '房屋空间不错，比一般的如家要宽敞很多，服务态度不错，值得推荐！', 'star': 5}
{'descr': '如家', 'star': 5}
{'descr': '比较喜欢如家；开始担心不好停车，这家能很方便停门口，而且保安很负责看守。', 'star': 5}
{'descr': '位置非常好，楼下就是夜市，周围是商业区。第一天热水很好，但是居然从第二天晚上11点半到早上9点我们离店都没热水了，打了几次电话也没解决。房间不算大，有点拥挤，相对呼市这个价格有些高。床上的弹簧很咯，浴液和洗发水质量不好，空调噪音大。早上网速快，晚上慢。其他还好啦。', 'star': 1}
{'descr': '出去外地一般都喜欢住如家，这次同样没让自己失望，很满意', 'star': 5}
{'descr': '房间很干净，配套设施完善，服务周到热情，价格偏高。', 'star': 5}
{'descr': '属于闹中取静，晚上休息的很好。出行也很方便。', 'star': 5}
{'descr': '位置算是很好的，很方便出行，价格合理适中。', 'star': 5}
{'descr': '酒店的位置很好，中心地段出行很方便，环境设施很达标。', 'star': 5}
{'descr': '酒店的淋浴很舒适，水温调节和水量都很好。环境也很不错。', 'star': 5}
{'descr': '酒店的设施配置都还不错，看上很整洁。卫生服务也都很达标。', 'star': 5}
{'descr': '一贯的如家，唯一的缺点是位置偏，不易打车。', 'star': 5}
{'descr': '房间干净舒适，卫生很彻底。布置简单舒适，很温馨的酒店。', 'star': 5}
{'descr': '還可以,但千萬別開窗,否則室外會有惡臭飄進來.', 'star': 5}
{'descr': '很好的酒店', 'star': 5}
{'descr': '酒店整体不错，卫生情况很好，就是网速稍慢，前台结账还不能刷卡，希望能够改进。', 'star': 5}
{'descr': '位置很方便,房间里面也很干净,设施什么的都不错,就是没有早餐,有可能和那边的生活习惯有关.', 'star': 3}
