{'descr': '这价位可以了', 'star': 4}
{'descr': ' 服务非常不错 我到去之前主动联系我发送详细路程 毫不费力找到酒店 位置在商圈 很方便 就是价格稍贵 如果能稍降 下次去南京会再去', 'star': 3}
{'descr': '看上去很清爽，有点温馨的小家的感觉，也挺安静，如果能多注意细节上的卫生会更好', 'star': 3}
{'descr': '公寓酒店顾名思义，感觉既不像是住酒店，也不像是在家，介于二者之间的感觉！虽身在闹市，却特别的幽静，但是心底不是特别喜欢这个感觉', 'star': 5}
{'descr': '总体感觉良好、服务很到位、分店选择很多、挺干净的、不足的是床稍微有点响、、', 'star': 5}
{'descr': '位置不错~就是房间不大，小区附近很多小吃，也挺安全的小区。', 'star': 5}
{'descr': '非常好的酒店哦。第二次入住。服务很好。只是有些房间的灯坏了，修得比较慢\n', 'star': 5}
{'descr': '非常好的酒店，可以给90分。唯一的缺陷是床单被套不是天天换。', 'star': 5}
{'descr': '地段好,安静,服务周到,性价比较高。', 'star': 3}
{'descr': '房间大小感觉正好，微波炉，电吹风，电磁炉，洗衣机都有，如果有需要的话还是很方便的~楼层比较高，相对比较安静，但是晚上睡觉的时候楼上不知道是在装修还是住户太吵了，一直有奇奇怪怪的敲击声，睡得心惊胆战的~其他都还不错~', 'star': 5}
{'descr': '房间大，交通方便', 'star': 3}
{'descr': '房间要比实际的小很多，卫生不太干净，冰箱里客人留下的东西也没清理。\n因楼层比较高，比较安静。', 'star': 1}
{'descr': '一般吧，房间蛮大的，但布置简单，如果常住的话还可以，旅游睡一觉没什么优势。', 'star': 1}
{'descr': '酒店不错 很方便 就是价钱有点小贵 电视设备稍微陈旧了点', 'star': 5}
{'descr': '有点家的感觉,比较自在,交通方便,下次来还住这里', 'star': 5}
{'descr': '第一次住公寓感觉还是不错的,离地铁口也不是很远.退房时还送了优惠卷.', 'star': 5}
{'descr': '总体感觉不错吧~位置、交通都还好，设施也不错。入住的时候电视有点问题但第二天就修好了', 'star': 5}
{'descr': '还可以，是个可以选择公寓酒店。东西比较齐全。', 'star': 5}
{'descr': '一般，年轻人喜欢', 'star': 3}
{'descr': '非常好。位置很适中，交通也方便，住宿很舒服，唯一不足就是感觉室内空气好像不太流通，感觉很闷，有点干燥！', 'star': 5}
{'descr': '酒店很好，而且服务态度也很不错，还是很满意的。', 'star': 3}
{'descr': '房间设置比较一般，但服务却是有宾至如归的感觉', 'star': 5}
{'descr': '服务人员很热情 初次到南京就感受到南京人的热情 尤其是前台接待的大姐很贴心的打过电话询问我到没到南京 还发过来如何坐车如何到达酒店的短信 这让我感到很是这家酒店服务的体贴和亲切 因为安排的楼层较高所以视野很开阔 屋内的采光和通风也很好 附近的交通十分方便 从住处到地铁只要走大概7 8分钟 从酒店到新街口只要5分钟 到夫子庙从楼下坐两站车就到 另外到其他景点也有直达的公交很是方便 还有楼下的快餐和超', 'star': 5}
{'descr': '酒店还行就是开车过去不方便，没地方停车，停在酒店大楼停车场要花钱的，建议不要开车比较好，设施虽然很陈旧但是房价挺大的，位置也很好', 'star': 5}
{'descr': '房间在16楼，宽敞明亮。自助的厨房是一个亮点，厨具碗筷可以在值班办公室借用，比较方便。\n建议是：公寓保洁工作能否做得更到位？卫生间瓷砖上有一些积尘看着不舒服，床上用品偏旧了，该更新了。', 'star': 5}
{'descr': '酒店设施比较齐全，有冰箱、洗衣机、热水器、空调、电视机、电磁炉、厨房用具（要到服务台另领），还比较方便，但是卫生情况没有网上评论的那么好，家具上能看见灰尘，房内纸巾等用具要提醒才会换或添加。服务态度还不错，比较热情，能提供承诺了的服务项目，比如代买火车票什么的，但是代理费偏高，帮我买两张火车票收了40元中介费。', 'star': 5}
{'descr': '非常舒服 房间大 服务周到 景观很好 非常推荐！', 'star': 5}
{'descr': '很方便,也很实惠.环境也很好,靠近繁华地区,买东西很方便.', 'star': 5}
{'descr': '大老远赶到南京住进这家店，实在是无语。光线昏暗，家具油漆斑驳，电视后面一层尘土，一团电线。卫生间里还有上位客人的牙刷，坐便器上还有上位客人的毛发，放浴巾的台子伸手一抹全是土。洗衣机上也是斑驳的痕迹。找到阿姨她一口标准南方话使劲听能懂一半。淋浴间刚刚够转个身。不知店方会怎样辩解，但这是事实。', 'star': 1}
{'descr': '干净整洁，设施全面，连微波炉、电磁炉都有（虽然我们没有用到）。酒店周围的交通也很方便，地铁公交都有。\n我们订的是经济房，到那儿时经济房用完了，结果给我们住了商务房，很爽啊:)\n办理手续时快速而简便，尤其是退房时，很快就办好了。\n这次住的非常开心，下次来南京玩，依旧会首选这家酒店，也会向亲朋好友力荐的。', 'star': 5}
{'descr': '非常贴心的酒店。我们人还没到，就打了多次电话来问我们何时到，把具体地址和乘车路线发到手机上。到了还出来接我们。酒店也非常干净整洁。客房的阿姨要赞一个，有什么需要一打电话，过不了多久就上门服务。酒店地理位置也好，出门走一小段就可以坐地铁，到新街口也只要走不到十分钟。方便。大到家电、小到洗衣粉什么的都有。除了冰箱里的食品，其它都是免费的。卫生间的纸也每天都有换。房间的唯一遗憾就是洗澡的地方小了点。再来', 'star': 5}
{'descr': '卫生整洁、交通方便，下次我会再去的，也会推荐朋友的。', 'star': 5}
{'descr': '很干净很清爽很宽敞的感觉，在新街口算是性价比很高的酒店', 'star': 5}
{'descr': '超赞~第二次住了，还是感觉很好，设施非常好，有洗衣机，冰箱，微波炉，房间设计的很人性化，比较温馨~最主要是很干净很清爽很宽敞的感觉，在新街口算是性价比很高的酒店~前台阿姨的服务态度特别好~因为酒店是公寓式的高层，所以特别的安静~~房间基本都是朝南的，很明亮，也可以晒衣服~如果有机会再来南京，一定只住他家~', 'star': 5}
{'descr': '总的感觉还可以, 有点象家的感觉. 下次还会选择住这里.', 'star': 5}
{'descr': '房间不错', 'star': 3}
{'descr': '房间显得很大，但是显得古旧。也显得很简陋。\n性价比还是不错，在洪武路离市中心也近，总归还不错。\n但是有一点，停车太贵了，一个晚上要40块，酒店不给报销的。', 'star': 5}
{'descr': '间宽敞明亮，晚上很安静，床上用品也舒适，每天都能睡个好觉，服务人员非常热情，唯一不足就是卫生间地面不是很整洁', 'star': 5}
{'descr': '酒店所处地理位置好，设施一般，但给人有到家的感觉', 'star': 5}
{'descr': '位置很好，离地铁和公交车站都不远，去哪都方便。房间宽敞明亮，晚上很安静，床上用品也舒适，每天都能睡个好觉，服务人员非常热情，唯一不足就是卫生间地面不是很整洁，毛发看着不舒服，还有窗户也该擦擦了，窗框有很多土。再去还会选择这里。', 'star': 5}
{'descr': '离新街口商圈十分近，步行只需十分钟即可到达中央商场，设施较新，服务员均为阿姨，房间也够大，但有星级宾馆情结的人，不适合到此住宿。', 'star': 5}
{'descr': '都不错，热水很好。位置也很好。被子有点薄，不过说了之后就给加了床被子', 'star': 5}
{'descr': '很不错，有家的感觉。下次一定还来~~~~~~~~', 'star': 5}
{'descr': '位置合适，价格适中，很好的酒店，推荐下，下次还会住的', 'star': 5}
{'descr': '出门在外很难有温馨的酒店。但是约瑟夫的感觉很不错。逛了圈南京基本算是高档小区，过年期间小区的人还放烟花，仿佛自己也是其中一份子。\n交通便利，附近有地铁，出租车很多。超市也很近。\n阿姨态度不错。\n设施完备，包括吹风机，微波炉，冰箱，电磁炉，锅子。洗衣机等。\n房间相比连锁酒店算是蛮大的。也蛮干净的。\n不错,推荐！', 'star': 5}
{'descr': '有家庭旅馆的感觉。房间很宽敞，但是感觉卫生工作不太到位，不过阿姨的服务态度还是不错的。房间内的提示信息缺乏，甚至没有留前台办公室的电话。不能预授权，必须直接付款。一般吧。', 'star': 1}
{'descr': '酒店的地理位置交通非常方便，酒店很干净，我住的是家庭间，不错!服务态度令我很满意，住着很开心。下次来还会住这里。', 'star': 5}
{'descr': '住了两天，感觉很不错，接待人员很随和，像家的感觉一样~', 'star': 5}
{'descr': '非常舒适温馨，性价比很好。下次我还会住，服务也不错。老板娘很热心。有家的感觉', 'star': 5}
{'descr': '服务人员素质很高，服务很周到，周边环境很好，交通很便利。', 'star': 5}
{'descr': '房间很宽敞，基本设施都有，服务上很周到，出行也很方便，值得推荐一下。', 'star': 5}
{'descr': '酒店价格挺公道的，服务一流，卫生也不错，这次住的很满意。', 'star': 5}
{'descr': '酒店挺不错，硬件软件方便都很好，价格也挺合适的。', 'star': 5}
{'descr': '酒店很不错，服务很专业，卫生很到位，住的起来很舒适。', 'star': 5}
{'descr': '  不错', 'star': 3}
{'descr': '酒店服务卫生都很好，设施该有都有，周边交通也很便利。', 'star': 5}
{'descr': ' 已入住', 'star': 3}
{'descr': '性价比 不错 酒店式公寓很有感觉 服务也好 但房间的摆设 应该相对更新', 'star': 5}
{'descr': '位置不错，空间很大也很安静和安全。。。。。。', 'star': 5}
{'descr': '地点很好，逛街非常方便，服务也很热情！！！！！！', 'star': 5}
{'descr': '公寓式，有家的感觉，位置也好，还给升级了，挺棒的！', 'star': 5}
{'descr': '交通便利~环境也很好~~服务也不错~~总体都不错~恩！', 'star': 5}
{'descr': '性价比不错但服务要提高服务总台不好找连标志都没有', 'star': 5}
{'descr': '凯宾酒店公寓是一家设在居民楼中的公寓，楼下没有明显的标志，服务态度很好，房屋设施也不错，就是下雨时因房内有厨房所以臭味大。', 'star': 5}
{'descr': '上次也是住的这家~~卫生环境很好~总体感觉不错~~', 'star': 5}
{'descr': '不错，有一种家的感觉，在街面上有标志就好了，太难找了。', 'star': 5}
{'descr': '非常满意，比我想象中的酒店公寓好，地理位置非常好。设备很齐全，冰箱微波炉洗衣机及厨房设备都有，很有家的感觉，性价比很高。', 'star': 5}
{'descr': '服务员很热情，住宿有家的感觉，再到南京一定要到这家店，真的很方便！！！', 'star': 5}
{'descr': '老板很热情，会亲自带你上门交待房间情况。网络是单独的拨号上网，速度很快。卫生干净，设施齐全，还有洗衣机、电冰箱、电磁炉。房间很安静。 但阴雨天厨房下水道很臭。 地方不好找，没有挂牌，接待设在大厦B座10层的一间小房子，感觉不是很专业。房间是钥匙，让人有顾虑。 只有一个人办手续，有时需要等待。', 'star': 5}
{'descr': '店长及员工都很热情。', 'star': 5}
{'descr': '+就在新街口旁边，挺方便的！', 'star': 5}
{'descr': '不错的.重要的是非常安静. 房间全是实墙,隔音效果非常好.', 'star': 5}
{'descr': '酒店服务人员服务态度很好,非常热情周到.周边交通也较为便利', 'star': 5}
{'descr': '不错的服务态度，而且房间舒适度很好，性价比高，离夫子庙很近，就在新街口', 'star': 5}
{'descr': '位置很不错，而且是公寓式的，有厨房设施，可以自己做饭，所以性价比更高。不足之处就是床不舒服，明显能感觉到身子下面的弹簧。', 'star': 5}
{'descr': '公寓式，挺方便，但是床有点骼', 'star': 5}
{'descr': '房间的床坐上去就会发出吱吱声，卫生间的淋浴下水道堵，马桶有异味，空调声音太响晚上没发入睡，而且公寓内预定到退房查房都只是一个员工在忙，需要客人耐心等待查房结果，房间内没有电话，客人有需要一定要坐电梯去1008房通知那里值班的阿姨，而且大厦是高层，电梯不太好等，公寓使用的是钥匙，安全上不太有保障，实在没有想象的好，以后不会入住。', 'star': 1}
{'descr': '住过的公寓式酒店中最舒服的一个了，老板很热情。内部设施很棒，电器很全了，尤其是洗衣机的性能很好，比我自己家里的好多了，哈哈。以后去南京，还会选择这家酒店居住的！听说在青岛也有分店，打算过几天去参加啤酒节的时候居住啊！', 'star': 5}
{'descr': '无可挑剔的酒店~来南京一定再来！！', 'star': 5}
{'descr': '很有家的感觉', 'star': 5}
{'descr': '网络不通畅．停车位不够多，其它各方面都不错.综合水平比较高.', 'star': 5}
{'descr': '还不错，位置挺好', 'star': 5}
{'descr': '酒店管理一般,不过服务员还不错', 'star': 5}
{'descr': '还算满意吧，200以下的酒店算比较实惠的', 'star': 5}
{'descr': '总体感觉还不错！人很热情！', 'star': 5}
{'descr': '总体来说服务还是不错， 但房间的硬件条件还欠妥， 尤其是床真的很硬， 需要改善。', 'star': 5}
{'descr': '主要是不太卫生，服务位置都挺好，方便，床睡的不舒服', 'star': 1}
{'descr': '呵呵，不得不给个好评，老板服务非常周到，我们到的时候还来接我们了呢。位置也很不错，出门五分钟步行就到新街口，离夫子庙也很近，环境非常不错，很有家的感觉，这次真是选对了地方呢，早上我们五点退房，老板亲自来给我们退，一点也没有耽误时间，还送了优惠券。下次再去南京，一定还会住这里的。', 'star': 5}
{'descr': '服务人员很专业，而且凯宾是在外出行不错的选择，很有新鲜感，也有家的感觉', 'star': 5}
{'descr': '给我的感觉很是干净，于安静，住起来很舒服，感觉很好', 'star': 5}
{'descr': '感觉，这家酒店一直在进步，去年来了就感觉不错，今年再来感觉他更上一层楼了', 'star': 5}
{'descr': '交通很是便利，来的时候问出租车司机，司机说这家酒店在当地还算比较出名的一家，很好找', 'star': 5}
{'descr': '有一种家的感觉，房间里有厨房浴室，各种家用电器一应俱全，用起来很舒服，很是温馨', 'star': 5}
