{'短评内容': '我住的那天，热水坏了，服务态度很好！', '短评打分': 5}
{'短评内容': '在火车站附近的小胡同,很安静。服务员态度很好。 我去的很晚 ，服务员很仔细的给我指导路线', '短评打分': 5}
{'短评内容': '在火车站附近的小胡同,很安静。服务员态度很好。', '短评打分': 5}
{'短评内容': '真的很不错啊，比想象的好多了，而且下车就到，交通方便极了', '短评打分': 5}
{'短评内容': '这次入住不错，下次再去，每次都有不一样的感觉，很方便，离火车站很近', '短评打分': 5}
{'短评内容': '  我以入住如家 总体感觉房间太小 不像图片上介绍的一样', '短评打分': 3}
{'短评内容': '酒店位置不错，楼下有几家吃饭的价格也比较合理，距离火车站客运站也非常近，只是我比较倒霉，赶上宾馆维修管道，一直在停水，但是前台接待的态度那是真的很好，下次去还住这里', '短评打分': 5}
{'短评内容': ' 齐齐哈尔站前点的如家服务态度非常好，标间够宽敞，装潢一般，电视是老式的21寸，床上用品非常一般，房间里有异味。', '短评打分': 3}
{'短评内容': '距离火车站稍远，服务一如既往的好。推荐入住。', '短评打分': 5}
{'短评内容': '典型的如家风格，在客运站后面，离火车站稍远了点，周围环境乱糟糟的。', '短评打分': 5}
{'短评内容': '不错的酒店，干净、整洁，房间较大，虽靠近火车站但闹中取静，很好的休息场所。', '短评打分': 5}
{'短评内容': '酒店环境很好，虽然屋子小点，但是很温馨，期待下次光临惠顾，谢谢。', '短评打分': 5}
{'短评内容': '别的都很多哦，就是房间小点，但是很温馨。', '短评打分': 5}
{'短评内容': '酒店位置很不错！很安静，很干净！特别是服务非常好！离店时我不慎将手机充电器忘在房间里，打电话沟通后，很快地就安排给我发快递！很感谢！当时值班的经理姓陈。', '短评打分': 5}
{'短评内容': '很专业，很干净卫生，交通也便利，没说的，强烈推荐大家选择如家，唯一的不足是价钱还是高，希望能再实惠些', '短评打分': 5}
{'短评内容': '我觉得这个酒店性价比还是蛮好的  服务态度也不错哦 加油吧\n', '短评打分': 5}
{'短评内容': '房间太冷，窗户用塑料布封上也是透风，没有餐厅', '短评打分': 1}
{'短评内容': ' 如家环境很好。', '短评打分': 3}
{'短评内容': '无餐厅，房间冷的要命，离开酒店的当天就开始发烧，4天才退烧。下回去住龙南店。', '短评打分': 1}
{'短评内容': '一直都很喜欢如家，服务态度很好~以后还会选择', '短评打分': 5}
{'短评内容': '住的还行。主要周边是市场，从火车站一直走到那大概10分钟左右，一般住住是可以的', '短评打分': 5}
{'短评内容': '服务还行 标准如家', '短评打分': 3}
{'短评内容': '服务不错 蛮干净 标准如家！ 楼下有点吵闹 不过可以忍受 ', '短评打分': 5}
{'短评内容': '入住如家酒店很有家的感觉，干净，舒适，24小时热水，非常方便，下次还住如家。', '短评打分': 3}
{'短评内容': '环境不错，离火车站不是很远，价格也合适，推荐~~~', '短评打分': 5}
{'短评内容': '很方便 楼下很多餐馆 离火车站和商业区都不远 条件很好', '短评打分': 5}
{'短评内容': '这间如家店明显比南方的质量差一些。厕所间的漏水不畅。以至于无法正常使用。房间小到不适于使用。', '短评打分': 5}
{'短评内容': '还是一如既往的感觉.不错', '短评打分': 3}
{'短评内容': '很好！不错，很干净，整洁，值得推荐。.............', '短评打分': 5}
{'短评内容': '优点：与其他如家管理一致，干净温馨，服务还可以；\n缺点：火车站店距离火车站还挺远；餐厅都已经很长时间了，还没有修理好！', '短评打分': 5}
{'短评内容': '房间很不错，室内很干净，离车站很近，不过隔音不太好，洗手间的门不太好用', '短评打分': 5}
{'短评内容': '\n酒店交通便利，离火车站非常近，下面就是水果市场，对面有个海鲜自助，公交也很便利，坐公交到站前市场下就可，室内很干净，就是地有点滑，从洗手间出来一定要小心，主意安全', '短评打分': 5}
{'短评内容': '离火车站不远，但位置稍偏，没有明显标示。房间隔音不太好。还算整洁。', '短评打分': 1}
{'短评内容': '酒店干净整洁，虽然房间小点儿，但感觉很舒服！', '短评打分': 3}
{'短评内容': '离市中心很近，房间一如锦江之星惯有的干净，喜欢住锦江之星干净整洁，服务态度好。交通便利，离索菲娅广场仅一步之遥，离火车站仅8元还因为早餐比如家丰富。', '短评打分': 5}
{'短评内容': '如家一贯的风格，前台服务态度不错，停车场小了一点，进出不太方便，酒店离火车站挺近，齐齐哈尔人还是很不错的，挺热情，乐于助人，', '短评打分': 5}
{'短评内容': '环境整洁，干净，设施不错。价格公道80分吧', '短评打分': 5}
{'短评内容': '干净整洁，服务员有礼貌，价格适中，性价比较高！', '短评打分': 5}
{'短评内容': '这个城市的如家很便宜，环境很好，屋子也比较大，连锁酒店卫生条件没的说，离火车站稍微有点远，但是步行可达，到其他的地方也很方便，打车起步价全都解决', '短评打分': 5}
{'短评内容': '酒店环境不错，室内卫生挺好，隔音效果还成。服务态度不错，总体来说很不错！值得入住。', '短评打分': 5}
{'短评内容': '还可以，房间还可以，隔音不太好。洗澡水哗啦想。还是值得住的', '短评打分': 3}
{'短评内容': '总体来说如家酒店还不错，但是价格贵了一些，与同价位的7天酒店相比，有待提高！', '短评打分': 5}
{'短评内容': '条件还不错，离车站比较近，价格实惠，设施比较齐全，20字20字20字20字20字20字20字20字20字', '短评打分': 5}
{'短评内容': '稍微有点冷,网速有点慢,其他好可以,出差要求没那么高', '短评打分': 5}
{'短评内容': '一般吧，不如住过的其他地方的如家好，较小，不过比其他的宾馆放心些', '短评打分': 5}
{'短评内容': '如果是赶火车的话，这个位置还是很合适的，楼下环境很乱， 我是冬天住的，估计夏天会很吵。 第一次去齐齐哈尔的话，这个位置还是很难发现的， 建议如家在地铁站附近设置向导广告牌，房间里面很干净 冬天的暖气不够温暖 窗户也是单层所以在齐齐哈尔的冬天室内就很凉了。还有就是不要在楼下的小饭馆吃饭 极度不好吃， 附近的药店很多，如有生病也无需担心购药的问题。前台服务还不错！ ', '短评打分': 5}
{'短评内容': '是给朋友定的房，结果前台在看到了2个大人1个小孩儿的情况下，给了个1米5的大床房，害的朋友自己换的房\n\n刚开始办手续的时候，人多，结果前台有个刚来的服务员，一直搞错，旁边的服务员就在旁边看，帮忙指点什么的，没说不对，但是总不能在人多的时候搞培训吧，一说还不乐意，什么服务意识啊', '短评打分': 1}
{'短评内容': '虽然黄色的标识是挺显眼的，但因为在巷子中间位置，如晚上到达的话酒店还有点难找到。前台服务热情周到，交通还算便利。', '短评打分': 5}
{'短评内容': '环境不错，但是走道噪音太大，厕所温度太低，其他都很好，服务很热情，早餐还行', '短评打分': 5}
{'短评内容': '酒店本身，不要选择高层，会有空调热水器声音，服务态度好。东临火车站，南挨着客运站，北临食品杂货批发市场，上车饺子下车面，应有尽有，海鲜自助烤肉拉面应有尽有。', '短评打分': 5}
{'短评内容': '不错还不错呀！\n服务不错\n设施不错\n！！', '短评打分': 5}
{'短评内容': '邻近客运站，交通方便，房间很干净，服务很好．．', '短评打分': 5}
{'短评内容': '＋房间很小，只可转身，不可大动。', '短评打分': 5}
{'短评内容': '位置还不错，服务业还可以，周围是火车站和汽车站，吃的也算方便，不过初到齐市，有些失望。。', '短评打分': 5}
{'短评内容': '淋浴水很大，房间及服务比较满意。酒店在火车站边上，周边环境杂乱，车胎盖被盗', '短评打分': 5}
{'短评内容': '还不错\r\n方位地段都不错\r\n卫生服务都还好！！！', '短评打分': 5}
{'短评内容': '离齐齐哈尔火车站很近，走路5分钟吧。卫生挺不错，服务态度也很好。餐厅的饭菜也很好吃，下次出门还会选择如家。', '短评打分': 5}
{'短评内容': '如家有的前台语气态度极差，打电话过去能把人气死！', '短评打分': 5}
{'短评内容': '比较好老婆说有点家的感觉', '短评打分': 5}
{'短评内容': '如家是比较好的选择，无论是地角还是酒店各方面软硬件设施都是出行的好选择。', '短评打分': 5}
{'短评内容': '退房时竟然说少了一条浴巾？不知道这些人搞什么？', '短评打分': 1}
{'短评内容': '还不错，就是齐齐哈尔的火车站前面的交通不方便。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店环境卫生不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '所处位置比较不错，环境很舒适', '短评打分': 5}
{'短评内容': '还可以，性价较高。', '短评打分': 3}
{'短评内容': '还可以！性价比还可以的酒店！', '短评打分': 5}
{'短评内容': '主要是干净', '短评打分': 5}
{'短评内容': '刚才那条评的是齐齐哈尔新玛特宜必思', '短评打分': 3}
{'短评内容': '房内设施不错，空间很宽敞，大床房不是1.8的，两个人住有点不舒服，电视使用的大锅，没有CCTV5等频道，服务一般，向前台要求换一根长一点的网线被告之没有。总体来说一般般吧，没有如家便宜', '短评打分': 3}
{'短评内容': '房间有点小，而且靠着马路，大部分房间早上会比较吵，但性价比非常高', '短评打分': 5}
{'短评内容': '位置离火车站较近，性价比非常高，值得入住。', '短评打分': 5}
{'短评内容': '交通便捷。房间很暖和。宽带速度满意。\r\n门口停车困难。房间隔音较差。第八层没有电梯，如果有行李的话建议事先和总台协商。\r\n', '短评打分': 5}
{'短评内容': '交通方便,位置偏僻,夜晚安静,房间太小了.', '短评打分': 5}
{'短评内容': '藏在胡同里，周围环境看起来挺糟。但离火车站、汽车站都很近，出龙华路、龙沙路都很便利，适合旅游出行。房间较小，设施一般，但很干净。值得称道的是服务员很热情，让人如沐春风，加分不少！\r\n', '短评打分': 5}
{'短评内容': '各方面都不錯.', '短评打分': 5}
{'短评内容': '还可以，下次还会住在这里', '短评打分': 3}
{'短评内容': '卫生还可以很干净，设施完善，地理位置交通方便，服务热情周到，性价比不错的酒店值得推荐', '短评打分': 3}
{'短评内容': '还是不错的，距离火车站走路7分钟。', '短评打分': 5}
{'短评内容': '还可以，下次还会住在这里', '短评打分': 5}
{'短评内容': '房间很舒适，床垫软硬度适中。早餐服务员态度差，早餐非常一般，辣白菜和桔梗都有酸味了。衣挂质量次，挂上衣服居然断了，酒店没有任何解释，居然让顾客赔偿损失5元，我衣服因为酒店的衣挂质量次掉到地上弄脏，给我赔偿损失了吗？！！', '短评打分': 1}
{'短评内容': '如网友所言确实难找，因为藏在胡同里，周围环境看起来挺糟。但离火车站、汽车站都很近，出龙华路、龙沙路都很便利，适合旅游出行。房间较小，设施一般，但很干净。值得称道的是服务员很热情，让人如沐春风，加分不少！', '短评打分': 5}
{'短评内容': '我打车去酒店的时候，因为酒店在胡同里，好多司机都不知道这里有如家快捷，而且他周边的生活设施，餐厅商场什么的也比较少，而且司机还给了我一张如家快捷10块钱的优惠券，但是到了酒店却说那个过期了，不能用，但是我到齐齐哈尔另外一个如家，就说可以用，不明白到底是怎么回事，我这次订的这个商务大床房，挺干净的，设施也比较完善，就是房间稍微小点，其他都还不错。', '短评打分': 3}
{'短评内容': '酒店的服务好，我预定 商务大床房  ，酒店给我安排的标准大床房，而且房间太小了，没有其他如家空间大', '短评打分': 1}
{'短评内容': '酒店其他方面都都还不错,毕竟是全国连锁的,不过房间面积有些小,感觉有点挤', '短评打分': 5}
{'短评内容': '酒店非常不错，经济实惠，服务很好。我们当时去的很晚了还给我们留着房间呢，唯一一点酒店没有保安管的停车场，自驾车去停车感觉上不安全，不过也没事', '短评打分': 5}
{'短评内容': '前台服务态度极差，办理好入住手续了，还得等半个小时才能去房间！窗帘还是半截的！\r\n工作人员态度傲慢！', '短评打分': 1}
{'短评内容': 'Good service ', '短评打分': 5}
{'短评内容': '对于齐齐哈尔这个城市来讲，如家这个层次的酒店还算是不错的。', '短评打分': 5}
{'短评内容': '酒店环境不错,装修风格也很喜欢,只是房间面积有些小,感觉有些济.另外床头没有电源接口,不太方便.', '短评打分': 5}
{'短评内容': '房间比较干净的，服务也还不错，而且酒店离火车站也不远，就是价格稍微有点高', '短评打分': 5}
{'短评内容': '感觉非常好，很温馨，很有家的感觉，卫生服务都不错，离火车站不远，价格也很实惠', '短评打分': 5}
{'短评内容': '家的感觉', '短评打分': 5}
{'短评内容': '酒店的服务挺好的，而且干净整洁，硬件也还不错，交通方便，价格适中。', '短评打分': 5}
{'短评内容': '感觉还可以，服务比较好，位置也不错，出行方便', '短评打分': 5}
{'短评内容': '感觉当时住的房间有点小，卫生条件一般，位置是比较便利的，如果短期住还可以，要是住3天以上的话，就不建议住这了', '短评打分': 5}
{'短评内容': '这家酒店的位置很好，离火车站非常近，价格也很合理。', '短评打分': 5}
{'短评内容': '服务卫生都挺不错的,价格也实惠.', '短评打分': 5}
{'短评内容': '酒店各方面都挺好的,只是房间里床和被子的颜色比较深,让人感觉有些压抑,如果满分100分的话,可以给90分', '短评打分': 5}
{'短评内容': '服务卫生还是不错的 ,位置靠近火车站交通购物挺方便的,价格也挺实惠的.', '短评打分': 5}
{'短评内容': '服务卫生还是不错的 ,位置靠近火车站交通购物挺方便的,价格也挺实惠的.', '短评打分': 5}
{'短评内容': '这家酒店靠近客运站,还是有点吵.&lt;br /&gt;\n&lt;br /&gt;\n但员工的服务不错,很有礼貌,见人就打招呼,说明培训得不错,而且住得&lt;br /&gt;\n&lt;br /&gt;\n还舒适,可以上网.如果下次来,还住这.&lt;br /&gt;\n&lt;br /&gt;\n值得向出差人士推荐', '短评打分': 3}
