{'短评内容': '环境好，交通方便', '短评打分': 5}
{'短评内容': '酒店还不错，经济而干净型。', '短评打分': 3}
{'短评内容': '房间紧凑干净，交通方便。但房间之间隔音差了点，通风口有些异味。', '短评打分': 3}
{'短评内容': '设施比较好，比较安静，早餐略有不值', '短评打分': 3}
{'短评内容': '酒店房间太小，窗户锁还打不开，有点郁闷！而且作为国际品牌的宜必思酒店，房间内只提供一套毛巾，当我们提出第二套的需求时则被告知要自己下楼大堂采购，我认为这不是酒店应该使用和处理的方法。应当改进！！', '短评打分': 1}
{'短评内容': '酒店的位置还可以，比较安静。房间太小，很闷，非常压抑。价格太贵，性价比比较低，觉得不值这个价，房间里还没有吹风机。前台的服务还可以，我还借了他们的伞。', '短评打分': 1}
{'短评内容': ' 位置不错，去机场打车很方便，车程20分钟。酒店房间及服务就是快捷酒店的标准，不用太高期待。', '短评打分': 3}
{'短评内容': '整体对的起连锁酒店的名号，特别是一体式的卫生间，虽然小，但是紧凑，干净，值得其他酒店学习，但是实习生太多，造成业务不熟悉，还是需要提高。', '短评打分': 5}
{'短评内容': '不错 舒服 性价比高 下次还会入住的~~~~~~~~~', '短评打分': 5}
{'短评内容': '很舒服，就是房有点小', '短评打分': 3}
{'短评内容': '酒店外观还不错，但房间太小，由于是浴室，像在船仓里，太压抑，且没有浴帽，像女士的话不太方便。感觉适合一人居住。', '短评打分': 1}
{'短评内容': '酒店周边环境不错，酒店服务也可以。房间不是特别大，但是很卫生，很干净，\n而且还提供24小时的供餐服务。是经济型酒店的不二选择。', '短评打分': 5}
{'短评内容': ' 酒店房间较小，但是装修可以，住得比较舒适。', '短评打分': 3}
{'短评内容': '价格偏高，位置还可以，房间一般。没有早餐。。。。', '短评打分': 1}
{'短评内容': '房间整洁，挺安静；\n但是前台工作人员工作效率有待提高呢，入住登记慢，结账也慢......\n打总台电话老是没人接，但是每次经过前台的时候都看见有人在，这应该是态度问题吧。', '短评打分': 5}
{'短评内容': '房间小了一点，但是基本上够用，其他的都不错.', '短评打分': 5}
{'短评内容': '酒店位置不错，22层视野很好，功能性要求满足良好，单人居住比较方便。', '短评打分': 5}
{'短评内容': '酒店位置好，容易打车，员工的服务业比较到位！房间虽小，但是设计合理，充分利用了空间，对空间要求不大的顾客应该会满意！', '短评打分': 5}
{'短评内容': '这家酒店我是为我同学定的。进去后非常的失望。房间面积很小，设施不行，而且还没有早餐，价格还是258.00/晚，比起成都的安逸158连锁酒店差多了。今后不会推荐亲朋好友去住这家酒店了。', '短评打分': 1}
{'短评内容': '房间干净整洁，服务热情细心，设施齐全，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店硬件还可以，软件比较差，服务比较差，性价比比较差。', '短评打分': 1}
{'短评内容': '如果送早点，那就更好了~\r\n环境很好，性价比蛮高的~', '短评打分': 5}
{'短评内容': '早餐太简单，其他方面还可以，房间有点小了，电视节目太少哦\r\n       ', '短评打分': 5}
{'短评内容': '地板吱吱嘎嘎，半夜里人穿高跟鞋走来走去，太吵了', '短评打分': 1}
{'短评内容': '价格很一般没有什么优势，房间还可以卫生设施做的还不错，位置还行，不过酒店还是没有什么特别的地方。', '短评打分': 1}
{'短评内容': '房间不大，但是很干净，布置的跟家一样，感觉很舒适。', '短评打分': 5}
{'短评内容': '酒店位于建筑高层，可鸟瞰周边景观。房间小巧、干净。不足之处：整体浴室噪音较大，上网网速较慢。', '短评打分': 5}
{'短评内容': '服务人员着装统一，个个面带微笑，服务很热情，感觉很亲切。', '短评打分': 5}
{'短评内容': '管理很严格，上下电梯要刷卡，感觉安全性很高，住的很安心。', '短评打分': 5}
{'短评内容': '每次去成都必住！', '短评打分': 5}
{'短评内容': '我每次来成都必选，附近就有百联天虎购物区，巴士得很！', '短评打分': 5}
