{'短评内容': '很差', '短评打分': 2}
{'短评内容': '凌宇酒店环璄不错服务态度好，我很满意。', '短评打分': 3}
{'短评内容': '房间有点小，但干净卫生，早餐挺家常，还不错！', '短评打分': 5}
{'短评内容': '交通方便，房间也还不错，蛮好的', '短评打分': 3}
{'短评内容': '不错早餐很好吃。', '短评打分': 3}
{'短评内容': '房间很不错，虽然小了一点，卫生条件我比较满意，地理位置也很不错！！！！', '短评打分': 5}
{'短评内容': '服务超级周到，态度超好，虽然环境条件一般，但绝对让你出门在外有个好心情，交通也是非常便利！', '短评打分': 5}
{'短评内容': '我擦！！没热水！！！网速慢得可以！！！晚上还有骚扰电话（你懂的），离火车站走路远，坐车极快就到。', '短评打分': 1}
{'短评内容': '酒店的硬件设施稍微老了点，包括房间的灯有不亮的情况，卫生间的水管有漏水的现象存在。\n软件挺好，服务员和前台的接待很好，很热情！', '短评打分': 5}
{'短评内容': '比起那个去哪儿网 团购的好多了.就是什么都是旧的,马桶不出水,洗澡是冷水...态度埠错', '短评打分': 5}
{'短评内容': '好，只是水的问题要重视！。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '整体还不错，物有所值！干净卫生，设施比较齐全', '短评打分': 5}
{'短评内容': '酒店服务很好，离火车站很近，设施不错，就是洗澡水有点凉～～', '短评打分': 3}
{'短评内容': '环境、位置都还可以，这个价格不错了，有些房间靠马路，有时候会比较吵', '短评打分': 3}
{'短评内容': '地理位置优越,门口就有公交通龙门石窟，白马寺,房间也不错', '短评打分': 3}
{'短评内容': '宾馆不错，干净，交通便利', '短评打分': 3}
{'短评内容': '酒店稍微陈旧，但服务很好，也很方便整洁，东西很全，出门就是车站，很方便…满意', '短评打分': 3}
{'短评内容': '酒店很便宜，服务态度也很好。入住十次还免费一次。我很喜欢还办了会员卡', '短评打分': 5}
{'短评内容': '没有想象中好，但是基本还可以，很安全，卫生间也挺干净的，但是房间地方小，早餐很不好吃。前台的大姐态度很好。赞一个', '短评打分': 5}
{'短评内容': '卫生 服务人员态度好、、、、、、、、、、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '位置很好，交通方便，服务很到位，总台的大姐介绍很详细', '短评打分': 5}
{'短评内容': '房间干净，整体环境不错，早餐味道也挺好。出行很方便，出门就有去龙门石窟，白马寺等景点的公交车。离火车站很近，走路十分钟就到', '短评打分': 3}
{'短评内容': '酒店位置不错，步行到汽车站、火车站很近、到王城广场也不远，门口就有公交站到白马寺、龙门石窟，晚上挺安静。早餐的选择是少了点，能吃饱就行，这我倒没什么。', '短评打分': 5}
{'短评内容': '酒店服务态度较好,但是房间空间很小，网速实在是太慢!建议多留意周边酒店!', '短评打分': 3}
{'短评内容': '酒店性价比还是很高的。希望下次再来。', '短评打分': 3}
{'短评内容': '牙刷不够好', '短评打分': 3}
{'短评内容': '交通挺方便，服务人员态度也很好，房间也不错，但卫生间设施老旧，马桶抽水按钮是坏的，台盆看上去也挺不干净的。早餐比较简陋，但也够吃了。洛阳的快捷酒店都偏贵，这个性价比算高的了。', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '    服务态度还好，交通也还算方便。但酒店提供的洗发水和沐浴露质量实在太差，太损伤头发了！洗浴用水水流太小，容易感冒，他们用的太阳能容积太小，热水量有限，稍长一点时间就没热水了，不够两人淋浴用。排风扇功率太小，房间内有异味；空调功率太小，效果比较差！单人间床板太硬，还不稳定。早餐供应还限制，每人一个鸡蛋！早餐菜品才三四样，还包括咸菜！太对不起一晚268元的房价！', '短评打分': 1}
{'短评内容': '交通方便，条件对得起价钱，前台服务非常热情体贴，对条件要求没那么苛刻的可以住', '短评打分': 5}
{'短评内容': '卫生非常差，从地板到卫生间到床单到台面.是我出差10多年住的最差的一次，还188元，可悲呀！还不如江西一个80元的宾馆。\n\n淋浴没有办法用，不是水洒是水滴，没有办法洗！\n\n结果是：穿着衣服睡觉，忙碌一天没有洗澡！强烈不推荐。\n\n', '短评打分': 1}
{'短评内容': '前台服务很好，坐车去景点也很方便。但是宾馆封闭不严，隔音不好。', '短评打分': 5}
