{'短评内容': '环境不错 交通方便', '短评打分': 5}
{'短评内容': '服务不错，位置在哈工大分校附近，离学校比较方便', '短评打分': 5}
{'短评内容': '到了海边的旺季，没得选择，将就了一晚上。还好，很安静。', '短评打分': 5}
{'短评内容': '不满意', '短评打分': 5}
{'短评内容': '房间较大，像公寓。没有中央空调，房间里有两台空调，够用。网线插孔不好找，网线太长，不好用，建议改进。性价比比较高。', '短评打分': 5}
{'短评内容': '盛名之下其实难付。不怎样。连停车场都没有。所有车都停在外面。服务的也不管拿行李。这“四星”的确是冒牌的。我下次也不会再住。', '短评打分': 3}
{'短评内容': '传说中的四星标准，简直差得很远。卫生间也简陋，电灯开关也很土。总之，还不如准三星。早餐拥挤且质量很差。', '短评打分': 1}
{'短评内容': '可能酒店比较忙，我去的时候，卫生间地面积水太多，而且只有一个拖鞋。', '短评打分': 5}
{'短评内容': '       酒店周围环境较安静，住的较舒服。', '短评打分': 5}
{'短评内容': '干净,卫生【特别是床，被子】，服务员的态度好，早餐也不错&#183;还有韩式料理&#183;不错&#183;', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店地理位置相当好，楼下有个家家悦超市，买东西方便，旁边有条街吃饭的很多，后面是哈工大。施舍也蛮新的，卫生的话一般。我住的时候有早餐券送，性价比很高。房间内阳光充足。总的来说是威海非常不错的一家酒店，强烈推荐大家入住。', '短评打分': 5}
{'短评内容': '住的非常舒服，很感谢', '短评打分': 5}
{'短评内容': '房间不是很热，后来更换了房间还不错，服务挺到位。。', '短评打分': 5}
{'短评内容': '酒店房间很好，我住的韩式套间，居然里面还有个榻榻米。好温馨。头一天入住还有水果送。特意要说的是，我们退房时东西太多，我们把一幅朋友送的画扔在在了酒店里，第二天有打电话给酒店，酒店将我们的东西完璧归赵，非常感激。这里提个小意见，就是早餐有些简单，希望酒店能够进一步改善。谢谢！', '短评打分': 5}
{'短评内容': '环境不错，房间照明不够，希望多出特价房。', '短评打分': 3}
{'短评内容': '我觉得这家酒店挺不错的，我上次是去开发区办事，挺方便的，环境也不错，价格实惠，值得推荐', '短评打分': 3}
{'短评内容': '对于这个酒店我的感觉是卫生与服务，这两个是亮点..是真的干净..\r\n在住的两天时间里，对我的态度就很好&#183;想的都很周到..不过美中\r\n不足的是洗浴用品中没有一次性的刮胡刀..这个是唯一让我感觉有\r\n点别扭的地方.不过我还是推荐给大家..', '短评打分': 5}
{'短评内容': '多提供特价房。', '短评打分': 5}
{'短评内容': '此城市为沿海城市，有大批韩国人在此居住。酒店有一些特色房间，比较有意思，服务不错，楼下有一个大超市很方便。机场大巴可以直达，但需要提前和司机打好招呼！', '短评打分': 5}
{'短评内容': '各方面来讲的话算是一般,经济连锁型酒店就是厕所略差一些,地方有一些存水.位置比较方便出行,服务也算不错,就是卫生略差了一此,其它都很.', '短评打分': 3}
{'短评内容': '很好的酒店 位置也很好 早餐也不错 ', '短评打分': 5}
{'短评内容': '酒店服务很好，卫生也不错，交通也很方便，环境很安静，性价比很高；唯一的缺点就是房间的隔音效果有点欠缺。', '短评打分': 5}
{'短评内容': '还ok的一个地方 适合家庭旅游哦', '短评打分': 5}
{'短评内容': '酒店还可以,环境很好,很安静,而且周围交通也比较便利,价格也比较适中,挺不错的', '短评打分': 5}
{'短评内容': '酒店大堂稍微有点旧，设计也不是特别合理，不过环境服务还可以，交通也挺方便的，房间里的硬件设施也挺不错。', '短评打分': 5}
