{'descr': '还不错整体', 'star': 5}
{'descr': '环境还好 日常用品比较卫生 价格便宜 早餐有些差强人意 交通略有不便 总体还好 ', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '荒郊野外 地址和官方的竟然不一样 找半天找不到 写好的火车站接送也无法实现 说是司机过年去了 不怎么样', 'star': 1}
{'descr': '卫生设施倒是都可以，就是位置太偏了晚上打车坐公交都很麻烦，服务态度也行吧，酒店环境其实还是挺好的，价格还算比较合适。', 'star': 1}
{'descr': '卫生设施是可以的，不过地理位置出行不是特别方便周围也没什么商业区逛街吃饭都不是太方便，价格来说还是比较公道，房间采光度也是挺好的。', 'star': 3}
{'descr': '服务不错，新开的店东西挺新，就是交通不方便，早上半天打不上车', 'star': 5}
{'descr': '这个地方虽然偏点，但是总体感觉还可以，是新装修的，新开业的，还不错。', 'star': 5}
{'descr': '离开主干道，因此很安静。但今天洗澡水很冷。大床房房间也比较大', 'star': 5}
{'descr': '卫生，安静。', 'star': 3}
{'descr': '设施卫生还可以，但是位置不是太好找，性价比还可以。酒店环境不错。就是位置不是太方便。', 'star': 1}
{'descr': '正。非常之正。满意。非常满意。', 'star': 3}
{'descr': '酒店整体室内条件还不错,就是位置稍有点偏不是很方便我出行办事,其它各方面都还不错.', 'star': 3}
{'descr': '主要图个方便，性价比还可以，房间卫生挺干净的，服务一般', 'star': 3}
{'descr': '酒店本身没问题，就是距离比较远，而且周边相对比较荒凉，晚上都不敢外出。而且交通不是很方便。', 'star': 1}
{'descr': '非常好，距离近   交通方便 价位合理。。。。。。。。。。。。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '治安状况太差了，朋友入住竟然在客房内遭到抢劫！如果您不是练武术出身最好别住这。', 'star': 1}
{'descr': '环境很好', 'star': 3}
{'descr': '不错，很干净，白色的水龙头很有品。很喜欢', 'star': 5}
{'descr': '都很好，挺干净的，服务员少，地方不好找，要走600米，晕！不过挺安静的.', 'star': 5}
{'descr': '还算可以吧阿是打扫打扫的阿是打扫打扫的 ', 'star': 5}
{'descr': '综合来说还算不错，价格比较合适。就是有点不太好找', 'star': 5}
{'descr': '地点太偏，非常不好找，感觉到了荒郊野岭，自助早餐在高峰的时候是没有什么吃的，高峰的时候厨师在厨房做菜，客人都走了，菜出来了（早餐结束时间是9:30，菜是9:20出来），不知道给谁吃，房间的电水壶全部有问题，开关按钮按下去，马上跳上来，烧水得站在旁边按住按钮，门锁也是坏的，不能锁，女孩子住不安全，工程的人晚上都下班了，没人修', 'star': 1}
{'descr': '感觉各方面都不错，这个店是新开的，设施都很新，就是不太好找，叫万丰路店也不在这条路上。', 'star': 5}
{'descr': '很干净,蛮喜欢如家的装修风格,温馨温暖,家的感觉~', 'star': 5}
{'descr': '位置虽然较偏，但交通还算方便，酒店有专门的免费班车定时发车送住客到地铁站等枢纽车站。酒店的设施设备等都很新。晚上周边环境很安静', 'star': 5}
{'descr': ' 挺好的', 'star': 5}
