{'descr': '酒店很不错，每次都去这家。', 'star': 5}
{'descr': '4月1日到南京，因为酒店周边修路被出租车司机甩在了半道，前台服务员不顾路面泥泞赶过来接我们真的很感动。酒店设施很新我订的是单人房，房间出乎意料的宽敞明亮，卫生干净，服务态度很好，有宾至如归的感觉，以后来南京还会住这家酒店。', 'star': 5}
{'descr': '還不錯，很方便，服務不錯，設備不是非常新的，可能有段時間了，但性價比還是可以的了。', 'star': 5}
{'descr': '还不错，嗯，房间不是很高，就4层，但交通很方便，嗯，新开的，油漆味有点的哦，哈哈', 'star': 5}
{'descr': '金朝好梦不错，很干净！很温馨！', 'star': 3}
{'descr': '酒店不错啊', 'star': 3}
{'descr': '店里的环境不错，可惜就是附近在修路，影响了交通。这里离南京火车站和红山动物园的地铁站还不都不算很远。居住环境不错，很安静。', 'star': 5}
{'descr': '在上海性价比较高,干净快捷。不过我们住在205、206房，下面是一家饭店，早上4点多就开始工作了，有点影响睡眠。建议客人避开住在饭店楼上。', 'star': 5}
{'descr': '帮朋友订的,酒店小了一点，不过挺干净的，总体还是很满意。 ', 'star': 5}
{'descr': '南京火车站周围的几乎都住啦，只喜欢锦江……支持！', 'star': 3}
{'descr': '干净整洁，相比较与火车站周围酒店，停车场很宽敞！', 'star': 5}
{'descr': '离地铁站很近，特别方便，房间的条件也挺好的，性价比很高。', 'star': 5}
{'descr': '入住了二楼房间，房间是标间房，挺舒适的，前台服务员办理入住手续都很热情。自助游入住很适宜，而且附近也有地铁2号线。走路去地铁2号线大概7分钟左右。', 'star': 5}
{'descr': '环境还不错 新装修的好像 交通也蛮方便的 值得去住下 ', 'star': 5}
{'descr': '周围全部在拆迁，交通基本靠走，酒店本身条件不错，就是可惜周围修路', 'star': 1}
{'descr': '酒店的环境真的很好，很安静 就是通往酒店的路还在修 所以不是很好早 不过交通很方便', 'star': 5}
{'descr': '离火车站满近，酒店很安静，吃饭也很方便，总体推荐。', 'star': 5}
{'descr': '不错，帮朋友订的酒店，朋友很满意，就是房间小了点，但性价比还不错', 'star': 5}
{'descr': '还好 各方面都还是不错的交通便利 要便宜点就好了', 'star': 5}
{'descr': '酒店很干净，服务态度很好，只是在修路不太方便', 'star': 5}
{'descr': '感觉还可以吧，这次是陪爸妈来检查身体，就是离火车站近。', 'star': 5}
{'descr': '经济型酒店，入住的还可以，就是晚上房间稍稍有点儿凉！！', 'star': 5}
{'descr': '交通一般 因为下车要走一段路 房间环境还是不错的 比较干净 总体不错', 'star': 3}
{'descr': ' 很好。便宜又干净', 'star': 3}
{'descr': '不错 是在网上订的，一开始还担心能不能成功入住，后来挺顺利。酒店也还不错', 'star': 5}
{'descr': '酒店的地理位置相比之下还算方便，价格也适中！', 'star': 5}
{'descr': '自驾车去的，由于修路不太好找，酒店服务不错。', 'star': 5}
{'descr': '酒店小了一点，不过挺干净的，如果有机会还会光顾。', 'star': 5}
{'descr': '卫生，隔音真好，谢艺L', 'star': 3}
{'descr': '卫生很好.环境一般,价格实惠.值得推荐!', 'star': 3}
{'descr': '离地铁2号线娄山关路站4号出口,步行约5分钟.出行交通相当方便.\n本次住的特价房,房间不大,够用.\n热水,空调都很给力. \n卫生也挺干净的.\n到了晚上能听见地铁开过的声音,但不影响睡眠.', 'star': 5}
{'descr': '酒店环境是蛮好的，位置还是挺方便出行，服务态度和价格都还不错。', 'star': 3}
{'descr': '酒店环境还是挺不错的，而且离我办事地方也很近离地铁站也不是太远，价格还是可以接受，就是早餐酒店也没有不方便。', 'star': 3}
{'descr': '地理位置出行不错就是找起来有点难找，服务态度一般，房间设施看起来比较新的。不过价格当时因为也是世博会吧感觉还是有些偏贵。', 'star': 5}
{'descr': '位置好 干净', 'star': 3}
{'descr': '新开的酒店.室内条件还不错，而且位置好方便出行，住着感觉还可以.', 'star': 5}
{'descr': '客房条件还好，主要是位置好一些比较方便我出行办事，其它各方面条件很不错.', 'star': 5}
{'descr': '房间不错酒店也是新开业的装修很好，服务态度也很好，就是酒店招聘不是太醒目，价格还是挺合适的。', 'star': 5}
{'descr': '酒店地理位置蛮不错离地铁站很近，酒店也是有装修过房间设备都还算蛮新的，态度也很好，价格的话根据酒店地理位置和环境还是蛮值得。', 'star': 5}
{'descr': '临街，但房间内很安静，条件不错，设施比较新，只是房间小了点', 'star': 5}
{'descr': '宾馆不是很大，但是服务还是很贴心的，价格不贵，房间内设施还不错.', 'star': 5}
{'descr': '宾馆条件很好，卫生也很好。工作人员服务态度也不错，我觉得很值得推荐', 'star': 5}
{'descr': '还行，当时不能刷卡，不知现在怎样了！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '不错，环境不错。前台的小妹也比较敬业。谢谢。', 'star': 5}
{'descr': '酒店想不到会如此干净  、整洁，前台、保安和服务员都很热情。这个价值！', 'star': 5}
{'descr': '占时不能刷卡》》》》》》》》》》》》》》》》》》》》》》', 'star': 5}
{'descr': '出乎意料，是个性价比很高的宾馆。设施新，服务热情。', 'star': 5}
{'descr': '已入住很满意', 'star': 5}
{'descr': '这是一个新改造的经济型酒店，还在完善中，不能刷卡，尚没有发票，管理人员素质一般，两次不敲门就直接开门进来，也不管客人是否在房间。', 'star': 5}
{'descr': '新装修 没有发票 不能刷卡 感觉没优惠多少.................', 'star': 1}
{'descr': '十还不错 由于新开业设施很新 干净整洁', 'star': 5}
