{'descr': '豪华大床就是豪华大床', 'star': 3}
{'descr': '酒店卫生一般，大堂及公共区域光线较暗。可能是夏天吧，房间比较潮湿，一楼房间通风较差，房间内有潮湿陈腐气味。价格还算可以吧，建议如果入住要住二楼（一共就两层）。另外，酒店所在地较偏僻，打车不方便，一早赶车，等了快20分钟才有一辆过路出租，差点没赶上车。据出租司机说：如果不是顺路一般不会走这儿。建议如果不是自己开车，最好留出等出租车的足够时间。', 'star': 1}
{'descr': '这里的室内环境很不错，房间很温馨雅致，给人一种眼前一亮的感觉，假如在阳面，光线也不错，大床很舒适，有回家的感觉哦', 'star': 5}
{'descr': '挺安静的！但是地理位置有点偏！床不是很舒服！', 'star': 5}
{'descr': '还算可以。价钱适中。服务态度比较亲切。下次来还考虑住这。', 'star': 5}
{'descr': '周围环境安静，房内设施不错，就是洗浴水少，而且位置有些偏', 'star': 5}
{'descr': '环境挺好 网速太慢 不过价位比较合理 服务员的服务态度也还不错', 'star': 5}
{'descr': '没有热水，早上无法洗澡，很是郁闷。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '环境很好 服务也不错 丢在酒店的东西 酒店还专门给邮寄过来', 'star': 5}
{'descr': '不太喜欢地毯的感觉 不过 酒店的风格挺特别的', 'star': 5}
{'descr': '住宿不错，地方稍偏，店内不提供餐饮但是出门就有吃饭的地方，很方便价钱也不贵。', 'star': 3}
{'descr': '网络太差！很偏。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '酒店内部装潢比较昏暗，晚上开灯后还好点，感觉还有点温馨，但是白天就比较昏昏暗暗的，酒店外观就门脸还不错，其他地方猛的一看差点以为是公厕，让人有点失望。最不能忍受的是交通很不便利，很偏僻，入住时找了2个多小时。', 'star': 1}
{'descr': '酒店位置比较好找 网络还行 人多的时候比较慢', 'star': 1}
{'descr': '环境不错，室内感觉很温馨，服务态度也不错！', 'star': 5}
{'descr': ' 酒店裝飾溫馨，但交通不是很方便。', 'star': 3}
{'descr': '位置很偏 附近没有出租  喜欢走着锻炼的朋友 可以试试这个旅店\n还有就是床品和卫生一般偏下 地毯很脏 ', 'star': 5}
{'descr': '位置很偏 卫生很一般 服务还可以  出租车也不太好找 不喜欢走路的朋友不建议这个酒店', 'star': 5}
{'descr': '环境还好，酒店位置有些偏，隔音很差，走廊很阴暗，服务不好。', 'star': 5}
{'descr': '不错不错  就是有唯一缺点 交通不是很方便。。。', 'star': 5}
{'descr': '帮朋友定的，说环境不错，位置比较偏，195的房间比较大 床大但床品貌似不很新鲜。房间有韵味 适合度假 不适合商旅 ', 'star': 5}
{'descr': '虽然地理位置有点偏，但还是比较经济实惠的，住的还可以，干净卫生！', 'star': 3}
{'descr': '房间很大,床不好,太软了', 'star': 3}
{'descr': ' 屋里有味，在睡觉时太不好受了。别的都还可以', 'star': 1}
{'descr': '是个休息的好地方。就是离公交站点远了点。吃饭的地方少了点，地段不好', 'star': 5}
{'descr': '太偏僻··隔音不好，出差的朋友建议不要选这种地方。', 'star': 1}
{'descr': '环境不错，很安静，就是位置似乎有点偏，房间和服务都不错，网速有点不给力', 'star': 5}
{'descr': '很安静，服务态度很好，距保定市财政局会计服务中心很近，对于有会计考试的人是个好选择。', 'star': 5}
{'descr': '位置较偏僻 里面设置还不错 床很大 很喜欢 弧线的沙发很诱人', 'star': 5}
{'descr': '环境不错！挺好的', 'star': 3}
{'descr': '性价比可以，位置不好找，停车可停到后门的金迪小区院内。175价位房间的设施不错，可以体验，哈。', 'star': 5}
{'descr': '酒店的位置倒是挺好找的，服务态度和价格都挺好的。房间住着也不错，环境感觉很好。', 'star': 3}
{'descr': '很好，房间风格非常犀利，服务也很好，，，，，，，，，，，，，', 'star': 5}
{'descr': '挺好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '价格实惠，环境优雅，就是位置有点偏，不大好找，房间设置简约', 'star': 5}
{'descr': '入住的唐韵雅筑豪华大床房,家私太差，隔音差，还不能刷卡。地理位置偏，不推荐入住', 'star': 3}
