{'短评内容': '很好，但服务很不好', '短评打分': 5}
{'短评内容': '很好酒店 不过最近涨价有点快 菜一般 咖啡厅太冷', '短评打分': 5}
{'短评内容': '很豪华的装修，很大很高的房间，很一般的服务，感觉酒店不知道怎么培训员工。，', '短评打分': 5}
{'短评内容': '很豪华的装修，很大很高的房间，很服务一般，感觉酒店不知道怎么培训员工。，', '短评打分': 5}
{'短评内容': '酒店很不错，床好大，嗲的', '短评打分': 3}
{'短评内容': '物超所值，棒！！！！！！！非常棒！！！！！！！！', '短评打分': 5}
{'短评内容': '环境优美、安静，5星级酒店中的极品，管理到位，适合商旅人士。', '短评打分': 5}
{'短评内容': '很好的酒店。性价比很高。房间好。服务好。环境好。好酒店。 \n', '短评打分': 5}
{'短评内容': '很好的酒店。性价比很高。房间好。服务好。环境好。好酒店。', '短评打分': 5}
{'短评内容': '总的来说，都很棒，帮朋友订的，朋友非常满意。', '短评打分': 5}
{'短评内容': '价格比刚开的时候高了些。环境服务什么的都还过得去', '短评打分': 5}
{'短评内容': '无与伦比，绝对是家物超所值的5星级酒店，唯一的缺点是路难找了一点。', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '环境很好，价格实惠，房间很大，床很舒服。可惜房间还有些装修气味，放电脑的小桌子也偏小', '短评打分': 5}
{'短评内容': '大床房的床超大，是我住过五星酒店里最大的。房间也尽显精致，服务是超一流的，就是早餐不够丰富', '短评打分': 5}
{'短评内容': '在网上看到了这个酒店图片感觉很美，来到酒店看到比图片还美，像是在童话世界里，价格也很超值，虽然距离市区有点远，但是如此美的酒店如果在市中心日单价至少要2000元以上，这个酒店很适合度蜜月用的年轻夫妻住，超级喜欢这个酒店，下次来上海还会住在这里。', '短评打分': 5}
{'短评内容': '设施环境还不错...后来继续住了好几天..', '短评打分': 5}
{'短评内容': '...设施环境还不错...后来继续住了好几天..', '短评打分': 5}
{'短评内容': '这个酒店环境很好，值得推荐，就是周围稍微有点不方便', '短评打分': 5}
{'短评内容': '房间应该不错...给客户代订的...具体情况不详..不过直接前台价格比较贵好像..续住居然还要通过ELONG..汗..', '短评打分': 5}
{'短评内容': '这个酒店很漂亮，也很新，很干净，外宾入住很满意。', '短评打分': 3}
{'短评内容': '很舒适，可惜没有早餐。', '短评打分': 3}
{'短评内容': '同事比较喜欢这个宾馆，环境较好，但是性价比不高。价格偏高', '短评打分': 5}
{'短评内容': '酒店还是很好的，不过位置不是很好打车还行，前台态度不错，价格其实在世博会期间算是比较高的了但是酒店的环境很好，装修应该也是在上海排前几名的了，很不错。', '短评打分': 3}
{'短评内容': '给客人定的酒店，不知道为什么，客人入住的时候居然没有查到有预定，结果等客人回了国，酒店还电话给我要收我一个晚上的房费，经过交涉，是酒店自己的问题。\n酒店的各项都很高，包括价格', '短评打分': 5}
{'短评内容': '酒店位置不是太好找，里面环境挺好房间也很干净，服务不错，对于酒店地理位置来看的话价格还是有些稍贵。', '短评打分': 3}
{'短评内容': '非常非常漂亮的酒店，下次还来...纯欧洲风情..', '短评打分': 5}
{'短评内容': '酒店位置相当不错，设施先进齐全，服务细致，客人非常满意', '短评打分': 5}
{'短评内容': '非常推荐，整体的设计很漂亮很大气，服务也很好。是给别人预定的，都说很不错。下次一定要自己来住一下。', '短评打分': 5}
{'短评内容': '性价比不高，酒店装修气味较重，无论服务还是酒店的设计，比起广州星河湾酒店的标准差太远了。', '短评打分': 1}
{'短评内容': '房间宽敞，装修精美，设施齐全，餐厅规模也很大，饭菜口味很棒，我真的很喜欢这里。', '短评打分': 5}
{'短评内容': '房间以欧式风格为主，布置挺温馨的，设施挺显档次，服务质量也很好，总体感觉很不错。', '短评打分': 5}
{'短评内容': '酒店很棒，花园形式的，设计的很漂亮，服务、卫生、设施都可以接近国际水平，住起来相当舒适。', '短评打分': 5}
{'短评内容': '位置很好，离世博汇很近，游玩还是很方便的。', '短评打分': 5}
{'短评内容': '服务上很好，很细心很周到，设施显得挺新，欧式的设计风格感觉很棒，整个环境让你感觉很舒适。', '短评打分': 5}
{'短评内容': '酒店很棒，服务一流，卫生一流，配套设施也很齐全，离世博又近，值得推荐一下。', '短评打分': 5}
{'短评内容': '好书', '短评打分': 5}
{'短评内容': '酒店主要离世博很近，周边公交，地铁，打车都很方便。', '短评打分': 5}
{'短评内容': '服务很好，办事效率很快，房间很大，布置的也很好，感觉很舒适。', '短评打分': 5}
{'短评内容': '酒店很不错，离世博很近，房间布置的很精致，面积也很大，住的相当舒适。', '短评打分': 5}
