{'短评内容': '位置不错，靠近沙滩，配套也比较完善，赞一个！', '短评打分': 5}
{'短评内容': '挺好的，服务不错，地理位置好，下次还来，酒店环境好，下次还会来的', '短评打分': 5}
{'短评内容': '价格合理', '短评打分': 3}
{'短评内容': '入住行政楼层被告知没有行政酒廊及相关服务;酒店早餐质量较差;离店时礼宾部从经理到门童共三人轮流过来推荐客人做酒店高价车去机场,当客人明确表示坐出租时,三人全部离开无人帮助叫出租车。住过差的，但没想到怡景湾差到这种地步，可笑的五星，建议放入黑名单。', '短评打分': 1}
{'短评内容': '酒店有点旧了，也该重新装修了，春节这几天天气冷，暖气不巧坏了，够呛！', '短评打分': 3}
{'短评内容': '位置不错，设施有点旧了，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '酒店很殘, 入房有很大煙味, 枉為一間五星級酒店!!', '短评打分': 1}
{'短评内容': '房间床很大，但洗手间的设备陈旧，空间狭小，', '短评打分': 5}
{'短评内容': '床很舒服，一个房只有一份早餐不说，早餐很难吃！品种也太少了。', '短评打分': 5}
{'短评内容': '服务非常好，门童都很热情，房间干净整洁，地理位置也不错，值得推荐。', '短评打分': 5}
{'短评内容': 'beautiful hotel. \nthe scene is very good. the sea very near.\n', '短评打分': 5}
{'短评内容': '很好， 海景很漂亮， 服务也好。。。下次还会来', '短评打分': 5}
{'短评内容': '设施比较旧，电视和家具都有点老古董，早餐还算丰富', '短评打分': 1}
{'短评内容': '离海边很近,客房较旧.', '短评打分': 3}
{'短评内容': '酒店的年龄比较长，装修有点旧服务态度不错，前台接待很好和行李的服务都不错。有礼貌', '短评打分': 5}
{'短评内容': '   此酒店还不错   靠近海边', '短评打分': 3}
{'短评内容': '酒店位置还可以，不过房间的设施一般。但是旁边还是有一些餐厅和商店。酒店里有游泳池，还可以。', '短评打分': 5}
{'短评内容': '靠海，风景很好，视野绝对一流, 附近还有吃饭的地方。', '短评打分': 5}
{'短评内容': '面朝大海，春暖花开。高层的海景房风景极佳，真的是个好地方', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '从怡景湾旁边的德瀚转过来的，比德瀚好多了。干净，食物出品好。值得推荐。', '短评打分': 5}
{'短评内容': '同事说不错，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '老外说不错，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '这次在该酒店不是很愉快，在前台等了半天才拿到房。', '短评打分': 3}
{'短评内容': '很好的酒店, 只是房间电视太旧款，看不爽!', '短评打分': 3}
{'短评内容': '有一个很漂亮的室外游泳池，可以直接看到大海，比较漂亮。', '短评打分': 5}
{'短评内容': '面朝大海，春暖花开。高层的海景房风景极佳，而且不贵，真的是个好地方。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '中规中矩的五星级酒店，没什么特别，也没什么可挑剔，综合比较，只是价格稍贵。', '短评打分': 5}
{'短评内容': '房间有霉味，房间空气不流通，设施比较旧，价格不便宜。', '短评打分': 1}
{'短评内容': '很好的酒店，海滨浴场尽收眼底，情侣大道边，交通非常方便，早餐也很好！', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '一般.说是五星级酒店,但是感觉顶多是家四星级酒店而已.房价贵,但服务却很一般.', '短评打分': 1}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '我於復活節期間入住，原本計劃住兩晚。當上房時，一出升降機就聞到很大怪味，空氣很不流通。當入到房時怪味仲大，我家人有些想吐，很不舒服。於是要求調房，但酒店稱間間房都一樣，最多係房中噴些清新劑。我即時想轉酒店，但已入住，所以取消明曰預定，酒店稱有5星，不知怎樣取的？', '短评打分': 1}
{'短评内容': '酒店设备比较老了，房间霉味比较大，餐饮也比较一般，不像五星级酒店，最多是个准四星级。', '短评打分': 1}
{'短评内容': '还是那么好。就是价格涨了', '短评打分': 3}
{'短评内容': '酒店外覌勉强四星, 店内装修陳旧, 走廊漆黑, 房间有很重味道, 地毯污穢, 洗手间很小, 牆身地磚都黑黑, 卫生奇差, 三星级別, 酒店管理工作不到位. ', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '无敌海景，不错，早餐品种都不错，中西结合。', '短评打分': 5}
{'短评内容': '风景这家独好。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '该酒店处于闹市区，方便在汉口办事，交通方便，酒店还算新，服务也可以，但是标4星可能有些高，设施与4星，以及价格和酒店设施还是有些差别。无论如何还是值得推荐', '短评打分': 5}
{'短评内容': '周边环境还可以，价格在珠海算贵了，服务还不错。', '短评打分': 5}
{'短评内容': '房间很不错！酒店位置也很好！就是价格有点高！', '短评打分': 5}
{'短评内容': '不错，很满意，真正海景房！', '短评打分': 3}
{'短评内容': '老酒店，房间内用品不老。早餐很好，位置好出门有沙滩可看海。值得住。', '短评打分': 5}
{'短评内容': '这个酒店绝对不错，靠海，风景很好，附近还有吃饭的地方。', '短评打分': 5}
{'短评内容': '住这家1500多.真的有点贵.我去到前台看到的价格和网上定的好象一样哦.洗澡的水真的太小了.估计再5年以上的年纪了.......', '短评打分': 5}
{'短评内容': '看了点评选的这家酒店，酒店很不错，房间大，干净，相当物有所值，以后来这里还要住，', '短评打分': 5}
{'短评内容': '海景比较好,早餐服务酸过得去.房间设施比较旧,上网要收20元.', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '风景很好.房间设施卫生和五星不符.上网还加收25元.', '短评打分': 5}
{'短评内容': '卫生问题还是得注意注意，价格偏高，娱乐设施不齐整', '短评打分': 1}
{'短评内容': '服务还不错', '短评打分': 5}
{'短评内容': 'hao', '短评打分': 5}
{'短评内容': '酒店的房间有点小，窗外海景不错，就是结账时告诉我说裤架坏了一个，耽误我很长时间，让我很郁闷，以后住5星级的酒店一定的检查一下衣服架子是否完好！', '短评打分': 5}
{'短评内容': '酒店有点旧了，电视太小，不符合我心目中五星级酒店的形象。', '短评打分': 5}
{'短评内容': '地理位置还不错,硬件设施有些陈旧,可能是老酒店的原因,房间面积不是很大.不过海景不错.适合渡假.', '短评打分': 5}
{'短评内容': '酒店还行房间还不错，价格还是稍微有些高了，服务态度还可以吧，位置很明显的挺好找的。最主要是酒店能看到海景，其他的都很不错要是价格再便宜一些就更好了。', '短评打分': 5}
{'短评内容': '酒店的环境还可以，卫生设施都还行，价格还是有些贵了，位置还行。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，设施完善，地理位置交通方便，下次还会入住的', '短评打分': 5}
{'短评内容': '在海边， 离市中心5分钟车程， 很方便， 就是价格有点高', '短评打分': 5}
{'短评内容': '服务还挺周到的，房间面积比较小环境比较简单了设施一般.位置很好.从室内看外面的风景很直观.', '短评打分': 5}
{'短评内容': '很好的酒店。', '短评打分': 5}
{'短评内容': '可以接受', '短评打分': 5}
{'短评内容': '酒店的位置应该是珠海最好的，配套设施还可以，但地下停车场太窄了，房价还不便宜！！！！！！！！', '短评打分': 3}
{'短评内容': '酒店外围的风景非常美丽，空气很好，而且能听到海的声音．就是停车场太小了．', '短评打分': 5}
{'短评内容': '老旧', '短评打分': 1}
{'短评内容': '價格過高,網路還要收費,不合理', '短评打分': 1}
{'短评内容': '经常住此酒店。感觉性价比不错，只是觉得改重新装修了', '短评打分': 5}
{'短评内容': '经常住怡景湾，现在感觉有点旧，该装修了，不过服务还是不错的', '短评打分': 5}
{'短评内容': '酒店看海景非常好,设施有些达不到5星标准,卫生服务很不错,地理位置很优越.', '短评打分': 3}
{'短评内容': '设施旧，豪华海景房间小，性价比低。', '短评打分': 1}
