{'短评内容': '有家的感觉，还不错的，交通也方便，离火车站近的，', '短评打分': 5}
{'短评内容': '还好吧，房间挺大的也很安静，就是配套设备有点旧，算划算的了。', '短评打分': 3}
{'短评内容': '床睡的很不舒服，腰酸背痛的，原来床板是空心的，唉，不过位置方便，还算干净', '短评打分': 1}
{'短评内容': '交通较为方便，但是卫生环境状况不佳。对于要求不高的旅客可以考虑。', '短评打分': 1}
{'短评内容': '其实还不错，作为一个公寓，洗浴设施算是可以的了，热水很大，有吹风机，整体来说是划算的，周围玩的地方很多购物方便，楼下晚上有很多吃的，交通也可以，离火车站很近，我们是去赶飞机，下了楼就打到了的士，国庆期间算是划得着的了，只是沙发有点脏', '短评打分': 5}
{'短评内容': '酒店房间大，可能是公寓的关系，交通方便，对的起这价位', '短评打分': 3}
{'短评内容': '太简陋，还好很干净，价格有点贵', '短评打分': 3}
{'短评内容': '房间比较大，离车站较近！缺点就是一些角落的卫生有些缺陷！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '房间很大，我在厦门住了几个地方，这里是最宽敞的。出门的汽车站是个大站，可以去市内各地，楼下一家饭店生意很好，尤其水煮鱼，每个客户都会点上一份。住在这里真方便。', '短评打分': 5}
{'短评内容': '不错，感觉很好！', '短评打分': 3}
{'短评内容': '房间比较大。有阳台，晒衣服很方便。\n管理住房的那个小伙子人非常好，需要借用什么东西只要说一声，都会尽力帮上忙。\n如今这样的服务态度已经很少见了。\n关键是价格很不错。很适合节约的朋友旅游住宿。', '短评打分': 5}
{'短评内容': '这家店的老板真的很好啊，还有酒店的位置也是很方便的，距离火车站很近，一出去就有公交车站，太太太方便了\n', '短评打分': 5}
{'短评内容': '还不错，开始以为还是摩登世家酒店哦，不过家庭式酒店公寓环境还可以，就是洗漱用品不够好。特别是牙膏牙刷，还没有香皂。', '短评打分': 5}
{'短评内容': '酒店的位置真的是非常方便！一出去就有公交车站，四通八达。服务人员的服务态度也很好，房间也挺干净的，推荐！真的是价廉物美！', '短评打分': 5}
{'短评内容': '地点不错，但是还是家庭旅馆的感觉。卫生间和床比较干净，房间不是很干净，角落都是土什么的。老板人不错，上网密码没有，老板亲自到房间给弄。', '短评打分': 5}
{'短评内容': '交通吃住实在太方便了，第一天住的522超值，有冰箱、洗衣机，房间又大。后来住的1802就差远了。', '短评打分': 5}
{'短评内容': '房间挺大的，有冰箱洗衣机电视，总的来说还不错，就是细节的卫生可以再好些！', '短评打分': 5}
{'短评内容': '我的公寓房间非常干净和宽阔,有一个阳台可以看到厦禾路附近的购物商场,酒店附近有许多餐馆和购物商场，10分钟步行可到火车站 可是我很失望，我的房间没有宽带.然而我仍然会再次入住.', '短评打分': 5}
{'短评内容': '物有所值，又处在火车站旁边，交通非常方便， 环境也不错', '短评打分': 5}
{'短评内容': '不错，物美价廉，又在火车站旁边，交通方便 下次还会来住', '短评打分': 5}
{'短评内容': '   服务不错！老板好商量。', '短评打分': 3}
