{'descr': '房间还是挺干净得哈，就是地方不太好找 找了好久  导航出错了。', 'star': 5}
{'descr': '距离适中，服务也很好，屋里的窗户不是很大，卫生间很干净，就是屋里有点潮。', 'star': 5}
{'descr': '交通便利，去动物园买衣服很方便。屋有点小，但是整洁干净', 'star': 5}
{'descr': '还不错,以后去北京还会考虑住这家店的...', 'star': 5}
{'descr': '很不错,坐地铁什么的比较方便...以后去北京还会考虑住这家店的', 'star': 5}
{'descr': '很好就是房间小点房间有股说不出的味道其他都不错', 'star': 3}
{'descr': '太难找了', 'star': 3}
{'descr': '很不错的酒店，经济实惠。', 'star': 3}
{'descr': '噪音比较大，其它还行吧', 'star': 3}
{'descr': '这种连锁酒店都差不多，这家在小区里，除了不太好找，别的都还行。', 'star': 5}
{'descr': '酒店环境还可以，很干净，刚进房间的时候有一点装修的味道，价位还可以。\n略微有点遗憾的是，电视里没有江苏卫视。', 'star': 5}
{'descr': '位置非常方便，吃饭和交通便利，4号线动物园站旁边，装修很新，内部空间设计合理\n缺点：1,隔音差，走廊上的动静听得很清楚，2,浴室地漏下水慢\n', 'star': 5}
{'descr': '酒店环境和服务都还不错，只是地方不大好找。交通还算便利。', 'star': 5}
{'descr': '离北京展览馆相当近，翻过一个围栏就是4号厅大门。离动物园站比较近。前台服务也很好。但就是我住的房间通风不是很好，总有种返潮的味道。附近吃饭还是蛮方便，但是便利店不多，买生活用品方面的东西不是很方便。', 'star': 5}
{'descr': '经济型酒店服务很好，环境也不错，很干净。', 'star': 5}
{'descr': '位置有点不好找 最后在居民区里看到的 若不是有个锦江之星的牌子矗立在路边 我们又该走错路了 设施还好 就是没有吹风机 前台服务态度超级好 ~', 'star': 5}
{'descr': '酒店位置很隐蔽，停车位很少，不过周围还是很方便的，离动物园也不算远。\n通病就是房间隔音不好，而且澡水忽冷忽热的，别的方面还不错吧。', 'star': 5}
{'descr': '\u3000\u3000\u3000很给力，干净整齐，让人有一个家的感觉，一切都很满意。', 'star': 5}
{'descr': '很干净，服务态度好，就是深入小区，车开进去堵在里面一段时间，以后不敢开车进去了', 'star': 5}
{'descr': '优点：1 很干净2 很温馨3 服务员态度很好。\n缺点：1 一打排风卫生间就有股下水道的臭味。不知道其它房间怎么样。\n      2 住了三天，第一天的水凉的根本就没法洗澡。后两天还可以。', 'star': 5}
{'descr': '服务不错，位置一般', 'star': 3}
{'descr': '太难找 空间很小 床和电脑桌前的凳子 间距太窄  被抽屉碰破腿 2次  ', 'star': 1}
{'descr': '四号线比较方便，周边还比较便利。白天都在外面办事，晚上住一下还比较实惠！', 'star': 5}
{'descr': '周边逛街购物都很方便，而且临着北展和动物园，距离景点也比较近，是一个商务出差或旅游的绝佳选择之地.', 'star': 5}
{'descr': '虽说是中心位置，不过酒店在小区里面，很安静休息不受打扰，很惬意，住着舒适度也很好.', 'star': 5}
{'descr': '酒店新开业不久，客房干净整洁，而且住宿环境也好，位置又好交通便利，整体水平还不错.', 'star': 5}
{'descr': '酒店距离西直门很近，交通便利，而且临着地铁，在德宝新园小区内，标志明显极为好找.', 'star': 5}
{'descr': '服务人员热情周到，办事效率也很快，住宿环境又好，性价比很高.', 'star': 5}
{'descr': '酒店的配套设施齐全，而且床也很舒服，住着感觉还是挺不错的选择，距离交通枢纽和地铁站都近.', 'star': 5}
