{'短评内容': '每次来西京医院都要住在这里 因为不仅地理位置很好 方便就诊 而且住着舒适 如果想要更好的话 那就是适时更换设施 毕竟时间久了 有些陈旧', '短评打分': 5}
{'短评内容': '离西京很近，环境比较一般，交通不是特别好，打车很难。但是去西京工作比较方便。', '短评打分': 5}
{'短评内容': '位置好，房间不算太大，有直饮水，洗发和沐浴用力士免了自己带。整体评价不错。', '短评打分': 5}
{'短评内容': '酒店不错，服务很到位，位置也不错，交通很方便。', '短评打分': 3}
{'短评内容': '海景酒店确实还不错哈，房间小了一点点外，其他的硬件软件设施都蛮不错的', '短评打分': 5}
{'短评内容': '服务态度很差。最糟糕的是洗衬衣还把扣钉弄掉了，害的我只能留在酒店，让他们找到之后寄给我。总之很糟糕的酒店', '短评打分': 1}
{'短评内容': '去西京医院和四军大办事比较方便，但是酒店目前的价格不能含早餐，有点郁闷', '短评打分': 5}
{'短评内容': '酒店各方面整体还是可以的。但是有蛮多需要改进。\n地理位置优越，我去西京医院方便，大堂档次还不错。\n我住三天，结果第二天房卡就开不了门，第三天又开不了，上下来回跑，这个前台很有问题。另外电梯设计有问题，两部电梯经常一起上一起下。\n房间网络宽带很有问题，打开网页都在1分钟以后，收邮件很成问题，我工作邮件收发很重要，严重影响我工作效率！投诉了也没人解决！\n朋友住在不远处的江南商务酒店，除了没有气派的大堂', '短评打分': 1}
{'短评内容': '房间还不错，去西京医院办事很方便。就是电梯有点少，等的比较久啊', '短评打分': 5}
{'短评内容': '挺好的~~~挺安静的~~位置也不错~~下次还会考虑的~~', '短评打分': 5}
{'短评内容': '由于我住的豪华大床，感觉内部设施不错，有家的感觉，服务也不错，我抽烟厉害，回来后房间没烟味，挺好。唯一感觉不足的就是378的标准居然没有早餐！有点。。。\n总体还是不错的！', '短评打分': 5}
{'短评内容': '房间不错，离西京医院很近，问题是不含早点，有些小郁闷。', '短评打分': 3}
{'短评内容': '如果到西京医院办事,这是最好的选择,是全国好多距离医院最近的酒店了,而且条件还是不错,二楼的中餐厅装修也好,口味就因人而异了', '短评打分': 5}
{'短评内容': '海景酒店很不错,干净整洁,温馨舒适,值得选择!', '短评打分': 3}
{'短评内容': '服务一般', '短评打分': 3}
{'短评内容': '酒店离办事的地方很近，地理位置很方便，早餐一般，但是附近有买很多小吃店，味道很好', '短评打分': 5}
{'短评内容': '房间干净，舒服，安静。酒店位置外出交通方便。就是不含早餐。', '短评打分': 5}
{'短评内容': 'check-in的时候服务生把个人信息放到了前台上很久。提醒后还是不把含有个人信息的单子收起来。其中身份证号码，住址，还有房间号被旁边的3-4个凑过来的男的看来看去。开始以为服务生工作没有做完，但我都走到电梯边，返回去发现我个人信息的单子还在台子上。那个服务生和那几个男的不知在说什么！命令服务生收起我的个人信息。 并投诉了那个服务生。其实我是有点担心那个服务生和那3-4个男的有问题。那3-4个男的', '短评打分': 1}
{'短评内容': '住', '短评打分': 3}
{'短评内容': '性价比高，周围出行吃饭方便，下次来还住这里。值得推荐。', '短评打分': 5}
{'短评内容': '很满意，房间宽敞，同事反映性价比高。下次还会选择这家。', '短评打分': 5}
{'短评内容': '这是我精选出来的酒店，依然满意。房间宽敞，性价比高。', '短评打分': 5}
{'短评内容': '已住。', '短评打分': 5}
{'短评内容': '酒店就在西京医院对面，去医院办事非常方便。设施服务都还不错，只是早餐种类太少，不过性价比还算蛮高的。', '短评打分': 5}
{'短评内容': '酒店环境不错，性价比比较高！适合出差和度假的人！', '短评打分': 5}
{'短评内容': '硬件设施不错 房间不算是很大，酒店还是满新的，价格一般', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '房间不错，早餐比以前简单了，交通方便，推荐。', '短评打分': 3}
{'短评内容': '总的来说还是不错的, 房间稍微小了一点点. 早餐不太好, 但是如果是商务旅行, 还是值得的, 毕竟价格还行', '短评打分': 5}
{'短评内容': '＋海景酒店性价比还不错，早餐很好。', '短评打分': 5}
{'短评内容': '+酒店不错！', '短评打分': 5}
{'短评内容': '很不错，交通方便，干净，性价比很高。下次还会继续住。', '短评打分': 5}
{'短评内容': '干净,卫生,舒适度高,四星级的待遇,普通收费.', '短评打分': 3}
{'短评内容': '房间很好早餐也不错', '短评打分': 5}
{'短评内容': '该酒店中餐厅菜品很好，令人印象深刻！服务也不错！\r\n\r\n早餐的咖啡太淡，几乎都是水的味道，好像煮了煮了N变！\r\n\r\n一个硬伤是电梯太少，需耐心等待！', '短评打分': 3}
{'短评内容': '：房间住得很舒服。', '短评打分': 5}
{'短评内容': '该酒店总体不错，尤其酒店餐厅令人印象深刻，很好的菜品、服务、和环境，不足之处，电梯较少！一高层楼房只有两部电梯效率太低！需等很久。', '短评打分': 5}
{'短评内容': '特干净，卫生，住着很舒服，还有就是早点能不能多些中餐。', '短评打分': 5}
{'短评内容': '房间还不错,卫生间有点小.', '短评打分': 3}
{'短评内容': '网络有问题，到第二天才解决，没有赠送矿泉水。整体而言，性价比一般。', '短评打分': 1}
{'短评内容': '还不错的地方，除了前台服务太慢外，可以送早餐和免费上网，在西安不多见', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '很好，房间干净，有特色，就是停车场收费', '短评打分': 3}
{'短评内容': '第一次住~  挺大的房间 不错', '短评打分': 3}
{'短评内容': '很好的酒店', '短评打分': 3}
{'短评内容': '舒适度一半 不过位置还不错', '短评打分': 5}
{'短评内容': '总体不错，楼下的马路停车场确实有点担心，不过有地下的，我们嫌麻烦没停下去！房间很舒适', '短评打分': 5}
{'短评内容': '等电梯时间过长，房间太小。', '短评打分': 5}
{'短评内容': '价格有点贵', '短评打分': 5}
{'短评内容': '设施不错  价格偏高 ', '短评打分': 5}
{'短评内容': '除了相对比较偏一点以外，没有什么不好的地方。虽然房间是小了点，但是很干净，大堂感觉也很舒服，上网方便，对于一个人来西安出差来说非常合适。', '短评打分': 5}
{'短评内容': '房间内装修不错，也很干净，卫生间比较大，配置也齐全。但价格偏高，并且不含自助早餐，我们额外又花了38元一位吃早餐，第二天发现酒店旁边的小街早餐还更美味，并且价格便宜。', '短评打分': 5}
{'短评内容': '比较卫生，交通方便 ，卫生用具新，性价比好', '短评打分': 5}
{'短评内容': '连续入住两天，感受一致', '短评打分': 3}
{'短评内容': '其他都好 ，就是网络实在是太让人沮丧了', '短评打分': 5}
{'短评内容': '离我需要出差单位近,四星级酒店,性价比实在好', '短评打分': 5}
{'短评内容': '性价比不错，餐厅较好！电梯数量少，等待时间长。', '短评打分': 5}
{'短评内容': '设施和服务还不错，住了好几天，每天都帮忙整理得很好，所以心情都很靓。不过电梯只有两部而且还有公司办公，每次都等很久。其他都不错，值得推荐。', '短评打分': 5}
{'短评内容': '酒店设施还不错，服务也挺好，性价比蛮高的。不过在医院附近，就餐不那么方便，酒店早餐不太丰富。', '短评打分': 5}
{'短评内容': '不错的酒店，环境好，位置也好找', '短评打分': 3}
{'短评内容': '2楼中餐就餐比较好，只是上菜速度太慢！\r\n3楼西餐自助不错！\r\n客房不错，性价比好！', '短评打分': 5}
{'短评内容': '服务水平很一般，设施细节上也不够，真的是4星吗？\r\n但是离办事地方近。。。\r\n\r\n', '短评打分': 1}
{'短评内容': '交通方便，宾馆的装修不错，隔音效果也好', '短评打分': 5}
{'短评内容': '服务不错，就是房间太小。', '短评打分': 5}
{'短评内容': '周边太吵，酒店的环境不错，门童服务比较到位。就是单间房间有点小，早餐品种不是很多。', '短评打分': 3}
{'短评内容': '第一次入住,是一个很干净舒服的店。早餐很好，但品种不很多。首次入住唯一的遗憾就是单间房间有点小。', '短评打分': 5}
{'短评内容': '酒店是个非常新的商务酒店，装修很时尚，有液晶电视机，房间很舒适，性价比也蛮高。因为很多老外也入住这个酒店，因此早餐中西式做得还很不错。ELONG价格包双早，6：30就开始了，适合赶早班飞机火车的人。只是靠近火车站，临近几家医院，附近除了一个川味饭店，其余都是条件比较差的小吃店。比起之前入住的东方大酒店，设施是好多了，推荐！', '短评打分': 5}
{'短评内容': '挺好的，值得，就是没有免费停车场，不过我们春节去，停车没有人看管所以没收费', '短评打分': 5}
{'短评内容': '房间设施符合4星级酒店的定位，服务不错。就是房间有点小，停车要收费。', '短评打分': 5}
{'短评内容': '挺不错的  建议入住', '短评打分': 5}
{'短评内容': '副楼房间相当大，很干净，不冷。虽然不在四方城内，交通还方便。', '短评打分': 3}
{'短评内容': '酒店前台服务一般，酒店提供的免费自助早餐品种不多，味道不好。房卡经常无故被消磁无法使用。房外走廊墙壁挂人像油画配上阴暗的灯光，感觉有点恐怖。&lt;br /&gt;\n&lt;br /&gt;\n我订了3晚的房间，入住当天交了押金。但两晚过后外出回酒店房卡突然无法使用。问前台，前台回答说押金不够所以不让我们进房。我认为前台有必要在客户入住当天要求客户给足够的押金。如押金不足，可以提前通知客户，怎能在不', '短评打分': 3}
{'短评内容': '安排了两个朋友去这里入住，分别去了公寓和酒店前楼218的那个房型。副楼的公寓房没有想到那么大，我和朋友都很吃惊。前楼按照4星级标准建造，感觉很不错，比西安很多四星级酒店要好很多。因为是新建造的酒店，所以卫生方面还不错。我觉得这个水准的酒店价格还是比较便宜的。唯一要注意的是主楼是有宽带的，副楼是没有的！', '短评打分': 5}
{'短评内容': '&lt;font color=&quot;Purple&quot;&gt;Sample Text&lt;/font&gt;我是一个一年最少有265要住酒店的人，经常出差，大大小小的酒店住过不少，这家酒店不但设施很好，服务也特别棒，住在23楼地毯很干净，走在上面感觉很棒，电梯也很快，最好的是餐厅，算的上数一数二的餐厅，中西餐都做的特好，极力推荐给商务人士，绝对不会后悔！', '短评打分': 5}
