{'短评内容': '酒店位置好，方便', '短评打分': 5}
{'短评内容': '性价比较高；位置相对偏僻，交通不是很方便。房间靠厕所一侧的墙纸被水泡开，但未做任何处理，作为三星酒店让人不可理解，怎么也应该处理一下。', '短评打分': 5}
{'短评内容': '环境相当一般，早点很糟糕，前台服务人员太少，基本都只有一个人，等候时间很长', '短评打分': 1}
{'短评内容': '酒店交通不方便，不过早餐还可以', '短评打分': 3}
{'短评内容': '房间不是太大，早餐挺好的，其他都还行吧，就是打车不方便，赶火车打的，出租车都不愿带，走路又不近，就这点不方便，酒店应该提供代叫车服务！', '短评打分': 5}
{'短评内容': '性价比不错的酒店，比较安静，就是周边的店铺太少，没有可以逛逛的地方。', '短评打分': 5}
{'短评内容': '环境不错，比较安静，住宿条件还可以，附近打车稍微不方便', '短评打分': 5}
{'短评内容': ' 酒店还不错,大堂和房间都可以,虽然位置相对偏一点,但自己有车的话去哪里都挺方便.性价比高.值得以后再次入住.', '短评打分': 5}
{'短评内容': '性价比比较高,离机场和火车北站相对比较近。美中不足,订了6个房间，还有老外，但2月28日办理入住时,被告知热水管道有问题,供水不稳定,到了房间看到的酒店留言是2月22日已发生此事情，所以，我们认为，此酒店办事效率低，既然管道坏了，还是按照原价收费，是有问题的。另外总台服务员业务生疏，需要加强培训后再上岗。', '短评打分': 1}
{'短评内容': '酒店离火车北站比较近，周边街道干净整洁，给人感觉很舒适', '短评打分': 5}
{'短评内容': '还行价格还算合理', '短评打分': 3}
{'短评内容': '总的来说还可以，就是当天总停电，房间网速不快，当然价位还比较合理，下次来还会住这里', '短评打分': 5}
{'短评内容': '各方条件还可以，但是不知什么原因停电让我们从14楼走下来，有点辛苦，希望下次不会有这个情况', '短评打分': 5}
{'短评内容': '还行吧，服务质量还有待提高。交通不太方便，其他的还好。', '短评打分': 5}
{'短评内容': '温馨套房比较好，我在那里住了20多天，唯一的缺点就是前台的接待人员太少，交通有点不方便。', '短评打分': 5}
{'短评内容': '交通方便，早饭不错，房间也很干净，下次来了还住这里。', '短评打分': 5}
{'短评内容': '商务单间说是双早，就给我一个早餐券。订了两天，第二天索性连早餐券都不给了。差！！！！！', '短评打分': 1}
{'短评内容': '还不错，我帮同事订的，他觉得挺满意的……', '短评打分': 5}
{'短评内容': '环境不错就是交通差点', '短评打分': 5}
{'短评内容': '就是位置偏了点儿，不赶急的可以选择。还要二十个字呀，有点儿麻烦。。', '短评打分': 5}
{'短评内容': '吃的，打车都不方便。感觉很偏远。酒店空调不制冷。', '短评打分': 3}
{'短评内容': '房间有点暗暗的。其它的还好。性价比还是可以。', '短评打分': 5}
{'短评内容': '离商业区，景点都较远， 但很安静，停车方便，去机场快。房间不贵，适合案头工作多的“老重庆”住。', '短评打分': 5}
{'短评内容': '空调不是太好偏热，房间也一般还有就是不能加床，位置还可以，其他的还行吧。', '短评打分': 5}
{'短评内容': '网络有点爱断线，因为不能确定到底住几天，所以只订了一天，结果去的时候前台说优惠只能在周末，不能按照原价格续房，这点很是郁闷，因为网络上没有写。另外地址在地图上查居然有两个', '短评打分': 3}
{'短评内容': '我帮朋友订的，去得时候说优惠只能在周末，可是酒店介绍上并没有这样说过。另外据朋友说，网络老是断线。其他的感觉还可以', '短评打分': 5}
{'短评内容': '酒店整体感觉还不错，房间卫生打扫的挺干净，设施方面还算比较齐全，酒店离火车站挺近的，周边交通还算比较便利，价格方面还是蛮实惠的吗，这样的酒店可以推荐一下。', '短评打分': 5}
{'短评内容': '酒店设施有点老了，早餐还凑活，位置还行，距离火车站挺近的', '短评打分': 5}
{'短评内容': '位置特别偏,酒店的环境也比较一般,下次不会去住了.', '短评打分': 3}
{'短评内容': '地理位置过于偏僻', '短评打分': 1}
{'短评内容': '酒店就是地理位置有点偏,离市区太远了,其他方面都还可以,价格挺便宜的,看个人情况来选择吧.', '短评打分': 3}
{'短评内容': '比较舒适，性价比很不错。', '短评打分': 5}
{'短评内容': 'It is just a average 3-star hotel, brand-new.&lt;br /&gt;\n&lt;br /&gt;\nRoom is quite comfortable, and broad-band net is &lt;br /&gt;\nhigh-speeding.&lt;br /&gt;\n&lt;br /&gt;\nBackward: Breakfast is too ', '短评打分': 3}
