{'短评内容': '的呃呃呃呃呃呃呃呃呃呃呃呃呃呃', '短评打分': 5}
{'短评内容': '世纪黄山还挺不错的，标间挺大的，设施什么都比较给力', '短评打分': 5}
{'短评内容': '好。', '短评打分': 3}
{'短评内容': '整体不错，但是卫生有待提高', '短评打分': 3}
{'短评内容': '世纪黄山还挺不错的，标间挺大的，设施什么都比较给力，绝对的舒适型酒店。楼下就是酒店的餐厅，菜挺可口的，分量足价格也公道。就是地理位置有点儿偏，离地铁公交站都不近。打车去菜市口地铁站还有北京南站都是十五块钱。', '短评打分': 3}
{'短评内容': '很好的地方。', '短评打分': 3}
{'短评内容': '以前去北京老住这边，这次去住，感觉更温馨了，房间以及过道新装修。前台也非常热情。酒店门口有很多公交车站（北京站，西客站，首都机场）多可以直达。非常方便', '短评打分': 5}
{'短评内容': '商务酒店，地段出行便捷，服务非常好～', '短评打分': 3}
{'短评内容': '不错  房间 很干净  很舒适   下次还去', '短评打分': 5}
{'短评内容': '非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错', '短评打分': 5}
{'短评内容': '还不错，性价比很高！地理位置很好！', '短评打分': 3}
{'短评内容': '环境一般，但位置较好，总听来说还是不错的！有待进一步改进！如果下次来住希望看到改进！如果好了住在这里还是不错的选择！', '短评打分': 5}
{'短评内容': '环境和卫生都不错，下面是一个徽菜馆，饭菜味道也很好', '短评打分': 5}
{'短评内容': '在医院边上，门口就是卖花圈的，风水不好。', '短评打分': 1}
{'短评内容': '  酒店卫生不好  地毯上有很多头发  卫生间的浴帘较脏  最主要的是没有窗户  ', '短评打分': 3}
{'短评内容': '所住过的最次的4星级酒店。大厅里的沙发表面都斑驳了，不知有多少年的历史了', '短评打分': 1}
{'短评内容': '如果是去友谊医院看病，我强烈建议入住这家，因为路对面就是友谊门诊部，非常方便。如果是全家出行，我不推荐，卫生间设施需要更新。', '短评打分': 5}
{'短评内容': '价钱便宜，性价比较高，只是没有窗户！服务还不错！', '短评打分': 5}
{'短评内容': '离北京南站狠近的酒店。经常用天津-北京的成城际列车，晚上赶不上最后一趟时可以预订上。北京当天顶上相对好的酒店很难。可以考虑这酒店。性价比很好的酒店。', '短评打分': 5}
{'短评内容': '交通方便，地理位置极佳，去看天坛，前门，故宫，国博都很方便，去天桥剧场，德云社，天桥杂技剧场都近在咫尺，性价比很高', '短评打分': 3}
{'短评内容': '酒店干净，舒适，服务态度很好，下次还会选择这家！', '短评打分': 5}
{'短评内容': '服務態度可以，住佰條件一般', '短评打分': 3}
{'短评内容': '该店环境，卫生还可以', '短评打分': 3}
{'短评内容': '条件一般没有准四星', '短评打分': 3}
{'短评内容': '我们是来友谊医院看病的，这里距离医院很近，卫生也不错，价位也合适', '短评打分': 5}
{'短评内容': '酒店設施差，環境不好，房間裡有味道。下次不會在去。', '短评打分': 1}
{'短评内容': '酒店装修有点久，隔音不好，卫生也不是特好，地理位置和价位还可以。', '短评打分': 3}
{'短评内容': '感觉不错！我每次去北京就着这里！很好！环境和服务态度都不错1', '短评打分': 5}
{'短评内容': '号称准四星的酒店，壁纸是破的，卫生间门烂的，卫生还可以，交通也算方便', '短评打分': 1}
{'短评内容': '价格上基本可以,但与宣传的准四星差远了,就是周边环境不太理想.', '短评打分': 3}
{'短评内容': '住这里，感觉不错，交通方便，服务态度也好，下次还住这', '短评打分': 5}
{'短评内容': '酒店内外部环境差,性价比不高,服务水平低.', '短评打分': 1}
{'短评内容': '辛立民218', '短评打分': 3}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '房间不错。配套设施不行。', '短评打分': 5}
{'短评内容': '整体感觉还行，位置方面可能差了点，出租车司机不知道，还有不知道为什么浴巾每天都少放', '短评打分': 5}
{'短评内容': '位置不是太好，有些乱，房间设施还可以，网速太慢，结账太慢了', '短评打分': 1}
{'短评内容': '客房卫生非常差，卫生间内到处都是蟑螂，棉织品清洗不彻底留有污物，床单及枕套有明显污物痕迹，打开被罩能明显的看到被子上的污物没有彻底清理并消毒，给人的感觉非常恶心。', '短评打分': 1}
{'短评内容': '旧，真的够旧……', '短评打分': 1}
{'短评内容': '号称准四星，实在不敢恭维。我搭的计程车司机向酒店问路，前台回答人员说都说不清楚酒店该如何去。没法上网，只因网管人员下班了，没人会修。', '短评打分': 1}
{'短评内容': '周围有地方小吃，房间宽敞明亮，采光很足，住着蛮舒服的。', '短评打分': 5}
{'短评内容': '距离天坛公园和天坛体育场不远，交通便利，设施也是不错的。', '短评打分': 5}
{'短评内容': '服务人员办事比较低.楼看上去挺陈旧的，不过室内的条件还可以.位置比较靠里面不太好找.', '短评打分': 1}
{'短评内容': '酒店的条件很一般，价格算是比较合理的，位置也不是很方便，在巷子里面的酒店，配置硬件也只能说是及格。不值得主动推荐入住的酒店。', '短评打分': 1}
{'短评内容': '可能是五一期间，到店告知没房，等了半天，才给安排好的，同时这个酒店感觉都一般化，下次会参考同类型其他的酒店看看。', '短评打分': 5}
{'短评内容': '很不错，卫生都不错,服务也很好，位置有点偏', '短评打分': 3}
{'短评内容': '整体感觉还可以，位置有点偏不好找，在发的短信中，把位置写的再详细点（比如在友谊医院对面）就好了。', '短评打分': 5}
{'短评内容': '酒店的舒适度很不错，地理位置也很好，旁边还有个中型的超市，交通很方便。\r\n网上标注有窗房，屋里确实有窗，大概两个横着的a4纸大小。\r\n除了那些不太自觉地住宿者在晚上的过道里，大声喧哗达一小时之久外，其他的都很好，暖气够热。', '短评打分': 5}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '酒店的整体感觉很好，性价比还是比较好的。交通方便。', '短评打分': 3}
{'短评内容': '整体感觉比较一般，位置还可以', '短评打分': 3}
