{'短评内容': '酒店环境好、地理位置方便', '短评打分': 5}
{'短评内容': '干净整洁，交通便利。服务非常好', '短评打分': 5}
{'短评内容': '都挺好的！', '短评打分': 5}
{'短评内容': '还可以，性价比一般&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '地势不错，离大菠萝很近，最主要物美价廉，满意', '短评打分': 5}
{'短评内容': '在澳门这个地方找到那么小清新的，海风特色的，感觉不错，干净整洁和图片上一样，前台态度很好，交通方便，出游步行新马路，大三巴，隔壁就是葡京，打扫更换很及时，除了有一晚有一只虫子，别的都不错', '短评打分': 5}
{'短评内容': '帮朋友订的，先说说这酒店的环境，装修挺新的，这样的价格，性价比来说房间也算可以的了，房间也较大的，总体不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房間有煙味！明明要得禁煙房！其他還行。', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店是新装修的非常干净，位置出去非常方便。', '短评打分': 5}
{'短评内容': '酒店地理位置确实不htf', '短评打分': 5}
{'短评内容': '门脸比较小，但价格还行吧，房间还不错，希望服务员的脸能和蔼一些……', '短评打分': 5}
{'短评内容': '房间很宽敞，服务也不错，离购物区也近。但必须注意几点：1、如果看电视是收费的，无论看哪个台都是一样。2、所谓的免费上网只是提供接口，不提供电脑，也没有无线上网。', '短评打分': 5}
{'短评内容': '酒店大堂还不错，推荐住B楼，我们定了3间房。可能是去晚了酒店只给我们留了两间B楼的，一间A楼的。我们去B楼看过之后，觉得各方面还不错，但A楼的就不行了，装修非常老，而且住的那间房可能有点潮湿。要求换房无果，最后要客房服务员帮我们换了被套和床单，才可以勉强睡觉。  \n推荐住B楼。', '短评打分': 5}
{'短评内容': '经常入住，很不错，离新葡京很近，房间很干净，空调也很凉快，', '短评打分': 5}
{'短评内容': '主要是价格~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店环境很好 服务热情 推荐', '短评打分': 3}
{'短评内容': '很好，环境不错，价格也适中，下次还会住这的。', '短评打分': 5}
{'短评内容': '酒店地理位置比较好，离葡京、永利近在咫尺。缺点是酒店装修比较简陋，房间较小。', '短评打分': 5}
{'短评内容': '从香港的尖沙咀码头到澳门的外港码头，码头出来打的大约20元到了酒店，很快就办好了入住，押金200元，进房间一看，房间非常的宽敞，床也很大，很干净，非常不错。和我们住的香港的酒店简直是没办法比啊，香港的房间只有这个房间的1/4左右。还有一点很不错的是外出很方便，5分钟能到葡京和新葡京娱乐城，再过去一点点就是鼎鼎有名的玛嘉烈蛋挞，再走10几分钟就能到大三巴牌坊，对于我们来说很是方便，推荐其他朋友入住这', '短评打分': 5}
{'短评内容': '非常不错，房间环境干净，设备齐全，够大够干净，而且离新蒲京才5分钟路程，下次我还会选这家', '短评打分': 3}
{'短评内容': '房间舒适！', '短评打分': 3}
{'短评内容': '很干净 很舒服的酒店 服务员态度佳 唯一缺点就是关口没巴士接送 还有只得大堂可无线上网 其他我都相当满意', '短评打分': 5}
{'短评内容': '酒店N老，也就是莫泰268的水平。不值得港币1180啊！', '短评打分': 3}
{'短评内容': '入住很满意', '短评打分': 3}
{'短评内容': '位置挺好，离葡京很近，可以搭乘葡京的班车到达，嘿嘿！', '短评打分': 5}
{'短评内容': '很好..贏大錢的酒店!每次入住這個酒店都贏錢!!以後就這家!!', '短评打分': 5}
{'短评内容': '住的比较舒服，环境OK，服务可以，下次去会继续入住。能再优惠就更好啦。', '短评打分': 5}
{'短评内容': '很好的一家酒店，非常方便，跟家人一起去，大家都很喜欢，逛街也方便，房间也比较大，值得向大家推荐。', '短评打分': 5}
{'短评内容': '离葡京很近 周围各个都很方便 ,, 早餐不错  唯独28号早上 那个煎鸡蛋的朋友 服务很差 爱理不理的', '短评打分': 5}
{'短评内容': '位置近，很好，老客户了！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '不错，地理位置很好不管到葡京到星际都很近。购物也很方便！', '短评打分': 5}
{'短评内容': '酒店很好，很舒服，免费提供宽带', '短评打分': 3}
{'短评内容': '还不错，房间比较大，在大三巴附近，很方便', '短评打分': 5}
{'短评内容': '酒店很好，房间很大，下次去澳门一定住这间', '短评打分': 3}
{'短评内容': '王毅先生已成功入住澳门富豪酒店，一切顺利，非常感谢！我们经常赴港澳出差，愿和你们加强联系。天津港澳办李文元', '短评打分': 3}
{'短评内容': '环境不错，靠各大赌场\n近！ 并且价格还挺便宜的。\n', '短评打分': 5}
{'短评内容': '服务，卫生，位置都不错，价钱有待商榷，总体来说我是比较推荐的。', '短评打分': 5}
{'短评内容': '酒店在装修，上楼需要在5层换一下电梯，就这一点不是特别满意。房间面积还算大，关键是位置不错，去永利、葡京、美高梅等大酒店都很方便。', '短评打分': 5}
{'短评内容': '酒店位置好，距离各大赌场都很近', '短评打分': 3}
{'短评内容': '对于澳门那些大型的酒店来说，这个就不足一提了，不过价格算便宜。', '短评打分': 1}
{'短评内容': '第二次入住了。房间宽敞明亮，在葡京酒店旁边，方便换乘到各个赌场的免费车，饮食方便。免费宽带慢，老是掉线。这次住得较高，17楼，有时竟然收到珠海移动信号。', '短评打分': 5}
{'短评内容': '220美金一晚上，跟国内300人民币一样的货色，挑个淡季才行', '短评打分': 1}
{'短评内容': '我老板讲酒店的状况就像招待所一样，环境很糟糕，根本达不到所谓的四星级。退房酒店又不准，因为是信用卡登记，酒店会直接从你卡上扣取房费，住也不是不住也不是，真是难为人。', '短评打分': 1}
{'短评内容': '出门购物很方便，目前正在装修，有点不方便，以后会好的。', '短评打分': 5}
{'短评内容': '环境不错，靠各大赌场都很近！！！！！！！', '短评打分': 5}
{'短评内容': '金玉其外败絮其中的酒店。优点是位置好 房间大 可惜瑜不掩瑕 前台态度非常的冷淡和不耐烦 卫生很差 墙壁和沙发家具都看上去脏兮兮的 还有就是你能感觉到他们的家具和卫浴设备都是很廉价的那种 下次再也不会入住 也会告诉别人 千万不要入住', '短评打分': 1}
{'短评内容': '澳门富豪酒店总的感觉不错，住房较宽敞干净，五楼餐厅好吃又不贵，另离葡京也很近。', '短评打分': 3}
{'短评内容': '不推荐原因一：房价浮动快，12.23晚上10点订房，但到第二天中午就便宜了500元；\n二：服务态度不专业，客人在前台办理入住手续时，同事之间竟然会讲“穿裙子不舒服，真是好想换条裤子穿”，服务态度极差（服务员全程没有一个笑容）；三：房间地板极脏，床头上的装饰板竟然有蜘蛛网；四：暖气等于冷气，晚上（12.24晚上）已经把暖气调到32度啦，但感觉一点都不暖和，还有冷冷的感觉；五：水压太低，六：被子太薄，', '短评打分': 1}
{'短评内容': '酒店位址很好环境好', '短评打分': 3}
{'短评内容': '地理位置挺好的,房间也很大,干净整洁,设施齐全~', '短评打分': 5}
{'短评内容': '酒店房间挺大的，不错，下回去澳门还住这家', '短评打分': 5}
{'短评内容': '设备老旧，服务一般。加上去时在装修，感觉不太好，上下要转电梯，极不方便。唯一好处是吃饭不错，人气很旺，味道不错，价格不贵。', '短评打分': 1}
{'短评内容': '酒店所处位置佳，客房设施很好，前台服务的几位男生态度都很好，但是前台某位女生很傲慢（态度差，以及不肯做VISA预授权，偏要收现金做担保），管理层需要对其好好培训一下，以免影响酒店的整体形象。', '短评打分': 5}
{'短评内容': '酒店位置不错，去哪儿都方便，房间中等水平。', '短评打分': 3}
{'短评内容': '位置比较方便，靠近普京酒店，房间大小适中，有一个西安小伙子，感觉很亲切', '短评打分': 5}
{'短评内容': ' 第一次入住富豪，总体印象并不太满意，服务质量一般，房间设备较完善，但很多东西却不好用，连电掣都用吾到。', '短评打分': 3}
{'短评内容': '房间够大够干净，地理位置不错交通方便，就房间隔音不是太好。。。', '短评打分': 5}
{'短评内容': '标准房也有三十平方米,很宽敞.舒服.交通也很方便.', '短评打分': 5}
{'短评内容': '房间不错，很干净也挺大的，有二十六平方吧。市中心繁华地带，交通很方便。', '短评打分': 3}
{'短评内容': '富豪酒店很赞，房间干净，床够大，设施齐全，周围交通方便，去哪都近，下次一定还住这！', '短评打分': 5}
{'短评内容': '离新老葡京很近~~~这次住赶上格兰披治赛车了~~~每天都能听到赛车声~~~探头就能看见赛车呼啸而过~~~总的来讲环境还可以~~~就是房间里有霉味~~~估计是时间长了~~~住的这几天价格有点高啊~~~将近RMB1200一天了', '短评打分': 5}
{'短评内容': '地点还不错，但现在装修要转电校梯比较麻烦，其它的都还好。', '短评打分': 5}
{'短评内容': '酒店地理位置很好，性价比很高，房间基本设施齐全，还会再来住这个酒店。', '短评打分': 5}
{'短评内容': '地理位置、卫生条件还不错！下次去了还会住到富豪酒店！', '短评打分': 5}
{'短评内容': '雖然房間比較舊, 但位置方便, 價格相對貴了一點', '短评打分': 5}
{'短评内容': '房内设施、环境很好，近市中心，行街购物出行都很方便。', '短评打分': 5}
{'短评内容': '因为订的早，标间才HKD880。等到9月房价都涨到2000+了。房间设施还算符合4星，不过房间里没有无线网络，手机不能上网，这个有待改进。酒店在港澳码头有免费班车，半小时一班。离葡京很近，走路在5分钟左右。基本上房价1000内还是可以考虑的。', '短评打分': 5}
{'短评内容': '酒店前台服务态度有待提高，性价比不错，房间宽敞，床很大。', '短评打分': 3}
{'短评内容': '性价比相当不错的酒店，离各大场子都很近。', '短评打分': 5}
{'短评内容': '很不错的酒店，设施设备都很好，很干净。非常不错', '短评打分': 5}
{'短评内容': '很好~，每次都住这里！A栋很好啊~~~又方便！', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '总体还可以吧！就是走道太矮了', '短评打分': 3}
{'短评内容': '地理位置非常好，房间宽敞，双床都很大，这次住的是19楼，视野也非常好算性价比非常高的酒店了。                                                                   ', '短评打分': 5}
{'短评内容': '只能算作是澳门的经济型酒店吧\n不过免费上网和双早还是相对可以的.', '短评打分': 1}
{'短评内容': '位置优越，价位合理。位置优越，价位合理。位置优越，价位合理。位置优越，价位合理。', '短评打分': 5}
{'短评内容': '酒店不错，在市中心，旁边就是葡京，永利，银河等，过关后或是从港澳码头出来可以座葡京的免费巴士，然后走路就可以到酒店了。\n酒店房间比较大，早餐也不错。很干净。已经决定下次再到澳门一定还住这家。', '短评打分': 5}
{'短评内容': '距离澳門中心娛樂城葡京/新地標新葡京很近，交通方便。但是沿街的酒店，所有房間的窗戶都是被lock的。設施還行，感覺專門接待內地同胞得多。普通日和週末房價差不少。', '短评打分': 1}
{'短评内容': '地理位置不错，很近葡京，酒店不容易找，一千多一点，算性价比不错的酒店了', '短评打分': 5}
{'短评内容': '位置比较方便，但设施比较旧，服务态度一般，性价比不高。', '短评打分': 1}
{'短评内容': '房间很大，交通便利，卫生还行，周边赌场和商店很多很近，周末房价太高，前台服务很差，设施只相当国内的二星，毕竟是澳门，这样的酒店价位还是可以接受的。住过二次，感觉还行，', '短评打分': 5}
{'短评内容': '地理位置方便，不过氹仔还可以推荐入住，周末价格较贵。', '短评打分': 5}
{'短评内容': '酒店位置佳，房间挺干净的，就是有点老，总体来说，还可以。以后还会去住。', '短评打分': 5}
{'短评内容': '就在葡京旁边，位置不错，周围全是赌场，澳门特色啊。', '短评打分': 5}
{'短评内容': '酒店房间的环境不错，房间很大，也很整洁，双床也都蛮大的，差不多有135的样子，服务态度也很好，对于旅游咨询都非常耐心，房间里电视，冰箱，保险柜都有，卫生间也设有风筒，就是刚入住的时候被子有点潮，不过告诉酒店就马上给重新换了一套，总体来说很不错了，很满意，而且距离葡京，新葡京，英皇都非常的近，大三巴也不是很远，走路差不多二十分钟就到了，赞一个，下次去一定还会入住``', '短评打分': 5}
{'短评内容': '酒店位置环境和客房都不错，值得推荐。就是接站服务的车辆少些，不像其他酒店的密集。', '短评打分': 5}
{'短评内容': '酒店离新葡京非常近，走到大三巴也就15分钟，交通比较便利。就是床太硬，不舒服。', '短评打分': 5}
{'短评内容': '酒店还不错,房间比较干净,而且离新葡京堵场非常近\\交通便利.', '短评打分': 1}
{'短评内容': '大堂正在装修比较乱，地理位置很好！非常方便', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '位置不错，较卫生，只是床太硬，总体不错。', '短评打分': 5}
{'短评内容': '酒店位置不錯，周边出行方便。关口处有专车接人入住，服务人员态度很好，豪华大床房房间很大，干净整洁。', '短评打分': 5}
{'短评内容': '行', '短评打分': 3}
{'短评内容': '先说前台服务:从办入住到退房,前台员工对着客人是爱理不理,连个最基本的微笑都没有,铁一张脸从头至尾,就跟你没付钱住店一样,而且询问他们事情的时候,也是要不然装没听见,要不然就是非常不耐烦.再说酒店内部设施:所有的设施又简陋,又旧,房间也小,大床房的床是又硬又小,睡两个人稍稍不注意感觉要掉下床样.洗漱用具质量很差.另外房间一点都不隔音,走道里有人说话,房间里听得一清而楚,基本上不用睡觉.一句话概括就', '短评打分': 1}
{'短评内容': '很舒适，离萄京步行三分钟路程，位置极佳。', '短评打分': 3}
{'短评内容': '还是可以，不错。只是为什么没有早餐（免费）呢？', '短评打分': 5}
{'短评内容': '距离娱乐场比较近，附近购物方便。下次还会去住。就是床硬了些，希望能有所改进。', '短评打分': 5}
{'短评内容': '酒店服務態度不錯房間很大位置也不錯環境優美可考慮入住', '短评打分': 5}
{'短评内容': ' 还挺好的。\nelisa糖', '短评打分': 3}
{'短评内容': '不太理想的酒店。不过价格在澳门还是很便宜的了。不能十全十美，但是还应再好一些。', '短评打分': 1}
{'短评内容': '酒店干净，整洁，服务员训练有素，交通便利。价格适中。', '短评打分': 5}
{'短评内容': '酒店不错，房间很大，床也比较舒服，有免费宽带，价格跟上次住的假日差不多，但是感觉比假日好多了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '十澳门富豪酒店1111房间陕小，以后再到澳门不会选择这里了!', '短评打分': 3}
{'短评内容': '酒店位置挺好，房间格局不错，打扫还算干净，服务态度有待于提高。', '短评打分': 3}
{'短评内容': '服务卫生还不错，房间很大很舒适，早餐也不错，下次还会光顾的。', '短评打分': 3}
{'短评内容': '房间很好，很漂亮很舒适，服务挺周到，周边景点挺多，游玩很方便。', '短评打分': 5}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '酒店周边环境还好，交通吃饭挺方便，房间非常宽敞，床也很大，基本设施都有，住着还算舒适。', '短评打分': 3}
{'短评内容': '酒店离葡京挺近的，步行就可以到达，内部装修的挺不错，卫生也很好，让人感觉挺舒适的。', '短评打分': 5}
{'短评内容': '房间挺大挺干净整洁的，有宽带能上网，其他设施也还好，整体感觉还不错。', '短评打分': 3}
{'短评内容': '酒店还是比较不错的，环境干净整洁，设施齐全，周边出行方便，还是值得推荐的。', '短评打分': 5}
{'短评内容': '地理位置挺好，出行挺方便，价格上还比较公道。', '短评打分': 5}
{'短评内容': '挺不错，性价比很高，下次还会住这里。', '短评打分': 5}
{'短评内容': '位置很好，房间干净舒适，价格也合理，整体感觉挺物有所值的。', '短评打分': 5}
