{'短评内容': '酒店位置尚好，有停车位', '短评打分': 4}
{'短评内容': '我们预定的是湖景房。实在是太吵。绝对不适合度假。房间到湖之间大约有60-70米。贴着房间的是一根机动车道，当中有点绿化，绿化之外是亲湖平台。这些全是公共场所。大清早开始就有当地人开着大喇叭功放锻炼身体，晚上天没黑就开始跳舞。来锻炼的，散布的，所有的自行车，电瓶车，摩托车都停在你客房的楼下，喇叭声，车的警报声，声声入耳。假如你不幸拿到的是一楼，二楼，那湖景都被树遮了。（湖景大多是三楼最高，只有几间有', '短评打分': 1}
{'短评内容': '  环境不错', '短评打分': 3}
{'短评内容': '不错，硬件挺好', '短评打分': 3}
{'短评内容': '我们住的湖景房，带阳台，房间和卫生间都超大，设施齐全且都是品牌货。美中不足的是有一天自来水出的都是黄水，早餐以中式为主，品种较多。\n\n总之，相对于600多的价位还是值得推荐的', '短评打分': 5}
{'短评内容': '靠山的房间早上比较吵，6点不到就在施工了，早饭不错，品种丰富，就是人比较多。', '短评打分': 5}
{'短评内容': '早餐不错，超级赞，人蛮多的，等一会才有位子，房间不错，就是5号楼刚装修味道大了点', '短评打分': 5}
{'短评内容': '还可以，就是吃饭非常不方便。周边基本无吃法地方。', '短评打分': 5}
{'短评内容': '还可以，5号楼刚装修完，气味太浓无法入住，其他楼还可以。', '短评打分': 5}
{'短评内容': '就在湖边，风景不错，就是吃饭，打车都不方便，如果不是自己开车的话，不推荐。', '短评打分': 5}
{'短评内容': '酒店就在东钱湖边上，临湖的房间凭窗望去，湖景就在眼前。想去湖边散步的话，几分钟即可走在湖面的栈桥上。\n房间较大，床品和洗漱用品都很好。沐浴设施很好。但没有浴缸，有点遗憾。\n18*10米大，1.7米深的游泳池，在酒店类的泳池中也算较大的。池水干净。更衣室很宽敞，设施也不错。可惜泳池只是12:00--21:00开放。如果早上能开就好了。\n早餐品种多，味道也好。一些宁波特色的点心和小菜非常好。\n前台，泳', '短评打分': 5}
{'短评内容': '酒店性价比非常高，服务好，环境更好，我们定的是背湖的房价，估计周日入住的人不太多，酒店自动给了我们3间面湖的，特此推荐下', '短评打分': 5}
{'短评内容': '设施很新，服务也很周到，感觉非常棒，离湖面也很近，非常棒。', '短评打分': 5}
{'短评内容': '非常好的酒店，房间很大，凭窗观湖，风光旎妮，庭院雅静，一株老梅，两湾喷泉，三楼相连，四星价格，五星标准。', '短评打分': 3}
{'短评内容': '酒店环境佳，酒店内餐厅消费适中，房间新，但服务离5星还有距离。', '短评打分': 5}
{'短评内容': '酒店位置虽在东钱湖边，但周边基本什么配套也没有，酒店很新，很干净。', '短评打分': 5}
{'短评内容': '酒店不错.  很新很干净.餐厅的菜也不错.下次还会来住.', '短评打分': 5}
{'短评内容': '酒店早餐结束较早（9点半，一般度假酒店都是十点收，因为既然去度假，都想多睡一会,还要洗个澡什么的），晚到几分钟，服务员正在收，我们向服务员提出能否给我们两个面包（因为担心附近可能没什么吃早餐的地方），服务员很想配合，毕竟食物还没收掉，但听到领班冰冷地对她说，让他们自己付钱点，然后一个个把食物全都拿走。我去过这么多地方的度假酒店，从没见过这样的服务......', '短评打分': 1}
{'短评内容': '酒店风景怡人，设施较新，很安静。', '短评打分': 3}
{'短评内容': '湖景不错，但周边都是公路，车辆很多，停车不太方便，我们大多数只能在车上观景，有点遗憾', '短评打分': 5}
{'短评内容': '酒店硬件不错，设备齐全，单人房比双人房大，设备好，不介意的朋友还是选单人房好，不要选靠马路的，有点吵，开始给我们的房间还是靠马路很近，后来帮我们换了，服务态度还是很不错的，早餐很好，虽然住店人不多，但还是蛮丰盛的，酒店的菜还是有点小贵，但味道不错，够水平。酒店位置有点难找，GPS都定不到，打了几个电话给总台小姐都说不清，最后说在旅游服务中心那里，我们才找到，走了很多冤枉路，希望酒店在附近多做些标志', '短评打分': 5}
{'短评内容': ' 湖畔     景色很好', '短评打分': 3}
{'短评内容': '湖景房，阳台直接面对东钱湖，景色绝对嗲，就是有条环湖路，很小的马路上白天停满了来玩车辆，有一点点吵。\n房间正气，特别卫生间很大气，淋浴，浴缸，盥洗，化妆台。\n进门的衣帽间，其实没派什么用场。\n房间和卫生间的空调是独立控制的。\n总体来说，很满意，下次还要来。', '短评打分': 5}
{'短评内容': '房间很不错。但泳池水温应该保持得高点，不然太冷了。', '短评打分': 5}
{'短评内容': '离东钱湖很近，据说湖景很漂亮，可惜没有订到，设施很新，因为是新建酒店，但服务有些跟不上，早餐质量也有待提高，宝宝3岁多早餐也要半价付费。还有就是星级的度假为主的酒店，房间竟然没有浴缸，实在失望~', '短评打分': 5}
{'短评内容': '东钱湖边的五星，出去玩还是比较方便的，去的时候是国庆，白天看看人住的不多，一到早餐的时候全出来了，连坐得位置都没了。', '短评打分': 5}
{'短评内容': '宁波东钱湖边，我们住的双床房好大，有点受宠若惊的感觉，总体还不错，酒店里面没什么景观，不过出门就是东线湖。', '短评打分': 5}
{'短评内容': '酒店硬件；软件；位置等都非常好！', '短评打分': 3}
{'短评内容': '酒店很好,很舒适.唯一的不足就是离公路近,汽车声音比较响.下次来的话还是会选择入住.', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '周边湖景一般，但是酒店房间很好，除了有点气味，中餐厅价格居然比路边店还低，退房后路过还进去吃了一顿。\n', '短评打分': 5}
{'短评内容': '新酒店，客房设施好，装修气味不大，早餐和中餐厅的菜也都不错。作为度假酒店，花园等公共区域太小，而且就环境而言，酒店所在东钱湖区的位置一般。特意去沙山度假村逛了下，那儿的环境完胜，但客房可能就要差很多了。', '短评打分': 5}
{'短评内容': '新装修，地理位置好，服务也非常不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店条件很好，周围风景也很优美，缺点是餐厅价格太高，周围也没有比较好和干净的餐厅', '短评打分': 5}
{'短评内容': '服务人员很热情，周到。\n不过晚上的时候，周边还是有点吵。', '短评打分': 5}
{'短评内容': '房间布局很好，比较喜欢。我们一些3人分别住了不同级别的房间，但是每个房间都不错。', '短评打分': 5}
{'短评内容': '酒店环境非常好。湖光水色，一片和谐。当天天气也不错，能看到蓝天。', '短评打分': 5}
{'短评内容': '很不错的酒店,顶!顶!顶!顶!顶!顶!顶!顶!顶!顶!顶!顶!', '短评打分': 5}
{'短评内容': '酒店位置不错，很安静，服务也蛮好的，就是五星酒店怎么不提供当天报纸和水果，有待提高', '短评打分': 3}
{'短评内容': '，酒店很新，设备不错，但房间里新装修的气味还未散尽。', '短评打分': 3}
{'短评内容': '新酒店，在湖边，环境优雅，设施新，条件好，非常适合住。最大的问题是刚完成装修，新开业，房间内建筑材料异味很大。', '短评打分': 5}
