{'短评内容': '去不得，太差劲了，差评！！！', '短评打分': 1}
{'短评内容': '酒店的交通还算方便,酒店的后面有公交站点,11路坐几站就到拱北口岸到澳门很方便,4路到海滨公园下来穿过公园就看到渔女像了.对住宿要求不高的人来说,酒店的设施还可以,服务态度还好.不过宾馆取消了6小件,给客人带来不便,要洗袜子没有肥皂,化了3元用了宾馆的牙刷和小肥皂,但是肥皂干的一点泡都没有.', '短评打分': 5}
{'短评内容': '非常差，像一个黑店，前台很蛮横，找不到服务员。', '短评打分': 1}
{'短评内容': '一般．价格与直接到前台开房没什么区别．', '短评打分': 3}
{'短评内容': '酒店离拱北关闸步行较远，不太方便，另外酒店内其他用品要另外收费。', '短评打分': 1}
{'短评内容': '覺得豪華的和標準除了多個電腦，感覺沒什麽差，而且電腦上網還要交錢的，', '短评打分': 5}
{'短评内容': '除了交通真是没一样值得称赞!房间隔音差得离谱,楼下是车站一大早就会被吵醒,我住的房间附近还有棋牌室一整夜吵个不停,以后都不要我再来住!', '短评打分': 1}
{'短评内容': '这里需要身份证才能入住，所以去的时候，发现有性工作者写1234567890，而被拒绝入住。房间很小，还算干净，但是隔音设备超级不好，隔壁的叫声在半夜把我吵醒了。而且这里没有专用的停车场，据只能停在门口而已。反正我不会再入住这间酒店', '短评打分': 1}
{'短评内容': '设施交通都不错，价格算公道，就是离拱北口岸远了点！', '短评打分': 5}
{'短评内容': '不錯，性價比高', '短评打分': 3}
{'短评内容': '还行，就是没有衣柜，洁具和矿泉水是要收费的。楼下的拍档不错，价格也公道，后面就是个公交站，出行方便。', '短评打分': 5}
{'短评内容': '这家酒店好吵，后面就是夏湾汽车总站。而且装修也很差。浴室的卫生打扫很不干净', '短评打分': 1}
{'短评内容': '房间还可以,就是隔音效果不好,有点吵,旁边是公交站,6点多就运营，严重影响休息', '短评打分': 3}
{'短评内容': '要过拱北口岸的话还方便打个的起步价就到了，临时住一晚还行，房间不大，门口的夜宵好吃 ', '短评打分': 1}
{'短评内容': '酒店的位置比较静，逛街比较远，但酒店的后面就是公交站，3楼以上的房装修过，但2楼的房间很差，不要住2楼，房间里的洗浴用品都要钱，不人性化，不好！', '短评打分': 1}
{'短评内容': '这家酒店设备陈旧，房间里的地毯布满了污渍。更糟糕的酒店周边很吵，在国庆期间整晚周边的施工噪音轰天，根本无法入睡。我们和前台交涉换房，他们说你住的是经济型酒店，就是这样，没办法。但他的价格一点都不低。\r\n最后的结论就是差、差、差！', '短评打分': 1}
{'短评内容': '连续住了两天，期间居然没有打扫卫生，隔音效果很差，以致于晚上让总台电话通知隔壁电视声音放小一点', '短评打分': 1}
{'短评内容': '只能说..隔音效果实在有待加强。那天晚上就听到隔壁的现场版。\r\n酒店后面就是公交总站，如果不是睡得很死的话，会很早被吵醒。\r\n其他的都还行吧，在这个价位上。', '短评打分': 1}
{'短评内容': '酒店环境还不错，也体干净的，价格也很便宜。', '短评打分': 5}
{'短评内容': '房间中有股霉味，感觉不好。设施也给进行维修了', '短评打分': 1}
{'短评内容': '宾馆环境还是不错的，特别是那个落地窗，里面的设施还是比较干净，比较放心。', '短评打分': 5}
{'短评内容': '价格优惠，设施齐全，干净舒适，值得推荐一下。', '短评打分': 5}
{'短评内容': '酒店不错，房间蛮大的，也挺干净，周边交通也便利的，出行很方便。', '短评打分': 5}
{'短评内容': '服务很积极很主动，态度很热情，感觉很贴心。', '短评打分': 5}
{'短评内容': '这家酒店住的挺满意的，服务周到，房间干净，设施齐全，出行便利，价格实惠，下次还愿意住。', '短评打分': 5}
{'短评内容': '房间、卫生间宽大，两张1.2米宽的大床，可以睡下2个大人、2个孩子。虽然位置稍偏，但是酒店后就有公交总站，4条公交通向拱北口岸和市中心，相当的方便！离拱北口岸2.5公里，出租车10元起步价即到。下午2点退房很贴心。对面小区有早点部、水果摊', '短评打分': 5}
{'短评内容': '酒店很不错，服务很热情，卫生打扫的也很感觉，位置也不错，离机场挺近的，价格也蛮实惠的，值得推荐。', '短评打分': 5}
{'短评内容': '房间味道很重，墙壁和帘子都发霉了，电视需要自己调才有台，价格还收那么贵，是我到现在为止住过环境最差的酒店', '短评打分': 1}
{'短评内容': '住：我们入住的时候酒店床单的确闻着有霉味，洗澡水冲击力蛮大，干湿没有区分，对这个关注的人要注意了。\n环境：酒店所处的位置的确还挺方便，下边就是夏湾总站，晚上公交车停班之后也挺安静的。前面20、30米远就是前山河边，风景还不错。离拱北也挺静的。\n性价比总体来说还算不错，但是床被子的确有待改进。', '短评打分': 5}
