{'descr': '挺好的，干净卫生', 'star': 5}
{'descr': '是家新开的店，还不错，房间不大，暖气太热了，晚上睡觉要开窗睡。在主路上，太原不好打车，火车站附近的店看了评论都说很吵很乱，这家算离火车站不远，公交四站地，周围有些吃饭的地儿，就是在马路对面还有一家汉庭容易认错路。', 'star': 5}
{'descr': '1、交通便利，处在迎泽大街旁，距离火车站约10分钟的车程，门口就有公交车站；\n2、2011-8-1开业，室内环境干净，安静\n3、费用相对有点高，处在市中心，距离柳巷商业区近，也没办法；', 'star': 5}
{'descr': '房间很小，网速也不好，虽然在这个地段价格算比较低的，但还是感觉比较差。', 'star': 1}
{'descr': '0沐阳连索酒店评价三个子脏乱差', 'star': 3}
{'descr': '房间太暗', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '位置行，不好找，卫生不怎么样，设施偏旧。。。', 'star': 1}
{'descr': '环境一般，网络不好，讲究吧', 'star': 3}
{'descr': '房间小，床板貌似有白蚁啃食木板的声音，总的来说环境一般般，性价比不高', 'star': 1}
{'descr': '从房价看还可以吧!', 'star': 3}
{'descr': '环境不错', 'star': 3}
{'descr': '挺干净的', 'star': 3}
{'descr': '睡完觉就走啦，没什么特别，这个地方这个价位也算值了吧\n睡完觉就走啦，没什么特别，这个地方这个价位也算值了吧', 'star': 5}
{'descr': '作为CBD区域的酒店这个价格可以，就是环境潮湿，的确够小的，停车要在路边，楼道的灯光直接打在屋子里，不隔音', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '环境很差。不好找。我中午入住下午就退房了。伤不起。。', 'star': 1}
{'descr': '这个价在北京住这种房间挺好的。网上预订还能便宜挺多。', 'star': 5}
{'descr': '定的单人间特别的小，还178.没办法，赶上旅游高峰了，别的都爆满', 'star': 1}
{'descr': '房间一 般但是这个地段这个房价 还可以', 'star': 3}
{'descr': '房间太小了，没有很干净，这个价配上这样的设施太高了', 'star': 1}
{'descr': '酒店房间是我见过最小的，房内设施感觉也很旧，整体感觉很一般。。。', 'star': 1}
{'descr': '位置不错,卫生一般', 'star': 3}
{'descr': '\u3000房间小，总体还可以，建国门周边对得起这个价格', 'star': 3}
{'descr': '价格合适！', 'star': 3}
{'descr': '全北京最糟糕的酒店，房间设施差到不行，隔音差，简直就是垃圾堆，设施陈旧，千万别去，住一天都不想活了', 'star': 1}
{'descr': '房间脏、乱、差，没有完全感。', 'star': 3}
{'descr': '环境一般，不过重在性价比，这个位置，这个价格，绝对物有所值，条件嘛，就不要和快捷比啦，性价比非常高的。', 'star': 5}
{'descr': '差！差！简直没办法形容。。。。。怪味/喧嚣。。。。。', 'star': 1}
{'descr': '我住在418房间，这里的设施太差劲了，我只能住一天。', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '.406', 'star': 3}
{'descr': '酒店客房比较小，并且给我推荐的酒店位置也不是最近的，当时想找美国使馆区最近的酒店.整体来讲给我感觉不是太好.', 'star': 1}
{'descr': '酒店是就近选择的,所以位置上比较不错,其它硬件及软件条件也还不错.', 'star': 5}
{'descr': '设施陈旧、卫生条件因陈旧而一般，房间小不隔音，服务人员还算辛苦，总体感觉不佳', 'star': 1}
{'descr': '客房干净设施齐,房间太小了点.', 'star': 3}
{'descr': '小，不过位置好，离市中心位置比较近，价格比较便宜', 'star': 5}
{'descr': '房间太小', 'star': 5}
{'descr': '房间不太好.', 'star': 5}
{'descr': '+满意！', 'star': 5}
{'descr': '酒店网上订单与京东对不上，等了半个小时', 'star': 3}
