{'短评内容': '网上付款与现付态度差很多，', '短评打分': 1}
{'短评内容': '住半山不错的选择，老板实在，一家人勤快和谐，卫生方面尚待改进。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '老板人很好，肯帮忙，服务员热情勤快，房间设施基本齐备，就是卫生差了点，希望下次去能干净些。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '住宿大环境不错，可吃的需要改进，兔丁里头出现了猪排…', '短评打分': 3}
{'短评内容': '湖宾饭店住得舒适，环境不错，服务周到。特别黄老板为人亲切，让客人有如家的感受。有时间还是再到湖宾饭店作客。', '短评打分': 5}
{'短评内容': '酒店饭菜不错 但是离车站较远 要走半个小时', '短评打分': 5}
{'短评内容': '饭店在景区内，属于典型的农家乐，端午期间200左右的房价在附近不算便宜，听到周围有类似农家乐老板和临时到的客人讨价还价，三人间150可以入住。当然，因为我们有老人和小孩，所以这样临时去找，心里是很不踏实的，还是预定为好，行程能早些安排确定，但是对于全是年轻人，无论什么时候，我觉得完全可以走到哪，住到哪，没必要网上预订，因为网上预订景区内农家乐的价格可能不便宜。房间内被褥不太干净，卫生间有点脏，当然', '短评打分': 1}
{'短评内容': '环境一般，老板不错。', '短评打分': 3}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '处于景区之内，环境不错。隔清音阁很近，只是这次因枯水期湖面未见绿波荡漾', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '要的夫妻房变成了标间，标间却有两个等级。跟订的不一样，不过要少点价钱。', '短评打分': 3}
{'短评内容': '地理位置和环境都还不错，老板家的饭菜也很实惠，菜量很大！价格也算公道！', '短评打分': 5}
{'短评内容': '.一家不错的农家乐，较干净，清静。', '短评打分': 3}
{'短评内容': '老板人很好，很热情，酒店环境也还行，下次来还会住这里，也会推荐给朋友！', '短评打分': 3}
{'短评内容': '房间开始比较理想。淡季去可能还有便宜点。', '短评打分': 5}
{'短评内容': '老板人很好，住宿环境还算是不错，算是一家较好的旅店。', '短评打分': 3}
{'短评内容': '很好，很不错', '短评打分': 3}
{'短评内容': '老板很热情，就是车太多，要先花20元停山路边，6点左右再把车移到停车场', '短评打分': 3}
{'短评内容': '老板热情，房间价格嘛，因为在过年所以我们都能理解！原本定的是的两间房间，去了看见三人间很不错，老板也慷慨的给我们换了，准备下次去峨眉避暑度假，还是住这里！饭店在峨眉山景区里面，自己去找的话肯定是没有办法找到的，要买门票先进景区，所以到了峨眉山一定要先给老板打电话，老板会相当热情的出来迎接！！！', '短评打分': 5}
{'短评内容': '在中山,晚上没有路灯,到处黑漆漆的,只能留在酒店里看电视', '短评打分': 5}
{'短评内容': '老板很热情，老板娘的手艺很好，老板的女儿很漂亮，房子挺舒服的，顶一个', '短评打分': 5}
{'短评内容': '众所之说，老板确实非常热情。。。房间很干净，就在清音平湖旁，对第二天登至雷洞坪非常有利。。。', '短评打分': 5}
{'短评内容': '老板的态度还有酒店的餐饮都很不错，价格适中，比较好！！！', '短评打分': 5}
{'短评内容': '酒店还不错房间很干净环境也很好，前台服务还不错，价格很适中在旺季还算不错。位置也很好。', '短评打分': 5}
{'短评内容': '在峨眉山中山区,很干净和安静,夜里外面到处漆黑不能出去玩:)', '短评打分': 5}
{'短评内容': '老板人不错，还下来帮来拿箱子，饭店饭菜味道很好，房间来讲性价比不错，房间还算干净舒适，窗户外可以看到湖，风景很好，是清音阁附近来讲很不错的了吧，如果准备先玩半山或者玩下来的建议住那，但是如果想看日出还是不太建议住那，早上要起好早哦。。。。', '短评打分': 5}
{'短评内容': '这是家在景区内的农家旅馆。若对食宿要求不是太高，住这里比较方便第二天的旅游。\r\n自驾车要停在五显岗停车场，然后才可让旅馆的人用三轮车拉行李。', '短评打分': 5}
{'短评内容': '条件不错，挺整洁，老板人好，很热情。旁边的湖水很清澈，环境很好', '短评打分': 5}
{'短评内容': '很感激老板亲自到下面来接 一路上的美景 酒店服务很好 位置很棒  有机会再去的话 一定还会选择这家酒店 ', '短评打分': 5}
{'短评内容': '酒店在景区内，周边环境不错，但是基础设施、卫生环境有待进一步改善', '短评打分': 5}
{'短评内容': '房间不错，够干净，靠近清音平湖，晚上安静，空气清新', '短评打分': 3}
{'短评内容': '湖宾饭店在清音阁景区内.话说刚看到吓我一跳,依山傍水,在黄昏下很气派,从地面上三层台阶到了大厅,我们的二楼房间相当于五楼了,视', '短评打分': 5}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '位置好，条件等同农家乐', '短评打分': 5}
