{'短评内容': '居住行食一流，性价比高！', '短评打分': 5}
{'短评内容': '酒店硬件设施不错，但房间太小，特别是服务太差，结账慢。早餐如果住宿时申明就30元，否则第二早晨就是38元了，这算什么狗屁规则。', '短评打分': 1}
{'短评内容': '周边环境比较差，正对一个大烟囱，房间的热水器出水很小，且很难调节温度', '短评打分': 1}
{'短评内容': '相当不错，就是房间里上网的速度慢了一点点，其他都还好', '短评打分': 5}
{'短评内容': '不错，还可以 态度好，最迟14点退房  呵呵', '短评打分': 5}
{'短评内容': '1、很怪异的酒店，搞不清楚网络到底有什么问题，换了3根网线后，IT说我电脑有问题，随后在其他房间正常使用，换了第4根终于搞定，没多久，又断线，无奈要求换房，前台说没有，只有套间，要加钱，争吵后，没过多久，房间又有了。---这帮骗子\n2、打车的确不方便；\n3、电梯太慢、太小、太少。', '短评打分': 1}
{'短评内容': '酒店很干净，服务也很好。住的很舒服。主要是晚饭后还可以步行到商场走走，适当的休闲也还不错。', '短评打分': 5}
{'短评内容': '还不错咯@很好~早餐很给力@~~环境还不错~~', '短评打分': 5}
{'短评内容': '@@~~还好还好还好@@~@@~~还好还好还好@@~', '短评打分': 5}
{'短评内容': '良好', '短评打分': 3}
{'短评内容': '十', '短评打分': 3}
{'短评内容': '酒店服务很好，室内温度合适，特别是提供了上网电脑，很方便。', '短评打分': 3}
{'短评内容': '酒店的交通很便利，房间设施一般，但服务态度不错。天气突然凉了，热水不是太足。', '短评打分': 5}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '住的是行政套，设施比较满意，早餐也算丰富，只是门前出租车太少，出行不是很方便。', '短评打分': 5}
{'短评内容': '设施不错，服务也很好，两次入住都免费升级到行政间。就是位置太偏僻了，早上出门很难打到车，另外早餐价格太高。', '短评打分': 5}
{'短评内容': '服务不错，两次入住都免费升级了房间，房间设施也很好。就是位置太偏僻，早上出门很难打到车，附件也没有像样的饭馆。另外，早餐价格太高。', '短评打分': 5}
{'短评内容': '感觉很舒服，服务也好。订房的时候，我定的是标间和单间，到了酒店以后，因为没有我要的房型，酒店就给我们换了很好的房间，很感动。特地谢谢你们的服务！', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '酒店早餐自助，很有选择性而且胃口不错。酒店设施规整有序，只是空调声音有些大。其他都不错。', '短评打分': 5}
{'短评内容': '除了大堂还可以，其它都很差：地段很差，周围很偏僻，晚上重卡很吵；房间很小，电梯要等死人；洗澡的时候是不能调节热水温度的，奇烂的设计；卫生纸用的是很差那种扯不断垃圾货；马桶经常堵塞。', '短评打分': 1}
{'短评内容': '感觉不错，舒适，卫生', '短评打分': 3}
{'短评内容': '感觉不错', '短评打分': 5}
{'短评内容': '不含早餐，性价比一般', '短评打分': 1}
{'短评内容': '酒店也是新开业的虽然是刚开业的但是装修完房间的味道不是很大还是挺好的，位置离我办事的地方比较近但是去市区的话不是太方便门口要打车的话就比较困难了，房间的设施还行，服务也还不错，价格算是附近很便宜的了性价比是挺高的，但是唯一一点就是酒店房间里面虽然是二十四小时提供热水但是都是必须自己去烧，因为它房间里面就是有一个小型的热水器装水的容量不是很大，要是想用热水的时候就得自己烧这点还是挺麻烦的，也是希望酒', '短评打分': 5}
{'短评内容': '酒店比较安静，我喜欢.而且可以提供一些商务设备，宽带之类都齐全.有的酒店是不能提供或是收费的.不过酒店位置不是很好打车不方便.其它方面还可以.', '短评打分': 5}
{'短评内容': '酒店比较安静，我喜欢.而且可以提供一些商务设备，宽带之类都齐全.有的酒店是不能提供或是收费的.不过酒店位置不是很好打车不方便.其它方面还可以.', '短评打分': 5}
{'短评内容': '酒店应该是住宅楼改得，总体还行。就是电梯太少，很麻烦', '短评打分': 5}
{'短评内容': '按四星级的标准建造，但是作为最起码的卫生间，就是一塌糊涂，淋浴间太小，淋浴门不能关闭，水温不能调节，不是太烫就是太冷。', '短评打分': 1}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 3}
{'短评内容': '酒店文化气息浓厚，但是前台服务很一般。', '短评打分': 5}
{'短评内容': '在机场坐Taxi要注意 一般来说60-70元之间就可以到酒店了\r\n唯一问题 电梯太少  要等很长时间', '短评打分': 5}
{'短评内容': '酒店的位置不错的，打车不方便的，服务卫生以及设施都不错的，房间的面积比较小，价格还可以的酒店', '短评打分': 5}
{'短评内容': '酒店的总体服务还是可以的,内部环境也挺好的,价位也很合理,就是地理位置有点偏.', '短评打分': 5}
{'短评内容': '性价比还可以，如果是短时休息，可考虑。房间内配置的免费品太少，连矿泉水都没有，也没有吹风机。不过220元/天的价位也还好啦！希望能提高服务质量（太冷淡了）', '短评打分': 5}
{'短评内容': '酒店的服务卫生都挺不错的,价格也可以,位置挺好交通挺方便的.', '短评打分': 5}
