{'短评内容': '还行！', '短评打分': 5}
{'短评内容': '价格不太贵，空调效果还行，房间不大，不过比较安静。', '短评打分': 5}
{'短评内容': '房间干净，整洁。基本设施完整，交通也很方便。', '短评打分': 5}
{'短评内容': '环境优异，地理位置良好，房间大小比较合适。', '短评打分': 5}
{'短评内容': '电视具然是CRT.第一次在连锁酒店看到.一个字你懂的.', '短评打分': 1}
{'短评内容': '不错的宾馆，挺干净的，房间也挺大~就是电视节目少了点', '短评打分': 5}
{'短评内容': '离火车站比较近,干净卫生,价格也还很合理,服务态度还不错,我是孕妇他们还帮我拎东西', '短评打分': 5}
{'短评内容': '环境还可以，性价比还是不错的，离上海师范大学还是比较近，去办事的话是不错的选择', '短评打分': 5}
{'短评内容': '环境优异，地理位置良好，房间大小比较合适。', '短评打分': 5}
{'短评内容': '经常住，还行吧，交通很方便，又不闹，房间也蛮宽敞的', '短评打分': 5}
{'短评内容': '经济实惠、位置好、机场往来很方便，特价房值得', '短评打分': 5}
{'短评内容': ' 房间装饰不错,周边的商业设施较少', '短评打分': 3}
{'短评内容': '房间不错，但一直有小纸条塞进来！！！很烦！！！酒店可以管理下伐。', '短评打分': 3}
{'短评内容': '还行，和原来的锦勤假日服务相比有些差距，另外，正对会所楼上的房间入夜时分比较闹一些，手机信号也不好', '短评打分': 5}
{'短评内容': '安静，出行方便。在同类经济型酒店中，房间空间算大的，对于该地段而言，价格偏高', '短评打分': 1}
{'短评内容': '房间一般般, 服务尚可, 性价比中等, 但没电梯', '短评打分': 5}
{'短评内容': '挺不错的，安静，交通还算方便，下次还会预定', '短评打分': 5}
{'短评内容': '房间干净，被子都是新的，噪音还可以，因为住的靠近马路，早上7点左右有点吵。交通非常方便，离火车南站300米。值得入住。', '短评打分': 5}
{'短评内容': '这是我住过最垃圾的上海市内快捷酒店。\n1、没有电梯，妈呀，带了很多行李，自己扛上三楼；\n2、打开房间门一看，一地小广告（那种服务的，30张卡片，够打牌了）;', '短评打分': 1}
{'短评内容': '有些陈旧，交通方便', '短评打分': 3}
{'短评内容': '还可以吧。不过房间布置的风格明显不是莫泰的风格~', '短评打分': 5}
{'短评内容': '房间隔音不好，马马虎虎能住，房间取电出了2次插卡却不能取电的情况', '短评打分': 5}
{'短评内容': '还不错，两站公交到上师大，挺方便，主要是抢到了168的特价房', '短评打分': 5}
{'短评内容': '＋挺好，关键是交通方便。', '短评打分': 3}
{'短评内容': '房间一般，床单有些不太干净，服务态度也一般，总之住一天还好，住3、4天会不太舒服,有厨房，厨房的人帮了一点小忙', '短评打分': 5}
{'短评内容': ' 服务态度差，客房环境不错，交通方便', '短评打分': 3}
{'短评内容': '性价比还可以，但是连续入住的期间一直没有换过被子，希望这点可以改进，还有一点就是那种服务的广告太多了，基本每晚门缝里都会塞进去几张，对小孩子的成长影响不好，希望这点酒店可以改进。', '短评打分': 5}
{'短评内容': '很不错的酒店干净卫生，就是比介绍的离地铁口远了些，性价比不错！', '短评打分': 5}
{'短评内容': '挺好的，很干净，交通也很方便，离南站很近', '短评打分': 5}
{'短评内容': '酒店卫生方面和设施配置方面还算可以。但建议更换一下酒店房间的电视。房间上网的速度非常慢。酒店服务员的办事行动效率也要进一步提高。', '短评打分': 5}
{'短评内容': '价格实惠,交通便捷,房间还算干净,性价比不错', '短评打分': 5}
{'短评内容': '床不是很大，但总的来说还是不错。\n\n服务人员素质不够高，有些服务员干完事情后在一个房间里面打牌，声音大!', '短评打分': 5}
{'短评内容': '面对桂林路的房间比较小，不推荐，但是靠近小区的房间都还不错，电视还是CRT的，比较旧！', '短评打分': 5}
{'短评内容': '酒店没有电梯，楼层也比较低噢~~~而且大床床垫子坏了，也不给换房间，晕死。', '短评打分': 1}
{'短评内容': '为同学预订，很方便，房间也还可以来，主要是交通很便利，下次还会来！', '短评打分': 5}
{'短评内容': '还不错咯 还是很安静的 距离上海南站也很近的 走路十分钟就到了', '短评打分': 5}
{'短评内容': '环境挺好，也很安静，值得一住!', '短评打分': 3}
{'短评内容': '房间还是蛮大的，就是卫生间比较小。', '短评打分': 3}
{'短评内容': '可以的。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以。但是有点吵    顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶', '短评打分': 5}
{'短评内容': '离上海南站很近，环境也还安静，住的那个房间也挺宽敞，就是淋浴设备不怎么样，莲蓬头出水不均匀', '短评打分': 5}
{'短评内容': '干净卫生，整体环境还不错，而且离上海南站特别近，赶车很方便。下次还会考虑的。', '短评打分': 5}
{'短评内容': '可以！工作人员态度不错！.................', '短评打分': 5}
{'短评内容': '房间很安静，设施也齐全，就是周围的商店较少。', '短评打分': 5}
{'短评内容': '交通方便，环境还不错', '短评打分': 3}
{'短评内容': '房间竟然都是全明的，惊喜，就连特价的也比较的大，老板比较厚道！~', '短评打分': 5}
{'短评内容': '去年世博会期间去住该店，今年看中国馆又入住该店，很不错，到上海都住它！', '短评打分': 5}
{'短评内容': '位置离南站和上师大比较近。房间挺大的，也比较干净。就是没有电梯。', '短评打分': 5}
{'短评内容': '这家酒店就是房间里有股发霉的味道太重了，我问了服务员，她说每个房间都一样的，应该查找下原因', '短评打分': 5}
{'短评内容': '很一般，谈不上好坏，有钱人不要住这些宾馆，没钱人凑合，住宿环境和卫生一般哦', '短评打分': 1}
{'短评内容': '房间挺宽敞，环境很舒适也很干净，并且很安静，离上海南站很近，缺点是周围吃饭和充话费卖东西等服务业很不方便~~', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '挺好的!巳第二次入住。', '短评打分': 3}
{'短评内容': '房间比较大，房型全明，无电梯，总的来说比较值!', '短评打分': 3}
{'短评内容': '没有想到在南站附近还有这么便宜的酒店，只是不是很好找。', '短评打分': 5}
{'短评内容': '酒店挺干净，也安静，离南站也不远，这次订得不错，下次有需要还来', '短评打分': 5}
{'短评内容': '交通挺方便的，房间内配备挺齐全。就是离马路近隔音效果差点。', '短评打分': 5}
{'短评内容': '环境一般,房间的气窗正下面对着楼梯,较嘈。优点是离火车南站近。', '短评打分': 3}
{'短评内容': '<莫泰168上海南站上师大店(原锦勤假日南站店)>,环境不好,太偏了.', '短评打分': 5}
{'短评内容': '有点贵~环境还不错~就是没有大床~态度不太好~', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '基本设备齐全，房间空间很大~~很干净，服务周到', '短评打分': 5}
{'短评内容': '交通便利，内部环境不错，干净卫生，没有电梯，拿重东西不方便。', '短评打分': 5}
{'短评内容': '地理位置算是不错，离南站很近，不过没有一般连锁店那么新，毕竟是收购了原先一家宾馆改造过的。不过还有会议厅多媒体室什么的。如果办小型的会务工作什么的应该很方便。\n房间很宽敞，这个价格在上海来说也很优惠啦！\n就是没有吹风机，一点点小瑕疵。', '短评打分': 5}
{'短评内容': '总体还算不错，但是早上一大早HSPK就很吵。', '短评打分': 5}
{'短评内容': '里面的设施对得起这个价格了，唯一一点不足是附近吃饭的地很少', '短评打分': 5}
{'短评内容': '酒店很干净，装修的很好，离火车站近，服务也不错，住了三天，总之很满意。', '短评打分': 5}
{'短评内容': '距离上海火车南站很近，酒店装饰环境均比较理想，很满意！', '短评打分': 5}
{'短评内容': '还可以吧，就是离南站比较近一些，交通还算是方便的。', '短评打分': 5}
{'短评内容': '酒店环境很不错，靠近上海南站，出行交通都很方便。酒店的室内装潢让人感觉到干净整洁。唯一不足的是没有电梯，上楼比较费力。', '短评打分': 5}
{'短评内容': '位置挺好 挺干净的 离南站算是比较近的  \n位置挺好 挺干净的 离南站算是比较近的  ', '短评打分': 5}
{'短评内容': '：前台服务员不熟悉周围路线，误导客人，造成客人经济损失。', '短评打分': 3}
{'短评内容': '很干净  感觉很温馨  离上海南站挺近   性价比挺高   下次还会入住', '短评打分': 5}
{'短评内容': '性价比高，交通方便，距离南站很近，走路过去只要10分钟', '短评打分': 5}
{'短评内容': '服务很好，我是网上预定的，跟想象的标准差不多，室内很干净，周围建筑没有噪音。总体感觉很满意。', '短评打分': 5}
{'短评内容': '环境还不错，距南站也挺近，不好的是第一天竟然没有热水，也未提前通知，卫生打扫不够好，用过的拖鞋也未换', '短评打分': 5}
{'短评内容': '标房房间比较大，虽然是内窗但是开了通风感觉还行。有无线网络这点还是比较好', '短评打分': 5}
{'短评内容': '离火车站很近\n很方便\n而且很便宜\n房间空间也大', '短评打分': 5}
{'短评内容': '环境很好，交通很便利，服务态度也不错。~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店离南站很近，步行十分钟就到。最大缺点是没有电梯，有行李的话不方便。其次是附近只有一家便利店，买东西不太方便。室内装修还可以接受，有衣橱等。但是双床房332设计不合理，床与电视机柜的距离太近，不方便，且电视机较旧。浴室没有可移动淋浴头，是固定的，但是水温还可以。特价房332窗户不能完全打开，只能开缝。最后一点，床下长时间没有清扫，有少量毛絮，但可以接受。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '房间很干净，就是前台人太少，服务跟不上，', '短评打分': 3}
{'短评内容': ' 还是一样的好', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '价格便宜，离上海南站很近，性价比很高。也就是经济型酒店的标准。', '短评打分': 5}
{'短评内容': '没有电梯，空调有不好用，一整夜都没睡好,实在是无语了，', '短评打分': 1}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '离南站很近，地方比较安静，房间还算大的，就是床有点硬的，定的时候是168，到酒店后给的单子都不是168，不知道为什么？！', '短评打分': 5}
{'短评内容': '酒店地理位置好，是朋友推荐我来住的，果然挺好的！下次来上海还选择这家。', '短评打分': 5}
{'短评内容': '酒店地理位置很好！交通很方便，从火车站出来直接坐地铁一号线就到南站了，服务挺好的。', '短评打分': 5}
{'短评内容': '非常好，很大，估计有三十平左右，刚刚从香港回来，这个反差呀，乐坏了！！', '短评打分': 5}
{'短评内容': '入住当天，前台说全部房间都没有热水，热水器坏了一天，前台态度很好，也很诚恳，但是没有热水让人很不爽。', '短评打分': 1}
{'短评内容': '凑合吧，不过有点陈旧~~~位置也不是特别好~~~~', '短评打分': 5}
{'短评内容': '不错，挺干净的，价格也合理。。。。。。。。20个字难', '短评打分': 5}
{'短评内容': '方便，卫生还可以，离南站很近，走路去5分钟左右', '短评打分': 5}
{'短评内容': '环境还不错，只是可惜基本服务差一点，不过总体还比较满意', '短评打分': 5}
{'短评内容': '订的大床变成了双人床…不过没关系', '短评打分': 3}
{'短评内容': ' 价格便宜,房间干净,设备齐全。不足在于附近商店设施较少。', '短评打分': 3}
{'短评内容': '满意的。干净，空间和里面布置也合理。也很安静。价位也适中，总归是满意。', '短评打分': 5}
{'短评内容': ' 由于你们没有事先和酒店确认造成我入住受阻，对服务很不满意，差点没报警处理！', '短评打分': 3}
{'短评内容': '房间很大，也很干净，离南站也很近，很不错', '短评打分': 5}
{'短评内容': '服务态度好，居住环境也不错。特价房挺值的，下次继续住。', '短评打分': 5}
{'短评内容': '离上海南站较近，交通方便，特价房给力，设施齐全，只是网速较慢', '短评打分': 5}
{'短评内容': '刚入住，很好，不错。下次还来。', '短评打分': 3}
{'短评内容': '很不错就是电视频道太少了', '短评打分': 3}
{'短评内容': '服务差到极点，欺骗消费者。订了21天，住到一半突然说不让入住了。说房间被考研的人12月就订了。既然这样，为什么不在我入住第一天通知。到当天才通知。没有道德的店铺。此店不倒，天理不容。空调垃圾的要死，开一晚上盖一床被子都会冷，必须要盖两床。而且每张床只有一张被子，加床要收费。。床硬的要死。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '不错，我们又住了一天', '短评打分': 3}
{'短评内容': ' 一般般', '短评打分': 3}
{'短评内容': '蛮旧的装修，服务人员也不是很多，暗格调，倒是打扫的还干净', '短评打分': 1}
{'短评内容': '不错，值得推荐。现在也叫MOTEL168', '短评打分': 3}
{'短评内容': '酒店很不错，性价比高。不过走着去南站不是很近。', '短评打分': 3}
{'短评内容': '住的128rmb特价房。窗户是对着宾馆内的另一间房，空气流通不好。周围吃饭的店不多，要步行15分钟左右，到南站的南广场去。', '短评打分': 3}
{'短评内容': '，感觉不错，就是特价房给的都是双床房', '短评打分': 3}
{'短评内容': '酒店不错，很干净，隔音也不错，早餐很好吃，以后有机会会继续入住！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '除了窗户小了点，没电梯外，其它的都不错，性价比挺高', '短评打分': 5}
{'短评内容': '我现在住入了.服务态度很好.', '短评打分': 3}
{'短评内容': '这个价格在上海，还是南站边上，很好。一般人都值得去。', '短评打分': 5}
{'短评内容': '环境很好，价格也便宜，感觉在上海这个价格能住到这么好的房间很划算了', '短评打分': 5}
{'短评内容': '我感觉硬件设施一般，性价比不是很好，位置也有点偏！', '短评打分': 1}
{'短评内容': '    宾馆各方面都还不错   交通 住宿 卫生 服务等都不错   下次来上海还住这', '短评打分': 3}
{'短评内容': '世博会期间入住，装修很新，南站附近，性价比不错。', '短评打分': 5}
{'短评内容': '入住了，酒店还不错，房间挺大，性价比比较高，尤其用亿龙订房，158特价，办入住时其他客人都是220的，就是窗口有噪音，有点担心睡眠', '短评打分': 3}
{'短评内容': '帮朋友订的，朋友住了说还不错，去世博园也很方便', '短评打分': 5}
{'短评内容': '离上海南站很近，十分钟路程吧，房间整洁干净，总的来说不错', '短评打分': 5}
{'短评内容': '这里的特价间，设施和服务都不错，总体性价比相当高。缺点是：房间的隔音不好，可以听到马路和周围房间的响动，但算不上吵闹，如果你对此要求比较高的话，就不推荐了。另外，10元的早晨很一般。', '短评打分': 5}
{'短评内容': '+设施简单,保洁员很认真.隔音不是特别好', '短评打分': 5}
{'短评内容': '距离南站近，周边就有世博3路、24路，非常便于出行。', '短评打分': 5}
{'短评内容': '+环境和房间都感觉不错', '短评打分': 5}
{'短评内容': '世博期间住的，总的感觉还不错。就是前台稍微有点不专业，可能是晚上到的缘故吧。还有就是前台直接说上海话，有点不爽。', '短评打分': 5}
{'短评内容': '不错，卫生什么都挺好，舒适度高，离南站很近', '短评打分': 5}
{'短评内容': '比较方便，设施一般，不过离上海火车站南站较近，交通较方便', '短评打分': 5}
{'短评内容': '第二次来住了。交通很方便，下次还会选择这里！', '短评打分': 3}
{'短评内容': '距离上海火车南站非常近，从火车站出来坐地铁一号线可以直达，交通方便，酒店设施和服务都不错，值得推荐！', '短评打分': 5}
{'短评内容': '酒店离上海南站和地铁站很近，不用坐车，走路15分钟即到，门口就有公共汽车站，出入很方便，下回去上海还住它！', '短评打分': 5}
{'短评内容': '离南站很近，非常方便，帮朋友订的，朋友说非常好\r\n定的时候还有点忐忑呢~~~\r\n下次如果有朋友要求帮忙，还会选择这里', '短评打分': 5}
{'短评内容': '多定的一间房提前两天通知都不能退，这样的规章制度让人不甚理解，房间很小，就是离南站近方便', '短评打分': 1}
{'短评内容': '干净舒适', '短评打分': 5}
{'短评内容': '上海南站附近不算贵了，但是位置很尴尬，走过去不够近，打车去又觉得不够远划不来，前台效率一般，跟她说了要赶火车还在那边等啊等，等着前一个人办手续的人出去拿了半天的东西才回来办完手续，然后才轮到我们，别人去拿东西的时候就不能办另一个客人的手续吗？这效率最后导致我误了火车！', '短评打分': 1}
{'短评内容': '+酒店比较干净，离南站很紧但是附近吃饭要走10分钟左右', '短评打分': 5}
{'短评内容': '卫生挺不错的而且房间相对比较大住起来也挺舒服', '短评打分': 5}
{'短评内容': '离南站比较近，环境也可以！这次是替朋友定的！', '短评打分': 5}
{'短评内容': '帮朋友订的，没什么感觉哦，希望大家以后凭借自己的判断吧', '短评打分': 5}
{'短评内容': '比想象中的差远了~离火车站远不说,房间也比较差', '短评打分': 5}
{'短评内容': '离火车南站较近，出租车起步价可到。房间不大。', '短评打分': 5}
{'短评内容': '爸爸妈妈说不错，环境、卫生都挺好！而且离南站很近！', '短评打分': 5}
{'短评内容': '离车站近，环境还可以', '短评打分': 5}
{'短评内容': '还不错。。性价比高。。看世博住这里还不错的选择', '短评打分': 5}
{'短评内容': '环境还行，服务人员态度还可以，就是卫生间地漏太高了。', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '位置不错，紧靠南站，交通比较便利，就是设施有点小落后，居然连吹风机都没有，其他的还好啦！', '短评打分': 5}
{'短评内容': '酒店位置很好，交通方便，酒店设施也很全，性价比很高，下次还会选择的！', '短评打分': 3}
{'短评内容': '不错,比较干净,环境清静.靠东面的房间光线好,绿化也好.', '短评打分': 3}
{'短评内容': '酒店位置挺好的，交通很方便，酒店基础设施也挺好的！', '短评打分': 3}
{'短评内容': '总体来说，酒店的位置很好，出行很方便，基本的服务也都挺到位的。', '短评打分': 5}
{'短评内容': '房间小，还算干净。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '服务有必要细化，如说明就餐详细地址', '短评打分': 5}
{'短评内容': '不错的一家', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '主要是靠近光大，地理位置决定的，相对性价比不错。', '短评打分': 5}
{'短评内容': '看着电视突然发现一知大蜘蛛，吓死了。', '短评打分': 1}
{'短评内容': '沐室有蟲, 真是第一次見, 沒有升降機, 要自己搬行李, 洗手間淤塞, 差點有糞便倒流, 酒店指引註明離上海南站200米, 離上海地鐵上海南站站100米, 全都是騙人的, 最少走了900米, 提著行李, 又要過隧道, 走樓梯. 步行最少15分鐘. 這是一家好差的酒店, $308/晚, 絕對不值得.', '短评打分': 1}
{'短评内容': '本想方便去音乐学院的，结果发现走过去还得15分钟……若按这个要求，离得更近的酒店还有不少。从酒店本身来讲，装修陈旧，比如斑驳的墙纸，发黄的瓷砖等等；设施老化，比如没有电梯，梳洗用具比如家等快捷酒店还要简陋的多……\r\n哎，没话讲，肯定不会再去住了', '短评打分': 1}
{'短评内容': '不推荐', '短评打分': 3}
{'短评内容': '千万别住这里', '短评打分': 3}
{'短评内容': '从预定这家宾馆到后来走人都没舒服过 恶心死了', '短评打分': 1}
{'短评内容': '离南站很近，很适合晚上到上海的旅客', '短评打分': 5}
{'短评内容': '好！', '短评打分': 3}
{'短评内容': '做火车很方便的', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '位置不错靠火车和汽车南站。有网线，住的舒服。', '短评打分': 3}
{'短评内容': '在上海真算高性价比', '短评打分': 5}
{'短评内容': '送了早餐券。总体还算可以。', '短评打分': 5}
{'短评内容': '不错的地方，旁边就是超市，挺方便的', '短评打分': 5}
{'短评内容': '还可以，我推荐，下次还可以选择住！', '短评打分': 5}
{'短评内容': '基本就没服务，订的大床结果给了我一双床的标间，电视机也不行，老了，虽然有窗但是和没窗差不多，一点阳光都进不来', '短评打分': 1}
{'短评内容': '性价比不错,交通方便', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '环境比较安静，离火车站也近，很方便，住的3楼，房顶高低不平，像是阁楼', '短评打分': 5}
{'短评内容': '因没有Lift，所以要拿重重的行李上下楼梯，太吃力。\r\n环境非常幽静，适合纯休息型住宿。\r\n外观非一般酒店模式，有会所感。', '短评打分': 5}
{'短评内容': '距离南站很近，赶火车最好不过。', '短评打分': 5}
{'短评内容': '性价比高,离南站和地铁站近,靠近小区的房间更安静一些,早餐在3楼,所以选择在2楼住.缺点是没有电梯.....', '短评打分': 5}
{'短评内容': '地理位置还行，在火车站旁边，出门就有超市。只是要走大概10分钟才有地方吃东西，不是很方便。其他的赞一个！！！', '短评打分': 5}
{'短评内容': '物廉价美', '短评打分': 5}
{'短评内容': '窗户太小，房间有点小，其他没什么', '短评打分': 5}
{'短评内容': '自来水发黄，遥控器失灵，没有电梯，房间设置过于复杂，容易走多路，但是服务态度还不错。', '短评打分': 1}
{'短评内容': '朝小区的一边很安静,房间也挺干净,三楼有餐厅,所以二楼早晨会更安静一些.性价比在南站附近算高的.....不错,推荐一下', '短评打分': 5}
{'短评内容': '对的起价格,卫生情况不是特别干净,离上海南站走过去估计要15分钟吧.', '短评打分': 5}
{'短评内容': '性价比高，交通也方便！\r\n很满意', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 5}
{'短评内容': '酒店人员服务态度不很好,其他方面都挺好的,卫生条件也不错,性价比还是不错的,不过建议还是多较了,应该找到更好的.', '短评打分': 5}
