{'短评内容': '非常好，服务很好', '短评打分': 5}
{'短评内容': '酒店位置相当好，位于武汉最繁华的沿江大道，周边有很多各国风情的建筑还有很多各具特色的酒吧，酒店对面有码头可以坐船夜游长江、汉江。酒店的硬件设施有些陈旧，并且因为靠江的关系床铺会有些潮湿，特别是夏季南方梅雨季节时，所以北方的游客要慎重。酒店不含早餐，并且早餐价格不菲。', '短评打分': 5}
{'短评内容': '服务态度、酒店设施、交通状态等各方面都还不错', '短评打分': 5}
{'短评内容': '可以。行政楼层感觉19，20层要好一点，如果可以的话，安排在19，20层最好了。火柴最好每次能配好，呵呵。', '短评打分': 5}
{'短评内容': '酒店不错，满意！', '短评打分': 3}
{'短评内容': '不错。\n交通方便，可以眺望南湖。房间餐饮都不错', '短评打分': 5}
{'短评内容': '酒店环境和服务都挺好，挺安静的，早餐比较丰富。', '短评打分': 5}
{'短评内容': '房间和服务都满意，下次还住', '短评打分': 3}
{'短评内容': '房间还舒适但毛巾很老旧，服务挺也不错，早餐不是很满意。去机场不是方便。', '短评打分': 5}
{'短评内容': '酒店设施有点旧\u3000服务态度不好 不象是5星级酒店  顶多4星的标准', '短评打分': 1}
{'短评内容': '还行，就是房间旧了点，没有浴缸，达不到5星级要求。', '短评打分': 5}
{'短评内容': '硬件很硬，软件有待再软一点；位置不错，周边环境略微差了一点。', '短评打分': 5}
{'短评内容': '酒店设施好，房间温馨，服务周到，很有特色，下次还会来。', '短评打分': 5}
{'短评内容': '干净卫生，交通便利，各项服务配套齐全', '短评打分': 3}
{'短评内容': '酒店设施好，空调、盥洗让人感觉很舒服，环境也很安静，早餐品种少了点，但还过得去，外部环境也很不错，交通方便，住高层看得见湖，视野很美。', '短评打分': 5}
{'短评内容': '整体感觉还好，早上服务员清洁时的开门关门声音很吵，害我睡不好。不过整体服务还是很好的，没有自己的洗衣房，熨衣服还要送外面去，所以加快服务就是空谈了。', '短评打分': 5}
{'短评内容': '整体感觉还好，早上服务员清洁时的开门关门声音很吵，害我睡不好。另外我住了N多的酒店了，第一次给的发票全是20圆一张的，而且是1700圆的20圆一张，要85张啊！天啊，怎么报销啊！！', '短评打分': 1}
{'短评内容': '这家酒店内外装修都不错，住着很舒适，大厅也很气派。虽然在交通干道上，但是没有那种人来人往的嘈杂，我喜欢这样环境。不过价格可是有一点点贵的，如果不是太计较这个，还是挺不错的', '短评打分': 5}
{'短评内容': '总的来讲不错，房间比较卫生，床铺舒适，洁具干净。', '短评打分': 5}
{'短评内容': '五星中算小的價格也沒比較少,不過設備都全,就是離步行街遠了點,但算可以合格了', '短评打分': 5}
{'短评内容': '环境不错，床很舒服。房间装修比较有现代感。', '短评打分': 5}
{'短评内容': '酒店很好，是五星标准的，就是有点贵,早餐马马马虎虎', '短评打分': 5}
{'短评内容': '武汉雄楚国际大酒店很好很喜欢，房间很满意，下次还会入住。', '短评打分': 5}
{'短评内容': '交通方便，面临南湖，环境优美。\n酒店房间宽敞，卫生良好，服务员综合素质高。\n下次还会入住。', '短评打分': 5}
{'短评内容': '在武汉，这样的价位很物有所值了。服务也很不错', '短评打分': 5}
{'短评内容': '位置不错，硬件也不错，总台服务有改善，房间相对比较舒适', '短评打分': 5}
{'短评内容': '床还比较舒服，楼层视野也不错，但作为一个非真正五星的酒店，行政楼层的价格和房间实际还是比较不值得的', '短评打分': 1}
{'短评内容': '性价比一般的酒店，不差，也没有太多的优点。', '短评打分': 3}
{'短评内容': '干净温馨，清净气派', '短评打分': 3}
{'短评内容': '交通便利，房间宽敞，设施便利，服务一般，早餐一般。', '短评打分': 5}
{'短评内容': '硬件不错，在武昌算是比较舒适的酒店，每次到汉基本上都住这里', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很好很满意', '短评打分': 3}
{'短评内容': '房间不错， 4星级的标准，总体不错，但是周边环境太差，吃饭的地方也没有。', '短评打分': 5}
{'短评内容': '总体还可以，4星级的标准，床很大很舒服，但是周边设施太简陋，连吃饭的地方也没有。', '短评打分': 5}
{'短评内容': '酒店档次较高，房间干净，床非常舒服，早餐种类多，但是周围设施比较少，吃饭的地方也找不到。', '短评打分': 5}
{'短评内容': '房间价格可以，娱乐设施很多，休闲的好去处。但是周围环境和早餐一般。', '短评打分': 5}
{'短评内容': '综合条件不错. 床舒适, 设施新,人性化.', '短评打分': 5}
{'短评内容': '干净舒适', '短评打分': 3}
{'短评内容': '五星级酒店  环境设施 服务都不错.............', '短评打分': 5}
{'短评内容': '街道口-光谷区域性价比较高的酒店，条件仅次于华美达。', '短评打分': 5}
{'短评内容': '雄楚国际大酒店是我入住了很多次的酒店了，不错。\n不过这次入住的是临街的阳面，房间里面不开空调也有些热，而开窗户又太吵。希望酒店想办法解决。', '短评打分': 5}
{'短评内容': '性价比很不错的酒店，每次都住。\n马上又要去住了。', '短评打分': 5}
{'短评内容': '环境不错，住着很舒服', '短评打分': 3}
{'短评内容': '5星的酒店，各方面都很好。床超级舒服。唯一的缺点是地毯有毛毛的感觉，对敏感的人来说鼻子会不舒服。', '短评打分': 5}
{'短评内容': '老住客，新推荐，老提改进意见，都不会意思啦，好好加油', '短评打分': 5}
{'短评内容': '老住客，向各位隆重推荐，硬件很硬，软件还不是太软，那又怎么样呢 \n', '短评打分': 5}
{'短评内容': '老住客，向各位隆重推荐，硬件很硬，软件还不是太软，那又怎么样呢', '短评打分': 5}
{'短评内容': '都不错，就是2楼中餐厅9点多就不能吃饭了不太方便。', '短评打分': 5}
{'短评内容': '离武汉的几所大学都比较近，酒店的设施不错，房间不大，但比较卫生。', '短评打分': 3}
{'短评内容': '门童服务比较差。作为五星街酒店，车子到门口以后，门童还占在门口，应该是要主动开门的。但是，门童一直看着不动', '短评打分': 5}
{'短评内容': '酒店环境很好，装修也不错，位置不在主街上，但是晚上相当安静。', '短评打分': 3}
{'短评内容': '不错，我住三次了', '短评打分': 5}
{'短评内容': '新建的酒店，环境不错，可是有点背街，晚上不是很繁华。', '短评打分': 5}
{'短评内容': '除了位置稍稍偏一点，其他的都还不错。上次来汉，住在某号称四星还是五星级的酒店，没有这家好。酒店比较新，从门厅到房间都比较舒服。早餐基本可以和北京的同星级酒店相看齐了。满意。下次如果来汉，还住这里。', '短评打分': 5}
{'短评内容': '酒店前台的技能真是要改进，站那儿有一两分钟，还在自顾自谈对账，没有第一时间问询的，也真是少见。check in&amp;out的熟练度要提高。', '短评打分': 5}
{'短评内容': '硬件设施还行,服务一般', '短评打分': 5}
{'短评内容': '服务是个老问题，细节不注意，酒店总经理干嘛去了？', '短评打分': 3}
{'短评内容': '今天很不爽，谢天谢地，希望下次不会这样吧', '短评打分': 3}
{'短评内容': '旅行很累，刚刚午休（露点没盖被子，还好我不是女生），有陌生客人居然用房卡开门进来，吓了我一跳！打电话给总台，总台说卡做错了。准五星级酒店居然有这种事？另外每次结账总得半小时，总台能不能换个明白一点的人啊？', '短评打分': 1}
{'短评内容': '全新的洒店,卫生环境不错,只是与五星级酒店比还是差些', '短评打分': 5}
{'短评内容': '条件还不错，满意！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '卫生条件不错，性价比很好，\r\n下次机会在住这里', '短评打分': 5}
{'短评内容': '武汉雄楚国际大酒店蛮好的，就是房间小点。性价比总体来说还不错，旁边夜市的烧烤也非常好！', '短评打分': 3}
{'短评内容': '性价比很高的酒店，酒店周边环境很好，房间面积很大，也很干净，服务热情周到，酒店餐厅有几道菜的口味也不错，服务员热情周到，酒店里的圆珠笔是我见过最特别的。 \r\n', '短评打分': 5}
{'短评内容': '虽然是晚上11点多入住，早上9点多退房，入住时间不是很长，但感觉酒店还是不错的！值得推荐！', '短评打分': 5}
{'短评内容': '蛮好的，就是房间小点。性价比总体来说还不错，旁边夜市的烧烤也非常好！', '短评打分': 5}
{'短评内容': '客户住了很满意，说酒店装修很好，也很精致。最重要是离办事的地方比较近，反馈回来还不错', '短评打分': 5}
{'短评内容': '老房客了，下次可能要换一家酒店住住，求助场外观众，武汉有性价比好一点的酒店吗', '短评打分': 3}
{'短评内容': '硬件麻麻地啦，软件还有待改进。只是网上订房价为什么比单位协议价高100元？拎勿清', '短评打分': 5}
{'短评内容': '＋酒店条件一般！', '短评打分': 5}
{'短评内容': '住吧，武汉还有更好的没有？', '短评打分': 3}
{'短评内容': '整体符合预期，但服务与国际称谓还有距离', '短评打分': 3}
{'短评内容': '总体不错，总台服务有待改进，与准五星要匹配', '短评打分': 5}
{'短评内容': '雄楚大酒店，住了一个星期，感觉还可以，就是不太像5星的，4星半吧，房间客服很好，及时打扫，但是早餐太单一了，天天都是一个样的，一直在想他们的厨师是不是就会做那么几样，服务挺好，门童知道帮你开门搬东西，结账比较快的，总体来说，还行，附近好吃的也多', '短评打分': 5}
{'短评内容': '要是酒店周边环境好一点就更OK了，不过这是市长的责任', '短评打分': 3}
{'短评内容': '总体上还是满意的，厕纸质量建议配备好一点，与准五星匹配', '短评打分': 3}
{'短评内容': '习惯了，到武汉出差基本上住在这里', '短评打分': 5}
{'短评内容': '值得住，性价比不错', '短评打分': 5}
{'短评内容': '等你一起来鉴赏', '短评打分': 3}
{'短评内容': '常客了，给人家的感觉', '短评打分': 3}
{'短评内容': '物超所值', '短评打分': 5}
{'短评内容': '酒店各方面条件符合预期', '短评打分': 3}
{'短评内容': '回家的感觉', '短评打分': 3}
{'短评内容': '内在品质比外表看到的要好很多', '短评打分': 5}
{'短评内容': '是这家酒店的老住客了，很有亲切感', '短评打分': 3}
{'短评内容': '是这家酒店的老住客了，很有亲切感', '短评打分': 3}
{'短评内容': '常常住这家酒店，各方面都还不错', '短评打分': 5}
{'短评内容': '性价比不错。', '短评打分': 5}
{'短评内容': '服务需要改进。\r\n付钱后，如果不追问，酒店就不找零。', '短评打分': 3}
{'短评内容': '不错，下次继续住。\r\n如果退房结账速度再加快些就更好了。', '短评打分': 5}
{'短评内容': '房间卫生不错', '短评打分': 3}
{'短评内容': '卫生较干净', '短评打分': 5}
{'短评内容': '性价比好', '短评打分': 5}
{'短评内容': '性价比一般的很。。。服务方面不到位 客房到很干净。。打扫也及时', '短评打分': 5}
{'短评内容': '服务不达标', '短评打分': 3}
{'短评内容': 'Too expensive', '短评打分': 1}
{'短评内容': '性价比一般', '短评打分': 3}
{'短评内容': '价格有点贵', '短评打分': 3}
{'短评内容': '性价比还可以, 服务一般', '短评打分': 3}
{'短评内容': '服务员素质差， 尤其前台接待， 还记得叫欧阳晶晶那个接待， 太差了， 必须开除！', '短评打分': 1}
{'短评内容': '价格稍微贵', '短评打分': 5}
{'短评内容': '住的还行，就是打车比较困难', '短评打分': 5}
{'短评内容': '距我办事的地方很近，不错。', '短评打分': 5}
{'短评内容': '非常不错，超值性价比', '短评打分': 5}
{'短评内容': '环境不错，靠近林业局，交通也比较方便，到武昌火车站打的20min就到了。就是价格偏高了点。', '短评打分': 5}
{'短评内容': '其他还好，就是价格有点高', '短评打分': 5}
{'短评内容': '感觉还行', '短评打分': 5}
{'短评内容': '还不错的地方酒店，床是我最喜欢的，比较舒服，但是浴巾，毛巾之类的比较老旧。\r\n\r\n另，这家酒店的标准间比大床房要贵，一直没有想明白。', '短评打分': 5}
{'短评内容': '早餐一般，退房比较麻烦  其他都还好', '短评打分': 5}
{'短评内容': '各方面都还不错的酒店，有机会还会入住。', '短评打分': 3}
{'短评内容': '各方面都还不错的酒店，有机会还会入住。\r\n\r\n', '短评打分': 3}
{'短评内容': '各方面都还不错的酒店，有机会还会入住。', '短评打分': 5}
{'短评内容': '建议增加武汉特色的早点', '短评打分': 3}
{'短评内容': '新开的酒店，不错的', '短评打分': 5}
{'短评内容': '服务意识有待提高，', '短评打分': 5}
{'短评内容': '1, 房间因该增加剃须刀和棉榜之类。\r\n2，早点的品种应该丰富一下，比如增加武汉特色早点。', '短评打分': 5}
{'短评内容': '离办公室近，方便方便。', '短评打分': 3}
{'短评内容': '房间不错，打车不容易，楼下餐厅歇业比较早，服务员太少。', '短评打分': 3}
{'短评内容': '新开的酒店，就是服务员不多。', '短评打分': 5}
{'短评内容': '交通较便利，但周边商业气氛不浓。商务出差还是不错的', '短评打分': 5}
{'短评内容': '就母校很近，不错，下回回母校还住这里！', '短评打分': 5}
{'短评内容': '朋友推荐的，感觉还真是不错', '短评打分': 3}
{'短评内容': '位置不错，卫生方面也能接受，下次应该还会住', '短评打分': 5}
{'短评内容': '房间没有报纸！', '短评打分': 5}
{'短评内容': '价格适中,交通方便', '短评打分': 5}
{'短评内容': '位置还好，出行还是比较方便的，服务人员的素质还有待提高，房间的卫生和设施还行，不过酒店的价位有些高，性价比很一般', '短评打分': 3}
{'短评内容': '这家酒店我挺满意的，环境不错，房间挺干净的，位置也方便，值得推荐', '短评打分': 5}
{'短评内容': '1、到达的第一晚，12点多在西餐厅和朋友想要点东西吃，居然没有吃的了。\r\n2、早上8、9点在门口等出租车，是个痛苦的事情', '短评打分': 5}
{'短评内容': '这家酒店我挺满意的，环境不错，房间挺干净的，位置也方便，值得推荐 ', '短评打分': 3}
{'短评内容': '赶上武汉的长江三桥在修，交通不方便。另外服务员的服务层次不齐。早餐部门的就不错，但是门口的服务生看到我提个大行李也不来帮忙，出门叫车还是自己到路边叫。', '短评打分': 1}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置还可以的，交通不方便的，酒店的价格还可以的', '短评打分': 5}
{'短评内容': '房间格局比较小，但是整体还是很舒服的，隔音不错！服务不错！\r\n\r\n', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
