{'短评内容': '一般般班一般般班', '短评打分': 4}
{'短评内容': '济南怎么说呢，堂堂省会还是瞒让人失望的。全意算在市中心的区域，但是周边都是老房子，找起来稍微麻烦点。。这个价位来说不错了，周边吃的选择不多。', '短评打分': 5}
{'短评内容': '每次来济南出差都住这，依然的好，服务热情，设施很全，客房的吹风机很给力，房间收拾的也很干净，门口的免费停车场也很方便，出门就是市中心，办公方便，开会回来步行五分钟去对面的大明湖散散步还是很舒服的，下次来济南还会继续入住，推荐一下。依然好评。\n', '短评打分': 5}
{'短评内容': '1. 就在市中心里，对我来说价格实惠，招持热情，友好\n2.房间好像是由居民路改造的，走楼梯，没电梯.\n3。 有液晶电视，有电蚊香，有窗户的面对 对面居民楼，光线不错。\n4.小区安静\n5. 水很大，水比上海的水好喝。象软水\n6.  洗澡是站着冲的哪种，没有手拿的。。\n7.我住的306,是二楼，用的是格力空调\n', '短评打分': 5}
{'短评内容': ' 酒店环境很好很干净 地方也很好找', '短评打分': 3}
{'短评内容': '房间很干净，离大明湖很近，去趵突泉也方便，离市区也很近，吃饭也方便！', '短评打分': 5}
{'短评内容': '挺干净的 服务也好 \n好热情的呢\n就是定的大床房 这个窗有点不值得\n早晓得就定没窗了', '短评打分': 5}
{'短评内容': '位置不错，房间也还算不错，距离大明湖很近，旁边还有一条购物街。\n唯一一个有问题的地方就是，这家酒店可能会私自卖你的个人信息，身份证号手机号都会卖给一些诈骗份子。我从这家酒店回来的第三天，就接到一个诈骗电话，对我的行程了如指掌。', '短评打分': 5}
{'短评内容': '闹中取静，，，主要是服务态度好，价格便宜', '短评打分': 5}
{'短评内容': '全意宾馆古色古香，服务周到。入住的是2楼，加20元换了间大一点的房间，安静，但不是很敞亮。周边有很多小吃店，还有药店，很方便，离大明湖很近。不过附近的超市卖过期食品，别去。', '短评打分': 3}
{'短评内容': '超值的，下次去还会选择这家，干净房间面积也不小，很好的，离大明湖，商业街都很近', '短评打分': 5}
{'短评内容': '位于济南泉城路与大明湖之间，步行去周边景点方便省时，同时小区里有很多特色餐馆，适合背包旅行者入住，价格合理，房间干净整洁，尤其是热水量大，全天供应，下次还会再来！', '短评打分': 5}
{'短评内容': '总的来说还不错，要不然不会第二次再定这个酒店了～', '短评打分': 5}
{'短评内容': '价格比较便宜～服务也可以～唯一缺陷房间有点小～', '短评打分': 5}
{'短评内容': '很好，价格平，干新净', '短评打分': 3}
{'短评内容': '总的来说还不错~价格比较便宜点~就是房间比图片看起来有点小~', '短评打分': 5}
{'短评内容': '床单被子比较干净，其他设施一点不值138元，手机充电都没插座我把电视的拔掉用的，本来我定的是118的，因第一次在外住没经验，被服务员忽悠了个138的，追求性价比的朋友还望谨慎选择', '短评打分': 1}
{'短评内容': '优点：酒店客服相当不错，态度很热情，考虑很周到；24小时热水充足；房间内没有明显异味。缺点：房间比较小、床偏硬、能听到隔壁电视声音、酒店周围环境比较杂乱。总结：考虑到房价，全意的性价比是比较高的。如果资金有限，可以选择全意宾馆。', '短评打分': 5}
{'短评内容': '有可以独立使用的吹风机，卫生每天打扫，挺实惠的，而且在景点中心，往哪个方向走都不远。', '短评打分': 5}
{'短评内容': '宾馆位置还不错。房间不算特别小，设施还不错。', '短评打分': 5}
{'短评内容': '很不错，离景点也够近，唯一缺点是离公交站有点点远，房间有点小，不过也够便宜，总体算不错了', '短评打分': 5}
{'短评内容': '返卷后88块，挺便宜的，位置也可以，就是离公交有点远', '短评打分': 5}
{'短评内容': '出门挺方便的，价格也便宜，房间小点可以克服', '短评打分': 5}
{'短评内容': '全意宾馆希望大失望大', '短评打分': 3}
{'短评内容': '这家宾馆在市中心地理位置还是不错的.到BT泉和大明湖,泉城广场走路都可以到.那条巷子有点深,一走进去豁然开朗啊,古色的招牌很醒目/但是房间很小,两张床很摆进去后就基本上行走不了了.而且浴室是半透明的....万一男女出行,哎,单纯的我啊///\n总体感觉拉,还是不错哟/', '短评打分': 5}
{'短评内容': '位置很好，设施也比较全，价格也比较适中，', '短评打分': 5}
{'短评内容': '旅馆挺难找，但环境很好，前台古色古香，真漂亮～房间不是特别小，有空调。因不方便打扰卫生还把洗漱用品用袋子装起来挂在门上～～～好温馨～前台服务特别好～～～还帮忙看摩托车～～～', '短评打分': 5}
{'短评内容': '不错，很安静，环境也很好啊，嘻嘻嘻，值得一去，就是不太好找', '短评打分': 5}
{'短评内容': '还可以，就是无窗的房间太闷，加了20元换了个有窗的房间。', '短评打分': 3}
{'短评内容': '位置真的很好，济南著名景点离它都很近，宾馆环境也很舒适，而且宾馆旁边还有各种小吃店，十元三斤的草莓就是在那买的，乐死我们了！', '短评打分': 5}
{'短评内容': '好朋友情很喜欢乐园子里有一个月月月月月月月月月月月月月月。', '短评打分': 3}
{'短评内容': '房间小些 空气流通差 一股樟脑球味 我去时我订的房间竟然忘了打扫 哎', '短评打分': 1}
{'短评内容': '酒店设施还好吧，有窗户的房间也不是很通风，比较闷。在一个里弄里面，七弯八拐找进去的。倒是有很多小餐馆，便利店，晚上买东西很方便。离泉城广场等地段很近，都步行到', '短评打分': 5}
{'短评内容': '我住的是三人间，个人感觉，该宾馆还是很不错的，环境挺好，卫生，一应设施也齐全，价钱也合理。我只希望该宾馆能在墙上多设置几个挂钩，方便挂衣服，瑕不掩瑜，推荐全意宾馆', '短评打分': 5}
{'短评内容': '这家酒店的房间可以用“麻雀虽小，五脏俱全”来形容！很喜欢~', '短评打分': 5}
{'短评内容': '很不错，很干净', '短评打分': 3}
{'短评内容': '这个价位还可以，就是没有窗户有点闷～离着趵突泉和大明湖蛮近', '短评打分': 3}
{'短评内容': '性价比超高，网上订比较便宜哈，可以刷卡。', '短评打分': 5}
{'短评内容': '酒店环境不错，网速也很快，就是给我安排的一楼，有点吵', '短评打分': 5}
{'短评内容': '提供一个比较好走的路线，火车站出来坐3路，青龙桥下车后过马路，在华能大厦左边的路口往里走，走大概5分钟的样子，路边有个许记排骨米饭的小店（味道不错的说），右转直行就到了。\n古色古香的大厅，有点不明白为什么开在这个地方，不过住进去发现，真是闹中取静呀，泉城路喧嚣无比，热闹非凡，而这里却十分宁静，是个休息的好地方。酒店每天送两瓶矿泉水，挺人性化的。', '短评打分': 5}
{'短评内容': '整体还行，就是房间小了点', '短评打分': 3}
{'短评内容': '酒店不错，很干净也很实惠。下次还会去。', '短评打分': 3}
{'短评内容': '宾馆位置还可以，房间里面挺干净的，一百多元入住也挺实惠的', '短评打分': 5}
{'短评内容': '一般,服务一般,希望改善卫生，以后再去.', '短评打分': 5}
{'短评内容': '很不错的宾馆，很干净，隔音也不错，前台很热情，设施都很新，如果非说不足的话，浴室下水有点点慢。', '短评打分': 3}
{'短评内容': '房间蛮暖和的', '短评打分': 3}
{'短评内容': '哈哈，评价有点晚，不过，我非常建议大家去这个酒店，说实话不太大，不过各方面都挺温暖的，价格合理，离商业区也近，老板人也很热情，最重要的是，呵呵，我前两天去的，店里很暖和。', '短评打分': 5}
{'短评内容': '第二次入住，依然很好，服务很周到，值得推荐，下次去再住', '短评打分': 5}
{'短评内容': '环境还可以，旅馆在一个居民小区里面，比较安静。附件交通也方便，离泉城广场非常近，步行一会儿就到了。', '短评打分': 5}
{'短评内容': '不好找，入住之后很满意。空调开的很足，一进门就暖暖的。不论去哪个景点都非常方便，前台还借地图给我。找的话建议机场的同学，坐大巴到大明湖下车，转公交车到市立医院，有条街进去大概100米就到了；火车站的同学可以直接坐公交车到市立一院这个站下车，希望对大家有用！', '短评打分': 5}
{'短评内容': '刚装修有点味,不过有排气扇,空调.卫生干净..还可以,普通老百姓的最佳选择.', '短评打分': 3}
{'短评内容': '有一点儿贵，卫生间不太便利，可其他都很好！', '短评打分': 3}
{'短评内容': '虽然规模小了点，但是条件还是不错的，价格也挺合适，值得推荐。', '短评打分': 5}
{'短评内容': '酒店装修典雅、古朴，很干净，服务也很周到。周边小吃店很多，很方便。', '短评打分': 5}
{'短评内容': '地理位置不错！环境适合居住！没有窗的房间感觉不是很舒服。下次换带窗的！', '短评打分': 5}
{'短评内容': '房子还可以', '短评打分': 3}
{'短评内容': '全意酒店服务好，热水好，房间干净，很温馨！性价比高！', '短评打分': 3}
{'短评内容': '性价比比较合适，始于驴友。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务热情周到、也挺卫生的、环境幽静、交通方便、购物饮食也挺方便', '短评打分': 5}
{'短评内容': '性价比不错的酒店。酒店装修风格挺温馨时尚的， 门口的停车场很方便，房间里面设施很齐全 该有的都有。位置在市中心，距离济南的趵突泉，大明湖很近 ，走路几分钟就到了。 总台的服务人员很亲切 让人看上去心情很好呢 这次出行我是跟老公一起 住的大床房 床超大，房间卫生干净 尤其是24小时的热水淋浴 水压很足 对我这种喜欢享受冲热水澡的人来说 简直太棒了 呵呵 房间隔音效果不错，很安静，休息的很好。在这里我', '短评打分': 5}
{'短评内容': '已经是第二次入住全意宾馆了，还是一如既往的好，服务很热情，客房收拾的很干净，房间隔音效果很好，特别安静，睡觉很踏实。门口的停车场很方便，离商业区很近，办公很方便，下次还会继续入住。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，客房里面两个字：干净。住的挺舒服的，浴室的卫生搞的也不错，很人性化的设计，洗澡舒服，水压特别大，很暖和。酒店的环境优雅，很安静，门口还有大型停车场，停车很方便。最主要离大明湖景点和商业购物区很近，走路就到了，济南的特色小吃一条街芙蓉街就在旁边，吃的东西很多，童子鸡很好吃啊~~下次来济南还会继续入住，给个好评。', '短评打分': 5}
{'短评内容': '不错 很干净 位置也好 出行很方便~只不过刚开始订的有窗户的房间进去一看窗户被外头的广告板子挡住了', '短评打分': 5}
{'短评内容': '在小区里的一家酒店，环境比较安静，价格也不错，地处市中心', '短评打分': 5}
{'短评内容': '还可以，就是商务间只有网线，没有电脑，也没有电话，其他都挺好的', '短评打分': 3}
{'短评内容': '酒店环境真的不错，房间干净整洁，甚至比一般连锁店都要好，配套设施很齐全，主要是热水淋浴很舒服，水压很大，我们一家三口洗的很舒服，一次性洗刷用品也很讲究，最主要的就是离大明湖 趵突泉这些景点很近，直接步行几分钟就能到了，离济南小吃一条街也是步行就能到，总之性价比不错，下次来济南还住这里。', '短评打分': 5}
{'短评内容': '不太正规啊，服务很一般啦，不含早餐还这么贵~~~~~', '短评打分': 1}
{'短评内容': '性价比高，周边出行方便，服务不错，挺干净的', '短评打分': 5}
{'短评内容': '家庭式的旅馆。经济实惠，热水很好洗澡舒服', '短评打分': 5}
{'短评内容': '第一次有点难找。但住下就发现出行很方便，出门5分钟就到大明湖。前台小姐很好，借我地图，房间也很干净', '短评打分': 5}
{'短评内容': '性价比很高，服务不错，卫生干净，周边吃饭逛街都很方便，第一次去济南，结果发现在这里很方便，就是出租车不容易找到', '短评打分': 5}
{'短评内容': '房间挺大，还不错，在居民区里，很有生活气息。。', '短评打分': 5}
{'短评内容': '离泉城广场 大明湖 老东门都很近 很方便出行 酒店很干净', '短评打分': 5}
{'短评内容': '总体感觉挺干净，环境不错。', '短评打分': 3}
{'短评内容': '138的房间，干净，房间大，比较不错', '短评打分': 3}
{'短评内容': '总的影响还不错，该有的都有，房间也很清洁。只是外面正在修路，出去不太方便', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '虽然不好找但是酒店的确还可以   经济适用   档次中档  价格实惠', '短评打分': 3}
{'短评内容': '不错 房间很干净 就是有点难找 几个也很合适 值得推荐', '短评打分': 5}
{'短评内容': '很好的酒店，服务很好，房间也很舒适，下次还住这里。', '短评打分': 5}
{'短评内容': '宾馆的设置还不错，而且价格合理，性价比比较高，还有3人间。美中不足的是房间没有窗户，宾馆的名气太小，直接报宾馆的名字好多出租车司机都不知道。', '短评打分': 5}
