{'短评内容': '中央空调噪音有点大，别的 还是可以的，离车站也近', '短评打分': 5}
{'短评内容': '已经是第三次入住这家酒店啦，在网上预订一优惠，真的挺实惠的。中央空调相当给力，下午送到水果很新鲜，房间里赠送的两瓶纯净水听人性化的。绝对的超值，值得大家去体验，方便的交通，出来就是汽车站和火车站，超低的价格，赞赞赞', '短评打分': 5}
{'短评内容': '房间宽敞，性价比高。如果房间设施再齐备些就更好了。', '短评打分': 5}
{'短评内容': '干净，安静。', '短评打分': 3}
{'短评内容': '很新,有水果送很温馨。就是蚊子一晚上都在捣乱', '短评打分': 5}
{'短评内容': '508房间的中央空调没有纱网，不知道其他的有没，晚上睡觉全是蚊子，被咬了N口，这是住酒店享受还是遭罪来了。', '短评打分': 1}
{'短评内容': '环境优雅，服务周到，交通便利，临近火车站', '短评打分': 3}
{'短评内容': '酒店的位置很好找，早餐的品种很多！但味道实在就是不敢恭维了。酒店的房间很大！设施都非常的全面！服务那也是相当到位，每天晚上9点多就会有一个非常温饶的小妹妹打电话询问需要按摩吗？。。。。还有酒店是中央空调，温度不可调那种！房间里的温度不比外面凉快多少。', '短评打分': 5}
{'短评内容': '酒店不错，内部装修布部不错，符合三星。总之是物有所值吧。', '短评打分': 5}
{'短评内容': '价格比较便宜，餐厅东西比较多，三星的酒店，价格算不错的，离车站近，就是晚上小姐电话太多', '短评打分': 5}
{'短评内容': '闹中取静，交通环境及卫生情况早餐不错，就是别把电水壶和底座分得那么开，找了一会才将他俩配套。另外发票请尽快寄出。', '短评打分': 5}
{'短评内容': '酒店的晚餐自助+巴西烤肉，晚上7点半过去，连一片烤肉都没有吃到，只给分了一个烤的象石头硬的拷玉米。问服务员烤肉呢，说是有的，你坐在位置上等就行。忽悠。', '短评打分': 1}
{'短评内容': '位置有点偏，房间一般，价格有点贵了。不是很好', '短评打分': 1}
{'短评内容': '火车站对面，酒店内部设施还好，餐饮也还行。', '短评打分': 5}
{'短评内容': '离火车站很近，短期住或中转很方便，房间设施还可以。', '短评打分': 5}
{'短评内容': '酒店位置很不错，火车站正对面，服务也还可以，晚上还来接了我们，房间很新很大，价格还含早餐，唯一不足的是冲凉时水忽冷忽热，浴室门发出怪声，还以为同事在里面摔了呢，有些郁闷，我住的是528房', '短评打分': 3}
{'短评内容': '火车站很近 交通便捷 附近有不少公交汽车可以到市区 也可到潍坊风筝博物馆 酒店旁边还有个地下商场有卖风筝的', '短评打分': 5}
{'短评内容': '酒店挺干净的，二楼的自助也不错，吃饭方便。下次继续', '短评打分': 5}
{'短评内容': '总体还算不错，服务也挺好的，就是网络不太好用，骚扰电话太多。', '短评打分': 5}
{'短评内容': '酒店在火车站对面，交通很便利。环境设施也还不错。', '短评打分': 5}
{'短评内容': '床和家具质量很差，都晃悠，房间面积蛮大~~早餐还可以', '短评打分': 5}
{'短评内容': '房间非常大，居然是两室两卫一厅的格局，对于我一个人而言，实在有点浪费，比较适合家庭出游居住。就在火车站对面，很方便。', '短评打分': 5}
{'短评内容': '位置不出，一出火车站就是，但性价比不够高，服务态度一般', '短评打分': 5}
{'短评内容': '可以不错可以不错可以不错可以不错可以不错可以不错可以不错', '短评打分': 5}
{'短评内容': '可以不错可以不错可以不错可以不错可以不错', '短评打分': 5}
{'短评内容': '可以不错可以不错可以不错可以不错可以不错可以不错', '短评打分': 5}
{'短评内容': '整体感觉满意，下次会继续入住，离火车站近', '短评打分': 5}
{'短评内容': '以后去都住三维了', '短评打分': 3}
{'短评内容': '带电脑的房间电脑特别差，且不支持WIN7系统的电脑上网', '短评打分': 1}
{'短评内容': '酒店总体真的不错，住着很贴心。房间面积，卫生间，床的舒适度令人满意', '短评打分': 5}
{'短评内容': '很舒服，价格也很实在，下次到潍坊还要住', '短评打分': 3}
{'短评内容': '酒店位置不错，出了火车站就到了，就是门口打车不太方便，要走到十字路口去，那里的士多；酒店服务和房内情况都还不错，可算是准三星的吧，性价比挺高。', '短评打分': 5}
{'短评内容': '太差了，安排朋友多次住过，以前还好，前些日子，定两间只住一间居然给报个无入住，真缺德！', '短评打分': 1}
{'短评内容': '该酒店离火车站近，是最大的优势。房间一般，早餐不适合南方人。', '短评打分': 5}
{'短评内容': '离火车站很进，干净卫生，早餐很丰盛。', '短评打分': 3}
{'短评内容': '酒店的最大优势就是离火车站很近，可能是方圆500米范围内条件最好的。隔音效果还可以，只是有电话骚扰，十点了还打电话问。', '短评打分': 5}
{'短评内容': '地理位置好，早点一般。', '短评打分': 4}
{'短评内容': '这是第二次入住三维大酒店啦，还是没有感觉到其他人所评论的太冷啊之类的东西，感觉就是方便舒适。唯一的遗憾是第一次入住的时候是148元，结果这次就是178元啦。嘿嘿，不知道酒店对于连续入住有什么优惠呢？期待更多', '短评打分': 5}
{'短评内容': '交通方便，出火车站就到了。附近有多路公交前往市区，且与潍坊汽车站仅100多米。餐饮方便，对面就有面馆、永和豆浆等，酒店附带的自助火锅也很不错，48一位包含酒水（啤酒喝可乐）。房间洁净，管理有序，虽然是临近火车站，但是没有一点的纷扰，安静有序。宽带高速-专线水平。', '短评打分': 5}
{'短评内容': '只有中央空调，但是说3月中旬就不送暖风了。本来以为白天挺暖和的，晚上没空调也无所谓，但是晚上超级冷，盖了两床被还是冷，直接冻感冒了。厕所很小，洗浴间下水不好，洗一会澡就全淹出来了，厕所外面的地砖太滑，滑倒了，摔到肋骨，简直是超级倒霉超级不爽的住宿体验！最要命的是，下午五六点的时候，阿姨进门送小吃，这本来是很人性化的行为，但是她敲了敲门，我说有人，等等我去开门；结果阿姨直接自己打开门进来了，我这时候', '短评打分': 1}
{'短评内容': '第一次入住该酒店，感觉很实惠。没有前辈们说的关于空调的问题，重要的是距离车站很近，十分的方便。干净舒适', '短评打分': 5}
{'短评内容': '冷，空调只吹冷风，冷！冷！冷!下次不会再来了。', '短评打分': 1}
{'短评内容': '很不错的酒店，在火车站对面，服务态度挺好的。不足就是空调是中央空调，没有暖风，晚上比较冷。', '短评打分': 5}
{'短评内容': '床单不干净，房间没中央空调不能用，有点冷。早餐不咋地', '短评打分': 1}
{'短评内容': '来潍坊两次都住这里，位置好，每次开发票都中奖！很干净很舒适，就是现在不开空调太冷了', '短评打分': 5}
{'短评内容': '酒店靠近火车站比较方便  推荐ing... ', '短评打分': 5}
{'短评内容': '很不错的酒店，价格也可以，如果能和团购价持平那就更好了', '短评打分': 5}
{'短评内容': '服务很不错，空调不热说是潍坊同意规定3.15日以后不许开空调供暖，有点牵强不知道真假，晚上睡觉有点冷呢', '短评打分': 5}
{'短评内容': '房間乾淨，但小地方浴室打掃不完整很多灰塵。', '短评打分': 3}
{'短评内容': '不错，晚上还提供水果一份，呵呵就是吃饭不是很方便', '短评打分': 5}
{'短评内容': '还不错啦，价位合适，清爽干净，不过中央空调有点不热，室温有点低', '短评打分': 5}
{'短评内容': '交通便利干净对面就是火车站服务态度挺好的', '短评打分': 5}
{'短评内容': '房间很大很宽敞，交通很方便，下次过来还会入住···', '短评打分': 5}
{'短评内容': '不错，出火车站就看到了。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店的中央空调确实不给力啊，屋里冷啊，不知道夏天住会不会热，房间倒是挺干净的，挺卫生的。', '短评打分': 5}
{'短评内容': '还好--------------------------挺舒服的------', '短评打分': 5}
{'短评内容': '房间很干净 服务态度也不错·唯一的就是房间的空调有点不给力，冷啊 如果能改善的话下次还会入住的·', '短评打分': 5}
{'短评内容': '房间是落地窗，干净明亮，就是我情人节当天去的时候中央空调不是很给力，感觉房间稍微有点冷，其他还好！总之不错！', '短评打分': 5}
{'短评内容': '环境好，服务好，性价比高，下次来还住三维', '短评打分': 3}
{'短评内容': '设施还可以，房间也很大，干净卫生，就是网络稍差点，吊线好几次。。。。。', '短评打分': 5}
{'短评内容': '没有想到这个酒店的价格呵设施绝对是超值的，干净卫生，房间比较大，也很安静，位置不错就里火车站汽车站非常近，有点遗憾就是卫生间的热水似乎是水压不够。', '短评打分': 5}
{'短评内容': '总体不错，就是电脑没有声音，不是一两个，是全部。这点我比较接受不了。', '短评打分': 3}
{'短评内容': '酒店在出火车口很显眼的地方，价格和入住环境成正比，早餐品种太少', '短评打分': 5}
{'短评内容': '还好，离火车站挺近的，里面也挺干净-----------', '短评打分': 5}
{'短评内容': '火车站对面，交通很方便，性价比很高的酒店，下次还会住。', '短评打分': 5}
{'短评内容': '家具象纸糊的，空调不制冷，网速比乌龟还慢。尤其是前台卖假货也就罢了，竟然是垃圾货，回家一看，竟然是烂的，还不给调换。那个叫刘军的，似乎还是个值班经理，简直就一**，还要跟顾客动手。潍坊住了这么多酒店，没见过这样垃圾的。', '短评打分': 1}
{'短评内容': '宽阔', '短评打分': 3}
{'短评内容': '还可以，网络差点，早餐一般，房价还可以。', '短评打分': 5}
{'短评内容': '中央空调不热，估计是主机没运行，大冷的天，冻感冒了。设施硬件很好，软件服务跟不上，早餐太差，哪怕价位高一点，也要提供给客人好一点的菜品和服务。等个煎蛋要好长时间，倒是辛苦那个煎鸡蛋又要煮混沌的大姨了，应该把那个平底锅换成扒板，煎得多，还保温，又可以节省时间，早餐全素，不是每个人都吃素。该调整一下了。', '短评打分': 5}
{'短评内容': '挺不错的\n就是服务有点慢 本来定好的 可是去还是等了半个小时 才弄好，不过其他还好', '短评打分': 5}
{'短评内容': '酒店设施很好，环境不错，自助餐不是很热，有点凉！\n', '短评打分': 5}
{'短评内容': '环境不错，挺干净的，早餐花样有点少，鸡蛋要到8点之后才有，午餐的肥牛自助火锅酒品少点，肥牛要等着现切', '短评打分': 5}
{'短评内容': ' 不错，车站附近的放心酒店，很干净。唯一不足就是没有无线网覆盖', '短评打分': 3}
{'短评内容': '干净卫生,价格公道,童叟无欺,交通便利,服务周到,推荐。', '短评打分': 5}
{'短评内容': '条件比较好，价格也算便宜。如果加载无线网络最好\n\n酒店对面的餐厅吃饭太贵了，一碗牛肉面要二十多，像宰外地人。出酒店向东多走几百米吃饭要便宜很多', '短评打分': 5}
{'短评内容': '条件还好，价格也算便宜。网络能加载无线的最好\n酒店对面的餐厅比大城市的都贵。吃饭的话不要在那儿，向东方向走几百米吃饭便宜很多', '短评打分': 5}
{'短评内容': '一切都和上次住的时候一样，好像热水的压力比原来小了', '短评打分': 5}
{'短评内容': '房间的感觉非常不错，隔音效果不错，服务也很好，总体来说，这个酒店是非常值得入住的。晚上10点之后的热水不算好，但是 洗澡没问题，早餐也不错，不过有一点希望他能改，就是那歌，吃饭时候放的那歌太激情了，如果是舒缓的点音乐就好了', '短评打分': 5}
{'短评内容': '很好，服务员态度很好，还有小点心赠送，非常好，位置也很方便，满分！！', '短评打分': 5}
{'短评内容': '一般。早餐很糟糕。。。。。。8点下去吃早餐。\n一片狼藉。\n没剩下什么东西了。', '短评打分': 1}
{'短评内容': '还是空调的声音很大，有点吵', '短评打分': 3}
{'短评内容': '      环境什么的都挺不错、、、下次还会光顾~~~~~~~', '短评打分': 5}
{'短评内容': '总体不错，就是中央空调燥声比较大！', '短评打分': 3}
{'短评内容': '潍坊三维大酒店地段好，交通购物都很方便；酒店内部的设施比较好，中央空调、24小时热水；服务好，卫生条件是一流的；在潍坊同等档次的酒店相比较，三维大酒店的价格是最便宜的。总而言之，本人认为三维大酒店的性价比是最高的。', '短评打分': 5}
{'短评内容': '酒店距离火车站特别近，环境不错。下次乘火车还会选择这家酒店，服务也很赞！安排的房间很安静。', '短评打分': 5}
{'短评内容': '这个酒店的装修档次堪比四星级 房间很大 只是上网速度慢了点 早餐一般 但比起这个价格物超所值 值得推荐', '短评打分': 5}
{'短评内容': '临近火车站，交通便利。住宿条件比便捷酒店好很多。值得推荐', '短评打分': 3}
{'短评内容': '还行，毕竟是在火车站门口，能有这种价格已经不错了，就是暖气不够热，热水也不热，还有早餐也基本不热。', '短评打分': 5}
{'短评内容': '相当超值了，虽然房间杯子等用品比较脏，貌似从来没洗过\n但相对于价格来讲，很超值了', '短评打分': 5}
{'短评内容': '不能洗热水澡', '短评打分': 3}
{'短评内容': '酒店设施和地理位置很好，靠近火车站，公交车较多，交通很方便。酒店的服务也很好，值得居住。', '短评打分': 5}
{'短评内容': '酒店很新，入住的503房很大，设施感觉4星，迎宾小点心、无线路由器等让人感觉周到、温馨。早餐还可以，但缺少传统早点，比如油条、煮鸡蛋和西式内容。另外在酒店停车场遇到一件不可理解的事。该店停车场较狭小，我外出回来后，门前宽敞部分车位已被酒店保安占据，住店客人只能利用里侧的狭小区域，问及原因，称是酒店领导自用。怪事!哪家酒店领导这样弱智？自己用好的，让客人用次的，那客人住的能舒心吗？总之，该店硬件设施', '短评打分': 1}
{'短评内容': '房间很好，火车站、汽车站就在眼前，太方便了。', '短评打分': 3}
{'短评内容': '前台服务不错 楼间的服务人员服务很是周到', '短评打分': 5}
{'短评内容': '很不错 真心的 房间不错 离火车站超近 电梯超快 早餐还行 逛也很方便\n', '短评打分': 5}
{'短评内容': '房间很舒服 前台很棒 服务也很舒适 没有出现什么问题', '短评打分': 5}
{'短评内容': '预定的三维大酒店的房间已入住,房号729', '短评打分': 3}
{'短评内容': '环境确实不错，可是大半夜两点多客房哗哗从房顶漏水吓我一跳，这太让人受不了了~~~~我的眼镜落在客房也没提醒我~~', '短评打分': 5}
{'短评内容': '很不错的酒家 暖风没问题 热水啊 热水 估计是维修没跟上吧', '短评打分': 5}
{'短评内容': '空调不好用，冷死了，洗澡水不热，冻的发抖，门锁还是坏的，总之除了总体环境不错，硬件设施跟不上，比如家酒店差远了，以后不会再入住', '短评打分': 3}
{'短评内容': '很好！服务也不错！很干净！物美价廉的享受！', '短评打分': 5}
{'短评内容': '很不错 真心的 房间不错  离火车站超近  电梯超快 早餐还行 逛也很方便', '短评打分': 5}
{'短评内容': '房间很温馨', '短评打分': 3}
{'短评内容': '很好 就是空调冷了点  别的服务都还行 不错了 这个价位', '短评打分': 5}
{'短评内容': '离车站近，环境还可以，如果乘火车值得考虑。早餐不错。', '短评打分': 5}
{'短评内容': '酒店设施和服务都很好，值得居住。但卫生间地板太滑，稍不留神就会滑倒。', '短评打分': 3}
{'短评内容': '最大优点 交通方便  等车方便  价位适中 不错 下次还会住这里', '短评打分': 5}
{'短评内容': '交通方便   价格实惠  还有早餐比较方便 不像其他酒店不含早餐  周围环境比以前要好很多，下次还会住这里 不错', '短评打分': 5}
{'短评内容': '首先是地点方便，就在火车站直对面；第二，是住宿环境很雅观；第三，早餐比较丰盛，就是稍微有点凉。总起来讲，是性价比很高的一家酒店。', '短评打分': 5}
{'短评内容': '除了老问题 空调不给力，我估计这家用的是水热冷式的中央空调，热水不够或者住的人多的话就很容易不够热，房间多又大窗子也是单层的没办法保暖哎 其他都还好 ', '短评打分': 5}
{'短评内容': '离火车站200米，周围环境不错，干什么都方便，房间很新，条件不错，就是早餐太次了。', '短评打分': 5}
{'短评内容': '很干净，有带星的感觉，很气派。既适合家庭住，也适合商务住。唯一的小缺点是，到了半夜，感觉很冷，不知道是不是空调的原因，我当时调的是最大', '短评打分': 5}
{'短评内容': '还不错，只是大床房间小了太多，与网上宣传面积30平的概念不符。', '短评打分': 5}
{'短评内容': '正对车站广场，很好。推荐。早餐煎蛋移了位置，没找到，临走时才看到，可惜。', '短评打分': 5}
{'短评内容': '酒店很整洁，交通便利，视野也不错，早餐非常丰富。唯一的缺点是如果窗户没关严的话，声音有点吵。总的来说还是很不错的酒店。', '短评打分': 5}
{'短评内容': '我媳妇说，空调温度低，有点冷，其他的还好\n', '短评打分': 5}
{'短评内容': '服务态度挺好的，交通也很方便，唯一的不足就是房间空调温度有点低。。。。。', '短评打分': 5}
{'短评内容': '开业不久，房间比较大，交通也还方便，如果坐火车是最佳选择，房间干净卫生，屋里特别暖和，前台客服 服务热情周到耐心，最赞的是早餐\n\n', '短评打分': 5}
{'短评内容': '很好，房间干净，就是空调不好', '短评打分': 3}
{'短评内容': '酒店蛮不错的 交通方便  而且很干净  会推荐', '短评打分': 5}
{'短评内容': '房间整体性价比不错，但卫生间显得有点拥挤，而且灯开关的排布有些麻烦。', '短评打分': 5}
{'短评内容': '还行，干净，清爽，空调不怎么给力！冬天去有点冷！', '短评打分': 5}
{'短评内容': '这个价格还行吧，就是希望以后11月15日前能开空调', '短评打分': 5}
{'短评内容': '酒店不错.这个价格很值了.建以选择入住.下次还会来的.', '短评打分': 3}
{'短评内容': '总体还是不错的,服务又特色,交通方便..', '短评打分': 5}
{'短评内容': '酒店环境不错，但是冬天空调制热太差，进入房间冷冰冰。希望预先两三个房间打开空调，客人来了进入房间温暖些', '短评打分': 5}
{'短评内容': '不错，环境整洁，设备簇新。值得推荐，下次的首选。', '短评打分': 5}
{'短评内容': '很不错，装修很新，房间面积大，不足是卫生间灯有坏的。', '短评打分': 3}
{'短评内容': '卫生干净 交通便利  服务周到 价格公道  推荐', '短评打分': 5}
{'短评内容': '多次入住，支持！！！！！', '短评打分': 3}
{'短评内容': '我是11年12月20日入住的，还是犹豫中选择的它，但是我个人认为，冬天在潍坊还是不再考虑它了，我是看着三维大厦修建的，对酒店的崭新表示肯定，人员的服务态度也很好，但由于集中供暖，屋子里温度较低，我前天在屋子里要穿着毛衫，次日早上还是冻得有点儿着凉，望大家寻找独立空调的，不过夏天或春秋之际这里或许是不错的选择。', '短评打分': 1}
{'短评内容': '三维大酒店服务比较到位，响应及时，希望房间温度能调高些。', '短评打分': 3}
{'短评内容': '装修很新，但是中央空调效果不好，房间温度不够，早餐没有鸡蛋。整天感觉管理需再提高。', '短评打分': 5}
{'短评内容': '环境服务都不错。', '短评打分': 3}
{'短评内容': '挺干净的,可以的    挺干净的,可以的    挺干净的,可以的挺干净的,可以的                      \n\n挺干净的,可以的  ', '短评打分': 5}
{'短评内容': '酒店环境还好，离火车站和长途汽车站都很近，交通还是满方便的。', '短评打分': 5}
{'短评内容': '环境很好，就是卫生间太小，没有饮水机不方便，总体不错，值得入住。', '短评打分': 5}
{'短评内容': '酒店是新建，比较干净，环境也不错。\n床设施有点简单，希望能增加褥子。', '短评打分': 5}
{'短评内容': '环境真的很不错，性价比超高的，不错不错很不错。', '短评打分': 5}
{'短评内容': '干净卫生,交通方便,价格实惠,服务态度不错,总体感觉良好!', '短评打分': 5}
{'短评内容': '早上退房的时候竟然说没有机打发票，但是头天下午前台说是有机打发票的！现在只能给定额发票，对此非常不满意！说是要等到九点财务上班后才能给开机打发票，这叫什么酒店？这是什么态度？难道房客都要九点之后退房吗！！！！！', '短评打分': 5}
{'短评内容': '总体感觉还行，就是觉得价格稍高，房间整体布局与连锁酒店差不多，方便、离火车站特别近！', '短评打分': 5}
{'短评内容': '空调嘎吱嘎吱,影响休息，字数有限制。够了吗？', '短评打分': 1}
{'短评内容': '性价比高。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很新，服务一般，主要是性价比高。。。。。。', '短评打分': 5}
{'短评内容': '很不错啊   唯一的缺点就是早餐没鸡蛋。。别的真的不错   前台小姐服务差点', '短评打分': 5}
{'短评内容': '交通很方便，洒店也很好', '短评打分': 3}
{'短评内容': '不行，赶上电梯除锈，只开一个电梯，很慢。此外，未见有赠送果盘！', '短评打分': 5}
{'短评内容': '刚入住,总的感觉还不错.', '短评打分': 3}
{'短评内容': '酒店的空调不是很给力，最高档开了一晚上也不是很暖和，卫生间太小，洗澡的地方一个人进去勉强能转开身，环境很安静，早餐很一般，请注意他们房卡上写的退房时间是下午2点，但实际他们的退房时间是下午1点，我这次入住看了房卡超时了差点要加收半天房费', '短评打分': 5}
{'短评内容': '性价比非常高的一个酒店，在潍坊这样的价格能有这样好的服务和硬件，确实很诧异。也很高兴，下次还会继续入住。', '短评打分': 5}
{'短评内容': '很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错', '短评打分': 5}
{'短评内容': '酒店的设施、早餐都很好，与图片相符，整体满意，只是我去的时候是11月末，空调整体未开，除了大堂，整个酒店都很冷，房间里的空调的最高温也不够热，觉的有些冷，不过热水很舒服。\n整体评价优，希望老板不要过于吝啬空调费用。', '短评打分': 5}
{'短评内容': '三维的大房不错,宽敞,舒适,卫生,服务很好,早餐也不错,洗澡的热水很好,女儿洗澡洗的不肯出来.女儿很喜欢这里,下次还来住.推荐.', '短评打分': 3}
{'短评内容': '挺好的，本来住了一天准备换酒店的，结果。。。不错就它了，再住一天吧，只可惜带电脑的商务房有点贵，ELONG预订要178，由于酒店刚装修的缘故，房间和走廊上有点气味，美中不足；另外酒店的早餐除了鸡蛋没有一点肉制品，郁闷ING', '短评打分': 5}
{'短评内容': '很干净,设备齐全,位置上乘,但未配备电吹风,由于刚开业的原因,有装修的气味,总体感觉不错', '短评打分': 5}
{'短评内容': '房间挺大的，也比较干净，感觉心里比较开阔，如果多加几张沙发就好了，总体感觉不错。', '短评打分': 3}
{'短评内容': '多次入住，\n一如既往。就是很难顶到大床房。', '短评打分': 3}
{'短评内容': '1、新酒店，硬件非常不错\n2、服务态度相当不错。我的电脑没有网线插口，服务员就给配上无线路由。送餐非常及时。\n3、交通便利，火车站，汽车站也就30米的距离。\n4、性价比高，这一点你进入房间就感觉明显！\n\n总之，相当不错的一家酒店。', '短评打分': 5}
{'短评内容': '感觉很好,房间设施和环境都很好,下次还住在这里', '短评打分': 5}
{'短评内容': '第二次入住了，值得入住，后续还会继续！', '短评打分': 3}
{'短评内容': '火车站对面，地理位置不错，房间够大，服务可以，菜金贵些。', '短评打分': 5}
{'短评内容': '很不错，一直在住。值得推荐下哦。离着火车站近，但一点都不乱。', '短评打分': 5}
{'短评内容': '真的很不错，强烈推荐呀，环境没的说，干净整洁，早餐很不错', '短评打分': 5}
{'短评内容': '适合出差住宿 环境很好 ', '短评打分': 3}
{'短评内容': '很好啊。有说靠近火车站很吵的，亲身体验，房间内很安静。以后还会入住该酒店。', '短评打分': 5}
{'短评内容': '酒店条件不错，就是刷卡消费时，因Pos机问题等的时间较长。', '短评打分': 3}
{'短评内容': '和不错，推荐', '短评打分': 3}
{'短评内容': '环境很好！就是早餐的质量比较一般，品种较少！总体感觉还是很好的！下次还会选择该酒店！', '短评打分': 5}
{'短评内容': '酒店确实不错，无论是装修还是服务都不错，价格也合理，唯一不好的就是过火车站时太吵。', '短评打分': 5}
{'短评内容': '还不错，值得推荐。现要的果盘，赠送不及时。', '短评打分': 5}
