{'短评内容': '位置很方便', '短评打分': 5}
{'短评内容': '果然，1、前台服务员都很漂亮，态度也很好。连保洁人员都服务素质很高。\r\n2、酒店管理制度完善，对保洁人员的工作会进行查访。\r\n3、没有满洲里其他酒店那样的夜骚扰。\r\n4我落下东西，回来后才发现，朋友帮我去找时，酒店已经登记、密封保存！\r\n……\r\n性价比当然不用说。', '短评打分': 5}
{'短评内容': '性价比太高了，前台的服务员态度超好，又很漂亮', '短评打分': 3}
{'短评内容': '不错的，在当地来讲算得上是一流的。。。', '短评打分': 5}
{'短评内容': '整体不错，性价比好。', '短评打分': 5}
{'短评内容': '冬天非常便宜实惠，就是上网还是ADSL拨号的', '短评打分': 5}
{'短评内容': '作为满洲里为数不多的星级酒店来说，这家的性价比是最高的，大堂不错，前台接待的小姐很漂亮，很亲切、热情，服务态度极好，让人有一种很舒服的感觉。第二天入住房的是单人房（因为比标间便宜很多），我都觉得奇怪，原来就是小得可怜，而且又不是大床房，不太舒服。', '短评打分': 3}
{'短评内容': '作为满洲里为数不多的星级酒店来说，这家的性价比是最高的，大堂不错，前台接待的小姐很漂亮，很亲切、热情，服务态度极好，让人有一种很舒服的感觉。', '短评打分': 5}
{'短评内容': '地点很好，很方便，也很安静。', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '住的相当舒服。环境不错，前台的那几位小姑娘服务态度很好，有问必答，给满洲里之行提供了不少便利', '短评打分': 5}
{'短评内容': '房间实在太小了', '短评打分': 5}
{'短评内容': '我十月去的，价钱是120一个单人间，房子小点，但是价格还可以，就是不太隔音，早餐的品种少一些', '短评打分': 5}
