{'短评内容': '订的商务房c基本都是尾房，房间有点小，不过环境还可以', '短评打分': 5}
{'短评内容': '比较干净，也挺干净的，就在省博物馆对面的马路，交通还算便利。', '短评打分': 5}
{'短评内容': '非常温馨，并且内部功能设施很贴心，有家的感觉，还会再来的。', '短评打分': 5}
{'短评内容': '酒店环境比较安静，就是电视机小了点。总体不错！呵呵', '短评打分': 5}
{'短评内容': '性价比不错，干净卫生，服务态度很好，打车不太方便。', '短评打分': 5}
{'短评内容': '酒店服务很好，生意也很好，房间挺干净，避开了大马路，很安静，就是出行有些不方便，郑州到处都是单行线。酒店的标双间两张床，一大一小，似乎专门为一家三口准备的，很满意。', '短评打分': 5}
{'短评内容': ' 还可以，房间大，博物馆附近可以玩', '短评打分': 3}
{'短评内容': '非常舒服，安静，早餐很好吃，丰富，有饺子，玉米，肉肠。', '短评打分': 5}
{'短评内容': '停车太不方便，前台服务不错，洗澡问太小', '短评打分': 3}
{'短评内容': '洗澡水很好，随时都有，服务员也很热情，下次还会住。 ', '短评打分': 5}
{'短评内容': '连续在酒店住了一个礼拜，周围吃饭还是很方便，就是店前是单行线，交通不是很方便，每次回来都必须停在博物院，然后走过来。', '短评打分': 5}
{'短评内容': '连续在这酒店住，前台很热情，房间收拾的也很及时，但是电视太旧太小，还有就是沐浴液没有的时候说了2次才给添加，其他都很好。', '短评打分': 5}
{'短评内容': '房间很大，很干净，也比较干净，就是空气流通不好。', '短评打分': 5}
{'短评内容': '服务不错，性价比很好，交通方便，但打车不太容易。', '短评打分': 5}
{'短评内容': '还可以。值得入住。', '短评打分': 3}
{'短评内容': '比较温馨，环境也还不错，价格也比较实惠。有来郑州的可以过来入住', '短评打分': 5}
{'短评内容': '酒店环境很干净，交通也不错，距离第2天办事的地方很近。下次应该还会选择入住。', '短评打分': 5}
{'短评内容': '酒店环境好，位置好，唯一不足的就是打车不方便', '短评打分': 5}
{'短评内容': '房间干净，服务人员热情，交通还可以，因为单行线，打车比较困难。', '短评打分': 5}
{'短评内容': '   环境很好，服务周到', '短评打分': 3}
{'短评内容': '酒店还可以，就是221靠近电梯，一晚上都是电梯上下的声音，挺烦人的，其他还好', '短评打分': 3}
{'短评内容': '不错，比较希望锦江的风格！交通也比较方便，附近还有定火车票点！', '短评打分': 5}
{'短评内容': '交通很方便，离博物馆很近！比较习惯住锦江！', '短评打分': 5}
{'短评内容': '不错，比较喜欢锦江，到郑大、农大都比较方便！', '短评打分': 5}
{'短评内容': '酒店比较干净，隔音貌似不是特别好，好在酒店比较安静，附近交通也很便利', '短评打分': 5}
{'短评内容': '位置很不错的酒店，办事情什么的都很方便，卫生也很好，安全系数高，让人放心！！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '感觉还是可以的，周边吃饭什么的都是很方便，去农业路办事也很近！！', '短评打分': 5}
{'短评内容': '位置比较好，周边吃饭购物比较方便!呵呵去国贸中心国际企业中心办事挺近！', '短评打分': 5}
{'短评内容': '位置什么的都很好！非常的好！重点推荐，服务态度也不错！！', '短评打分': 5}
{'短评内容': '一直住这里，很不错了。没什么其他可说的了。还行吧总体上。', '短评打分': 5}
{'短评内容': '还行，总在这里住，就算还不错了，价格合理，其他方面也还不错。', '短评打分': 5}
{'短评内容': '还行吧，经常住这了。床大小正好。只是锦江之星的活动有些奇怪。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，酒店内部干净整洁，但没有停车场，不提供免费早餐。', '短评打分': 5}
{'短评内容': '非常好，干净卫生', '短评打分': 3}
{'短评内容': '每次来郑州都来拉，，，，因为确实不错，唯一的缺点就是不好打车走，', '短评打分': 5}
{'短评内容': '真不错，每次来郑州都会入驻该酒店的，值得参考1', '短评打分': 5}
{'短评内容': '很不错，离火车站很近，每次下火车都住这。', '短评打分': 5}
{'短评内容': '环境还可以，自己不开车可以考虑入住，有一点是：单行道，开车饶了半天，如果自己开车的话，可以选择其他宾馆。', '短评打分': 1}
{'短评内容': '酒店位置不错，饭菜味道不错，就是房间小，毕竟是经济酒店。总体来说不错！', '短评打分': 3}
{'短评内容': '环境不错，附近吃饭的地方也比较多，如果能送早餐就好了，呵呵', '短评打分': 5}
{'短评内容': '位置挺好，离农大挺近，房间不错~只可惜没吃成对面那家面馆。。。', '短评打分': 5}
{'短评内容': '酒店没有自己的停车场，车就停在外面马路边，也没人看管，很不方心。', '短评打分': 3}
{'短评内容': '地方比较方便，附近很多商场，房间很大，卫生间设施不行，早餐不行。', '短评打分': 5}
{'短评内容': '和博物院一街之隔，很方便去好好倾听中华民族的历史的声音；\n酒店门外的道路很安静，高大的梧桐树和落叶，实在适合度假的心情。\n酒店房间很干净也很舒服。\n斜对面是个阿炳盲人按摩学校，逛累了，可以全家大小一起去放松推个背什么的～\n下次来，还是会住这里的～', '短评打分': 5}
{'短评内容': '感觉挺好的，安静，房间睡这也很不错，总之如果有下次的话还会住在哪里。', '短评打分': 5}
{'短评内容': '服务还好,但是没什么特色,房间也很简陋,没有温馨的感觉,床单也不干净...希望改进', '短评打分': 1}
{'短评内容': '卫生条件还不错，价位在相同的地段也比较合适。唯一就是停车场不太满意，因为停车场就在马路边上的人行道上，我觉得不太安全。但总体不错，下次去还会入住。', '短评打分': 5}
{'短评内容': '干净卫生 服务热情有礼貌 周围吃东西很方便 值得推荐 就是酒店没有停车场 但给报销停车费 总体感觉还好', '短评打分': 5}
{'短评内容': '优点:卫生干净,对面的烩面好吃.地段比较繁华.离河南省博物馆很近.\n不足:打车不方便.要走到农业路.', '短评打分': 5}
{'短评内容': '办了锦江卡后，早餐免费两个人，品种还可以。门前出租车不少，但住的那几天空车似乎不多。其他没什么意见', '短评打分': 5}
{'短评内容': '离河南省博物院很近，想去参观的住这里很方便。提个建议，酒店地址如果叫经七路店会更好找一些。', '短评打分': 5}
{'短评内容': '酒店内部设施及房间布局非常好给人简单大方舒适的感觉，就是服务态度需要再提高！', '短评打分': 5}
{'短评内容': '各方面都很不错，很安静，就是离火车站有点远', '短评打分': 5}
{'短评内容': '房间很干净，但是空调遥控器固定在墙上很不方便，其他的很好，位置不错，离丹尼斯，大商都很近', '短评打分': 5}
{'短评内容': '位置不好，门前的路是单行，门口停车收费太厉害了，1楼味道不怎么好，也许是生意好，前台速度不怎么快哦', '短评打分': 1}
{'短评内容': '干净，离博物馆非常近~对面的烩面味道不错，值得推荐！', '短评打分': 5}
{'短评内容': '干净 舒适，  楼下餐厅也不错，交通也挺便利 。   价钱要再低点就更合适了。', '短评打分': 5}
{'短评内容': '不错，房间很大，也很干净，就是停车得交停车费（该店没有购买店前停车位）', '短评打分': 5}
{'短评内容': '总体来说性价比算高了！算可以的！现在正字入住当中啊！', '短评打分': 5}
{'短评内容': '卫生做的很好，服务员的服务态度也很好，周边环境也不错。', '短评打分': 5}
{'短评内容': '房间干净，服务人员服务态度好。周边吃饭也很方便', '短评打分': 5}
{'短评内容': '条件一般', '短评打分': 3}
{'短评内容': '很干净，服务不错，就是打车不太好打，其它都很满意', '短评打分': 5}
{'短评内容': '环境蛮好，就是夏天包夜停电，挺受罪的', '短评打分': 3}
{'短评内容': '处于市中心，离博物馆很近，房间很干净，床很舒服，早餐很好吃。', '短评打分': 5}
{'短评内容': '房间很干净，床位设计非常人性化,一张标准床,一张母子床,非常适合一家3口居住,早餐也不错。', '短评打分': 3}
{'短评内容': '酒店很干净，周边的环境也不错，服务人员的态度很好，只是房间的窗户设计的不太好，建议可以换一下，总体是不错的。', '短评打分': 5}
{'短评内容': '环境很不错，逛街也方便，闹市中比较安静，就是稍微有点难找，是在经七路上，名字却叫农业路店', '短评打分': 5}
{'短评内容': '还不错，很干净，就是隔音不大好，也是锦江之星全国酒店的普遍缺陷，还会继续住', '短评打分': 5}
{'短评内容': '第一次住这里的酒店，都很不错，楼下的饭店也合胃口。', '短评打分': 5}
{'短评内容': '酒店位置很好，服务也不错。早餐很丰富，吃的不错。下次出差还会选择这家店。', '短评打分': 5}
{'短评内容': '服务很规范，空调是大金的制冷很不错', '短评打分': 3}
{'短评内容': '单人间宽敞，安静，设施中规中矩，服务不错，可以推荐', '短评打分': 3}
{'短评内容': '环境、位置不错，服务员态度也很好，就是门前的路是单行，出门略微麻烦', '短评打分': 5}
{'短评内容': '这是我住的锦江之星连锁店中服务态度最好的。郑州的物价比较便宜，所以觉得这里无论是环境还是性价比都不错。对面的面店也很有特色，我这个不爱吃面的人也连续吃了好几次', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '前台没感觉，餐厅服务满好的。地理位置好，蛮方便的，附近好打车，饭店还多。就是卫生需要加强，床单被褥不是太干净，也没有吹风机。总体来说性价比还是较高的。', '短评打分': 5}
{'短评内容': '挺不错的，干净，舒适。', '短评打分': 3}
{'短评内容': '挺好的，就是打的不好打，吃饭的地方也挺多', '短评打分': 5}
{'短评内容': '不错，环境舒适，安静，服务到位，干净整洁，就是不太好找。', '短评打分': 5}
{'短评内容': '门口有停车场，但是收费；\n对面有烩面馆，很好吃，很方便；\n到农业路和花园路都很方便；\n卫生条件和设施很干净\n\n下次很会住', '短评打分': 5}
{'短评内容': '这次住的地方不一样了，比上次的地方还干净，服务态度依然很好！', '短评打分': 5}
{'短评内容': '很不错，服务态度很好~！性价比高。\n建议浴室淋浴蓬头进行更换了，水量较小。\n以后还会来的，希望越做越好', '短评打分': 5}
{'短评内容': '早餐很好，品种、品质都可称赞，只是停车不太方便、还收费', '短评打分': 5}
{'短评内容': '这家店位置不错，办事方便，车位较多。\n房内的一次性杯子用起来感觉不好，床上用品的清洁度欠佳。\n总体上，性价比还不错', '短评打分': 5}
{'短评内容': '很不错的锦江。房间较大，卫生，离河南博物馆非常近。另河南博物馆很值得一去，讲解员很敬业。', '短评打分': 5}
{'短评内容': '一个人出门的话，只要有锦江之星酒店肯定第一考虑\n农业路店缺点：\n不送矿泉水，\n电视不是液晶，\n电梯不是打房卡的，外人容易进去\n其他的都赞', '短评打分': 5}
{'短评内容': '整体很好, 但一点是为什么春节把无烟房封存,令不能吸烟味的我需住在吸烟房内,睡不好.', '短评打分': 5}
{'短评内容': '锦江之星一直都很好，就是打车不方便，出租车少啊', '短评打分': 5}
{'短评内容': '感觉不错', '短评打分': 3}
{'短评内容': ' 对锦江之星很失望,以后再不敢网订了。房价高,设施低廉。', '短评打分': 3}
{'短评内容': '服务态度很好，交通方便，房间很干净，环境还是可以的', '短评打分': 5}
{'短评内容': '房间比较大，建议选择朝东的房间。   周围吃饭的地方比较少。 酒店还是很不错的', '短评打分': 5}
{'短评内容': '不错，提前定好的，因为酒店当天调价又降了10元，很好！', '短评打分': 5}
{'短评内容': '综合条件还算可以。尤其是地理位置很方便,服务还行，环境干净。', '短评打分': 5}
{'短评内容': '都挺好的，怎么现在只能用10元优惠券了。有点少啊。', '短评打分': 5}
{'短评内容': '很干净，很安静，可惜没有停车位，整体来说不错，对于附近来说性价比一般。', '短评打分': 5}
{'短评内容': '房间隔音效果不是很好，特别是左右房间，老是感觉有人在敲墙，楼上也是咚咚直响，可能是我住7层的事情？', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '条件一般', '短评打分': 5}
{'短评内容': '比较干净，空间较大，早餐还行，服务不错，下次还来。', '短评打分': 5}
{'短评内容': '非常满意，干净卫生。服务态度也很好。停车在路沿上，过夜8元，空间很小，停不了几辆车。另外经七路及周围小路都是单行道', '短评打分': 5}
{'短评内容': ' 酒店不错 隔音不好', '短评打分': 5}
{'短评内容': '这家店在我住过的经济型酒店里算我最满意的了！卫生做的真的很不错，毛巾始终像新毛巾那样柔软洁白，床单也是。最后要走的时候用酒店送的早餐劵吃了一份早餐，一改我一直以来对经济型酒店早餐拙劣的印象，饭菜很可口，而且品种很多，自助型的，想吃多少都可以。酒店在河南博物馆对面的经七路上，不到一百米处就是郑州特别闹腾的农业路，可是住在房间里很安静。酒店离电影院，大商场，博物馆，大公交车站都很近，地理条件不错！', '短评打分': 5}
{'短评内容': '房间很大，很干净，床也很舒适的。飘窗，光线很好。\r\n周围环境也很好，毗邻河南农大。\r\n\r\n美中不足：房间隔音效果不是很好。', '短评打分': 5}
{'短评内容': '一直住在这里，各方面都不错，离商业区也很近，只是现在郑州堵车严重', '短评打分': 5}
{'短评内容': '这家店位于农业路经七路，在河南省博物院对面，周边交通购物都比较方便，离火车站也不是很远，不堵车的话打的12左右就可以到了。前台服务员服务态度不错，内部设施也能满足基本要求，被褥比较干净。最重要的是周边比较安静。', '短评打分': 5}
{'短评内容': '门口停车场位置太少，对面就是汇丰源烩面不错。\r\n\r\n服务态度也好，就是有点慢。', '短评打分': 5}
{'短评内容': ' 环境不错，也挺干净,服务态度也挺好', '短评打分': 5}
{'短评内容': '不错，房间比较干净，服务态度也好，下次来海选这个', '短评打分': 3}
{'短评内容': '卫生条件、地理位置不错，服务也挺好，推荐。', '短评打分': 5}
{'短评内容': '挺不错的，房间性价比比较高，下次来还可以选择这个', '短评打分': 5}
{'短评内容': '酒店服务不错,卫生也干净,就是隔音不好。', '短评打分': 5}
{'短评内容': '前台服务速度慢一点,早晨楼道里声音太吵!', '短评打分': 5}
{'短评内容': '锦江之星，很好，很干净，很安静，但是在单行道上，要的不方便。', '短评打分': 5}
{'短评内容': '在郑州经常住，目前还没找到比他更合适的。', '短评打分': 5}
{'短评内容': 'jjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj', '短评打分': 5}
{'短评内容': '值得推荐，但安静方面近期可能会受隔壁楼装修影响。', '短评打分': 3}
{'短评内容': '1、位置不算很便利，因为要走100多米才到农业路路口，才能到博物馆以及坐公交车；\r\n2、房间比较小，各种设施都是高密度摆放着，空间较小；\r\n3、卫生间正对着睡床，而且离床只有50厘米左右；\r\n4、服务员态度很好，而且能告诉顾客如何乘车到旅游点。特别表扬的是，有位叫黄静静的前台服务员超热情；\r\n5、一楼餐厅伙食还算不错，有一个菜是用花生酱煮菌菇，好象才18元，好吃，也很实惠；\r\n6、相邻的一幢楼正在', '短评打分': 3}
{'短评内容': '性价比很高，非常好，值得推荐。位置很好，服务很好。', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '环境不错，服务不错！', '短评打分': 5}
{'短评内容': '像锦江的旗舰店一样的感觉，离博物馆也很近，旁边还有个商圈啥的，总体不错。', '短评打分': 5}
{'短评内容': '此酒店非常好，很舒适', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '住得很舒服，房间比较大，干净整洁，离车站也蛮近，周围吃的很多，酒店对面洗脚的很正宗', '短评打分': 5}
{'短评内容': '酒店地理位置不错，环境也很好，值得入住。', '短评打分': 3}
{'短评内容': '什么都好，就是门前的道路是单行道不方便。', '短评打分': 3}
{'短评内容': '酒店环境、地理位置位都挺好的，就是没停车场，车停到马路边还要交停车费过夜费，晚上也没人看车，这点希望能改正。', '短评打分': 5}
{'短评内容': '还算整洁,还可以.', '短评打分': 5}
{'短评内容': '整体不错', '短评打分': 5}
{'短评内容': '房间相当大，很舒适，以后还会经常来住', '短评打分': 5}
{'短评内容': '酒店的入住和结账速度都很快，服务人员也都很专业。房间的设施都很干净，只是要能把电视换成液晶的就更好了。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店不错，就是门口交通是单行', '短评打分': 5}
{'短评内容': '为位置一般  价格不错  周边吃的地方很多 ', '短评打分': 5}
{'短评内容': '听出租司机说门前的路三月份才改成了单行，而导航信息还没有更新，所以开车过去的时候折腾坏了，周围的小路也有很多单行路，最后绕了好大一圈才终于到了。而且单行路上也不太好打车。不过离河南博物院很近，去郑州也只是为了去河南博物院，在这一点上选这个宾馆还是不错的。住的标准间，两张床不一样大，其中一张能睡两个人。房间不知道是太久没人住还是什么，一打开空调就是一股酸腐的味道，房间里面的衣架上还有一层灰，都不敢把', '短评打分': 1}
{'短评内容': '停车无院子，周边设施较齐全', '短评打分': 3}
{'短评内容': '房间干净，设施不错，服务很好', '短评打分': 5}
{'短评内容': '标间面积30平米', '短评打分': 5}
{'短评内容': '干净，安全，纯洁，\r\n停车不便，无免费上网，早餐不错，但不免费', '短评打分': 5}
{'短评内容': '酒店不错，很干净。如果加上机票和火车票服务就更好了。', '短评打分': 3}
{'短评内容': '不用一次性用品能换早餐，不错。', '短评打分': 5}
{'短评内容': '整体感觉不错，环境优雅，服务热情，房间也很干净，除了价格稍稍贵了一点点之外，其他都很满意', '短评打分': 5}
{'短评内容': '总体来说还不错  只是设备旧了点  尤其是电视机  收视效果很一般', '短评打分': 5}
{'短评内容': '位置不错，服务很好，没有人带到房间，略有不足。', '短评打分': 3}
{'短评内容': '面积还可以 环境一般', '短评打分': 5}
{'短评内容': '住得很方便，离博物院很近。', '短评打分': 5}
{'短评内容': '不错，早餐结束时间太早', '短评打分': 3}
{'短评内容': '不错，早餐结束时间太早', '短评打分': 5}
{'短评内容': '很专业', '短评打分': 5}
{'短评内容': '不错，早饭很好', '短评打分': 3}
{'短评内容': '房间太冷了，空调启动太慢，半天不都暖和，环境一般，价格高了，我觉得性价比不好  ', '短评打分': 3}
{'短评内容': '早餐不错，但另外收费，没有停车位', '短评打分': 5}
{'短评内容': '整体的环境干净整体，服务态度很好，价格也不贵，性价比可以', '短评打分': 3}
{'短评内容': 'bucuo ', '短评打分': 5}
{'短评内容': '服务上感觉不是很好，去前台办理入住手续后自己拿房卡去找房间，没有人带领，其它都还好！', '短评打分': 3}
{'短评内容': '我感觉酒店除了价格有点高以外，别的都挺好的，环境不错，位置也方便 ', '短评打分': 3}
{'短评内容': '我选的时候就是因为位置不错，所以才选选的，挺方便的这里，服务也还可以，值得一提的是，他们的洗漱杯子是一次性的，很不错。', '短评打分': 3}
{'短评内容': '酒店地 位置还算可以，条件很不错，硬件设施和他们工作人员的服务都很满意。', '短评打分': 3}
{'短评内容': '交通方便、干净，而且早餐很不错，丰盛有营养，还好吃', '短评打分': 3}
{'短评内容': '不过，交通方便，酒店干净，仍然是我的首选', '短评打分': 5}
{'短评内容': '酒店的服务还是比较不错.因为上次是去考试,酒店的位置不错,比较方便我出行到考场.卫生和设施条件都不错.总体感觉还行.', '短评打分': 3}
{'短评内容': '酒店尚可。但是门前的路正在施工。乱七八糟，灰尘很大。', '短评打分': 5}
{'短评内容': '在经济型酒店中还算可以。', '短评打分': 5}
{'短评内容': '性价比很不错的一家酒店，位置也非常好，距离河南省博物院只有两分钟的距离，紧靠交通主干道农业路，进出市区都比较方便，距离快速公交车站只要10几分钟，交通比较便利。吃饭非常方便和丰富，对面就有一家很不错的烩面店惠丰园，经营非常有名的郑州烩面，很多郑州人都很喜欢这家店。商住和居家旅行的好地方', '短评打分': 5}
{'短评内容': '哈哈。又住这家。每次去郑州都住这家', '短评打分': 3}
{'短评内容': '很舒适，价格实惠，餐饮不错，很好，下次再去郑州首选这家', '短评打分': 5}
{'短评内容': '离我客户近，所以下次还会住。性价比比较不错', '短评打分': 5}
{'短评内容': '因为我经常出门,而且都住锦江之星,这次入住的农业路店感觉非常好，房间干净没的说,以后我来郑州就住这家店了!门口招待客人的饭店也很多,各种口味都有,大家有空可以来感受下`', '短评打分': 5}
{'短评内容': '房间卫生很好，和别的快捷酒店比价格高了点可是物有所值.\r\n  服务员也都很热情,就是酒店名字叫农业路店但是要往经七路里走200米才到.\r\n    酒店没有锦江大厨还好周边有郑州特色饭店，有烩面和胡辣汤,总体感觉这家店还是不错的`` \r\n  大家可以去参观下', '短评打分': 5}
