{'短评内容': '早餐还不错！工作人员热情！', '短评打分': 5}
{'短评内容': '还好还好还好还好还好。。。。。。。。。。。。。。。。。。。。。。。。\n', '短评打分': 5}
{'短评内容': '虽然隔窗望去景色很美，但是酒店很破旧，卫生条件不好。', '短评打分': 1}
{'短评内容': '服務不錯,清潔也行,在當地算不錯的飯店.唯一是火車代購服務似乎沒有很完善.不太方便.假如可以增加一些當地的旅遊資訊,應該可以更好更周全', '短评打分': 5}
{'短评内容': '性价比不高，价位骗高，很一般的酒店，而且早餐也不太好。', '短评打分': 5}
{'短评内容': '酒店位置不错，就在江边，江边的夜景很美，我们还照了好多相呢。我们住的是标准间，相对于四星来说，酒店设施不是很好，床也有点硬。不过在通化这个地方这里就算是很不错的了。对面是如家，那场著名的大火后还没开呢。', '短评打分': 5}
{'短评内容': '酒店不错，房间超大，网速也很快。早餐还可以吧，比万通酒店好', '短评打分': 5}
{'短评内容': '都太普通了', '短评打分': 3}
{'短评内容': '是通化最好的酒店，四星的，服务较好，就是自助餐稍为有点不够好，但价格非常低，物有所值。', '短评打分': 5}
{'短评内容': '房间不错就是屋里太冷，空调七点之后才有？', '短评打分': 3}
{'短评内容': '还可以，好像没什么可选择的ffffffffffffgff', '短评打分': 5}
{'短评内容': '这家酒店服务水平实在不高，月底不能开发票，早餐没到时间就撤掉，不敢恭维。', '短评打分': 1}
{'短评内容': '酒店设施比较陈旧,但交通还是比较方便, 在这个地方只能住在这了', '短评打分': 5}
{'短评内容': '在通化这个假日酒店算不错的了,性价比高,每次来都是入住这里', '短评打分': 5}
{'短评内容': '在通化没有太多的选择,东方假日酒店应该是4星的酒店，但各方面条件与标准有差距,服务人员态度还可以,早餐一般，网速一般。对面是如家快捷酒店，一样的位置，一半的价格', '短评打分': 5}
{'短评内容': '应该是4星的酒店，但各方面条件与标准有差距。服务人员态度还可以。', '短评打分': 5}
{'短评内容': '性价比不错的酒店，优点态度比较好，酒店吃饭不贵，缺点是隔音不是太好。马路上的声音太吵。', '短评打分': 5}
{'短评内容': '在通化这样一个城市里，这家酒店只能算是矬子里拔将军。', '短评打分': 5}
{'短评内容': '这个酒店的位置不错，就在浑江的桥头，坐落在江边，隔江望山。这个价格就通化的消费水平来说，性价比低。酒店的上半部是当地的水利局，早餐一般，网速一般。对面是如家快捷酒店，一样的位置，一半的价格。', '短评打分': 1}
{'短评内容': '条件一般', '短评打分': 5}
{'短评内容': '临江的房间夜景很美，房间面积很大，但设施配备不全；早餐品种较多，但量不足，去晚后经常缺品种，营业时间太短（7：00－8：30），经常不到时间，营业员就开始打扫', '短评打分': 3}
{'短评内容': '卫生很好，服务态度还行，下次有机会还是会去入住的。', '短评打分': 5}
{'短评内容': ' 老 旧 象升级酒店', '短评打分': 5}
{'短评内容': '+临江的房间晚上风景美极了：江，桥，霓虹灯，灯塔映照的玉皇山，真不错，就是房间还多少有些装修的气味', '短评打分': 5}
{'短评内容': '通化市的酒店除了通化宾馆以外都比较差，但通化宾馆价格太贵。东方假日酒店可以说是这些差宾馆中的“将军”，凑合还能住。主要问题是衣柜味道太呛。', '短评打分': 5}
{'短评内容': '一个二十五平米的房间就两个小灯泡.晚上几乎看不到.和客人在坐非常不合适.希望能改正', '短评打分': 5}
{'短评内容': '卫生较差，房间里有难闻的味道，饭菜也很差', '短评打分': 1}
{'短评内容': '环境还是可以的', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '总体一般', '短评打分': 5}
{'短评内容': '酒店不能用国际信用卡结帐，而且，金卡中的钱不能取出是个遗憾。早餐不是很满意，而且，晚餐的性价比不高。', '短评打分': 5}
{'短评内容': '房間比較大,可以看到美麗的通化夜景,洗手间淋浴可以改進最好Aimee', '短评打分': 5}
{'短评内容': '听说这是当地条件最好的宾馆了,还可以吧,卫生条件还行,不过对面有如家,如果是公干到本地,还是要住这里', '短评打分': 5}
{'短评内容': '不如对面的如家酒店', '短评打分': 1}
{'短评内容': '老酒店， 设施过得去， 在服务上还需加强培训', '短评打分': 3}
{'短评内容': '酒店交通方便， 浑河岸边风景很好', '短评打分': 3}
{'短评内容': '酒店位置很好， 对面就是玉皇山', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '老酒店，没什么特别的，在小地方这就只能这样了。', '短评打分': 3}
{'短评内容': '还不错的酒店，', '短评打分': 3}
{'短评内容': '对于县级市来说算是还可以的，住起来还算舒服。听那里的服务员说是通化最好的酒店了，下次住还可以住那里。', '短评打分': 5}
{'短评内容': '房间比较大，环境、服务一般，位置还可以，整体感觉还行', '短评打分': 3}
