{'短评内容': '太差了，餐巾纸也没有，水量太小了，卫生太差', '短评打分': 2}
{'短评内容': '居住安静，出行便利，对于到上师大参加会议或考试的人群非常适宜。', '短评打分': 5}
{'短评内容': '价格实惠，房间令人满意，中央空调，还送双份早餐，值了，要说缺点吧，淋浴头好像有点问题，总体来说很满意', '短评打分': 5}
{'短评内容': '谢谢性价比不错 以后还会住 特价房值得推荐', '短评打分': 5}
{'短评内容': '到上师大一如既往的首选的宾馆！～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '房间可爱。设施干净。交通便利。到上海南站方便。\n房间服务一般。', '短评打分': 5}
{'短评内容': '挺好的~~~~~~~~~~~以后还会在这里住~~~', '短评打分': 5}
{'短评内容': '这家不错，我要住二天，可没位了，我只住了一天，唉只好到另家了', '短评打分': 5}
{'短评内容': '酒店还不错，上海师范大学开的，学习氛围挺好的，在市中心，交通便利，早餐还可以', '短评打分': 5}
{'短评内容': '还不错，下次还会选择，就是房间隔音差了一点，其他都还行', '短评打分': 5}
{'短评内容': '服务还好，早餐种类有点少，可口，房间还行，性价比不错', '短评打分': 5}
{'短评内容': '到上海师范大学办事很方便，而且价格比很高～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '房间还不错，网络不好，希望改善', '短评打分': 3}
{'短评内容': '续了一天，一来是没办完，二来是性价比。这样的价位还含早餐，在上海是难找到的。就在上师大对面，吃饭甚至可以到师大的食堂，周围环境也不错。', '短评打分': 5}
{'短评内容': '性价比很高，位于上师大附近，交通还不错，除了房间有点霉味，厕所有点小，早餐有点简单之外，其他都还可以。硬件设施还可以，值得推荐！', '短评打分': 5}
{'短评内容': '首先酒店位置还不错，比较安静。\n价格也比较优惠。\n并且还有早餐。只是早餐稍显简单。\n房间设施相对陈旧，有一点霉味，厕所有点小，整体来说的话，可以给到80分吧。\n', '短评打分': 5}
{'短评内容': '房间很小，房间里没有一个插头是好的，手机都不能充电，离地铁站很远', '短评打分': 1}
{'短评内容': '第二次住，总体感觉一般，比较老，但这个价格还是性价比较高的那种酒店', '短评打分': 5}
{'短评内容': '价格便宜，酒店工作人员服务好，重信誉，交通也较方便，就是房间洗澡水较小。', '短评打分': 5}
{'短评内容': '到上海师大，该酒店是首选！不论是地理位子，还是价格都很实惠', '短评打分': 5}
{'短评内容': '干净整洁，房间虽然老一点，整体看上去还不错的，可我那个房间的马桶有点堵，真扫兴', '短评打分': 5}
{'短评内容': '到上海师大首选酒店，------------性格比很好。', '短评打分': 5}
{'短评内容': '前台、客房等服务员都尽职尽责。希望早餐增加一些水果（普通、大路货即可），使客人早餐营养合理全面。', '短评打分': 5}
{'短评内容': '这是上师大的国际交流中心，楼偏旧，但是还是比较过硬的，可以住', '短评打分': 5}
{'短评内容': '本来订了2晚点房间。凑合住今晚，明天一早赶紧搬7天或如家去，这边条件太差，设施陈旧，一股股怪味难以入眠。期待明天早点到，换酒店洗个澡，好好再睡睡。。。。', '短评打分': 1}
{'短评内容': '非常喜欢母校的感觉！只要有机会我还会再来！', '短评打分': 5}
{'短评内容': '不错的酒店，对面就是上海师大，可以去看美眉啊，呵呵。', '短评打分': 5}
{'短评内容': '到上海师大，该酒店是首选！不论是地理位子，还是价格都很实惠！ \n', '短评打分': 5}
{'短评内容': '到上海师大，该酒店是首选！不论是地理位子，还是价格都很实惠！', '短评打分': 5}
{'短评内容': '该酒店离上海铁路南站和漕河泾商业区较近，交通便利。酒店卫生和服务较好，性价比较高。', '短评打分': 5}
{'短评内容': '喜欢这里的一切，学思湖畔的风景，是我人生永远的印记！', '短评打分': 5}
{'短评内容': '酒店周边环境优雅，内部设施还算完备。服务较好，以后有机会还选择这里！', '短评打分': 5}
{'短评内容': '今天入住这里没有特价房了，酒店给我免费升了一个档次，很诚意！赞一个！母校的服务就是好！', '短评打分': 5}
{'短评内容': '挺好的。好的好的的大的你那你你那你那你你你你你你那你', '短评打分': 5}
{'短评内容': '房间一般 地段不错。。。。。前台服务好，就是速度有点慢\n', '短评打分': 5}
{'短评内容': '为了考试所以选择的 比上次要好一些感觉到有稍微的装修一下 就是有一点需要注意的就是屋内没有主光源 就算白天拉上窗帘把屋里的所有灯都打开仍然很暗！需要有一盏大灯', '短评打分': 5}
{'短评内容': '地点方便，距离火车站南站打车5分钟的路程，且性价比比较高；因为在上师大院内也比较安静；一楼餐厅饮食及环境也不错；不足之处，因是对外饭店，晚上没有预定常常会没有位置；', '短评打分': 5}
{'短评内容': '交通很方便，价格也不贵，就是服务人员的态度一般', '短评打分': 5}
{'短评内容': '介格来说,还不错,不过,房间环境太差了,也好小,卫生间不太好.如果为了价格,还是可以接受的.', '短评打分': 5}
{'短评内容': '装修还可以，基本满意', '短评打分': 3}
{'短评内容': '服务态度差，设施陈旧，环境吵 ，网速奇慢。', '短评打分': 1}
{'短评内容': '这个酒店环境不错噢～', '短评打分': 3}
{'短评内容': '早餐服务糟糕，男服务员靠着柱子打瞌睡，客人在用餐，女服务员在整理头发和衣服。一到8：30，工作人员开始给自己打包，把食品装进小塑料口袋。', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '我们已经入住上海教育国际交流中心两间标准房,宾馆设施很好,很满意。', '短评打分': 3}
{'短评内容': '卫生、环境等各方面都还好，就是床小了点，要是能换个大点的就更好了', '短评打分': 5}
{'短评内容': '很好，交通方便，服务友好。餐厅8点半就开始收摊了-不好。138元带早饭就好。最近的168元带早饭好像贵了些。', '短评打分': 5}
{'短评内容': '每次来上海都住这里，不错。不足的地方是淋浴水太小，调节困难。', '短评打分': 5}
{'短评内容': '特价房挺不错的，干净，在上海性价比蛮高的。', '短评打分': 5}
{'短评内容': '很不错性价比很好', '短评打分': 3}
{'短评内容': '站了半天前台的人一直在打电话闲聊不搭理我们\n之前前台告诉我们说桂林路下了地铁就能到\n实际打车都花了将近10分钟，既然不清楚自己的地理位置就别瞎指路\n实际交通很方便，在火车站下地铁，坐公交车1两站就能到，具体记录忘记了\n房间小到可怜，价格却贵到可怕', '短评打分': 1}
{'短评内容': '酒店各方面都还不错.不过我不太喜欢隔天服务员在没有经过我的同意帮我整理房间,而且我不在.虽然是让我住得更干净舒服.', '短评打分': 3}
{'短评内容': '性价比很高的酒店，整洁、方便、服务态度不错，下次还会入住。', '短评打分': 5}
{'短评内容': '价格好便宜。离光大会展中心也很近。下次参展，还选这家。', '短评打分': 5}
{'短评内容': '虽然老一点但还是比较整洁的,靠着旁边的大学,环境很幽雅,也很安静.楼下有超市,台球房,上师大附近还有很多小吃不错,周围交通也很便利的,43路起点站直接到徐家汇,大概5分钟就有一班很快的.但是房间的水特别难喝,塑料味特别强,只能买矿泉水喝,烧水壶烧出来的开水仍旧有塑料味,另外就是插座太少,希望改进.', '短评打分': 5}
{'短评内容': '宾馆在校内,周围环境很好,很安静,有许多树木.房间也比较干净.觉得不是太理想的就是房间的隔音确实不是太好,可以听到隔壁说话的声音.早餐也还行吧,如果有一些新鲜蔬菜会更好.总之还会去住.', '短评打分': 5}
{'短评内容': '我住的单人间C，168元，一个女孩，比较经济，有单早，环境还可以的，性价比不错！', '短评打分': 5}
{'短评内容': '服务还可以，其他情况比较一般。\n如果有进一步改善，会更好一些。', '短评打分': 5}
{'短评内容': 'good for this trip of my education chat ~', '短评打分': 5}
{'短评内容': '整体还不错，就是房间太小了，桌子太小了，放一台电脑就不够用了，再有，房间内的灯光太暗了。都是一些小问题，其他都还OK，价格也算公道。', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '性价比可以，以后还会入住！毕竟这样的地段，这个时节！理解万岁！房费里含个早餐就更人性了！', '短评打分': 5}
{'短评内容': '挺旧的一旅馆，这个价格如果不是世博应该可以住的更好点', '短评打分': 5}
{'短评内容': '服务态度差，十一点多到，一行四人，本来打算随便住一晚，第二天早上退房.开了一间，要求加床，服务员不同意，被逼的又多开了一间。房间设施一般。', '短评打分': 1}
{'短评内容': '不错。闹中取静，性价比高。', '短评打分': 5}
{'短评内容': ':设施很简陋，就学校招待所规格。唯一的优点就是院子里桂花树多，闻闻花香，心情很不错。', '短评打分': 5}
{'短评内容': '总体来说还不错哦！性价比还可以，卫生也好过得去', '短评打分': 5}
{'短评内容': '干净还不错.', '短评打分': 5}
{'短评内容': '设施很陈旧，服务态度恶劣', '短评打分': 5}
{'短评内容': '很好很干净', '短评打分': 5}
{'短评内容': '交通方便，服务态度比较满意，希望对夜间入住的客人由服务人员引导入住房间。', '短评打分': 5}
{'短评内容': '尽管比较旧的酒店，但性价比还是不错的。\r\n酒店位置地方很安静，但房间隔音不太好。', '短评打分': 5}
{'短评内容': '好啊。很静的地方。位置不太醒目。我下次来还会住。！！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '：.很满意', '短评打分': 5}
{'短评内容': '房间比较小，环境一般，但是价格比较低~适合个人出差', '短评打分': 5}
{'短评内容': '房间里的地毯很脏，马桶还漏水。。。总的来说还好，离火车站很近，性价比不错。', '短评打分': 5}
{'短评内容': '\r\n不错，方便实惠！我每次来上海师大都会首选这里！！', '短评打分': 3}
{'短评内容': '\r\n不错，方便实惠！我每次来上海师大都会首选这里！！', '短评打分': 5}
{'短评内容': '很好，难得世博会期间还没怎么涨价，下次还住。就是地方偏了点。', '短评打分': 5}
{'短评内容': '+准住宿', '短评打分': 5}
{'短评内容': '环境还行，隔音效果不是很理想...............', '短评打分': 3}
{'短评内容': '性价比不错，网上价格较优惠~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 5}
{'短评内容': '外墙看上去很旧了,里面还行,算是比较干净,我住的是标准C间,其它的房间我就不清楚了.', '短评打分': 5}
{'短评内容': '第一天入住，一进房间吓了我一跳，床是床尾高床头低。我先是一愣，想我没定这样的床啊，马上就服务员来，原来床底下垫了一只垃圾桶。一打开电视机更让我吓一跳，只听到电视机里噼里啪啦一阵响，让我心都凉了。住的就这么一个房间，哎。。。', '短评打分': 1}
{'短评内容': '位置还算方便坐出租车到南站十二元卫生就一般，找了服务员重新清洁了一次，要求不高的还是可以的世博期间算便宜的了', '短评打分': 5}
{'短评内容': '\n单人床小了点', '短评打分': 5}
{'短评内容': '挺干净的，位置也不错！！！网上预订比较方便', '短评打分': 5}
{'短评内容': '比较安静，旁边的上海师大是个散步的好去处，对于在上海逗留的游客来说，观光后在这留宿还有溜达的地方，还不错。', '短评打分': 5}
{'短评内容': '带孩子去上海师范大学考级，非常方便。服务也不错，明年考级还住这。', '短评打分': 5}
{'短评内容': '总体还行，服务一般居然在那等了1个多小时才住上！', '短评打分': 5}
{'短评内容': '不错，下次就选它了。', '短评打分': 5}
{'短评内容': '位置近上海南站，中央空调很不错，也蛮干净的。', '短评打分': 5}
{'短评内容': '宾馆位置比较好，服务业不错，但设施老旧。', '短评打分': 3}
{'短评内容': '地点不错，周围吃饭，购物挺方便的。离火车南站也不远。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '地理位置好，但设施比较老旧。', '短评打分': 5}
{'短评内容': '服务满意', '短评打分': 5}
{'短评内容': '性价比不错 ，设施老了一些', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '交通便利，酒店环境比较好，希望房费包含免费早餐。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '窗离居民区太近，电机图像糊涂，宾馆工作人员服务态度还可以。', '短评打分': 5}
{'短评内容': '论价格230没有168低\r\n可是硬体设备旧很多\r\n最大的好处应该是世博期间还是挺好订房的', '短评打分': 1}
{'短评内容': '环境好，卫生好，交通方便。', '短评打分': 5}
{'短评内容': '管理不错的一家宾馆，上次住的时候手机充电器丢了，一个月后再入住居然还能找到，管理很有序', '短评打分': 5}
{'短评内容': '很实惠的', '短评打分': 5}
{'短评内容': '酒店地理位置不错。。就是设施陈旧了点，总体来说性价比不错', '短评打分': 5}
{'短评内容': '虽然有些旧，但是房间比较大，位置也比较好，服务也还好！', '短评打分': 5}
{'短评内容': '离火车站近，方便', '短评打分': 5}
{'短评内容': '很小，旧旧的，电视的线一碰到就会掉，重要的是有潮湿的味道。服务态度还行，附近有超市很多饭馆，还有肯德基，交通也还方便，去火车南站坐车几分钟。', '短评打分': 1}
{'短评内容': '酒店位置很好，交通比较方便，周围环境很好，附属设施较全，服务态度较好，是个性价比不错的酒店。但单人房床有些窄。', '短评打分': 5}
{'短评内容': '地理位置较好，服务较好，缺点是：没有吹风机；单人房床有些窄，大概一米左右；活动的电视机能否改进一下位置，在桌子上用电脑的时候碰到头两次。', '短评打分': 3}
{'短评内容': '各方面基本较好，单人房的床有些窄，大概1米左右。服务态度一般。桌子上电视机的放置不知能否改进一些，坐在桌子旁用电脑的时候，那个电视机老是碰头。', '短评打分': 5}
{'短评内容': '房间挺好 就是空调的开关一定要联系总台', '短评打分': 5}
{'短评内容': '总体感觉还可以~干净 安静', '短评打分': 5}
{'短评内容': '优：总体性价比还行，对于前往上海师范大学大学的人来说位置也不错；\n缺：一楼小卖部服务挺差，总台服务员态度也一般。', '短评打分': 5}
{'短评内容': '很不错的地方，离火车南站不远，交通也方便，晚上很安静，周边吃的店铺很多，我住下后已经是晚上快9点了，出来吃饭已经接近晚上10点了，还不错，价格也可接受。会向朋友推荐！', '短评打分': 5}
{'短评内容': '环境很好 很安静', '短评打分': 5}
{'短评内容': '酒店位置不错,有早餐,性价比不错.', '短评打分': 5}
{'短评内容': '酒店位置好', '短评打分': 3}
{'短评内容': '价格便宜，距离火车站近', '短评打分': 5}
{'短评内容': '前台的确能帮我们解决问题。早饭也还好。性价比不错', '短评打分': 5}
{'短评内容': '设施陈旧服务还可以离上海南站较近', '短评打分': 5}
{'短评内容': '房间的地毯很脏，应该装修了。服务还不错，性价比可以', '短评打分': 1}
{'短评内容': '服务挺好的。就是没有弹性，比较死板', '短评打分': 5}
{'短评内容': '管理还有点欠缺，主要是没有电脑记帐系统，导致了入住和退房都花了很多时间。但是管理人员的态度很好。', '短评打分': 5}
{'短评内容': '住宿条件一般，隔音不是很好 但是位置很好，离上海师范大学仅有5分钟的距离；提供的早餐也还不错。', '短评打分': 3}
{'短评内容': '离上海师范大学非常近，且有小路直接通向东部校区', '短评打分': 5}
{'短评内容': '隔音效果比较差。。', '短评打分': 5}
{'短评内容': '不错，陪伴我考研！', '短评打分': 5}
{'短评内容': '卫生不错很干净，设施也比较完善，地理位置方便，服务热情周到，总体感觉很不错', '短评打分': 3}
{'短评内容': '当时去的时候天气比较冷,然后晚上空调自己跳了,所以感觉很冷,环境还可以,房间也蛮干净的,主要是离当时考试的地方比较方便.', '短评打分': 3}
{'短评内容': '这家酒店住起来感觉还不错,房间打扫的挺干净的,服务人员也挺热情周到的,整体感觉性价比还是蛮不错的.', '短评打分': 3}
{'短评内容': '交通方便,性价比好.', '短评打分': 5}
{'短评内容': '设施不错，房间偏小一点……', '短评打分': 5}
{'短评内容': '还不错，挺好的，不过就是离车站有点远~', '短评打分': 5}
{'短评内容': '房间设施一般，尤其是空调，很不好，晚上睡觉很容易冻感冒。', '短评打分': 3}
{'短评内容': '这家酒店，最不好的地方就是，中央空调每天清晨5点就统一关闭了，最需要空调的时候，突然关掉，很容易冻感冒。\r\n其他都好。', '短评打分': 5}
{'短评内容': '总体感觉一般', '短评打分': 1}
{'短评内容': '非常实惠也很舒适方便，早餐还可以，', '短评打分': 5}
{'短评内容': '位置很好,酒店里面卫生打扫的也比较干净,就是设施有些旧了,房间内的摆设看着有些乱,总体来说还可以吧,价格也合适.', '短评打分': 3}
{'短评内容': '特价房间的设施条件比较陈旧，周围的外部环境还不错册，交通也挺方便的', '短评打分': 3}
{'短评内容': '环境紧邻上海师范大学，安静整洁，校园气氛不错。交通也很方便，离徐家汇不太远。楼下的花园酒楼装修很气派，口味也不错的。房费价格也可以接受。几乎每次来上海都会请师大的朋友预订。', '短评打分': 5}
{'短评内容': '早餐服务较差，服务员之间嘻笑打骂，刚过8:30就开始收场而早餐结束时间应该是9:00。\n其它都还不错。', '短评打分': 5}
{'短评内容': '总体来说 还是不错的', '短评打分': 5}
{'短评内容': '这家酒店算是上海性价比比较高的一家酒店了，地理位置不错交通方便，酒店的服务也很好，很满意。', '短评打分': 3}
{'短评内容': '本人上周五和周六住过两个晚上，感觉性价比不错。大厅的茶水价格比较适中，房间的设施也可以。不足之处：房间内地毯比较脏；早餐的品种太少。', '短评打分': 5}
{'短评内容': '整体来讲还是一家不错的酒店,就是在外观效果讲不太好,有些陈旧,房间里面还是不错的,主要是离我考试的地方近.', '短评打分': 3}
{'短评内容': '环境还不错，据说是华东师大的招待所，就是离市区远好多呀，晚上九点不到，附近的很多店都关了', '短评打分': 5}
{'短评内容': '总的感觉还可以。', '短评打分': 5}
{'短评内容': '如果不是因为母校的缘故，很可能就不选这里啦，都过了6年了还是一点都没变，呵呵，可以想象是什么设施状况吧。\r\n服务很一般，因为身份证有其他用处没带，就用护照入住，结果就折腾了差不多20分钟，连是内宾外宾都搞不清楚的总台，失望。\r\n出入和餐饮还是很方便的---非商务类，小吃店啦，茶饮店啦，应有尽有。半夜肚饿出来吃了小歇的夜宵，饱饱的入睡。\r\n隔音是相当的不好，隔壁的电视机声音好响的，幸亏没有其他怪怪的', '短评打分': 1}
{'短评内容': '设施陈旧点,晚上K歌房有点吵!', '短评打分': 5}
{'短评内容': '不错不错，就是房间小点', '短评打分': 5}
{'短评内容': '酒店的服务不错的，卫生差了一点，地毯很脏的，设施还可以的，酒店的位置不错的，交通很方便的，酒店的价格还可以的', '短评打分': 5}
{'短评内容': '酒店就是里面设施太过陈旧了,有待于更新了,其他方面都挺好的,位置也比较方便,而且价格也很便宜.', '短评打分': 5}
{'短评内容': '酒店房间比较小,设施比较老旧的,位置不好比较偏离购物场所比较远,价格还是比较便宜,但性价比不是很好,卫生也不怎么样.', '短评打分': 1}
{'短评内容': '酒店的硬件条件，环境都只能说是还可以，不能算是特别好，但是还可以那种，但是他们的卫生间，浴缸都清洁的不是很干净，希望可以加强。', '短评打分': 5}
{'短评内容': '很不错的 下次我还会选择', '短评打分': 5}
{'短评内容': '服务员的态度挺热情的，酒的环境也不错住的也很舒适，交通也很方便', '短评打分': 5}
{'短评内容': '条件不错，挺舒适，价格高点有不包含早餐，如果那个价格能包含早餐就比较合适了', '短评打分': 5}
{'短评内容': '入住要押金ＯＫ，但是电子门卡也要押金，打电话也要押金。再也不敢去了！', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '服务员的态度还可以，住的也很舒适，交通也很方便，推荐一下', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;那次去上海出差,因为第二天要回来,所以讯问接线生有没有离车站近点的酒店,他推荐了这家.当晚入住登记时那个年轻女服务生态度很好.但是房间里有很重的霉味,空调也没效果,这些都可以接受,在上海这样的价格的酒店也就是这样了.最让人生气的是第二天退房的时候,前台服务生态度相当差,这个中年阿姨摆这样的晚娘面孔给谁看啊,顾客就是上帝啊.我不奢望你真的把我当上帝,但是你也不用把我', '短评打分': 3}
{'短评内容': '两个人住过一次A140的，床小了一点，但是还能将就。环境蛮好，也还干净，在附近办事的可以考虑。', '短评打分': 5}
{'短评内容': '总体感觉还不错，推荐一下！', '短评打分': 3}
{'短评内容': '有没有宽带可以上网啊？', '短评打分': 3}
{'短评内容': '我02年考GRE时住国过，对那里楼层里服务员的印象很不好，凌晨2、3点了还不停的走进走出，关门声巨响（可能是我住在服务员房间隔壁的缘故吧）。让我一晚都没谁好，影响了考试。', '短评打分': 3}
{'短评内容': '请问单人间A 140元的有卫生间吗？ 是什么床 两个人可以住吗？', '短评打分': 3}
{'短评内容': '听本地人说这家饭店很不错!!&lt;br /&gt;\n下次我去上海时,想试一下这家饭店。', '短评打分': 3}
{'短评内容': '说实在的，这家酒店真的不错，特别是在装修以后。价格合理，家具床上用品都焕然一新，他是上海师范大学附近的酒店，可能大家不太关注。不过还是希望大家有机会的话试一式，此外，交通也很方便。', '短评打分': 3}
