{'短评内容': '房间很好', '短评打分': 5}
{'短评内容': '服务一如既往的差，入住和退房效率极差！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '环境不错，比较干净。环境不错，比较干净。环境不错，比较干净。环境不错，比较干净。环境不错，比较干净。', '短评打分': 5}
{'短评内容': '房间很舒适，标明不能上网，实际可上网，早餐在前台购券要便宜得多', '短评打分': 5}
{'短评内容': '至少性价比是不错的   4星优惠价288很难得了   不过一进门感觉有些落差   当然卫浴不错让人满意', '短评打分': 5}
{'短评内容': '卫浴设施还是不错的 房间的装修有一些陈旧  可能是定的优惠房的原因', '短评打分': 5}
{'短评内容': '已经入住', '短评打分': 3}
{'短评内容': '服务冷漠，素质差。是我见过的最差的酒店之一。', '短评打分': 1}
{'短评内容': '感觉一般，房间卫生间很小。', '短评打分': 3}
{'短评内容': '前台效率极低，服务也不咋的，总体感觉一般般了', '短评打分': 1}
{'短评内容': '酒店价格不贵，距离市中心比较近，交通方便，房间隔音太差，设施一般。', '短评打分': 5}
{'短评内容': '距离西京医院比较近，就是房间设施有点旧了。床也比较小', '短评打分': 5}
{'短评内容': '这个宾馆的服务不好。我退房时，落下一件衣服在房间，查房小姐告之总台后便私自拿走了我的衣服。等我去看时，自然就没有看到。当时由于匆忙赶车，我没来得及检查箱包，还以为没有丢。结果到家才发现确实是丢了。', '短评打分': 1}
{'短评内容': '比较老的酒店了,位置不错,交通方便,周围饮食很多.', '短评打分': 5}
{'短评内容': '酒店服务很一般，十一点到酒店，等一个多小时才住进来。', '短评打分': 3}
{'短评内容': '特价房不隔音，性价比不好', '短评打分': 3}
{'短评内容': '酒店设施太老，房间空气太闷，空气不好。不值438元。', '短评打分': 1}
{'短评内容': '.破酒店就是一个招待所，上当了', '短评打分': 3}
{'短评内容': '不错，老四星了，是来西安常住的。', '短评打分': 3}
{'短评内容': '房间一般', '短评打分': 3}
{'短评内容': '皇后酒店的男服务生长得都很帅气。房间很干净，到下午的时候洒满了阳光，感觉不错。', '短评打分': 5}
{'短评内容': '  已经入住,很好,谢谢', '短评打分': 3}
{'短评内容': '服务规范;设施不错;交通便利.', '短评打分': 3}
{'短评内容': '酒店配置还可以，但位置离马路太近了，有些闹', '短评打分': 5}
{'短评内容': '酒店很贵', '短评打分': 3}
{'短评内容': '服务质量太差，四星酒店卫生间居然没有卫生纸，冰箱里没有饮料', '短评打分': 5}
{'短评内容': '这个酒店内部设施太老了，而且床很硬，卫生间完全是古老的招待所风格。唯一好处：地点好。', '短评打分': 5}
{'短评内容': '还不错，老牌星级\r\n没早餐和免费上网有点头疼', '短评打分': 5}
{'短评内容': '还可以，价格有些贵', '短评打分': 1}
{'短评内容': '房间很干净，打扫的很到位，住的很放心。', '短评打分': 5}
{'短评内容': '酒店服务很好，附近的商场、超市也挺多的，逛街购物比较方便。', '短评打分': 5}
{'短评内容': '有陕北特色的一家酒店，酒店的餐饮做的比较到位，口味很地道。', '短评打分': 5}
{'短评内容': '酒店很差，上网还要收费房费里面也不含早餐，住了那么多四星级这家最不满意的，服务态度也一般，离我自己办事很近但是因为我也是对西安不是太了解不知道这个酒店的位置算好还是不好，价格还算是比较贵了，前台小姐就是属于没有的热情的服务。房间的隔音效果很差当时我们住的是顶楼的房间十七层它的那个酒店的十八层是一个KTV晚上休息的都能听到。真是很一般很一般的酒店。', '短评打分': 1}
{'短评内容': '位置还可以挺好找的，酒店还不错，房间还行住的还是挺舒适的，但是酒店的停车场太小了停不了车，价格还是挺不错的。总体感觉还是挺不错的一家酒店。', '短评打分': 5}
{'短评内容': '还行，性价比不错～', '短评打分': 5}
{'短评内容': '位置还是挺好找的，房间也还行，价格很一般，服务态度还行吧，还是挺一般的酒店。', '短评打分': 1}
{'短评内容': '酒店的环境风格都还不错，卫生服务可以打满分，配置硬件也很达标，价格合理适中，位置也很好出行交通方便，性价比也比较合适值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '新酒店，舒适', '短评打分': 5}
