{'descr': '酒店就在地铁口，很方便。周边购物和餐饮业很好。', 'star': 5}
{'descr': '本人入住的房间是有窗户的，但有根四方形的大柱子都挡住了，还占了那么大一空间，拜托下次能提前告知一下。', 'star': 5}
{'descr': '地理位置极佳，周边有很多吃饭的地方，出门就是地铁站，来之前在网上看到有评论可能会比较吵，所以入住时专门说想找个安静点的房间，挑了一间背街的，一间面街的，都在四楼，面街的明显要吵些，但关上窗还可忍受；地铁的声音可能因为在４楼，所以不大听得到。性价比高的酒店，下次还会考虑选择', 'star': 5}
{'descr': '还不错的酒店，基本的设施都齐全，网速很快，酒店还能寄存行李，挺好的', 'star': 5}
{'descr': '位置不错，出地铁就是，房间布局不规则，但至少还是性价比不错了', 'star': 5}
{'descr': '一般般。房间还干净，含早餐，质量也行，总台服务员态度不好。', 'star': 1}
{'descr': '涨价了。客房服务还不错，地段不错，早晚有地铁的轰隆倒可以忍受。前台服务手忙脚乱，特别高个子的那个，回答客人提问气急败坏，服务态度不敢恭维啊，毕竟不是星级大酒店，前台沉稳安静的服务，可以理解。', 'star': 1}
{'descr': '比不上如家和7天。。。床太软了。。。。窗户外面居然是走道。。。', 'star': 1}
{'descr': '地铁上盖，距离虹桥最近的地铁酒店，转飞机或高铁都很方便。', 'star': 5}
{'descr': '每次都住这个酒店 真的还是不错的 下次继续', 'star': 5}
{'descr': '地理位置好，交通方便。就是预订两晚，入住的时候说是只收了一晚的押金，第二天晚上回来时还要补交押金，而且卡还不能使用了，太麻烦了。希望今后押金可以一次收全，减少对顾客的麻烦。', 'star': 5}
{'descr': '夜里12点从虹桥机场打的过来花了60块左右。\n交通方便，房间设施齐全，卫生不错，床单有点硬，房间有点偏小。\n前台员工不会主动问候客人，望以后能加强！', 'star': 5}
{'descr': '交通和购物非常方便, 就在2号地铁北新泾的5号出口处.有85度面包房,麦当劳和肯德基.', 'star': 5}
{'descr': '地铁口，太方便了。价格实惠，房间干净温馨，性价比高。大厅电梯旁一直有保安人员，且要房卡刷了才上电梯，感觉挺安全。有机会还会住的。', 'star': 5}
{'descr': '如果要赶早班飞机，这里是不错的选择，本来想选离机场更近的酒店，发现大家都说吵，这里很安静，我说的是晚上11点以后，之前确实能听到地铁经过的声音，但其实没什么影响，因为你还没睡觉吗，我们是早上7：25的航班，本来想做头班地铁，看时刻表最早一班是5：50左右到这一站，不过出门发现很好打车，就放弃了做地铁，打车20多元，很近。如果不赶飞机的话，还是不住这里好，早上估计会被地铁吵醒。至于价格，其实就是一家', 'star': 5}
{'descr': '位置还不错，离虹桥火车站较近，靠近地铁2号线。比较干净。早餐简单实惠。', 'star': 5}
{'descr': '酒店不错，性价比高，周围也有吃的，逛的。', 'star': 5}
{'descr': '靠马路那个方向的房间很吵。但是，但是，停车免费！！！随便你停几天！！！你们都懂的。', 'star': 5}
{'descr': ' 住的数字房 有电脑可用 房间挺大 也很干净', 'star': 3}
{'descr': '一样的消费，这次住的房间没有以前的房间大，有点失望！原来只有几间比较大的！', 'star': 3}
{'descr': '非常方便，虽然在地铁上面，听得到地铁开过的声音，但不是很明显！', 'star': 5}
{'descr': '这家酒店最大的优势是在地铁站出口，找起来非常方便。但与之相带来的是你能感受到地铁列车带来的震动，其他的和别的酒店差不多。', 'star': 5}
{'descr': '地理位置不错，地铁站一出来就是了。但房间吵，晚上很难入眠。', 'star': 5}
{'descr': '住在这里主要是为了到虹桥机场方便，酒店就在地铁出口。', 'star': 5}
{'descr': '就在地铁站口，位置不错，交通方便。去虹桥赶火车挺方便', 'star': 5}
{'descr': '客户要求的，地埋位置不错，交通也方便，离虹桥2号航站楼近，方便', 'star': 5}
{'descr': '经常住，交通方便，干净卫生，就是靠街的房间吵', 'star': 5}
{'descr': '干净整洁，交通方便。在便捷酒店中应该是不错的。', 'star': 5}
{'descr': '不错的酒店 地理位置也好 下次继续入住！！！', 'star': 5}
{'descr': '还行，机场到酒店很近，环境也不错，就在9号地铁站对面，第二天去哪都挺方便的~！', 'star': 5}
{'descr': ' 还可以。离虹桥机场不远。夜里打车31块钱。酒店出门就是地铁站。中规中据吧。适合对住宿要求不高的人。', 'star': 3}
{'descr': '交通比较方便，酒店下面有地铁2号线的震动\n其他都还可以，主要还是价格稍稍偏高', 'star': 5}
{'descr': '酒店位置真不错，还是比较方便的，楼下直接地铁', 'star': 5}
{'descr': '   环境还好，会有小动物---蟑螂---陪你游戏……', 'star': 3}
{'descr': '酒店交通很方便，楼下就是地铁口，房间比较大，总体还不错。', 'star': 5}
{'descr': '酒店地理位置不错 出行方便旁边2号线 下次还住', 'star': 5}
{'descr': '地理位置很好，周围交通便利。出门右转就是地铁站，左边是family mart，太方便了！酒店工作人员态度也不错，就是我这的房间正好碰上弧形，房间有点畸形.......热水时冷时热...凑合过了几天....总体来说还是不错的。', 'star': 5}
{'descr': '从机场过来较近，也没有其它位置挤，周边也有些风味小吃很方便的。', 'star': 3}
{'descr': '住这家酒店主要是出行方便,真的如大家所说的,地铁上的酒店,就是二号线北新泾站四号口/方便', 'star': 5}
{'descr': ' 很一般，地铁就在房间下面，很吵', 'star': 3}
{'descr': '住了好几次了，房间有点小，但是上海这个价格算是可以了。不能要求太高', 'star': 5}
{'descr': '酒店地理位置不错，但是里面的设施太陈旧了，床垫是塌的，枕头很硬', 'star': 1}
{'descr': '就在二号线出口，极为便利。附近饭店很多。早餐尚可。就是临街房间吵---国内酒店的通病了', 'star': 5}
{'descr': '性价比很不错，干净，位置方便，2号线4号出口，对面就是购物中心，附近各种饭店和便利店，对于路过上海临时性住宿来说非常适宜。', 'star': 5}
{'descr': '很方便，地铁站就在旁边，周边设施也都很方便', 'star': 5}
{'descr': '位置便捷', 'star': 3}
{'descr': '酒店的最大优点是座落地铁上盖，去哪都方便。附近各类饭馆奇多，价格便宜。缺点是房间设施有点陈旧，被子挺干净但没有晾干，潮湿不舒服。', 'star': 3}
{'descr': '酒店还不错，只是当天入住的数字房间的电脑怀掉了，不能用。', 'star': 5}
{'descr': '酒店的软件硬件都不错！记得以前消费券返现30，怎么现在缩水只有20了...', 'star': 5}
{'descr': 'very nice......................................', 'star': 5}
{'descr': '不错，离地铁站很近。很方便.服务态度也很好', 'star': 5}
{'descr': '整体环境挺好!交通方便!就是厕所返味!其他的都还好', 'star': 3}
{'descr': '地铁上，交通非常方便，酒店也不错，以后还会定，推荐推荐', 'star': 5}
{'descr': '交通方便~ 態度不錯 就是入住前最好先看一下房間  \n ', 'star': 5}
{'descr': '住的标间，床1.2米2张，干净整洁；\n交通方便，周边餐饮齐全，购物也方便，自驾的停车也很便捷', 'star': 5}
{'descr': '服务很好~开始订的房间没有了，在很短的时间里有客服来电通知~', 'star': 5}
{'descr': '交通便利，服务周到', 'star': 3}
{'descr': '酒店地理位置不错，交通很方便，酒店给我们安排的房间也很舒服，也很安静，整体来说性价比很不错。', 'star': 5}
{'descr': '同去朋友的手包办入住手续时遗落在前台，前台人员拾金不昧，在此，致以最诚挚的感谢！', 'star': 5}
{'descr': '宜嘉的美女们辛苦了！因为信用卡故障，当时没有付款就离店了，后来付款成功后，前台美女们用快递把收据寄来了 ，真是感谢！', 'star': 5}
{'descr': '离我们公司近，交通方便。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '不错，就在地铁口，交通方便，环境也不错。房间内网络通畅，整洁干净，周边配套店铺也很多，便利店，快餐店，饭店也很多，走出门口旁边就是。', 'star': 5}
{'descr': '可以，交通很方便，跟图片符合，就是能听到地铁开过的声音。                                                                                                                                                                            ', 'star': 5}
{'descr': '酒店正在地铁口,出行非常方便.卫生也还说得去,对得起这个价格.下次还是会考虑入住.周边也有小吃,最主要的是出行方便.如果是靠天山路的房间很吵,靠北渔路的可以.', 'star': 5}
{'descr': '这家酒店很好，服务也很好。我下次还去。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境不错，也挺干净，离地铁站非常近，四号口出来就是了，还想再来，多赚超片啊。。。。。。...........................................', 'star': 5}
{'descr': '不错。最重要的是交通方便。地铁站就在楼下。边上还有KFC和麦当劳。楼下还有一个便利超市和美食街。房间也还干净。走道有些陈旧，灯光暗暗的。但是毕竟定位不一样。还是推荐。', 'star': 5}
{'descr': '交通方便,退房後可在前台寄放行李,服務不錯,房間陳設普通...', 'star': 5}
{'descr': '住了三次不同的房型,廁所門下角都有點舊舊壞壞的,除此之外都不錯,整齊乾淨...', 'star': 5}
{'descr': '位置很好很方便，服务亲切，可惜走道及房间的烟味太重！', 'star': 5}
{'descr': '离地铁很近很方便。周围也有吃饭地方。总体还可以吧。', 'star': 5}
{'descr': '交通方便，性价比高，紧邻2号线出口，到虹桥机场和火车站都方便。 \n', 'star': 5}
{'descr': '交通方便，转天去虹桥机场火车站都可以住这里，条件一般。', 'star': 5}
{'descr': '交通方便，性价比高，紧邻2号线出口，到虹桥机场和火车站都方便。', 'star': 5}
{'descr': '交通确实很方便，真的是地铁上的酒店，也真的很吵。', 'star': 5}
{'descr': '酒店旁有肯德雞及麥當勞,吃早餐很方便.打的到一號航站約25元,酒店門口就在地鉄站4號出口旁,家庭房有落地窗很明亮,淋浴房有玻璃隔間,浴室及房間乾淨,我退房時忘了拿押金就走了,事後接待人員仍誠實地還給我,謝謝...我下次還會再來...', 'star': 5}
{'descr': '优点：\n交通很方便，就在地铁站上面，房间还算可以，服务也凑合，距离虹桥机场和火车站两三站路，去浦东机场也是一趟地铁就能到，周边有超市、商场，性价比算比较优越的。\n缺点：\n下面过地铁会有声音。', 'star': 5}
{'descr': '就近搭地铁去机场或车站还是推荐，周边吃的也蛮多；其他就很一般，像个较干净的招待所，价格也不算便宜，同等价格选择很多。', 'star': 5}
{'descr': '个好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '价格实惠，交通方便，房间舒适，还会再定的', 'star': 5}
{'descr': '的确方便\n之前看到有人说是2号线北新泾的四号口，帮助很大，几乎没有走到室外就到了，我也再说一次供人参考\n还有人说空调不给力，可能吧，进门半小时，尚好\n\n硬件无功无过\n喜欢落地的窗子——可以看到整条街，虽然不算优美\n\n想就近搭地铁去机场或车站还是推荐的。', 'star': 5}
{'descr': '酒店交通便捷，内部管理很好，出门就是北新泾地铁4号口，周边配套设施完备。搭飞机和高铁的出行便捷。。。', 'star': 5}
{'descr': '酒店地理位置不错，坐地铁去虹桥机场很方便', 'star': 5}
{'descr': '相当不错，就在地铁站上，环境和价位都不错，很合理', 'star': 5}
{'descr': '朋友来上海入住了宜嘉酒店，最主要是出行方便，周边吃的也蛮多的，401商务大床房房间很大但是空调不给力，半夜闹腾的害的我们换房间。。。总体还是不错的，下次有朋友来还会推荐这家！', 'star': 5}
{'descr': '价格比较实惠，就是被子不舒服。房间有点小', 'star': 5}
{'descr': '酒店位置就在地铁口，太方便了。酒店内只提供早餐，没有中、晚餐，但是酒店边上很多吃饭的地方，也算方便的。', 'star': 5}
{'descr': '刚入住的时候房卡无效，取电也不行，酒店给换了房，结果空调又漏水，不过很快就安排人来维修了，而且后来一直就没发生什么事了。该酒店最大的优势就是离2号线很近，从4号出口出站仅仅20米就到了酒店门口了。而且周边的餐馆和快餐店很多，就餐很方便。但是晚上的地铁声音较响，比较惊醒的人还是建议不要住了。另外，该酒店正在搞抽奖活动，会有惊喜哦！！', 'star': 5}
{'descr': '位置极佳，出地铁口步行30秒就到了，呵呵。房间很大，很舒服。床很软，现在还有抽奖活动。\n很推荐，价格也不贵。', 'star': 5}
{'descr': '酒店门边就是地铁口，到虹桥机场只有2站，到虹桥火车站3站，省钱省事，房间偏小，不过就过一晚，还是不错的', 'star': 5}
{'descr': '明明是常入住的老客人，也很冷淡，好像眼里只有收入往来，经营理念、员工教育好像不大气', 'star': 1}
{'descr': '有天井窗的无窗房间空着，仍然给我住无窗的，经常去的老客户，也没有照顾。好像不讲一点人情...', 'star': 5}
{'descr': '替朋友定的，价廉物美，无窗房有点闷，不过价格还便宜', 'star': 5}
{'descr': '不错，，不错，，服务很好。。就是有点吵，，在地铁上。。下次还会去的。。。', 'star': 5}
{'descr': '离地铁4号出口很近，出站右边就是。房间挺大的，干净卫生。服务态度也很好。特别适合虹桥机场出来要入住的人士或者是需要在附近办事的。', 'star': 5}
{'descr': '挺好的，性价比挺高，但靠街的房间有点吵，另外浴室是透明的。。。', 'star': 5}
{'descr': '交通便利去虹桥机场住那很好', 'star': 3}
{'descr': '主要距离培训地点超近～～总体还是蛮好蛮好，', 'star': 5}
{'descr': '我是这家酒店的老客了。对酒店前台人员的服务很满意。。就是在地铁上有点不安静', 'star': 5}
{'descr': '酒店性价比高，就是地铁经过时会吵，还好地铁夜里是不开的啊，不影响入住。呵呵', 'star': 5}
{'descr': '我是靠着培训地点定的你们酒店，感觉都还可以，所以这次同事过去入住，我依旧推荐了', 'star': 5}
{'descr': '交通方便在地鉄站上頭,附近又新開85度c,吃東西也很方便', 'star': 5}
{'descr': '地里位置不错，挨到2号线的，赶车很方便。', 'star': 5}
{'descr': '住宿环境非常干净，设施也很齐全，这次住的是数码房，电脑晚上有问题，工作人员也及时修理了。到机场很方便，到市区什么的交通也很便利，周边是居民区，购物也很方便，还有抽奖活动。蛮好的~以后如果到上海还会选择这家酒店', 'star': 5}
{'descr': '到地铁相当近，早上七点多的飞机，住这个酒店，方便。', 'star': 5}
{'descr': '环境挺干净，靠近2号线娄山关路地铁站，出行很方便', 'star': 5}
{'descr': '就在北新泾地铁站出口，交通十分方便，赞一个。。。。。。。。。。。。。。', 'star': 5}
{'descr': '交通太方便了，很干净，服务态度也不错，但确实隔音效果不好，邻居电视声音大一点都可以听到，有可能影响休息。马路声音吵不是问题，在哪里都一样。地铁的声音有，但不是很大，不会影响睡觉。', 'star': 5}
{'descr': '这次竟然没抽到奖，遗憾，而且这次住的隔音不好', 'star': 5}
{'descr': '不错，方便出行，酒店还可以免费长途，但是这条却没有能告知客人', 'star': 5}
{'descr': '交通方便，出地铁口就到了，价格实惠，强烈推荐', 'star': 5}
{'descr': '不错，我是老客了。。交通方便，就是在地铁上不是很安静', 'star': 5}
{'descr': '酒店整体还很不错，稍微略显吵一些，但是不妨碍大的方面。', 'star': 5}
{'descr': '交通便利，价格稍高，周围设施齐全，电视节目太少', 'star': 5}
{'descr': '交通很便利，地铁2号线，酒店还算干净，就是电视节目太少，周围也很便利', 'star': 5}
{'descr': '从机场直接2号线就可以到达，人多不好打车的时候非常方便，就是没有代叫车服务，有点美中不足。', 'star': 5}
{'descr': '所有入住人都必须出示身份证件，这点比较不方便，如果没有带的话还要到派出所开证明，所幸离得不是太远，其他还好', 'star': 5}
{'descr': '内部装潢比较新，就是走廊有些昏暗，总体来说比较满意', 'star': 5}
{'descr': '地理位置很好，地铁的正上方，房间内部很大', 'star': 5}
{'descr': '不是第一次住啦。离地铁站挺近的。方便。性价比还可以。', 'star': 5}
{'descr': '1酒店还算方便，就在地铁口，但是地铁声音也能听得很清楚（晚上11点左右，地铁停开后就不会吵了）。\n2价格还是稍稍偏贵了。\n如果是在虹桥机场赶早班飞机，推荐大家。', 'star': 5}
{'descr': '酒店位置不错。就在地铁站上面。不过客服态度不是很友好。', 'star': 3}
{'descr': '总体还不错，酒店位置不错，交通便利，就是有点吵。', 'star': 5}
{'descr': '已经是第二回住了，和周围同价位的相比较好，酒店位置很好，周边设施多', 'star': 5}
{'descr': '一切都很好，，就是有点不安静，，还有结账有点不快。别的没有了', 'star': 5}
{'descr': '总的来说还是不错的，地方方便的很，出了4号口就到了。\n在上海这个价位有这样的酒店，赞一个，只是大家预定的时候记得定标间，房间比大床房大很多。', 'star': 5}
{'descr': '挺不错的，值得推荐，服务态度也很不错，下次还住这里！', 'star': 5}
{'descr': '不错，价格便宜，地铁旁边，房间还算大，干净明亮', 'star': 5}
{'descr': '交通很便利，就是有点吵，不过去机场非常方便，如果要去机场还是值得入住', 'star': 5}
{'descr': '就是商务酒店的配置，也不能高要求，毕竟价格在那里。酒店很方便，就在地铁口边上，而且进电梯必须刷卡，比较安全', 'star': 5}
{'descr': '挺好的，也不是第一次住了。交通挺方便。楼下就是地铁。', 'star': 5}
{'descr': '房间不是很大，不过很干净，离地铁比较近~', 'star': 5}
{'descr': '2号线地铁最近酒店。交通方便是一大特点。', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '房间挺好的，挺舒服的，但是临街，早上太吵了。\n另外，洗手间是透明，不适合年纪大的人住', 'star': 5}
{'descr': '这家酒店价格比有些连锁酒店的价格要高。。就是交通方便，其他的没有什么好的。。', 'star': 5}
{'descr': '就在2号地铁站上方建筑，适合往来机场与火车站。入住会感觉有地铁声响。附近便宜小吃挺多\n有熟食市场。入住的那间，弹簧床有点老旧...', 'star': 5}
{'descr': '很不错的酒店，环境舒适离2号地铁超近，推荐^O^', 'star': 3}
{'descr': '酒店就在二号线地铁站的一个出口的顶上，地铁运行时有噪声和震感，不要误以为是地震，请以后入住的朋友注意这一点。', 'star': 5}
{'descr': '我是这家酒店的老客户了，，别的都好就是在地铁上有点吵，下次还会去的', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '还行吧。门口小吃街方便。有家牛肉刀削面才5元钱，汤、面口感还是物有所值的。', 'star': 5}
{'descr': '交通很方便，周围购物，吃饭都很方便。价格也便宜，最理想的是竟然有吹风机。像这种价位的酒店都没有吃风机的。', 'star': 5}
{'descr': '这家酒店不错。交通很方便。有时候感觉地铁有点吵。。。。。', 'star': 5}
{'descr': '房间空间合适，硬件设施较全，离地铁站近，通行便利。不错~', 'star': 5}
{'descr': '还不错，房间蛮大，床也蛮大，就是电视不清楚', 'star': 5}
{'descr': '环境很好，交通和吃饭一切都很方便，，就是有时候地铁经过有点噪音，但影响休息不是很大，，下次还会再去。现在酒店还有抽奖活动。。。。', 'star': 5}
{'descr': '干净，整洁设备好，离虹桥机场仅几公里真实惠，下次还会再来住', 'star': 5}
{'descr': '比较方便，交通业方便。还不错..........', 'star': 5}
{'descr': '各方面条件不错。如果地铁声音轻点就更好了', 'star': 5}
{'descr': '周边比较热闹,硬件布置类似经济型酒店,比较干净.', 'star': 3}
{'descr': '冲着交通便利去的，周边吃饭也很方便\n大床房的床真的很大啊，空调制热不是很给力\n4F的房间，能听见地铁声', 'star': 5}
{'descr': '交通方便，位置挺好，服务不错，整体感觉比较满意', 'star': 5}
{'descr': '交通方便，就是吵了一点，其它的都还可以。。下次还会再去的', 'star': 5}
{'descr': '还行吧。楼下就有地铁。交通方便。PPPPPPPPPPPP', 'star': 5}
{'descr': '就在地铁站上面，交通很方便，价格很实惠，周围比较有的逛。', 'star': 5}
{'descr': '不错，停车场有点不方便走路有点远，所以不怎么方便', 'star': 5}
{'descr': '房间看起来很小很旧，硬件确实不怎么样，唯一凑合的就是地理位置吧', 'star': 5}
{'descr': '住了家庭套房，大是很大，但还是老问题，空调都不太行，在大冬天制暖不够是很痛苦的，要穿上毛衣来睡觉，唉~~~不过其他还算可以，尤其交通超方便，地铁在底下，但会感觉到地铁的运行哦，如果神经敏感的要深思哦！', 'star': 5}
{'descr': '除了空调制暖不太好，其他的如房间还是比较宽敞和干净，服务也算不错了。', 'star': 5}
{'descr': '交通便利, 就在地铁口,适合非商务住宿!', 'star': 5}
{'descr': '服务还可以，电梯要刷卡比较安全，就是靠马路的房间有点吵，离机场火车站很近，周围吃东西的地方很多。需要在上海过夜赶飞机的是个不错的选择。', 'star': 5}
{'descr': '交通非常之方便，房间也还整洁。就是环境比较吵，睡眠不好的请慎重考虑。', 'star': 3}
{'descr': '交通方便，价格实惠，就是马桶不行点堵！', 'star': 3}
{'descr': '交通比较方便 但是房间有些小，隔音也不是非常好', 'star': 5}
{'descr': '还不错 因为住额房间有很不错额风景可以看', 'star': 5}
{'descr': '虽然设施有点陈旧，房间的墙面上总是有霉斑，但是考虑到地理位置和价格因素，这个酒店还是可以推荐给朋友的', 'star': 5}
{'descr': '入住宜家酒店,房整洁宽敞,满意.', 'star': 3}
{'descr': '还干净的，性价比不错', 'star': 3}
{'descr': '地理位置、价格、卫生条件、服务都不错，还中了个三等奖，免费住一晚！', 'star': 5}
{'descr': '大上海啦，这样干净的酒店还便宜、方便，很不错啦！', 'star': 5}
{'descr': '本着客观的角度给出一个因交通便宜的好评。酒店距离地铁线特别近，所以，声音很吵。如果睡眠不好的朋友，建议先问一下，有没有靠小区的房子，这样不会太吵。但如果要在虹桥出行去机场坐飞机的话，早班这种，这个地方不错，离2号航站就两站。', 'star': 5}
{'descr': '门面不大，服务和大酒店一样规范，价廉物美!', 'star': 5}
{'descr': '真的方便哎！酒店不大，价格不高，但已经成为我和我朋友们到沪的固定落脚点。我们11月13日-12月8日先后三次入住，共29人次，12月31日还有朋友一家3口已预订，住后他们自己点评吧。上次给酒店提的关于前台效率的意见，在第二次入住时已明显改进，因为我们一下飞机就通知了酒店，等20分钟后到店时8张房卡已做好，立刻入住，管理协调还是不错的嘛！', 'star': 5}
{'descr': '酒店布置的环境还不错，安全系数较高，不过临近马路的客房有点儿吵闹', 'star': 5}
{'descr': '房间还行 周围有吃的 离地铁很近 交通比较方便', 'star': 5}
{'descr': '很不错的酒店 离机场近  但是进电梯需刷卡不人性 朋友来了还要来下来开门', 'star': 5}
