{'短评内容': '早餐非常棒！装修有点旧，不过还行', '短评打分': 5}
{'短评内容': '这家酒店应该是适合外宾居住的,周围有些西餐厅,酒店厕所的一些设施显得有些陈旧.', '短评打分': 5}
{'短评内容': '帮人做的预订，老牌的高档酒店，服务不错，离机场近。', '短评打分': 5}
{'短评内容': '可能不太适合我的需求，东西很多，但是房间太差。', '短评打分': 1}
{'短评内容': '.环境不错，价格公道，总体感觉不错。', '短评打分': 3}
{'短评内容': '酒店老外住的多，比较安静，楼层有些老旧但是相当整洁。', '短评打分': 5}
{'短评内容': '收费950一晚上，服务却死板顽固，应是让从11点等到2点入住，干不呲咧的在前台傻眼等着。。。。', '短评打分': 1}
{'短评内容': '酒店还算高档，里面有一大型购物广场，房间不错，就是信号不好，而且房间很绕，容易迷路。酒店一楼的自助餐不错，其他没什么了，服务可以。', '短评打分': 1}
{'短评内容': '一层餐厅的汉堡包还不错，物美价廉，童叟无欺。\n酒吧环境一般，人不是很多，适合三两个朋友小聚。\n附近的药店商店比较方便', '短评打分': 5}
{'短评内容': '离机场很近，没有交通拥堵。外籍客人居多。\n大厅的自助餐厅环境不错。\n行政楼层有自助得茶点，味道不错，环境也不错。', '短评打分': 5}
{'短评内容': '交通非常的方便,房间设施也不错,尤其是行政房间,工作休息都非常的舒适', '短评打分': 5}
{'短评内容': '房间很干净,很时候商务人士出差时住,地理位置也很方便!', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很一般。没什么值得推荐的。设施比较旧。房间不小但就是觉得简陋。最不能忍受的是下面一家家小的商店。好象还有公司在里面。乱糟糟的感觉。', '短评打分': 1}
{'短评内容': '服务很好，地理位置优越。下次还会住这里。', '短评打分': 5}
{'短评内容': '酒店很乾淨, 地點適中, 交通方便. 價位合理', '短评打分': 5}
{'短评内容': '以前还是 Holiday inn 现在变成维景了，个人感觉位置一般般，就是离机场近点。      \n搞不懂为什么每次来那么多老外，房间装修什么的都比较老，可能风格和欧洲的比较接近吧。\n但是个人认为性价比不高，不是说他有哪里不好，而是这样的价格在北京的选择太多了。', '短评打分': 1}
{'短评内容': '这次是给日本客人订的房间，客人很满意，而且丽都广场里面还有一间日式餐厅，方便客人就餐', '短评打分': 5}
{'短评内容': '最大的优点是距离机场比较近，交通方便，房间也还不错\n', '短评打分': 5}
{'短评内容': '位置不错，谈事方便，第二次安排客人入住了，只是为何价格稍有上调？', '短评打分': 5}
{'短评内容': '地理位置不错，离机场和丽都都很近，附近谈事方便~房间情况不明，帮别人订的……', '短评打分': 5}
{'短评内容': '酒店人气太旺了，周围配套设施齐全，难以想象快三十年的酒店还这么火，只是价位偏高', '短评打分': 5}
{'短评内容': '酒店很大很舒服，还不错，离机场很近，周边比较繁华，798也不远', '短评打分': 5}
{'短评内容': '房间干干净净~\n交通也方便~\n价格。。。 便宜一点吧~', '短评打分': 5}
{'短评内容': '酒店不错，服务很好、房间很大、价格太贵、下次还住', '短评打分': 5}
{'短评内容': '很好很方便', '短评打分': 3}
{'短评内容': '房间稍显陈旧，早餐非常棒！结账速度需要加快。整体不错！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '很好, 安静, 舒适. 一如既往的方便, 离机场近. ', '短评打分': 5}
{'短评内容': '房间舒适，离机场近，很方便。可以给大家做推荐。', '短评打分': 5}
{'短评内容': 'Good hotel as location, facilities, room rate and outlets (shops, bar, coffee shops and restaurants) are adeguate for selection.', '短评打分': 5}
{'短评内容': '和以往一样，帮助客人定的，更名之后的确实有所改进，希望以后更好！', '短评打分': 5}
{'短评内容': '这家酒店去机场很方便，因为第二天早上的飞机，二十分钟就到机场了。', '短评打分': 5}
{'短评内容': '挺好的 酒店服务不错 也很干净 下次来了还会入住的', '短评打分': 5}
{'短评内容': '严重推荐，只是价格比较高，对老外可能更合适。', '短评打分': 5}
{'短评内容': '一直替我的国外同时预定这里，他们很满意。', '短评打分': 5}
{'短评内容': '离机场比较近，我的老外同事来北京办事，都会让我在丽都给他们订房。', '短评打分': 5}
{'短评内容': '酒店去机场非常方便，酒店内餐饮也很方便，有各式餐厅，口味很地道。', '短评打分': 5}
{'短评内容': '比较贵，但距离机场近，赶早班飞机的老外还是挺愿意住在这里的。', '短评打分': 5}
{'短评内容': ' 代朋友给客人订的房，客人满意。', '短评打分': 3}
{'短评内容': '酒店有些老旧，房间装修该更新了，不过这里的几家餐厅不错，西餐、日餐，吃的很过瘾。', '短评打分': 5}
{'短评内容': '就两个字，方便。下次还住这儿。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '每次朋友来北京，都会为他订这个酒店。服务很到位，地理位置也算不错，方便他办事。酒店的房间不算大，房间设施不新了，但朋友住惯了。附近也出现了一些新的酒店，他说想尝试一下。', '短评打分': 5}
{'短评内容': '位置很好，离机场近。房间比较温馨，总体感觉不错。', '短评打分': 3}
{'短评内容': '+酒店很舒服，服务很好。', '短评打分': 5}
{'短评内容': '酒店位置不错，离机场近。房间里挺安静的。', '短评打分': 5}
{'短评内容': '服务不错，酒店内也很方便，下次还会住这里。', '短评打分': 3}
{'短评内容': '离北京机场近些，比较方便，需要乘早班飞机时住这儿比较方便。四星级酒店，设施旧了点，但价格并不便宜。', '短评打分': 5}
{'短评内容': '+丽都一切都好,价格除外,一天要一千多.', '短评打分': 5}
{'短评内容': '距离机场很近，很方便', '短评打分': 3}
{'短评内容': '离机场比较近，四星级，感觉设施有点陈旧了，价格相对有点高。', '短评打分': 5}
{'短评内容': '各方面服务都不错，位置也很好，值得选择。', '短评打分': 3}
{'短评内容': '环境很好，去机场很方便。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '该酒店离机场较近，老外喜欢住在此处。', '短评打分': 5}
{'短评内容': '服务很不好，不想再住！', '短评打分': 3}
{'短评内容': '性价比还是不错的。', '短评打分': 3}
{'短评内容': '如果在北京转机，地理位置还是不错的选择。', '短评打分': 5}
{'短评内容': '饭店内餐厅很多，各式风味都有，房间装修不错，住起来很舒服！', '短评打分': 5}
{'短评内容': '我预定了2间房，我的房间含双早，另外一间不含早。今天早上我们2人去吃早餐，餐厅经理坚持我必须支付另一人的早餐，理由是我的房间只住了1人。所以而且说话很不客气。      我再也不住这个酒店了！！！！！！！！', '短评打分': 1}
{'短评内容': '就这个价位的酒店来说，还可以，就是设施旧了点。', '短评打分': 5}
{'短评内容': '性价比和设施都不怎样！', '短评打分': 3}
{'短评内容': '每次来都住这里，说不出哪里特别好，就是距离机场近', '短评打分': 3}
{'短评内容': '老酒店啦，离机场近。', '短评打分': 5}
{'短评内容': '五星酒店，各方面服务和设施都很好，当然价格不便宜。', '短评打分': 5}
{'短评内容': 'henhao.he ', '短评打分': 3}
{'短评内容': '很好\r\n', '短评打分': 3}
{'短评内容': '还是二十年前的档次', '短评打分': 5}
{'短评内容': '不错的酒店，离机场不远！', '短评打分': 5}
{'短评内容': '服务不错，位置稍微有点儿远', '短评打分': 5}
{'短评内容': '一贯的好服务，房间很宽敞，舒适。', '短评打分': 5}
{'短评内容': '物有所值的酒店.', '短评打分': 5}
{'短评内容': '酒店位置好入住还可以就是价格贵了点', '短评打分': 5}
{'短评内容': '老酒店,比较舒适,环境好.', '短评打分': 5}
{'短评内容': '价格偏贵', '短评打分': 5}
{'短评内容': '酒店的服务卫生还是不错的，价格也挺实惠的，就是设施老旧些了。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '一般，还可以接受', '短评打分': 5}
{'短评内容': '一家很旧很老的Holiday Inn，该重新装修一下了。应该是北京性价比最差的Holiday Inn了。其实从酒店到机场也不方便，好像挺近，但从酒店到机场高速入口这段路很堵车，红灯又多，如果仅仅为了去机场方便的话，还不如住在三元桥附近的酒店。', '短评打分': 3}
{'短评内容': '丽都真的很不错，房间很大气派（豪华），过夜的感觉非常爽，就是距市区远些，早餐一流。', '短评打分': 3}
{'短评内容': '早餐很不错。其实一个疑问，假日集团的酒店都很不错，但为什么都只有四星？', '短评打分': 3}
{'短评内容': '还没有到丽都过夜的经历，不过住友发表的评论实在是太少了，以至我都无法确认该听谁的，希望大家都能传授一点经验。', '短评打分': 3}
{'短评内容': '住过世界上很多的四五星酒店，北京的丽都是我的最爱。它最人性化，最方便，最温馨，最国际化。&lt;br /&gt;\n具有前古典后现代的感觉。&lt;br /&gt;\n最爱丽都。&lt;br /&gt;\n长长的走廊，春天的柳絮，永远的微笑，还有各种各样提供给客人的舒适的枕头。&lt;br /&gt;\n还有我的爱情。', '短评打分': 3}
{'短评内容': '我爸爸在丽都工作了17年了,现在饭店是李嘉诚的资产,放在十年前大多数外国人来北京都首选丽都,历史上曾经创下入住率115的辉煌业绩当然是非常时期了,现在已经今非昔比了,饭店的确存在着硬件设施老化等问题.但是有句话叫:瘦死的骆驼比马大,现在饭店最大的优势在于历史悠久,有较好的信誉且贷款早已还清现在北京的高档饭店大都背着债务,每年光利息就占支出的一大部分,店内环境幽雅,服务设施齐全.饭店是四星级可标准间', '短评打分': 3}
{'短评内容': '那里我去了 我觉得一点也不好服务差', '短评打分': 3}
{'短评内容': '不知道上面的朋友是去住过还是真的很想去住……丽都里面可不是你们想象的那样差的……什么电视节目十之八九都是国外频道，中国的不超过五个？那都假的……里面的环境是很好的……房间也不差……不知道这些人发的帖子有何具心', '短评打分': 3}
{'短评内容': '丽都优点是像一个小城市。有众多好吃的餐厅共您选，停车方便，花园绿地，在夏天别有情趣。，但房间太旧了。', '短评打分': 3}
{'短评内容': '上述是真的吗？&lt;br /&gt;\n可是我刚在才定了这家酒店呢！&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '不知道是丽都的豪华标间就这个德行，还是工作人员搞错了给了我一个普标，总之实在不咋地，不知道ELONG网上丽都假日一栏的照片是从哪里找来的，实在是误导消费者，酒店的餐厅不是一般贵，可能是因为十个里面有八个都是外国人吧，客房里不配牙刷，你得打电话去客房部要，电视节目十之八九都是国外频道，中国的不超过五个，不过买个日常用品啥的挺方便，底下有超市还有熟食店，嗯嗯，还有俺最喜欢的冰淇淋店，建议大家如果不是为', '短评打分': 3}
