{'短评内容': '旁边工地施工很吵，影响休息', '短评打分': 4}
{'短评内容': '十一般', '短评打分': 3}
{'短评内容': '房间还可以，就是隔音一般，酒店大堂太小，比较乱，一般的商务酒店', '短评打分': 5}
{'短评内容': '新华酒店性价比超高，购物蛮方便的，下次来还住这里', '短评打分': 3}
{'短评内容': '酒店一般', '短评打分': 3}
{'短评内容': '感觉不错。', '短评打分': 3}
{'短评内容': '环境不错，而且交通也方便，总的说来还是不错的。', '短评打分': 5}
{'短评内容': '位置很好购物出行都方便，房间挺大也安静，不错！', '短评打分': 3}
{'短评内容': '我是先定中天没有房子去的，我刚才在网上看价格是2,3百元不知道为什么要我先按560付款再退差价', '短评打分': 5}
{'短评内容': '地点非常好。周围有4，5家百货商场，还有小吃。\n交通方便。\n性价比还是不错的。\n下次来，有可能还入住此酒店。', '短评打分': 5}
{'短评内容': '在市中心，酒店设施还行。但价格有点偏贵，网络速度超慢。', '短评打分': 5}
{'短评内容': '，还可以。', '短评打分': 3}
{'短评内容': '重庆新华酒店是我在大陆出差这么多年来住过最差劲的酒店,差的不是酒店的硬设备,而是最基本的客户服务,简单叙述以下几点供各位网友参考(尤其是常出差的商务人士)\n1. 5/10 check-in后,发现没有小瓶瓶装矿泉水及客房面纸,我只好去厕所拿卫生纸出来用,这未免太省了吧, 好像是住招待所一样\n2. 入住期间因为天气满热的(当时的室外温度已经达30度以上),房间居然没有空调,打电话到柜台问,回答的竟是', '短评打分': 1}
{'短评内容': '很方便很干净的地方...喜欢漂亮的重庆妹妹', '短评打分': 5}
{'短评内容': '为朋友定的，好像还不错，出行很方便，周边商场很多，购物便利', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '很好，性价比高.地方很靠近解放碑什么都很方便。嘿嘿...重庆妹妹很漂亮哈\n', '短评打分': 5}
{'短评内容': '这是一家价格合适，环境卫生的酒店，而且就在解放碑，交通方便！', '短评打分': 5}
{'短评内容': '挺好，不错。地段比较好，入住比较方便。如果订16点后不需信用卡担保就更好了。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '＋住房环境卫生，交通方便，满意！ ', '短评打分': 3}
{'短评内容': '酒店设施巨老，屋子光线不好，洗澡也不渗水，差死了，多次教训：以后订酒店千万不相信电话接线员小姐的破嘴。', '短评打分': 3}
{'短评内容': '很中心。很方便。门厅很小，里面还行。下次也许还会住。', '短评打分': 5}
{'短评内容': '所订房子性价比高很好', '短评打分': 3}
{'短评内容': '重庆新华酒店的位置逛街很方便，房间虽小但很温馨', '短评打分': 3}
{'短评内容': '环境好，干净。', '短评打分': 3}
{'短评内容': '酒店十分舒服，就是稍微有点旧，但是服务态度非常好，下次还会光临的', '短评打分': 5}
{'短评内容': '酒店距离解放碑很近很近，因为是在附近做活动，所有特地定这家的，因为网上点评也不错，我自身体验也觉得不错', '短评打分': 5}
{'短评内容': '酒店离纪念碑很近，而且是四星标准，出来稍微旧点其他都很不错，再次还会光临的', '短评打分': 5}
{'短评内容': '总体感觉还行，主要是地段好，离城中心近，出行方便。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '地理位置优越，服务周到，到解放碑很近，下次有机会也会预订', '短评打分': 5}
{'短评内容': '不知道是不是我们正好运气不好.入住的时候酒店不让进车库停车,说是正在对车库进行修理,必须晚6点以后方可进车库.这可是在解放碑,很不好找车位的.酒店也没有说如何解决办法.好不容易熬到6点以后,又再三强调要求必须在早8点前离开车库,真是晕哦.他们应该协商临时停车场的啊.入住以后发现空调未开,解释说主机故障,正在修理.早餐实际上是在中餐厅吃的.感觉很奇怪.房间有股味道.地理位置非常好.价格也不贵.', '短评打分': 1}
{'短评内容': '这是一家性价比很高的酒店。不错，真的很不错', '短评打分': 3}
{'短评内容': '位置方便 在市中心\n服務普通 速度較慢 \n房間不小 浴室不錯\n但清潔程度可再加強 \n早餐不差', '短评打分': 5}
{'短评内容': '酒店很次，不好', '短评打分': 5}
{'短评内容': '价格太高', '短评打分': 3}
{'短评内容': '比较满意。', '短评打分': 5}
{'短评内容': '酒店的硬件和软件条件都不错,性价比很高.而且服务也很到位,综合来讲是一家不错的酒店.', '短评打分': 5}
{'短评内容': '挺好，就是窗户不大好', '短评打分': 5}
{'短评内容': '酒店位置好，就在步行街，吃饭、购物什么都方便。\r\n酒店设施略显旧，但绝对对得起房价。\r\n朋友对在酒店大堂购买的香烟质量表示怀疑。', '短评打分': 5}
{'短评内容': '酒店整体看起来还不错，环境倒是挺好的。里面也不错。', '短评打分': 5}
{'短评内容': '位置还算不错，服务也还行，卫生设施也不算太差，酒店的价格也还可以。整体还都不错。', '短评打分': 5}
{'短评内容': '设施还是挺不错蛮新的，服务态度也很好，位置非常好，唯一的缺点酒店的大堂的太小了位置是很好但是酒店不是很明显估计第一次去的客人不一定能找到这个地方，不过酒店离步行街啊还有解放碑都挺近的，价格也很不错像周边的都是三四百左右的但是这个酒店不到三百我感觉还是挺值的。', '短评打分': 5}
{'短评内容': '我感觉这家酒店还不错，房间里打扫的挺干净，设施方面也比较齐全，酒店的位置也不错，周边交通很便利，价格方面也还可以，整体感觉还是可以的。', '短评打分': 5}
{'短评内容': '位置好,设施较新,价格较合理.', '短评打分': 5}
{'短评内容': '比较满意。', '短评打分': 5}
{'短评内容': '空间比较小', '短评打分': 5}
{'短评内容': '  酒店地理位置较好，但制度不太完善，上班时间以外服务人员不服务。门卡不能正常使用，性价比一般。', '短评打分': 1}
{'短评内容': '酒店的环境硬件设施都还不错,位置出行交通方便,价格也很合适.', '短评打分': 5}
