{'descr': '周围环境不错', 'star': 4}
{'descr': '各方面印象都可以, 特别是网线设置更到位, 喜欢 这酒店, 但前台结帐较慢', 'star': 5}
{'descr': '酒店位置不错，离著名的景点五大道很近，比较方便；另外去火车站等地也有直达车。房间安静，百元房十分超值，呵呵！', 'star': 5}
{'descr': '酒店位置很好，服务也还不错，总之可以推荐。', 'star': 5}
{'descr': '房间超级小，吃饭不方便。门口还堵车，实在不值得推荐。', 'star': 1}
{'descr': '很好!', 'star': 3}
{'descr': '满意～不错呦', 'star': 3}
{'descr': '酒店可以，房间还算干净。我住8412', 'star': 3}
{'descr': '刚两年的酒店，硬件损坏还是比较严重，酒店管理还是稍差。\n窗户隔音不好，建议入住楼层要高一点。\n其他一切还好，卫生条件还是不错，对酒店房间的设计非常赞赏，房间虽小，但是不觉局促。', 'star': 1}
{'descr': '离马路太近有点吵，窗帘不好拉。\n环境不错，每间屋子都有窗户，透气好。\n下午楼道还放音乐，有点高档酒店的感觉。', 'star': 5}
{'descr': '也不错的宾馆。靠近购物区出行方便。价格对得起。会再入住', 'star': 3}
{'descr': '好像根本就没有资格叫“酒店”根本就小旅馆，住的还是高级间，结果房间竟然相当简陋，潮气很大，玻璃脏的要死，房间里的一切都不干净，椅子上还有一大片污渍，愣是没敢坐，毛巾很明显的脏旧，看着连碰都不想碰，洗澡的时候会漏水到房间里，弄湿了一大片，总而言之，很让人崩溃。 对了还有前台服务人员，有个小伙子口齿不太清楚，我一进去说有预定，他马上问我“#￥%……&*@？”我说“什么？”，他又重复了一遍，我还是没听清', 'star': 1}
{'descr': '第一次在网上定汉庭酒店，100元周日特价房很喜欢，下次还会惠顾。', 'star': 3}
{'descr': 'henhao', 'star': 3}
{'descr': '环境比较简陋，厕所和浴室就一个门，十分的简洁、但交通位置比较方便，停车不方便', 'star': 1}
{'descr': '总体条件不错,楼下停车位太少,停车不方便,房间里的电视比较小,有点旧.床上有三个枕头,好像比一般酒店多一个,不错.', 'star': 5}
{'descr': '   房间有点小 位置不错', 'star': 3}
{'descr': '还行  有点儿贵   环境好    打扫积极  服务态度也很好~  大床房貌似没空调\n单卫挺好的', 'star': 5}
{'descr': '前台服务人态度很差，爱搭不理。酒店环境不错', 'star': 3}
{'descr': '地理位置不错，停车不大方便。周围公交还算通达。', 'star': 5}
{'descr': '交通还不错。过程很纠结。先是说系统没有订单。后来房卡打不开房门打前台没人接。还得自己下楼去处理…', 'star': 3}
{'descr': '，入住的是该店的“节日百元房”，价格低廉住宿条件干净舒适。希望今后还能有这样的优惠。', 'star': 3}
{'descr': '服务不错，还可以免费上网。帮朋友订的，到了天津我去亲戚家住的。她们在旅店住的，整体感觉服务不错，地点还是比较好的。', 'star': 5}
{'descr': '房间有些小，临街的房间有些吵，但地理位置不错。', 'star': 1}
{'descr': '隔音不好，隔壁夜里的声音能听见，很崩溃。', 'star': 1}
{'descr': '离办事地方很近，对面的茉莉餐厅还可以吃简餐', 'star': 5}
{'descr': '好周围环境好繁华交通方便哈哈啊哈哈哈哈哈哈', 'star': 5}
{'descr': '房间小了点，环境挺好,地理位置也不错，坐公交啊什么的挺方便', 'star': 5}
{'descr': '总体还可以 比较安静 就是停车不方便 条件还是不错的', 'star': 5}
{'descr': '位置很好，服务态度也很好，住了两天，还有服务员打扫卫生，很好！', 'star': 5}
{'descr': '交通方便，环境一般，卫生过关。', 'star': 3}
{'descr': '汉庭快捷酒店不仅环境不错，而且服务较好，周边交通便利，相当不错哦', 'star': 5}
{'descr': '挺好，就是窗户不好，不好关上，正在刷漆，有些味道，其他不错', 'star': 5}
{'descr': '很好，卫生，方便，服务态度很好！我很喜欢，下次还来！', 'star': 5}
{'descr': '不错，很好', 'star': 3}
{'descr': '交通非常的便利 电梯刷卡使用觉得毫无意义 想上楼又不是没有楼梯 而且要接待个朋友 还要下楼去接 比较麻烦 电话直拨分机号码总是提示忙线 要打总台才能转接 其他还好 比如家略显紧凑 总体不错', 'star': 5}
{'descr': '交通位置也算便利,只是附近购物不太方便,一楼未设置卫生间,稍有不便!总体一般', 'star': 5}
{'descr': '我已入住，服务非常满意', 'star': 3}
{'descr': '价格很实惠，很适合家庭住', 'star': 3}
{'descr': '还行，主要出差图个方便，离办事的地方很近。', 'star': 5}
{'descr': '强力推荐 非常好 交通方便  环境优雅 性价比高', 'star': 5}
{'descr': '酒店服务很好', 'star': 3}
{'descr': '干净，服务周到，设施完善，性价比高，有机会还会选汉庭', 'star': 5}
{'descr': '晚上太吵，不安静，确实不怎么样。晚上太吵，不安静，确实不怎么样。', 'star': 1}
{'descr': '还不错啊，住过几次了，总体还可以    ，，，，，，，，，，，', 'star': 5}
{'descr': '环境不错。也很干净。不过好像床单有点粗糙啊~~~~~~', 'star': 5}
{'descr': '还不错 没有说的那么吵 挺干净的 值得推荐', 'star': 5}
{'descr': '环境很不错，尤其喜欢床单被褥！ 床很舒服，卫生条件也很不错！', 'star': 5}
{'descr': '服务很热情，整体感觉不错，唯一的遗憾是所住房间的窗户关不上，有点吵', 'star': 5}
{'descr': '汉庭一贯服务很好很周到，环境不错。希望今后继续合作。', 'star': 5}
{'descr': '服务不错，地方不错，就是01号房间靠近附近的KTV，晚上比较吵。', 'star': 5}
{'descr': '不错，下次还会去，就是床单好像有点粗糙~~~~~~~~~', 'star': 5}
{'descr': '这个价位来说相当不错,值得推荐,唯一比较遗憾的是那个转椅确实有点惨不忍睹,都是污渍,不敢坐...', 'star': 5}
{'descr': '环境挺好，周围商业区也比较不错，会推荐这家酒店', 'star': 5}
{'descr': '  不错的哦！蛮舒适干净的 有种家的感觉。下次还会来的！', 'star': 5}
{'descr': '我出示证件，前台的服务人员竟然不知道我有预定，还费了我好大劲', 'star': 1}
{'descr': '干净整洁，就是离马路太近噪音大，也没有早点', 'star': 5}
{'descr': '可以，比较干净整洁，我个人感觉是快捷酒店里住着比较舒服的1家，就是离马路太近', 'star': 5}
{'descr': '还行，基本算是比较干净，所以这次带了很多同事过来住，只是窗户隔音效果差，所以晚上睡觉噪音重', 'star': 5}
{'descr': '还算干净整洁、走廊也很宽敞，而且有暖气，冬天住着很舒服！', 'star': 5}
{'descr': '离马路近，房子吵，主要在早晨的时候，这个地方比较难打到车，我连续3天早上7点半左右能了半个小时，才等到车', 'star': 1}
{'descr': '酒店的双人房，离马路太近了，晚上太吵了，关上窗户还是噪音很大', 'star': 1}
{'descr': '房间还不错，就是稍微有点小，然后网速不知为什么很慢，总之，还是比较推荐的', 'star': 3}
{'descr': '普通的快捷酒店，房间干净整洁，交通应该还算方便。', 'star': 5}
{'descr': '该酒店交通方便，设施还比较新，但餐厅没有晚餐，而附近餐厅较少，故不大方便，尤其是在冬天。', 'star': 3}
{'descr': '好 环境不错 还有奶茶喝 楼下上网也可以', 'star': 3}
{'descr': '我住得是周日大床房……感觉待遇不错……服务很周到……备有吹风机实在是考虑周到。电视好像很旧了。不是液晶的。洗头水只有一种叫三合一的代替……有点小小失望……晚上蚊子不少。已经深秋了蚊子怎么还这么大精神？还好有电蚊香。', 'star': 3}
{'descr': '我 入住的是周日百元房……很好的房子，位置很好找就在友谊路与复兴路的交口……入得时候还可以上网当然是自己带电脑了……设施方面觉得还行……准备了出风机……服务态度并不是很突出，但也挺好的。。。。住得很舒服的……', 'star': 5}
{'descr': '我 入住的是周日百元房……很好的房子，位置很好找就在友谊路与复兴路的交口……入得时候还可以上网当然是自己带电脑了……设施方面觉得还行……准备了出风机……服务态度并不是很突出，但也挺好的。。。。住得很舒服的……', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '感觉真是非常好，不愧是国内的比较好的连锁酒店，住的很舒服，也很舒心，下次还会继续选择汉庭的', 'star': 5}
{'descr': '+酒店条件很一般，但前台服务很好。', 'star': 5}
{'descr': '酒店环境很不错喔！', 'star': 5}
{'descr': '总体很不错！值得推荐~~~地理位置很好，很好找。其他也很不错~', 'star': 5}
{'descr': '总台服务很好，环境还可以，一楼有些潮，电视差一些', 'star': 3}
{'descr': 'T+前台服务一般', 'star': 5}
{'descr': '很舒服 还有奶茶喝  网速也还可以 态度也不错 ', 'star': 5}
{'descr': '还可以.窗户有点小.光线不太好.交通挺方便.', 'star': 5}
{'descr': '酒店挺干净的.就是床太小了', 'star': 5}
{'descr': '交通位置便捷，周边环境优雅，服务人员态度可敬，一楼居住潮气过大', 'star': 5}
{'descr': '房间除了小了点，性价比还是不错，服务也很好！', 'star': 5}
{'descr': '很不错', 'star': 3}
{'descr': '交通很好，适合商务人士入住，性价比较高，但是毛巾等感觉有点旧，还不错1', 'star': 5}
{'descr': '一如既往的品质。\r\n但是第一天入住的时候晚上网速很慢，1K左右吧。打开一个网页要5分钟，找了服务员，说就只有这样了。\r\n第二天就好了下载能到50K，这么不稳定的网速，让作为商务旅行的我非常崩溃。', 'star': 5}
{'descr': '床和桌子离的太近了，网络质量有点差，上不了网', 'star': 5}
{'descr': '很方便  交通也可以', 'star': 5}
{'descr': '喜欢，以后还会去的', 'star': 3}
{'descr': '价位合理,地理位置较好,推荐居住.', 'star': 5}
{'descr': '还不错，就是房间有一点点小', 'star': 5}
{'descr': '服务很不错，以后还会再住', 'star': 5}
{'descr': '友谊路主干道与中环线交口，地点方便，性价比高。', 'star': 3}
{'descr': '床很大,卫生间很干净,电视台台很多,窗帘很个性,但不太好拉起来,屋子很温馨', 'star': 5}
{'descr': '卫生间很干净,屋子很温馨,床很大但睡不醒,交通比较方便', 'star': 5}
{'descr': '酒店的服务不错，态度很好，有问题会很快解决。房间也很舒适，是值得去的酒店', 'star': 5}
{'descr': '说实话有点失望，主要没想到房间那么小，窗户当然也是小的可怜；另外也很不习惯浴室和床这么亲密的接触。。。不像一般的快捷酒店的房间，基本没有把卫生间单独出来，虽然酒店的人解释说这是他们酒店的特色。。。我只能说我不太能接受吧', 'star': 1}
{'descr': '整体都不错，在这里住过几次了，感觉都还可以，白天逛街可以去天津友谊商厦，晚上玩可以去COCO，周边饭馆也挺多。', 'star': 3}
{'descr': '位置还可以，距离天津友谊商厦走路仅几分钟时间。卫生和设施也还不错，整体感觉不错，值得推荐。', 'star': 5}
{'descr': '酒店房间较小，热心帮忙换房间，其他服务一般，没有主动打招呼。', 'star': 1}
{'descr': '方便快捷', 'star': 3}
{'descr': '只能说对得起这个价格', 'star': 5}
{'descr': '在连锁酒店里算比较好的。我们是去友谊商店办事去住的，感觉很方便', 'star': 5}
{'descr': '方便快捷便宜！！', 'star': 5}
{'descr': '很舒适， 交通方便', 'star': 3}
{'descr': '交通方便， 舒适 ', 'star': 5}
{'descr': '环境真的不错，物超所值', 'star': 3}
{'descr': '住得舒服,价格合理.', 'star': 5}
{'descr': '隔音不好外!都好!', 'star': 5}
{'descr': '酒店很好，性价比高', 'star': 3}
{'descr': '很好\r\n以后还会来的', 'star': 5}
{'descr': '新春百元房的性价比很高，酒店位置、卫生、服务都不错，', 'star': 5}
{'descr': '酒店不错，位置、卫生、服务都很好。\r\n', 'star': 5}
{'descr': '性价比高，位置方面', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '最好时间推迟到下午2点，配早餐最好了。其它都很满意', 'star': 5}
{'descr': '这家酒店环境设施比较一般位置交通出行发那个比那,价格也比较合适.', 'star': 5}
