{'短评内容': '还可以啊！', '短评打分': 5}
{'短评内容': '酒店就在羊儿路口的路边，比较好找，五马逛街等都方便，酒店大厅比较小，房间大小也一般，不过还整洁。遗憾的时候里面没有电脑，没有带手提就只好看电视了', '短评打分': 5}
{'短评内容': '地理位置还不错，床也很软。但是特价房太小了，性价比一般，只适合临时出差落脚。', '短评打分': 5}
{'短评内容': '地段较好，房间不错，\n晚上去逛街什么的比较方便，', '短评打分': 5}
{'短评内容': '酒店很不错，一切都非常的新，不像很多的老酒店那样旧，因为新，再加上干净、整洁就显得更加的舒适了。', '短评打分': 5}
{'短评内容': '\u3000环境还可以，早餐还不错，这个价位还是性价比挺高的', '短评打分': 3}
{'短评内容': '地理位置好 出門逛街十分方便 酒店環境不錯', '短评打分': 3}
{'短评内容': '房间硬件步错，就是太吵！', '短评打分': 3}
{'短评内容': '特价房很小 床软 但是地理位置不错 吃喝玩方便 重要的是离我GF家很近~', '短评打分': 5}
{'短评内容': '房间环境不错，卫生间和浴室较大，有数字电视，离市中心近。特价房极小，价格也比较贵，不推荐特价房。', '短评打分': 5}
{'短评内容': '没有预定的单人间，免费升级了大床房，还不错。水很好，洗澡很舒服', '短评打分': 5}
{'短评内容': '整体感觉还可以，床比较舒服！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '非常好的酒店，每次来都住，干净，床很舒服。交通很方便', '短评打分': 5}
{'短评内容': '酒店地理位置很不错，离商业中心很近，房间很干净，就是特价房的房型很小，其他都很不错，服务员也很热情。', '短评打分': 5}
{'短评内容': '酒店地处闹市中心，交通方便，房间虽然有点小，但整体还可以。', '短评打分': 5}
{'短评内容': '房间小了点，早餐单调了点，一般般的，性价比不高', '短评打分': 5}
{'短评内容': '酒店地段蛮中心，交通方便，房间有点小，整体还可以。', '短评打分': 5}
{'短评内容': '温州的酒店太贵了。地段不错，房间不大，早餐一般', '短评打分': 1}
{'短评内容': '酒店小巧温馨，信价比超高，前台帅，很不错', '短评打分': 3}
{'短评内容': '房间设施还可以，但就是因地理位置的关系，靠路边太吵。如果200元左右的价格比较合理，现价有点高。', '短评打分': 5}
{'短评内容': '床很软哦。', '短评打分': 3}
{'短评内容': '地段还可以 但是不能说是十分好 不过也不错了 还可以还可以还可以', '短评打分': 5}
{'短评内容': '地段很中心，吃饭也很方便，去五马街也近，但是酒店的电梯有点恐怖声音太响了，房间临街的比较吵一点。', '短评打分': 5}
{'短评内容': '房间很不错，床很舒服，就是价格偏高', '短评打分': 3}
{'短评内容': '位置很好，在中山公园附近，离步行街很近。酒店装潢属于传统型的，不喜欢的方面是入住的单人间，卫生间不规则，三面都是镜子，让人很不舒服。而且每天都能接到从门缝塞进来的XXX名片，不堪其扰。', '短评打分': 1}
{'短评内容': '住了这么多次，应该可以变VIP了，呵呵。酒店服务态度还是挺好的', '短评打分': 5}
{'短评内容': '正常的入住，不过也一般般。没有什么想法！', '短评打分': 1}
{'短评内容': '房间卫生还可以了，就是在红绿灯边上，早晨比较吵了点。', '短评打分': 5}
{'短评内容': '＋位置和服务都不错，性价比高，下次去还会入住。', '短评打分': 3}
{'短评内容': '我住的是特价房  房间很小  而且电视看上去很旧了。。其他都还可以。。下午还送了水果  主要是交通便利  处中心地带 方便', '短评打分': 5}
{'短评内容': '酒店性价比还是比较高的！唯一不足前台不够大气！而且大厅里没开空调！结账的时候出了一身的汗！还有希望以后窗户的隔音效果再好点！临街的房间有点小吵！', '短评打分': 5}
{'短评内容': '第二次住了，老公说性价比高，他们公司预算就那么点点，出差觉得这个地方不错，很热闹，也比较干净，呵呵，怎么50个字还不满，真奇怪呀真奇怪', '短评打分': 5}
{'短评内容': '酒店不错，位置很中心，房间还可以，设施齐全，周边买东西也很方便。已经是第二次住了。下次还会住，性价比还不错。', '短评打分': 5}
{'短评内容': '总体还算可以吧！因为是公司出差，也是第一次住该酒店，地理位置和之前住的相比还是非常不错的！酒店卫生，设施都算比较干净！下次应该是还会再住的！', '短评打分': 5}
{'短评内容': '特价房有点贵', '短评打分': 3}
{'短评内容': '路段不错，酒店不大，房间设施对得起这个价，在温州酒店中性价比算高的了。', '短评打分': 5}
{'短评内容': '非常不错，就是不好找。酒店结构，设施都不错。就是出租车司机不太知道。', '短评打分': 5}
{'短评内容': '非常好的酒店，干净，住着很舒服。就是不好找。', '短评打分': 5}
{'短评内容': '地段好、床比较舒服，服务也很热心，不错的酒店；缺点是酒店有点偏旧了，马路边，总是有稍许的噪音吧；  不过对我来说问题不大，我还是蛮喜欢住这边的。', '短评打分': 5}
{'短评内容': '不错，性价比合理,比上次住的莫泰168好，价格上也没有贵多少', '短评打分': 5}
{'短评内容': '早餐不错，位置不错，但是有点吵，希望能改善。', '短评打分': 5}
{'短评内容': '以前曾住过，这次回老家参加亲戚的婚礼，就定在这里了，酒店设施已显得老了些，但位置在市中心，出行逛街方便，房间较干净，在温州算性价比不错了。', '短评打分': 5}
{'短评内容': '近期酒店味道变重，可能是地毯的问题，希望酒店积极处理。\n交通便利，风水不错·~', '短评打分': 5}
{'短评内容': '商务酒店，总体不错，早餐也还可以。\n缺点是沐浴露、洗发露是一起的，用了一次感觉根本不能洗头发，得自备洗发露！', '短评打分': 5}
{'短评内容': '在市中心，交通方便，服务意识很好，就是硬件有点旧了。', '短评打分': 5}
{'短评内容': '环境不错，特价房有点小，其他不错', '短评打分': 3}
{'短评内容': '比较安静的商务酒店，但是配套不是很好，早餐还可以', '短评打分': 5}
{'短评内容': '酒店位置虽然不至于偏僻，我住的是188的特价间，房间设计太差了，洗手间除了镜子多，连放个洗簌用品的位置都没有，房间也小的可怜。而且还有种霉的味道，桌子什么的也不是很干净。这价钱住好多其他宾馆都好多了。不知道为什么这个酒店这么贵！！！唯一值得赞的就是，如果喜欢床软点的朋友，可考虑，这酒店的床很软，就这点舒服点。', '短评打分': 1}
{'短评内容': '环境还是不错的，地段也在闹市区，但是旁边就是中山公园，早餐还可以的。', '短评打分': 5}
{'短评内容': '188元特价房，小巧精致，干净！呵呵，早餐一如既往不敢恭维', '短评打分': 5}
{'短评内容': '早餐很一般，还不如汉庭，不过硬件设施都满不错，服务态度还有上升空间。房间里还有浴袍，一些设施比较人性化。洗发露和沐浴露分开来，质量好一点就非常好了。下次来温州还住这家店。', '短评打分': 5}
{'短评内容': '酒店很干净，服务比较周到。位置处于市中心，交通也很方便，可以吃东西的地方也很多哦！住的是188元的特价房，小巧而精致，在这样的地段，闹中取静的实惠！', '短评打分': 5}
{'短评内容': '房间的电视机偏色，马上就进行了调换，服务很好，早餐很一般', '短评打分': 5}
{'短评内容': '酒店附近谈不上繁华，只能说是脏烂差，停车很不方便。\n房间很干净，服务很及时', '短评打分': 5}
{'短评内容': ' 不含早餐的标房非常实惠，房间设施不错，隔音效果也很好。出门就是永和豆浆，早餐可以在那里吃的。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '1.不错的酒店.包括服务态度.设施\n2.改进的地方.是宽带接入线要及时更换.因为接触不良上不了网\n', '短评打分': 5}
{'短评内容': '房间还不错，可满足商务住宿，就是早餐较差', '短评打分': 5}
{'短评内容': '行政大床！不错！地理位置也还好.购物吃饭都方便', '短评打分': 5}
{'短评内容': '还可以吧。房间干净，隔音不怎么好。在温州这个价位还算可以吧。', '短评打分': 5}
{'短评内容': '还好还好还好还好还好还好还好还好还好还好还好还好还好还好', '短评打分': 5}
{'短评内容': '挺好的吧，挺干净的。就是觉得为什么房间里面要放那么多标有价格的东东呢？', '短评打分': 5}
{'短评内容': '地段不错，早餐也还行~\n床蛮舒服的，性价比只能说一般', '短评打分': 5}
{'短评内容': '还不错，设施很齐全，房间很大，性价比很高，算是可以的了', '短评打分': 5}
{'短评内容': '地理位置很方便，隔音也还不错，早餐有待提高。', '短评打分': 5}
{'短评内容': '殿堂及房间装修不错，设施比较完备，安静。值得赞的是淋浴水特别大，很舒服。不过就是两个床挨得太近。。', '短评打分': 5}
{'短评内容': '还不错，房间干净，在闹市区，交通发达，就是早餐难吃点。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房間衛生還不錯，交通也方便，就是沒有停車場。其他都很好。', '短评打分': 5}
{'短评内容': '不错的酒店，以后还来，希望价格还能优惠点！', '短评打分': 5}
{'短评内容': '环境还好，单人间真是名副其实的单人啊……', '短评打分': 5}
{'短评内容': '房间布局舒服。\n地段较方便\n服务比较好。', '短评打分': 5}
{'短评内容': '酒店房间睡觉很舒服，服务也还不错。就是没地方停车,早餐说是7:00开始,结果7:05餐厅都没开门 \n', '短评打分': 5}
{'短评内容': '房间睡觉很舒服，服务也还不错。希望能送早餐', '短评打分': 5}
{'短评内容': '单人房 果然很单人   推荐标准间  这件的标准间 还是很赞的 价格也不贵', '短评打分': 5}
{'短评内容': '每次都这里，隔音不太好，其他还都满意', '短评打分': 3}
{'短评内容': '前台态度好 退房效率高 但暖气方面欠缺 这么冷的天 需要改善改善 不然住得难受', '短评打分': 3}
{'短评内容': '性价比高，在温州这鬼地方，200内的特价房还是不错的', '短评打分': 5}
{'短评内容': 'ok...........................', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '三星以上的装修标准，很干净，带淋浴和浴缸，床和枕头很舒服，房间大，繁华地段。空调声音很大，影响睡眠，最高温度只能到18度。靠街的房间路面噪音很大,虽然窗户是双层隔音玻璃但效果有限。', '短评打分': 5}
{'短评内容': '性价比很高。住着很舒服。很喜欢这里的布局。下次还会再来。', '短评打分': 5}
{'短评内容': '地址位置还可以，交通方便，但是比我想象得破烂多了\n性价比一般', '短评打分': 1}
{'短评内容': '很舒适的一家酒店。在市中心，出入也很方便。房间环境感觉和四星差不多，关键是价格实惠。', '短评打分': 5}
{'短评内容': '房间太小了点，但床还是很大的，房间布局有点奇怪，其他都比较满意！', '短评打分': 5}
{'短评内容': '价格较高，靠马路边的非常吵，早餐一般。床品不太干净', '短评打分': 1}
{'短评内容': '这家酒店的床要特别说明下，在差不多价位的酒店中，他家的床很柔软，而且房间配套非常完善，但进了卫生间就不怎么样了，龙头表面的镀硌都掉了。\n\n', '短评打分': 5}
{'短评内容': '设施还可以，就是有些工作人员态度不是很好', '短评打分': 3}
{'短评内容': '酒店环境不错，出行也比较方便', '短评打分': 5}
{'短评内容': '酒店不错~交通很方便，性价比不高！早餐还可以~', '短评打分': 3}
{'短评内容': '地段不错&#183;交通比较便利&#183;酒店还好，就是靠马路有些吵~', '短评打分': 5}
{'短评内容': '特价房房间过小', '短评打分': 5}
{'短评内容': '总的来说不错,特价房的性价比很好!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '入住后感觉挺好的，除了一点点小问题外，不论服务还是其他的都错，下次应该还会去。', '短评打分': 5}
{'短评内容': '缺点就是太市中心了，打车不好打。', '短评打分': 5}
{'短评内容': '挺可爱一酒店~性价比可以', '短评打分': 5}
{'短评内容': '退房后才发现项链落在酒店房间的卫生间洗脸台上，1个多小时后打电话去问。却说找不到了。 自认倒霉吧。', '短评打分': 3}
{'短评内容': '位置还可以吧，其他都一般', '短评打分': 5}
{'短评内容': '旁边就是鹿城影院和丹璐广场，地理位置很好；服务也不错，mp3落在那里一个月，最后给我寄回来了，非常感谢~', '短评打分': 5}
{'短评内容': '性价比太好了。卫生很不错。\r\n在温州属于不错的商务宾馆。\r\n本人十分推荐而且很喜欢光顾。', '短评打分': 5}
{'短评内容': '地理位置还是好的,但价格偏高,某些设施旧了点.', '短评打分': 5}
{'短评内容': '床很大很舒服，卫生间够大，整体感觉很不错', '短评打分': 5}
{'短评内容': '酒店位置非常好，适合商、旅，应属经济型酒店，所以性价比一般。', '短评打分': 5}
{'短评内容': '酒店的房间实在太小了,环境也比较差,住宿条件不是很理想,性理价比一般', '短评打分': 1}
{'短评内容': '非常不错的酒店,干净舒适；尤其是位置特别方便,价格也很合理；性价比还是比较高的；', '短评打分': 5}
{'短评内容': '整体住的舒适，环境还可以，服务也不错，性价比可以', '短评打分': 5}
{'短评内容': '位置很不错，房间也蛮大，我订的是270的，早饭没去吃过，床也够大，可惜没有衣柜，衣服都没地方挂，但是厕所真是很大啊！虽然在大路边，但是酒店的窗户是双层的，隔音效果还是可以的，就是价格有点高。在温州能找到这种地方还是不错的，不过停车不是很方便！', '短评打分': 5}
{'短评内容': '酒店交通方便，价格也便宜', '短评打分': 5}
