{'短评内容': '宾馆的环境不错，周边生活设施齐全。', '短评打分': 5}
{'短评内容': '挺好的。。。。。。', '短评打分': 5}
{'短评内容': '华丽而低调的宾馆，入住体验很好。晚上有人带我们去参观蒋纬国，和林彪故居，长了不少见识。', '短评打分': 5}
{'短评内容': '苏州必选酒店。各方面都非常好', '短评打分': 5}
{'短评内容': '非常漂亮的园林式宾馆，用的是欧舒丹的洗护用品，服务人员也很热情周到。', '短评打分': 5}
{'短评内容': '还不错啊好啊好啊好啊好啊', '短评打分': 5}
{'短评内容': '非常舒适的环境，用的东西好', '短评打分': 5}
{'短评内容': '酒店位置非常好，位于雷峰塔旁边，出门即是西湖，西湖太漂亮了！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '特别好的宾馆！ 服务特别好！ 超值！', '短评打分': 5}
{'短评内容': '特别好的宾馆！ 服务特别好！ 超值！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '入住非常舒适，有故事的酒店，服务细节之处也很贴心，酒店地理位置也不错，交通很方便。总之，下次度假还会选择这里', '短评打分': 5}
{'短评内容': '很棒的一次入住体验！办理入住时赠送了茶叶和点心，酒店工作人员很热情友好，下次还会继续选择入住。   ', '短评打分': 5}
{'短评内容': '很棒的一次入住体验！办理入住时赠送了茶叶和点心，酒店工作人员很热情友好，下次还会继续选择入住。   ', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '南园宾馆真的蛮不错的，之前9月份来住过一次，这次又过来了，刚好赶上天气也好，园里逗逗还是蛮不错的，四季长青的广玉兰，还有香樟一片绿意，还有几棵红枫，随手按下快门，都是一片景色！服务还是一如既往的好：从进了大门，感觉就像到了家！工作人员讲大堂的石库门在古时候只有苏州大户人家才会有，寓意看到了石库门就是到家了！原来“到南园即到家”在设计的时候就有了，大堂里面还有免费的养生茶喝，红枣桂圆茶，罗汉果茶，外', '短评打分': 5}
{'短评内容': '前台服务很好，环境优雅', '短评打分': 5}
{'短评内容': '很不错的酒店，想想都很怀念！还会再来！', '短评打分': 5}
{'短评内容': 'It is a beautiful location and a haven in one of the most important cultural centres in China. I love the Kunshan opera in the garden in summer in the evenings. I visit often and it feels like a secon', '短评打分': 5}
{'短评内容': '非常有苏州园林景观的酒店！充满江南水乡的气息！', '短评打分': 4}
{'短评内容': '再一次入住南园，环境依然很美，服务很周到，升级了房型，入住体验度升级，赞，来苏州必选酒店', '短评打分': 5}
{'短评内容': '挺好，房间不错，服务态度也好', '短评打分': 5}
{'短评内容': '很好，环境不错，地理位置优越，服务好，客房舒适温馨', '短评打分': 5}
{'短评内容': '赶上阴雨天来苏州，烟雨江南的感觉确实非常好，下车大老远门童就迎过来撑伞接行李，入住时预订房型没有了帮忙升级到蒋家别墅房，好惊喜，游园活动很有特色，虽然没法和苏州园林相比，但在酒店里也算翘首，学习到了几个历史典故(^o^)：松鹤延年，竹松承茂，五福添寿，前朴后榉哈哈，客房清洁卫生有特色，装修典雅。  ', '短评打分': 5}
{'短评内容': '호텔 내에 장개석 둘째 부인 별장이 있고 그에 관한 설명도 무료로 해주어서 좋았음, 고즈넉한 분위기에 야경도 일색임. 호텔 내에서 핸드폰 잃어 버렸는데 찾으러 나가기 전에 알아서 가져다 주었음. 서비스가 친절합니다. 단점은 건물이 최신식이 아니라 방음이 잘 안되고, 방에서 담배연기 냄새가 아주조금 났습니다. 방 안에 재떨이가 있는 것으로 보아 어쩔 수 없나', '短评打分': 5}
{'短评内容': '酒店很大气，前台服务很好！第一次入住，目前都还很满意', '短评打分': 5}
{'短评内容': '这是第二次入住南园宾馆了 因为上次入住感觉特别的好因此这次又选择了南园 进入酒店服务依然是如此亲切 也住过很多五星酒店南园的服务是可圈可点的 不只是对大人对孩子更是无微不至 绝对好评  值得推荐 ', '短评打分': 5}
{'短评内容': '大器，安静，五星酒店的硬件设施，园林景观都是南园的优势，希望迷你吧托盘和卫生间洁具的清洁再细致些，应该每日清洁到哦！总体推荐！', '短评打分': 5}
{'短评内容': '酒店服务很好，环境很漂亮，而且里面有许多与近代史相关的景点，比如731工程遗址，姚冶诚的佛堂，蒋纬国与初恋情人相遇的西洋小楼现在也成了宾馆。出门就是十全街和相王路，很有老苏州风味。如果下次去苏州还会选择这里。', '短评打分': 5}
