{'短评内容': '房间不是很大，感觉特别紧凑！卫生什么的还是比较好的！', '短评打分': 5}
{'短评内容': ' 环境不错,交通便利,距离复旦大学很近!', '短评打分': 3}
{'短评内容': '去复旦面试的，住这家不错呐.性价比不错，服务也还好', '短评打分': 5}
{'短评内容': '很不错，复旦大学附近，周围好吃的很多，就是离地铁站比较远', '短评打分': 5}
{'短评内容': '除了前台的女服务员脸色难看点态度差点其他都挺好的', '短评打分': 3}
{'短评内容': '很老了，环境很差，房间面积特别小。最重要的是服务态度很差，和其他汉庭酒店的服务差太远了！', '短评打分': 1}
{'短评内容': '汉庭上海复旦店交通便捷，价格合理。', '短评打分': 3}
{'短评内容': '还不错，服务态度也好。', '短评打分': 3}
{'短评内容': '很不错的酒店，因为离复旦近，所以经常备考的时候住。无线有点不给力。其他都好', '短评打分': 5}
{'短评内容': ':地界还行，就是距复旦有点远', '短评打分': 3}
{'短评内容': '高级大床和普通好像没有多大区别。', '短评打分': 3}
{'短评内容': '挺好，就是地方小，楼有点旧，服务态度挺好', '短评打分': 5}
{'短评内容': '很好，安静前台服务也很快，环境我很喜欢，以后回经常光顾', '短评打分': 5}
{'短评内容': '空间比较小，大床房是用两个单人床拼起来的，床单枕套不是很干净。', '短评打分': 1}
{'短评内容': '环境还可以，只是屋内晚上灯光有些暗...', '短评打分': 5}
{'短评内容': '很安静，环境蛮好的，离复旦也近，附近没有全家之类的便利店不太方便', '短评打分': 5}
{'短评内容': '汉庭设施陈旧，空调噪音太大，以至于晚上惊醒四次，高级大床房竟是两张床拼在一起，睡的不舒服', '短评打分': 3}
{'短评内容': '一般般。这次的还可以。反正就是汉庭咯。怎么着有个牌子。', '短评打分': 5}
{'短评内容': '交通便利, 走到10号线国权路站15分钟,走到复旦正门7分钟. 宽带免费, wifi覆盖. 生意很好,既使确认入住也会被取消房间. 原来订是的家庭房, 保留到24:00, 酒店18:00打电话过来确认保留房间. 结果到22:30入住时,又说没有房间, 只能换了个标间.\n总的来说,还不错.\n', '短评打分': 5}
{'短评内容': '离复旦近是优点啦。。早餐很赞的说~家庭房很大很舒服，睡四个人都没问题。。', '短评打分': 5}
{'短评内容': '很好。环境不错，离复旦也近。还有咖啡喝。', '短评打分': 5}
{'短评内容': '酒店还行，大床间很舒服，貌似隔音效果有点不好，厕所的马桶总是有点声音，不过总体还是住得挺舒服的', '短评打分': 3}
{'短评内容': '便宜是一大优点！此外，这个店离复旦大学真的特别近，酒店有免费的休闲区，凭房卡可以免费上网、看杂志，早上15元一位的自助早餐也比较方便。周围有不少小饭店。唯一的缺点就是房间隔音不是很好~', '短评打分': 5}
{'短评内容': '房屋实在很小没有想象的那么宽敞，要了个安静的房间冲小区还不错，就是这空调简直要崩溃，跟排风一样响，这一宿都没怎么睡，完全崩溃了。。。', '短评打分': 3}
{'短评内容': '环境挺好的，房间也比较大，就是隔音效果不好', '短评打分': 5}
{'短评内容': '考研的时候在这住了三天，离复旦大学很近，走过去也只要15分钟。正赶上汉庭的活动，100/天还不错。因为考试，首先考虑的是安静，因为不在干道上，还不错，隔音虽不是太好，但也差强人意，只是空凋室外机的声音实在有点大。房间不大，但是比较紧凑，有窗但打不开，概括来说，包含了所有必要的设施，但也仅仅是必要。不过整体的服务水平还是不错的，而且价位也比较合理。今后有机会，应该会再次入住。', '短评打分': 5}
{'短评内容': '比较实惠，家庭房的大床偏小，就是个普通标间。', '短评打分': 5}
{'短评内容': '性价比较高，服务态度太好了，环境也比较好，下次还会接着定汉庭。呵呵呵', '短评打分': 5}
{'短评内容': '很好床大房间干净', '短评打分': 3}
{'短评内容': '2012-02-10入住此家酒店，第一晚入住7125房间，此房间设施极差！房间一角落好像被水侵泡了一样！宽带无法使用、酒店空调基本不制暖、洗澡间淋浴水龙头是坏的、洗个冷水澡差点感冒！与酒店收银人员反映此事，表示房间已满没有办法！\n2012-02-11再次与酒店收银人员反映此事，表示7125房间已是酒店高级大床房，（其实订的是大床房）无语！再次与工作人员表明情况，才肯调换的房间为7319房间，调换后', '短评打分': 1}
{'短评内容': '房间挺小的。。没有想象中那么大~不过价格挺实惠的~', '短评打分': 5}
{'短评内容': '屋子不错!', '短评打分': 3}
{'短评内容': '托福考场在上海电视大学，找了周边的经济型酒店。觉得汉庭性价比比较高。入住发现还不错，113元，大床房。周围也有较为经济实惠的餐馆。还不错。', '短评打分': 5}
{'短评内容': '酒店两栋楼 房间很多  服务态度好  安静', '短评打分': 5}
{'短评内容': '汉庭酒店温暖如家', '短评打分': 3}
{'短评内容': '蛮不错的，挺干净，屋子很大，配套服务蛮全的，免费供应茶水咖啡，免费打印什么的。还有就是是离复旦近嘛，办事方便', '短评打分': 5}
{'短评内容': '这次汉庭还给我们免费升级为高级大床房，感觉很棒！', '短评打分': 5}
{'短评内容': ',房间还可以,卫生间排气坏了,换了一间阳台门开不了,晕,总台反映很好,总的还可以,希望能多多注意设备的维护', '短评打分': 3}
{'短评内容': '近期汉庭的价格比较给力,离五角场2站路,都比较方便', '短评打分': 3}
{'短评内容': '房间面积不大，高级大床房132元，床还是一贯的超大很舒服这是最重要，前台服务一般。', '短评打分': 3}
{'短评内容': '交通各方面都还行，就是空调不是很热，一晚上也还是没暖起来。。。', '短评打分': 5}
{'短评内容': '恩，不错的，还可以。比较实惠，条件也还可以的，下次还会来的', '短评打分': 5}
{'短评内容': '这边最大的优点只能是价格还算便宜了，外边的空调声音吵得很', '短评打分': 1}
{'短评内容': '除了住在一楼有点吵之外，其他一切都挺好的，尤其是淋浴的水龙头十分给力！', '短评打分': 5}
{'短评内容': '设施还是挺齐全的，就是灯光暗了点，价格贵了点', '短评打分': 5}
{'短评内容': '位置很方便，装修不错，还有阳台哦，很好，就是浴室有点旧', '短评打分': 5}
{'短评内容': '很让人失望！', '短评打分': 3}
{'短评内容': '没有吹风机这点很不好 其他的地方还行~~~', '短评打分': 5}
{'短评内容': '整体来说汉庭复旦店还不错，就是厕所没有门，总感觉怪怪的', '短评打分': 5}
{'短评内容': '房间较多，随时去基本都会有房，周末特价房比较爽，大床房略小，电视也不能点播，性价比总体来讲高', '短评打分': 5}
{'短评内容': '酒店的服务很好，价格也可以，就是楼上一夜水声响不停，让人烦。', '短评打分': 5}
{'短评内容': '内部电器陈旧需要更新，其他蛮好。具体复旦等学校比较近，适合外地进修或考试人员入住', '短评打分': 5}
{'短评内容': '还不错 还蛮实惠 步行到地铁口需要10分钟 离复旦很近', '短评打分': 5}
{'短评内容': '高级大床房还可以的 个人还是觉得空间小 墙壁有裂开啦..整体来说还是比较满意 都是小问题', '短评打分': 5}
{'短评内容': '厕所不尽人意  小小 旧旧的  房间也比较小  不过有个阳台感觉还不错  ', '短评打分': 1}
{'短评内容': '性价比很高。', '短评打分': 3}
{'短评内容': '环境还算干净，交通比较便捷，靠近复旦，很方便，总体来说，性价比还是不错的。', '短评打分': 5}
{'短评内容': '就是前台服务差了点，太慢，还有房间隔音查了点，太吵', '短评打分': 5}
{'短评内容': '汉庭快捷酒店住了很多次了，上海复旦店住了两次。这次因为没有别的房型了住的是家庭房，是他店比较贵的房间，上海复旦店地处位置算是比较偏僻，比较安静，算是闹中取静吧，离复旦，同济都挺近的，很方便，住宿楼有两栋，7号楼和8号楼，前台在7号楼。我住的那间家庭房房间挺大的，不过空调有点响，不知道是不是比较老的缘故，热水不太热（这个不知道是不是天太冷的缘故）。不过总体来说还好，性价比很高。', '短评打分': 5}
{'短评内容': '整体环境很差，地板都是破洞。房间里的空调是坏的，服务人员的态度也不好。门上除了锁好一点，其他都是旧的，隔音效果很差。洗发水都凝结成块了，根本没法用。', '短评打分': 1}
{'短评内容': '1号楼环境超差，晚上有人敲门，而且房间很小，洗手间更小，虽然价格低廉，但付出的代价也很大', '短评打分': 1}
{'短评内容': '经济实惠，很干净。不错', '短评打分': 3}
{'短评内容': '环境很好～价格比较低～离复旦大概15分钟步行', '短评打分': 3}
{'短评内容': '酒店价位很实惠，吃东西也方便~~~~~~还不错。', '短评打分': 5}
{'短评内容': '离学校进，公交方便，但是过马路不方便,旁边有高架桥，旁边的翠花菜馆物美价廉', '短评打分': 5}
{'短评内容': '家庭房，很小，刚挤下两张床，一张床腿还是断的，太对不起这个价格了，不推荐入住，有点别骗的感觉', '短评打分': 1}
{'短评内容': '干净舒适～就是离复旦有点远', '短评打分': 3}
{'短评内容': '最主要离公司近，交通不是很方便，不过价钱挺实惠，也蛮干净的', '短评打分': 5}
{'短评内容': ' 很安静 很干净 整体感觉还不错', '短评打分': 3}
{'短评内容': '预订时看了网友的点评,有好的,有不好的,但由于在复旦皇冠假日酒店开会,那里没房了,汉庭是离皇冠最近的了,为了方便还是预订在这里了,我预订了两间高级大床房,登记时前台搞错了,说我只订了一间后又调整,所以时间较长,服务一般!不过进入房间还行,房间不大,但一个人住还行,卫生状况还不错.上网的网速也能接受,早餐不算丰富,但对我来说行了,有稀饭、油条、牛奶、馒头、鸡蛋等等就够了。关键这对得起这价格，在上海住', '短评打分': 5}
{'短评内容': '还好，继续努力', '短评打分': 3}
{'短评内容': '酒店比较幽静，离复旦比较近，要去复旦考试，顺便订的酒店。但房间内实在比较差劲，不过就一百多，还能怎么样呢？', '短评打分': 1}
{'短评内容': '汉庭阳台不错，室内干净，油画很有感觉，就是洗澡空间太小有点不方便。总体满意，以后有机会还会定', '短评打分': 3}
{'短评内容': '房间里覆盖的无线网信号很好，用来看视频一点都不卡的呢', '短评打分': 5}
{'短评内容': '房间挺干静的，服务态度挺好的，就是总有人从门缝扔按摩的卡片。', '短评打分': 3}
{'短评内容': '总体来说不错，服务态度很好，而且窗户的阳光很不错。', '短评打分': 5}
{'短评内容': '还好、有些房一般，不是很宽敞，有点小。地方在复旦附近。', '短评打分': 5}
{'短评内容': '交通方便，环境不错，但是过马路很麻烦因为有高架，前台态度很一般，离学校近', '短评打分': 5}
{'短评内容': '不知道是不是上海比较贵 感觉有点破 半夜还能听到奇怪的声音', '短评打分': 1}
{'短评内容': '环境还不错，但感觉浴室不是很干净。客服态度不错。只是不方便借吹风机。', '短评打分': 5}
{'短评内容': '房间干净,交通可,性价比高,下次还入住', '短评打分': 3}
{'短评内容': '酒店室内条件不怎么样，比我们之前在天津住的条件差远了，很失望', '短评打分': 1}
{'短评内容': '＋房间较小，公交方便，没有地铁', '短评打分': 3}
{'短评内容': '卫生还可以,但是没有台灯,不好看书,如果是考试的学员就不太好了', '短评打分': 5}
{'短评内容': '有无线宽带，很好，很方便。就是厕所设备旧了点，地理位置有点偏。', '短评打分': 5}
{'短评内容': '太吵了，隔音极其差，也不便宜。不推荐，不推荐。', '短评打分': 1}
{'短评内容': '预定房间方便快捷。但房间安排在一楼，不爽。最好能在预定时告知房间楼层', '短评打分': 3}
{'短评内容': '不错，离大学近，环境还行。在上海这样的价格很合适！', '短评打分': 5}
{'短评内容': '房间很好很大，都很舒服，设施很齐全，就是附近公交什么的不是很方便', '短评打分': 5}
{'短评内容': '房间好小', '短评打分': 3}
{'短评内容': '不错不错的。。交通方便。。。离复旦很近。。小街道很安静', '短评打分': 5}
{'短评内容': '地理位置不错，交通比较便利，环境也很安静，总体感觉还不错。', '短评打分': 5}
{'短评内容': '这家酒店最大的优势在于其地理位置，离复旦真的超级近！节日百元房真是物美价廉的典范，超值划算，房间内部条件也不错，拉开窗帘就有满满的阳光洒进来，连着住了三天，非常舒心。', '短评打分': 5}
{'短评内容': '这家酒店价格便宜，出行也很方便，离复旦不行10分钟路程，就是隔音差了点。', '短评打分': 5}
{'短评内容': '房间很干净 还有很大的玻璃门', '短评打分': 3}
{'短评内容': '复旦店的店员服务态度很好，也很周到细心，房间质量很不错，除了隔音效果一般，其他的都比想象中要好，是我住过性价比很高的酒店。下次还会选汉庭。', '短评打分': 5}
{'短评内容': '网上订的是137的，办理入住手续的时候前台在电脑上一通狂敲之后给我报了一个155的价格，我问不是137吗，服务员说了一句什么也没听到，然后跟我说500的押金，他们店里到处写满了选择他们的理由是不收押金，搞不清楚这是怎么回事，结账的时候跟我说吵了26分钟收取半天的房费，他也不想：我从他们的楼上走下来，然后在排队等这给我结账的时间也有20分钟了，竟然还一本正经的跟我说要收半天房费，我什么也没说，他就扭', '短评打分': 1}
{'短评内容': '酒店比较安静，总体不错，唯一的缺点就是住的地方离客房服务点很近，客房服务人员早上讲话声音太大，影响休息', '短评打分': 5}
{'短评内容': '服务比较好，环境还可以，关键是价位比较低。值得推荐！', '短评打分': 5}
{'短评内容': '离复旦大概15分钟路程，服务态度一般，但是方圆比较好的就是这家了，我感觉没有其他的汉庭好，冷气机有点吵，很少开。', '短评打分': 5}
{'短评内容': '地理位置偏了一点，店也日久失修的感觉，唯一的优点就是离大学算比较近。', '短评打分': 1}
{'短评内容': '酒店装修太简单', '短评打分': 3}
{'短评内容': '交通比较方便，早餐很不错，服务态度很好～唯一的不足就是房价隔音效果有点差', '短评打分': 5}
{'短评内容': '坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~坑爹~', '短评打分': 1}
{'短评内容': '环境不错，地段好。。。非常不错的选择，还有wifi', '短评打分': 5}
{'短评内容': '房间挺干净，在复旦旁边比较方便，性价比不错', '短评打分': 5}
{'短评内容': '条件还不错~楼下就是停车场~就是有时候声音有点吵~人走路说话的声音。', '短评打分': 5}
{'短评内容': '位置离复旦很近，价位合理经济，但是房间隔音效果不好，建议来时带好耳塞。', '短评打分': 5}
{'短评内容': '百元房没有汉庭其他的店好，房屋设施比较旧了，最受不了的是好多小蟑螂。。。。。。', '短评打分': 1}
{'短评内容': '＋很不错', '短评打分': 3}
{'短评内容': '有阳台~就是卫生间小了一点，楼下是停车场，不过还好，不是很吵。', '短评打分': 5}
{'短评内容': '因为纸质拖鞋会起毛，这家酒店很体贴地在收拾房间时换了新的拖鞋，好开心~\n房间整体蛮好，比较大。', '短评打分': 5}
{'短评内容': '整体感觉不错', '短评打分': 3}
{'短评内容': '我们住一楼比较吵,但是就经济型宾馆来说,服务不错!', '短评打分': 3}
{'短评内容': '酒店还好~就有的房间没有阳台，楼下是停车场，隔音不是很好。', '短评打分': 5}
{'短评内容': '房间住的还是比较舒服 ，商务大床就是2个单人床拼在一起 有些摇晃，其他还好 ', '短评打分': 5}
{'短评内容': '服务态度很好，价格也算公道，对于这个价位算是不错了，总之，十一好心情', '短评打分': 5}
{'短评内容': '楼层低了有点吵，其他都还好吧，比较推荐，节日特价房不错哦', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '免费升成了高级大床房，除了周边交通不便别的都还不错', '短评打分': 3}
{'短评内容': '服务热情，房间整洁，管理规范，不错，以后还会住。', '短评打分': 3}
{'短评内容': '环境绝对还行 我住的是节日百元房 大床房 离五角场两站公交的路程', '短评打分': 5}
{'短评内容': '房间有点小 马桶给坏了 一分钱一分货啊', '短评打分': 3}
{'短评内容': '划算的，一个人住住很适合，环境也还好！！设施是旧的，不过还干净!下次还会去吧', '短评打分': 5}
{'短评内容': '定的是百元房  环境不错 该有的设施都有 也挺干净 挺好的', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '环境不错，周边各项配套措施也很好，房间稍微小了点，不过价格公道，住住还是没什么问题的', '短评打分': 5}
{'短评内容': '离复旦、五角场近。大床房比较小，带阳台。前台服务好。', '短评打分': 5}
{'短评内容': '8号楼设施很差，完全不能叫高级大床房，应该对卫浴和电视机对更新了', '短评打分': 1}
{'短评内容': '还不错的 选它主要是位置不错 厕所空间有些局促 推荐青年族', '短评打分': 3}
{'短评内容': '价格实惠，并且那里的五谷茶特别香，让人耐人寻味！\n不过内部装修还需进一步改善！', '短评打分': 5}
{'短评内容': '价格还可以，设施有点跟不上', '短评打分': 3}
{'短评内容': '比我预期的要好些，因为先前看到网上评价有一些评价不高，但是实际入住后觉得还可以，虽然到的比较晚，拿到的是一楼的房间，但是晚上还是比较安静，睡眠质量很好。只是早上被外面打扫的一群阿姨的大嗓门吵醒，希望以后工作人员要多加注意。卫生情况还可以。出行很方便。', '短评打分': 5}
{'短评内容': '房价在上海来说算是很便宜，但是交通不是很方便，比较难找。空调的声音非常响，影响睡眠。浴室边的涂料都被水泡开了，离床又很近，看着会觉得不舒服。', '短评打分': 1}
{'短评内容': '离复旦很近', '短评打分': 3}
{'短评内容': '酒店设施很简陋，还不如好一点的宾馆，洗澡的花洒也是坏的，酒店的服务员也没有其他汉庭的专业热情，价格也不便宜，不推荐入住。', '短评打分': 1}
{'短评内容': '宽待还行，在酒店的东头有时信号太弱。服务也不错，有机会再住吧。还有网吧，都是免费的，用房卡可以进门，很方便的。', '短评打分': 5}
{'短评内容': '还不错吧，不过有点问题是，如果有汉庭的券可以更便宜。旧了一点，卫生的挡水布发霉了都没换下来，有点过不去。好在价格比较实惠，也能上网，虽然网速只有50K的下载速度。', '短评打分': 5}
{'短评内容': '室内整洁干净，空调热水都好，一切都好。性价比很高，就是早上的自助餐（15元）有点不值，饼是外面买来的，建议大家到外面吃，住宿选择还是不错的。。', '短评打分': 5}
{'短评内容': '酒店房间很一般！', '短评打分': 3}
{'短评内容': '太旧了，性价比不高。太旧了，性价比不高。太旧了，性价比不高。太旧了，性价比不高。太旧了，性价比不高。太旧了，性价比不高。', '短评打分': 1}
{'短评内容': '已住', '短评打分': 3}
{'短评内容': '地上全是色情卡片！晚上还看到有两男人在派！太不安全了！感觉汉庭和锦江之星差太多了！以后都不会再选择这家！墙上还多霉点！', '短评打分': 1}
{'短评内容': '性价比不错的酒店！房间还可以，设施有些老，只是隔音太差，如果碰到隔壁喜欢夜生活的就睡不好了，另外门外塞卡片的太多！酒店位置也不错！', '短评打分': 5}
{'短评内容': '这家店以后不能住了，服务态度很差，待理不理的，好像要求她施舍似的，新开房的房卡信息是别的房间的，简直不可思议，在大上海会有这样的店，还是汉庭呢！', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间设施还满意,会推荐给朋友', '短评打分': 3}
{'短评内容': '真的很烂的一家酒店，设施都很陈旧， 墙上都是霉点， 一进门， 地上全是色情场所的名片， 简直是糟糕', '短评打分': 1}
{'短评内容': '不错，要是空间再大些就更好了\n价格比较实惠', '短评打分': 5}
{'短评内容': '挺干净的，虽然房间有点小，隔音也还OK，以后还会考虑入住的。\n免费给升级到了豪华大床房，本来定的是大床房', '短评打分': 5}
{'短评内容': '怎么和其他的汉庭不同，感觉差距很大，不像是同一品牌', '短评打分': 1}
{'短评内容': '不错，还可以！以后出差可以推荐给朋友们。', '短评打分': 5}
{'短评内容': 'reasonable price, clean , simple, convenient transmission.', '短评打分': 5}
{'短评内容': '整体不错，有停车位。房间只有一瓶水，找服务员可以加一瓶。接待厅免费饮料没水，所以喝不了。房间有宽带，但是没有鼠标垫，有线电视只有十几个台，基本上没有电影频道。', '短评打分': 5}
{'短评内容': '第一层的房间有点潮湿，还算干净，收费有点高，但是服务不错，大堂还有咖啡和电脑，推荐。', '短评打分': 5}
{'短评内容': '周围的氛围很好周围的氛围很好周围的氛围很好周围的氛围很好周围的氛围很好', '短评打分': 5}
{'短评内容': '还是挺舒适的不错不错！下次若去上海还会去那里', '短评打分': 5}
{'短评内容': '不错，很干净，便宜实惠，房间大，非常适合工薪阶层住。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '前台都很热情洋溢，价格实惠离复旦很近。一楼房间潮气太重尽量别选择。', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '  位置比较偏，消费不是很贵，周围还可以，服务态度不是很好。', '短评打分': 5}
{'短评内容': '住宿和服务都不错,价格也合适.去五角场买东西也很方便', '短评打分': 5}
{'短评内容': '位置好，服务好，房间小.淋浴水小。安静。', '短评打分': 5}
{'短评内容': '隔音效果比较差~~交通不方便~~~适合关注价格的朋友。', '短评打分': 1}
{'短评内容': '价格方面经济实惠，交通也便利。在复旦大学边上~', '短评打分': 5}
{'短评内容': '入住办理的很快，离复旦大学很近', '短评打分': 3}
{'短评内容': '设施可以还过得去', '短评打分': 3}
{'短评内容': '离上海财大很近，交通方便，条件还行吧，一般标间', '短评打分': 5}
{'短评内容': '感觉不错。', '短评打分': 3}
{'短评内容': '酒店前台服务态度极差,好象一共有好几栋楼也不说清楚是哪一栋,害我们跑上跑下好几次,安全性也有很大问题,刚如住就有不三不四的人来敲门还从门缝里塞进来淫秽卡片,总之感觉非常不好!', '短评打分': 1}
{'短评内容': '一直住在这里，离复旦很近，周边设施也很齐全，屋子很干净，很静', '短评打分': 5}
{'短评内容': '环境 服务都不错，周围也有很多小吃。\n就是底楼早间有些吵闹，会打扰到休息，隔音效果有待提高', '短评打分': 5}
{'短评内容': '较为老旧的汉庭，准确的说，是汉庭管理的一家三星级招待所，距离复旦和同济位置适中，这点值得推荐。', '短评打分': 5}
{'短评内容': '还可以啊！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '舒适干净环境很好', '短评打分': 3}
{'短评内容': '\n好', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '房間很舒服 大小適中 服務態度也很好', '短评打分': 3}
{'短评内容': '很实惠的酒店，感觉都不错~~~~~赞！!!!!!!!!!', '短评打分': 5}
{'短评内容': '价位真的很合适，地点也不错。感觉挺好的。', '短评打分': 5}
{'短评内容': '价格很实惠，总体感觉挺不错。 建议：卫生间可以再干净点~ 空调稍微有点吵，电视机希望换个新的~', '短评打分': 5}
{'短评内容': '很不错的环境，喜欢这次的入住感觉~~~~', '短评打分': 5}
{'短评内容': '酒店太陈旧了，墙上的裂缝都很长，不知道酒店管理人员怎么想的。', '短评打分': 1}
{'短评内容': '刚开始的那家房间味道特别臭，我让阿姨过来打扫一下，她说帮我喷一喷空气清新剂，我说好，结果她往地下喷了几下，我觉得不对（正常应该往空气中喷），在她出门的时候居然发现她手里拿的是“雷达”..杀虫水喷了后直接把我困在屋里好像不合适吧？太不诚实了...然后让前台帮我换个房间，结果发现原来同样房价的房间配置还有不一样的，真是坑爹。房间隔音很差，这是连锁酒店的通病，很多人讲话的声音是从卫生间通风机传出来的。洗', '短评打分': 1}
{'短评内容': '离开复旦还是有点距离的，不过性价比很高，值得推荐爱你', '短评打分': 5}
{'短评内容': '离复旦很近，，很方便，，但是也太旧了吧，，是我住过最旧的汉庭', '短评打分': 5}
{'短评内容': '住的是高级大床房,周围挺好的,很安静。就是卫生间太小,没有门。一进门就是洗脸池。不过总体来说性价比高。', '短评打分': 3}
{'短评内容': '一般般，价格便宜，但服务不太好，主要是早晨退房需要等好长时间，我看到有人等40分钟以上的。', '短评打分': 5}
{'短评内容': '还不错哦！', '短评打分': 3}
{'短评内容': '桌子下面有灰, 不干净,空调不摆叶,早晨8:00退房时,没有发票,还要下午特意去拿.\n不会去了', '短评打分': 1}
{'短评内容': '很干净，住的不错', '短评打分': 3}
{'短评内容': '前台接待人员服务态度差，接待人员诚信度低。\n酒店环境差，不推荐大家以后入住。', '短评打分': 1}
{'短评内容': '房间设施很差, 服务也很差, 每天和没有打扫过一样. 汉庭有很多, 但不建议是这一家.', '短评打分': 1}
{'短评内容': '环境不错，交通也挺方便，对面就直接是复旦了。服务算普通吧，也不能说太好，有些我问的问题并不是很诚恳地回答，前后矛盾，但整体感觉不错，应该还会选择这家。', '短评打分': 5}
{'短评内容': '条件还可以,和价格比较符合.就是会有发淫秽广告的比较扰民', '短评打分': 5}
{'短评内容': '还不错,就是房间小了点。', '短评打分': 3}
{'短评内容': '有阳台，房间很干净宽敞，通风和采光都很好\n', '短评打分': 5}
{'短评内容': '有阳台，房间很干净宽敞，通风和采光都很好', '短评打分': 5}
{'短评内容': '条件不错', '短评打分': 3}
{'短评内容': '隔音不好，走廊的声音很大，位置还行，离五角场很近', '短评打分': 5}
