{'descr': '整体还不错，蛮好的，推荐。。。干净，房间不大', 'star': 5}
{'descr': '打印吃饭啥的还比较方便，服务员态度还不错，在院子里面，比较安静，虽然第一次来有点不好找', 'star': 5}
{'descr': '交通方便，就在地铁口。午餐有提供小炒，比较方便。不过没有晚餐供应，周围也没啥吃饭的，得走上一段。', 'star': 5}
{'descr': '很好，卫生条件、服务、我很满意，我会向朋友推荐如家酒店，如果有机会，还会入住如家，入住如家，如同到家！', 'star': 5}
{'descr': '酒店位置有点隐蔽，不过房间还可以，干净卫生，交通便利，推荐入住。', 'star': 3}
{'descr': '感觉很温馨,值得推荐!', 'star': 3}
{'descr': '住宿条件很一般服务态度也一般酒店内是否提供些什么无偿和有偿服务都不告知办理退房手续速度真是忒不敢发表总之一般的很', 'star': 3}
{'descr': '前台服务态度差,房间还可以', 'star': 3}
{'descr': '感觉还不错，就是有点小', 'star': 3}
{'descr': '酒店一般哟，房间通风不太好，卫生间臭。\n订火车票不太方便，给了一个电话，送票老贵了，要35一张手续费', 'star': 1}
{'descr': '住宿条件还不错 交通也挺方便的 还行吧 这个 ', 'star': 5}
{'descr': '酒店离地铁口很近，出了地铁口2分钟就到很方便，也很安静，就是床垫不舒服乱动没有固定', 'star': 5}
{'descr': '离地铁很近，很方便，我每次到北京都住在这里', 'star': 5}
{'descr': ' 酒店位置很好，交通方便，非常安静，服务态度不错。', 'star': 3}
{'descr': '十房间干净，设施还行。', 'star': 3}
{'descr': '酒店环境好，比较安静，酒店的标志不明显，有点不好找。', 'star': 3}
{'descr': '交通比较方便，去环球办事可以住。离地铁出口近', 'star': 5}
{'descr': '1 屋内环境只能说是80分钟 如家连锁都那样\n2 人员不错，90分\n3 屋外环境 60分钟  奶奶滴这家店正在装修 我14点正好入住 想先好好睡一觉，MD，就听到次拉次啦的电锯声，一直持续到下午5点 貌似在切割地砖\no(︶︿︶)o 唉总体来说这次入住 70分就不错了', 'star': 1}
{'descr': '房价很好', 'star': 3}
{'descr': '位置不错，就在地铁旁边。员工看见客人都有打招呼；房间略小，隔音差，但是对的起这价格了', 'star': 3}
{'descr': '房间不错，就是隔音不太好', 'star': 3}
{'descr': '服务很好，离地铁口很近，出行方便。房间设施简单，感觉性价比不够高', 'star': 5}
{'descr': '如家在众多酒店的口碑还是非常不错的，在和平西桥这儿交通方便，而且周边比较安静，大床房很舒服，值得推荐！', 'star': 5}
{'descr': '地理位置好，周边生活方便，房间干净整洁，服务态度好', 'star': 5}
{'descr': '临近地铁，交通非常方便。只是内部陈设有些简陋。', 'star': 5}
{'descr': '设施有些旧了，现在不提供晚餐，稍有不便。交通方便，就是地铁口。', 'star': 5}
{'descr': '总体还可以，室内陈设简单了点，淋浴漏水，下水不畅。', 'star': 5}
{'descr': '该酒店地理位置好,交通方便,紧邻地铁5号线和平西桥站.停车也方便.酒店干净卫生,服务好.', 'star': 5}
{'descr': '各方便均不错。本次也是我推荐我的朋友入住的。', 'star': 5}
{'descr': '很好啊我一直选择这里，交通方便又安静，周围吃饭的地方也多，很喜欢', 'star': 5}
{'descr': '服务不错，地点也很方便，紧靠地铁，房间稍小，但配置还是比较齐全的！', 'star': 5}
{'descr': '价和酒店不符合.房间小,条件一般.200可能更合理.', 'star': 1}
{'descr': '位置好，交通方便，安静。。。', 'star': 3}
{'descr': '离地铁站很近，很方便。下次去还住这里。。。', 'star': 5}
{'descr': '停车和坐地铁都很方便，环境也算安静，服务也不错，房间有电脑，只是房间相对有点小', 'star': 5}
{'descr': '比较安静，停车方便，坐地铁也方便，房间内有电脑，不错', 'star': 5}
{'descr': '不错．方便舒适．', 'star': 3}
{'descr': '工作有疏漏哦~在这么紧张的订房期，居然把我们的定单遗漏了，没给预留~凌晨到店的，挤在10多人的员工宿舍里苦熬一夜~悲催呀！！！', 'star': 1}
{'descr': '房间有点小，洗手间也小，不过还可以，不像别人评论的那么差', 'star': 3}
{'descr': '入住', 'star': 3}
{'descr': '体现了方便、快捷、与之别的大酒店相比，节省了费用,比较经济适用.', 'star': 5}
{'descr': '前台服务态度不理想', 'star': 3}
{'descr': '要求预留到凌晨2:00的2个房间居然没留~两个男人挤一张大床睡了~偶被安排到员工宿舍了,郁闷呀~一夜未眠,熬到5:00逃出来了.55555~~~~~~~~~~~~~~~~~~', 'star': 1}
{'descr': '挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的', 'star': 5}
{'descr': ' 挺好的。离地铁比较近。很方便。房间很安静', 'star': 5}
{'descr': '酒店地理位置好，比较干净，就是房间有点小，服务一般。', 'star': 5}
{'descr': '房间很温馨满意', 'star': 3}
{'descr': '地理位置不错，但餐厅的服务速度太慢，走廊的卫生还需要加强!', 'star': 1}
{'descr': '整体不错，不过早餐领餐劵有些繁琐。早上结账有时前台人员偏少。', 'star': 5}
{'descr': '位置不错，地铁公交都很方便，房间大很干净，户外安静，就是楼内隔音较差。一楼还有餐厅，方便但贵。外面附近没什么吃的地方。', 'star': 5}
{'descr': '房间干净卫生，虽然比想象中的小一点，但是在北京真的不错了，前台也很热情周到，', 'star': 5}
{'descr': '很安静，出行很方便，就在地铁口旁、、不错，值得再去。。', 'star': 5}
{'descr': '很好，环境挺好！', 'star': 3}
{'descr': '安静舒适，服务周到，房间的隔音差了一点。另外最好房间预备点袋泡茶，商务房应该备的', 'star': 5}
{'descr': '＋很满意', 'star': 3}
{'descr': '住过两次了，总的感觉还算不错，电吹风可到前台去借。只是这一次结账时没有发票，要等以后再寄。', 'star': 5}
{'descr': '服务很好，交通方便。', 'star': 3}
{'descr': '位置很方便，也很干净，环境也不错，安静。有朋友来一直定这里。', 'star': 5}
{'descr': '和平西桥地铁出口院里就是，可以免费停车。房间不错，一直是如家的风格。', 'star': 5}
{'descr': '住个外地几次如家，这次是最不喜欢的，吵，没什么服务，要包火柴，告诉我没有，有火机，自己下来买，两块，我觉得如家穷疯了！', 'star': 1}
{'descr': '这家分店的门面并不是对着大马路，所以稍稍有点难找，不过他们家标志性的亮黄色外墙倒是非常容易辨别。不靠马路带来的好处就是非常安静，让住客可以安心一觉睡到天亮。\n\n粉红的墙壁配淡绿色的床单，感觉倒也挺和谐的，而且房间宽敞的。尤其让我觉得满意的是盥洗室的花洒，出水很大很“饱满”。每天免费送2瓶矿泉水也很贴心，不过要是再多一盏顶灯就更加完美了。\n\n最后要特别提一下的是，这家店的服务员很好很热心，不管是re', 'star': 5}
{'descr': '已入住', 'star': 3}
{'descr': '总体感觉还可以，就是位置稍微难找了一些。周围没有什么超市之类的。', 'star': 5}
{'descr': '此酒店都是老牌了，全国各地都有连锁，大家反应都不错，体验之后确实感觉挺好！\n', 'star': 5}
{'descr': '地理位置优势,紧临地铁站,房间隔音不太好.', 'star': 5}
{'descr': '自供暖：充满寒意的深秋，一进屋就感到温暖。\n床：舒适。\n网管：非常热情，帮忙重装系统。\n餐厅：早餐15元/人，中餐还算丰富，西餐太素了。午餐和晚餐可点餐，川菜为主，味道不错，经济实惠。\n三楼楼道，不知道是什么原因，有股呛人气味。难道新装修？\n服务：没有电吹风，不是不借，说根本就没有。但服务条款上说可以借呀。\n洗漱用具：很环保，要是不用可换会员积分，但双人间就给一把梳子，实在不能理解。', 'star': 5}
{'descr': '   不错很干净就是停车不便', 'star': 3}
{'descr': '住宿状况如其他如家，房间紧凑；此店最大的便利是交通，出门2分钟可到地铁站，很方便。', 'star': 3}
{'descr': '房间很小，没有什么设施可言\r\n院子的环境还可以', 'star': 1}
{'descr': '主要亮点是离地铁非常近，其他就和别的如家差不多了', 'star': 5}
{'descr': ' 服务很满意', 'star': 5}
{'descr': '很方便的酒店，乘坐地铁出行非常的方便，推荐', 'star': 3}
{'descr': '    位置十分方便,地铁站D出口,右前方就是.从酒店坐地铁去鸟巢20分钟,去王府井25分钟.\r\n    开了窗的话略有点吵,晚上还安静的.房间很小,布置和家里的书房差不多,但设施齐备.对于这个价格和位置来说,性价比算高了.\r\n    周边没有小餐馆,地铁口也没有小卖店和超市,酒店的自助早餐15元/位,中式的,还不错.最好在外面吃了,买够了东西再回来.', 'star': 5}
{'descr': '位置好,交通方便，服务态度也不错。最好能在大厅配置一张大点的北京交通图。', 'star': 5}
{'descr': '地理位置好,交通方便;设施简单;房间服务员态度非常好!早餐太单调了.总体来说还不错.', 'star': 5}
{'descr': '位置不错，出行方便，地铁五号线可方便到北京各大景点。', 'star': 5}
{'descr': '总体一般，隔音不好，隔壁呼噜声此起彼伏，晚上都过十二点了也不知是客人还是服务员还在大声聊天，不时传来女同志咯咯的笑声，应进一步加强管理。地理位置可以，挺方便。', 'star': 5}
{'descr': '出行方便，住宿条件还基本满意，设施和饮食有待加强。', 'star': 5}
{'descr': '位置非常好，离地铁走路一分钟，而且很安静，出门最怕休息不好，我带着孩子和老妈住的双人间 的房子，房子很大，打扫卫生的服务员态度不错，前台的态度一般，不过还是推荐。', 'star': 3}
{'descr': '卫生尚可 位置好 交通便利 房间隔音差 此乃如家的通病', 'star': 3}
{'descr': '还不错，房子比较安静，离地铁很近，打扫卫生的一位河北口音的服务员很热心。', 'star': 5}
{'descr': '洒店交通方便，只是卫生间有味', 'star': 5}
{'descr': '总体不错，去北京经常住这家酒店的。。。', 'star': 5}
{'descr': '住了一下，感觉交通方便，地铁就在门口，环境也行，服务周到', 'star': 3}
{'descr': '最大的优点是交通方便', 'star': 5}
{'descr': '性价比不高！', 'star': 1}
{'descr': '房间小有点过了 价格也高 附近的其他商务酒店有很多价格比这低  不过这里交通很方便  晚上也很安静 ', 'star': 1}
{'descr': '总的来说性价比好的，下次还住', 'star': 5}
{'descr': '服务员在旁边或楼上的房间打扫时声音相当大，影响休息；酒店位置离和平西地铁站不到100米，交通方便。', 'star': 1}
{'descr': '地理位置很好，附近饭店挺多，很方便。只是单间太少，经常订不上。', 'star': 5}
{'descr': '房间隔音较差', 'star': 5}
{'descr': '电视频道少了点，网速慢，性价比还可以', 'star': 5}
{'descr': '地理位置很难找', 'star': 1}
{'descr': '地铁近在咫尺，车位多。冷热水无标示需改进。', 'star': 5}
{'descr': '地点不错 ', 'star': 5}
{'descr': '离地铁站很近，房间整体还是挺干净的，但卫生间常有异味和网速非常慢，而电视可以选择的频道也较少，价格稍贵了一点，不过总体来说还是不错的', 'star': 5}
{'descr': '位置很好，就在地铁出口处，价格相比其他如家稍贵。三月份入住较冷，卫生状况还不错。', 'star': 1}
{'descr': '服务不错，交通不太方便', 'star': 5}
{'descr': '建议住5层，3层的服务员收拾房间的速度太慢！！！收拾一间房要40分钟！！！', 'star': 5}
{'descr': '位置很好，出门就是地铁站，很方便。但预定时说是10点以前给我保留房间，但我9：30到达酒店时，客房还没腾出来。', 'star': 5}
{'descr': '位置不错，5号线地铁附近！', 'star': 5}
{'descr': '位置不错，很容易到，房间较小，照明不佳，总体性价比一般', 'star': 5}
{'descr': '房间略小，但是卫生程度可以。地理位置很方便，推荐。', 'star': 5}
{'descr': '和网上描述不附', 'star': 1}
{'descr': '房间很大，位置很好，价格适中。唯一早餐有点单调。', 'star': 5}
{'descr': '环境安静，出入方便，就是房间内有潮味儿，总体还行。', 'star': 3}
{'descr': '出入挺方便的，紧邻地铁5号线和平西桥站D出口，先入住的商务房间潮味比较大，换房后好一些，卫生间比较小，总体感觉还好吧！', 'star': 5}
{'descr': '位置比较好，就在和平西桥南边一点；酒店在院子里，比较安静，房间面积也比一般商务酒店稍大，感觉不错。早餐不算贵也不算好吃，旁边不远有宏状元，也算多一个选择。\n总的来说是推荐啦，顺便一说，附近就有华星影院，晚上去看个电影还是超方便的', 'star': 5}
{'descr': '总体感觉非常好！', 'star': 5}
{'descr': '很满意！', 'star': 5}
{'descr': '房间是同名酒店中比较大的，价格也相对合理，环境蛮好。', 'star': 5}
{'descr': '没有电吹风', 'star': 5}
{'descr': '总体上讲,这家酒店很好.', 'star': 5}
{'descr': '服务态度好，性价比也好，交通方便，下次还住。', 'star': 3}
{'descr': '总的来说性价比不错的，下次还会住。', 'star': 5}
{'descr': '我覺得地點很好,不過設施有點老舊,隔音非常之差,', 'star': 1}
{'descr': '喜欢商务大房，价格偏高！', 'star': 5}
{'descr': '酒店环境全国都差不多，比较理想。酒店交通很方便离地铁很近，出门步行几分钟就到。酒店出门口右手边有家山西馆做面食棒，酒店一楼餐厅家常菜也不错。', 'star': 5}
{'descr': '服务好，房间环境好，隔音效果较差！', 'star': 3}
{'descr': '我家是因为装修刷漆，临时在附近的宾馆住了一晚，前台的服务员态度一般，说不上好或者不好。\r\n\r\n地理位置还是不错的，就是房间太小了，我们住的是普通的大床房，除了床边四周有一点位置，其他没有地方了，厕所还可以。\r\n\r\n房间的隔音好像不是很好。', 'star': 5}
{'descr': '服务态度很好，室内环境也不错，只是房间隔音效果不太好！', 'star': 5}
{'descr': '前台男服务生没有礼貌，跟客人争吵并动手', 'star': 5}
{'descr': '房间太小了，比想象的还要小，而且没有窗户\r\n', 'star': 1}
{'descr': '酒店比较吵，也没有服务员管理，这点很不好，其他方面还不错\n', 'star': 3}
{'descr': '酒店的位置还是蛮不错的，靠近地铁交通蛮方便的，就是餐馆少了点，吃饭不太方便，住宿条件还是蛮不错的，价格方面也比较合适的。', 'star': 5}
{'descr': '地铁就在旁边，三分钟以内就能走过去了，服务也都还很好，就是价位偏高', 'star': 5}
{'descr': '酒店的服务，价格都比较不错，而且感觉挺干净，舒服的。', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
