{'短评内容': '整体还行，不过被如家收了，不知道涨不涨价！', '短评打分': 5}
{'短评内容': '酒店位置比较好，交通方便，就是早餐差了点，房间也比较小，凳子都不好放。', '短评打分': 5}
{'短评内容': '挺干净的。离市中心很近，去车站什么的门口就有公交。', '短评打分': 3}
{'短评内容': '房间不错，早餐不是很好，吃的不太好，没有停车场，但是给报销停车费还是不错的。', '短评打分': 5}
{'短评内容': '各方面都非常的好~ 就是隔音效果非常的不好！', '短评打分': 5}
{'短评内容': '很干净 房价也很大 关键是价格也很合理 是不是只在安徽有啊！', '短评打分': 5}
{'短评内容': '总体感觉不错.', '短评打分': 3}
{'短评内容': '还可以，早餐比较丰盛，房间还行。卫生也不错', '短评打分': 5}
{'短评内容': '还不错。住的还蛮舒服的\n早餐品种不太多，不过也还好了。\n前台也蛮敬业的。不过打扫的阿姨太勤劳了。我很是无语。。', '短评打分': 5}
{'短评内容': '房间小，床及用品舒服。位置也很好，周边商场、步行街都很近。早餐也还比较厚道，不过勾兑豆浆和果汁味道很淡', '短评打分': 5}
{'短评内容': '环境不错，就是外面吵点', '短评打分': 3}
{'短评内容': '如果离店能够延迟到1点才好...我是12点10分退房的 还要我算半天的钱..后来值班经理才免掉的 ', '短评打分': 5}
{'短评内容': '比较温馨。早餐还不错，房间价格合理。卫生也不错。', '短评打分': 5}
{'短评内容': '在市中心 出门方便 价格优惠 免费自助早餐也不错 ', '短评打分': 5}
{'短评内容': '从火车站打车六块钱到酒店。地理位置也不错。很温馨。', '短评打分': 5}
{'短评内容': '大床间太小，房间设施简陋，卫生间的洗漱用品让人失望。', '短评打分': 1}
{'短评内容': '总体还不错。位置在市中心。服务态度也不错。', '短评打分': 5}
{'短评内容': '离火车站汽车站市中心都很近 条件还不错 就是很典型的快捷酒店', '短评打分': 5}
{'短评内容': '还不错，房间有点小。靠近马路，有点吵。不过还可以', '短评打分': 5}
{'短评内容': '还行吧，就是设施有点陈旧了。服务基本上能通知到，也能快速处理。', '短评打分': 5}
{'短评内容': '真的不是很好，房间很小，不值那个价！以后不会去e家啦～这么小的房间应该便宜点 的 ～不过服务态度还不错～～', '短评打分': 1}
{'短评内容': '酒店不错，就是在路边，比较吵，配送的自助早餐还不错。', '短评打分': 5}
{'短评内容': '较干净。服务态度热情。 ', '短评打分': 3}
{'短评内容': '服务态度不错，酒店卫生也比较满意，交通比较便利', '短评打分': 3}
{'短评内容': '一、房间比较新，却没有蚌埠如家的大。\n二、靠在淮河路边，即使装了双层玻璃深夜还是能听见外面嘈杂声。\n三、免费早餐，没有其他的E家门店丰富且感觉没那么卫生。\n四、没有餐厅，吃饭必须出去。', '短评打分': 1}
{'短评内容': '不怎么好  下次不会去  除了床上的被子花纹很温馨以外  其他的没有丝毫的给我留恋和喜欢  房间小 布局差  交通不', '短评打分': 1}
{'短评内容': '住宿方便，交通位置也比较好。位于市中心地区，边上就是小吃和步行街。下次来还是会选择这里', '短评打分': 5}
{'短评内容': '感觉不是太好 比如家7天要差一档', '短评打分': 3}
{'短评内容': '不咋地 就带个早餐 ', '短评打分': 1}
{'短评内容': '简单舒适,服务态度很好.\r\n', '短评打分': 5}
{'短评内容': '出差去的，房间不是很宽敞，其他方面，都过得去', '短评打分': 5}
{'短评内容': '酒店的网速不错，不像有些酒店那么慢，并且还是免费的哦，很适合商务住宿', '短评打分': 5}
{'短评内容': '酒店的一些用品就像如家那样，用颜色分开，比如喝水的杯子，和洗漱用的毛巾，和浴巾就是用颜色分开的', '短评打分': 5}
{'短评内容': '我去的时候酒店装修没多久，真个酒店装修的还算不错，但是可能因为新装修的事多少有些味道', '短评打分': 5}
{'短评内容': '酒店的服务员大多都是年轻人，很有干劲，效率很高，反应也很快，并且服务很是周到', '短评打分': 5}
{'短评内容': '服务质量不错，帮我们订票，而且还帮我们提行李，很热情，而且酒店的卫生做的也是不错的，很干净整洁', '短评打分': 5}
{'短评内容': '不错的酒店，房间宽敞，选址也很好就在火车站旁边，挺方便的，而且价格也是很便宜，性价比很高', '短评打分': 5}
