{'短评内容': '在京东定酒店真的很便宜，这里很划算，含四张温泉票呢', '短评打分': 5}
{'短评内容': '好，服务来不及', '短评打分': 3}
{'短评内容': '早餐很丰富，送两张微韵表演门票，凭房卡去温泉还能优惠30元，房间都蛮新的，不过就是有点生硬，没什么特别新颖或者有创意的地方，离五星级还差点。服务还可以。', '短评打分': 5}
{'短评内容': '送了温泉券，很值~可惜房间空调不给力，其他还可以', '短评打分': 5}
{'短评内容': '酒店感觉不错', '短评打分': 3}
{'短评内容': '带着好心情来的，我问酒店大堂左边位置一个穿深色制服的女服务人员有没有火柴，没想到她态度很不耐烦的说没有，我又问她那哪里有，她竟然说我搞不清，难道你不是华美达的工作人员吗，连火柴都不知道在什么位置你还清楚什么。后来还是门童告诉我们在总台有。从这点小事都办不好搞的客人一肚子不爽一点心情都没有了，广告说到华美达剩下的一切交给我们，无语。我们是来泡温泉来享受的不是来受气的，我住过很多酒店这是服务态度最差的', '短评打分': 1}
{'短评内容': '堂堂华美达品牌的酒店，又是开在这样的旅游景点，真的是有点败坏华美达的名声。房间总体还过得去，但是服务太差，前台服务员一句礼貌用语都没有，连句欢迎和谢谢都没有，更是连一点笑容都没有。结账速度非常慢。要不是旁边有个不错的温泉估计没人愿意住这', '短评打分': 1}
{'短评内容': '酒店还可以的 本来定的大床房 因为房间不够 酒店免费升级为套房了 服务非常到位 ', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 3}
{'短评内容': '我住的房间空调是坏的，晚上关上门窗还能闻到装修的味道。', '短评打分': 1}
{'短评内容': ' 环境比较安静', '短评打分': 3}
{'短评内容': '酒店位置离市区有点远，适合自驾，离醉温泉步行约15分钟。房间宽敞洁净舒适，符合RAMADA连锁酒店的标准。但是前台服务员不够热情，餐厅就更是如此了。因为去时正值黄金周，早餐时一个餐厅满了，被安排到另一餐厅，于是食物品种和数量都不如前一个餐厅，补充餐点和清理桌面的速度也很慢。一句话，硬件还不错，服务和管理需要跟进。', '短评打分': 5}
{'短评内容': '住酒店泡温泉，感觉很好。就是早餐不怎么样', '短评打分': 5}
{'短评内容': '酒店的餐厅食物太差，吃了拉肚子，营业时间不够人性化，才20:30就没饭吃，没有24小时送餐服务，服务态度不好，食物未煮熟~', '短评打分': 1}
{'短评内容': ' 房间很宽敞干净，设施很新，早餐也挺丰富。不过不太好找，自驾更方便些。总之这个酒店性价比还是挺高的，值得推荐！', '短评打分': 3}
{'短评内容': '网络很卡，基本不能用；\n早餐很多是冷的，如炒面等，不是很好；\n去温泉有电瓶车，回来好象没有，不象宣传的是接送；\n前台很忙，忙得连一丝笑容也没有，门童倒的还不错。', '短评打分': 5}
{'短评内容': '酒店位置好，交通非常便利，旅游度假非常合适。', '短评打分': 5}
{'短评内容': '酒店离市区有点距离，下高速右拐就到，房间设施还行，早餐比较不错', '短评打分': 5}
{'短评内容': '酒店房间还行，但是房间有味道，早餐丰富，温泉还可以。', '短评打分': 5}
{'短评内容': '酒店设施还比较新，豪华大床房也很宽敞。醉温泉晚上去泡的，池子很多，人也很多。有不少团队的好像。还有恶俗的表演，建议取消。', '短评打分': 3}
{'短评内容': '一如既往的好，下次还选择入住', '短评打分': 3}
{'短评内容': '预订的标房，免费升级为套房，超值。环境服务超好，很不错的酒店。', '短评打分': 5}
{'短评内容': '酒店硬件还是不错的，离市区其实也不远，但是打车的师傅一般都不愿意打表。另外酒店的管理水平还需要进一步改进，早餐高峰时段有点混乱啊。\n\n', '短评打分': 5}
{'短评内容': '服务态度好，房间干净整洁，位置不错，离温泉等不远！', '短评打分': 3}
{'短评内容': '干净舒适，服务态度很好，房间内部很豪华，这个价格物有所值。', '短评打分': 5}
{'短评内容': '非常好的酒店，环境好，服务好，醉温泉非常迷人和舒服。酒店的设施令人感满意，2楼的饭菜很好吃，下次还回来。', '短评打分': 5}
{'短评内容': 'Never thought a four-star hotel without any food in the room. But fortunately I take some cookies with me. However, this is a very unpleasant experience.', '短评打分': 1}
{'短评内容': '虽然是四星的,里面居然没有迷你吧,更不用说冰箱了,离街上又远,只能到餐厅订餐,服务员的态度根本不像是一个星级酒店出来的.当时进去时,有一大堆的服务员在一起嘻闹,一见客人进门都盯着你看,但没有一个人主动招呼.极不礼貌.前台态度也不咋地.', '短评打分': 1}
{'短评内容': '不错的酒店，环境不错，离醉温泉很近，步行5分钟就到，酒店门口也有免费电瓶车到温泉', '短评打分': 5}
{'短评内容': '华美达酒店特别好，服务好，餐饮（包括自助早餐）很好吃，网络速度快，送的温泉卷也很好，温泉很不错，酒店还很干净、安静，总体来说，如果再加一个游泳池，就完全算得上5星级！！', '短评打分': 5}
{'短评内容': ',谢谢', '短评打分': 3}
{'短评内容': '房间很新，很不错，下次还会再入住的。温泉也很好的。', '短评打分': 5}
{'短评内容': '酒店房间设施很新，服务也很好。酒店的早餐和中餐味道不错。定的是带温泉的套票，爬完山泡个温泉很不错吗，温泉也很好，尤其是室外的。酒店不在市中心，但是周围环境很好，很安静。到市区打车十多块钱。', '短评打分': 5}
{'短评内容': '黄山地区的空气很好。酒店确实不错，宽敞，房价中含两张温泉票及双早，很值。', '短评打分': 5}
{'短评内容': '安静，舒适，印象很好，物超所值，下次还会入住。', '短评打分': 5}
{'短评内容': '非常的舒适，喜欢大床和大浴缸，环境也十分的干净，就是电视有点小。。。', '短评打分': 5}
{'短评内容': '酒店和温泉都不错，就是交通不大方便，自驾游的很合算～', '短评打分': 5}
{'短评内容': '赞，服务、温泉都不错', '短评打分': 3}
{'短评内容': ' 离新安江近  服务不错  能便宜点就好了', '短评打分': 3}
{'短评内容': '周边环境很好，房间宽敞，可看到窗外的山水景色，住的舒服。', '短评打分': 3}
{'短评内容': '酒店服务很到位，距离屯溪老街又很近，环境很安静，从黄山下来泡泡温泉，非常解乏，我已经来了多次了，推荐！', '短评打分': 5}
{'短评内容': '房價是四星的價格但房間環境真是令人不敢領教。壁紙脫落或滲水。床單可能不乾淨，睡了之後皮膚過敏。而且房間連小冰箱都沒有！但服務水平是很好的。不管是前枱或商務部。早餐不錯。', '短评打分': 1}
{'短评内容': '很不错的酒店，服务人员态度很好，酒店房间整洁。有温泉。自驾车住宿比较方便。如果没有车的话，就比较麻烦了。', '短评打分': 5}
{'短评内容': '非常不错的酒店，房间大并且整洁舒适，晚上比较安静。去醉温泉酒店免费接送，比较方便。早餐丰盛。环境很好离屯溪南出口近。服务态度尚可，但结账时间较长需改进。', '短评打分': 5}
{'短评内容': '，温泉较小，酒店不错。', '短评打分': 3}
{'短评内容': '位置适中，房间小，浴室简陋，三楼已下没景观，性价比低', '短评打分': 1}
{'短评内容': '酒店环境很安静，店内人员服务态度很好，餐饮口味也不错，下次度假还选这里！', '短评打分': 5}
{'短评内容': '房间有些旧，早餐和餐厅的饭菜不错，醉温泉很好，晚上有演出，结束时演员和观众会互相泼水。遗憾的是山顶的泳池在维修。打车不方便，酒店有自行车出租，10元钱一小时，路上车很少，汽车转一转很不错。', '短评打分': 5}
{'短评内容': '硬件还可以,但是服务要跟上,结帐等了20-30分钟.', '短评打分': 5}
{'短评内容': '不错的酒店，房间安静大而舒适，餐厅服务态度好，就是冷菜数量有点少，后来就光点炒菜了，呵呵。醉温泉环境不错，离屯溪南出口近，去黄山挺方便的，值得推荐！', '短评打分': 5}
{'短评内容': '酒店基础设施还算不错，比较新，还送醉温泉的套票，从黄山下来泡泡温泉可以解乏。不过酒店服务一般，不要以为华美达就是5星酒店，这家不是。', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '已经评价过，再概括一下：位置有点偏，很新，价格适中。淋浴间有点简陋。', '短评打分': 5}
{'短评内容': '位置有点偏，交通不是很方便，房间很大，很新，价格适中。淋浴间有点简陋，有客人在洗澡不方便。', '短评打分': 5}
{'短评内容': '床很舒服，送的温泉票很贴心，早餐的种类挺丰富的，有机会还会选择这个酒店', '短评打分': 5}
{'短评内容': '\u3000房间墙受潮霉了', '短评打分': 3}
{'短评内容': '酒店硬件很好，宽敞舒适，装饰雅致。我们的双人床房在楼角，还有个扇形侧间，可惜空着没家居，如果有一小茶几两把椅子，倒是很不错的品茶聊天的地。\n唯一对酒店的早餐服务提的意见是：服务员勤快是好事，但也别太过了！我早上拿完一盘食物放在桌上，再去拿牛奶，回来一看，桌上的食品连盘带菜都不见了，一口没动就被服务员撤走倒掉了！！！多浪费呀！做事还是要动动脑子的。', '短评打分': 5}
{'短评内容': '从黄山登山回来，特意选了个温泉酒店－华美达，想好好犒劳一下自己！\n酒店地处新区，远离闹市，房间设计不错，很雅致干净，空间充裕，网线顺畅。\n房间很多，更适合会议活动。（入住时正赶上一个“献血会议”）\n晚上到安溪老街吃晚饭和逛街后，回酒店，坐酒店安排的电瓶车到区内的温泉中心放松。本来泡温泉，足腿按摩一切松心，知道营业到午夜，换衣出来结帐后，零点15分钟，却被告知电瓶车司机午夜整就下班，要我们自己走回酒', '短评打分': 5}
{'短评内容': '不错’价格合适', '短评打分': 3}
{'短评内容': '不错的酒店，环境清爽，房间也整洁，舒适，服务态度不错。', '短评打分': 5}
{'短评内容': '这里挺不错。', '短评打分': 3}
{'短评内容': '床很舒服，环境还可以，住酒店还可以免费去桑拿，真的可以', '短评打分': 5}
{'短评内容': '安静，清洁，山景，低价，除了过道有点凉，其他都蛮好，适合自驾游', '短评打分': 5}
{'短评内容': '酒店不错，服务态度也还好，就是当天温泉没电，没有去泡温泉', '短评打分': 5}
{'短评内容': '地点有点偏，但不急的话等等还是有出租车来的，', '短评打分': 5}
{'短评内容': '酒店各方面都不错，就是距离市中心稍微远了点，出门不叫车的话会比较难打车。', '短评打分': 5}
{'短评内容': '加住了一晚，然后前台通知调到标准间，房价是一样，但没有冰箱什么的，买的吃的又不能放！不知道标准间与豪华大床间价格上是不是一样？', '短评打分': 5}
{'短评内容': '初次入住，感觉上还可以，服务态度一般，不是太热情,可能是团队入住较多，我们散客不重视吧！', '短评打分': 5}
{'短评内容': '地方比较好找，从高速公路下来不远，房间比较大，卫生也不错，购买温泉套票比较划算，感觉不错，下次还来', '短评打分': 5}
{'短评内容': '房间不错！就是空调噪音有点大。酒店有免费的电瓶车接送去温泉这点不错！', '短评打分': 5}
{'短评内容': '房间不错价格价格比较适中！就是早餐的品种有点少！', '短评打分': 5}
{'短评内容': '酒店不错，离温泉很近，有接驳电瓶车，但在门口没有告知牌，很多人都不知道。有待改进。房间清理很快，但细节要注意，第二天房间里就忘记放免费瓶装水。', '短评打分': 5}
{'短评内容': '华山华美达酒店名副其实,环境没的说,很好.酒店很新,装修也很豪华,一切配置也很齐全,特别是上网速度是超乎寻常的快,都吓我一大跳的.正常下载速度2M／s.全天都有热水，热水热度很够，总的来说住的很舒服，有家的感觉．交通也还算很方便，值得一住．', '短评打分': 5}
{'短评内容': '交通方面：路比较偏，只有3号巴士到，打的常遭拒载。\n房间硬件：就这个价钱来说比较值，即使是全价我认为也不算贵。空间很大，布置温馨，浴室的龙头出水量挺大，窗外还能看到部分新区的江景。就是电视机挺小的，没有国外的频道。\n环境方面：大堂环境一般，就是大，中间有小水池和小假山，但不豪华。离醉温泉走路15分钟左右，晚上电瓶车就不接了。不过已经是距离温泉最近的一个酒店了（因为前不着村后不着店。。。）\n饮食方面', '短评打分': 5}
{'短评内容': '离温泉比较近，就是春节里人比较多，有点挤。酒店房间还可以', '短评打分': 5}
{'短评内容': '为了泡温泉订的，酒店到温泉有电瓶车接送，不错。住的是一号楼，似乎是改建的，衣橱打开瞎人一跳。其他应该都还算不错吧。', '短评打分': 5}
{'短评内容': '华美达酒店离醉温泉真的很近，而且醉温泉还有到华美达的电瓶车，挺方便。酒店的服务挺好，提供双早。装修的不错，我很满意。晚饭的自助一位58，也算满意。总的来说还不错，地理位置嘛，反正黄山也不大，打车到老街也就10块钱，但是因为宾馆叫车过来还要另加10元的空车费。打车到汽车站20分钟的样子', '短评打分': 5}
{'短评内容': '房间设施感觉廉价，洗脸池边竞然没有挂毛巾地方,晚上床睡地不舒服,早餐很乱也没什么吃的。不符合华美达管理的形象。', '短评打分': 5}
{'短评内容': '杭徽高速黄山3号出口下，沿着徽州大道一直开，开到花山路，看见黄山醉温泉的招牌进去，就能找到酒店。（我是从汤口过来的，下错了出口，在休宁出来的，结果横穿屯溪才到酒店）。在屯溪这地方，华美达算硬件不错的，毕竟是新的酒店，但是很5星标准比么大家还是别抱太大希望。车停在地下车库，上大堂check in,黄金周，看来生意很好，我到的时候是中午12点，要我先办入住手续，房卡要等个把钟头才能拿，因为房间还在打扫', '短评打分': 5}
{'短评内容': '+离温泉很近,酒店随时有电瓶车接送。服务也不错,有问必答耐心客气。就是接待旅行团太恐怖了，大堂里挤满了人,早餐连坐的地方都没有。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '比较满意,房间很大,比较安静,离温泉也比较近,就是前台服务不是很好.\r\n', '短评打分': 5}
{'短评内容': '是我目前住过的性价比最高的酒店了！强烈推荐泡温泉，还有变脸、功夫茶等表演看，个人比较喜欢。对于酒店的各项设施，个人感觉很好，可能是新酒店的缘故吧！再去还会入住！', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '酒店很好', '短评打分': 5}
{'短评内容': '+离市区远.宾馆设施很新.服务热情.早餐还算丰富.值得推荐', '短评打分': 5}
{'短评内容': '这是我第二次入住，酒店设施和服务都不错。由于是自己开车去的，没有不方便的感觉。如果是没车又不跟团的驴友，位置可能有点偏哟。', '短评打分': 3}
{'短评内容': '自驾的不错，位置稍偏，停车没问题，蛮好的。', '短评打分': 5}
{'短评内容': '新酒店，很多设施都没跟上，大热天豪华间连小冰箱都没有，总台只会说抱歉，没有别的解决措施，郁闷，失望', '短评打分': 5}
{'短评内容': '房间装修的很豪华，空间很大，采光很好，很干净很舒适。', '短评打分': 5}
{'短评内容': '酒店非常的好，除了位置不理想之外（计程车进出市区需花费15-20元）。一切都让人非常满意。非常值得住上一晚，特别是在黄山把你折腾得腰酸背痛之后。', '短评打分': 5}
{'短评内容': '位置很好，里温泉城很近，步行五分钟就到了，内部也很干净很舒适。值得推荐。', '短评打分': 5}
{'短评内容': '酒店的环境不错卫生设施都挺好的，位置还行，服务态度价格都还可以。', '短评打分': 5}
{'短评内容': '酒店装修的很气派，房间里布置很好，住的很舒适，这次住的很开心。', '短评打分': 5}
{'短评内容': '房间很大，落地式大窗户，感觉光线很好，设施也比较齐全，住的很舒适。', '短评打分': 5}
{'短评内容': '这家酒店让你有种物美价廉的感觉，住的很舒适很划算。', '短评打分': 5}
