{'短评内容': '被单子稍微有点脏，不过还可以接受 电梯真像80年代的， 其他都还好 感觉价格贵了点', '短评打分': 5}
{'短评内容': '唯一的优势就是离南京路比较近，床单和被子不是很干净，房间很小，总体感觉不好~', '短评打分': 1}
{'短评内容': '这个酒店是个小酒店，服务不是很好，入住也不高，价格也比较贵。\n还 是找些大的连锁的酒店比较好点。', '短评打分': 1}
{'短评内容': '环境很好，交通很方便，服务也很好！赞赞赞！！！！！！', '短评打分': 5}
{'短评内容': '很好,很热情! ', '短评打分': 3}
{'短评内容': '虽然位置比较偏僻 但离南京路步行街很近 走10多分钟就到了', '短评打分': 5}
{'短评内容': '位置就在南京路附近，是很方便的位置，但是酒店的管理有点问题，被子掀起来竟然有血迹在上面，客户管理的电话从来没打通过，让他给我们换两床被子，在电话里一直给我说是盖的钢印，不是血，后来我都不说了，让他派人来看究竟是什么？然后才派了一个人来，才承认了是血迹另外拿了两床被子来，但是那两床有血的还不肯拿走，说要放房间里让明天收拾的人自己看怎么回事？有这样的管理的吗？', '短评打分': 1}
{'短评内容': '地段挺中心的，蛮干净的，挺安静；就是热水不够热；可以的。', '短评打分': 5}
{'短评内容': '三人间条件不错，服务也可以，离南京路稍远，信价比不错，但五楼热水水压不足。', '短评打分': 5}
{'短评内容': '不错 离人民广场 南京路近 价格也便宜。里面环境也不错。房间干净。', '短评打分': 5}
{'短评内容': '环境差了点，如果布是很挑剔的话，也是个不错的选择，房间有电脑，酒店位置挺好的，离南京路步行街很近，去外滩人民广场上海博物馆都很方便', '短评打分': 5}
{'短评内容': '位置不错，就是房子有点旧。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': ' 地理位置是不错，价钱也实惠，服务态度也不错。但是，硬件条件不是很好。大家自己选择吧，比较重视性价比的话，可以考虑。', '短评打分': 5}
{'短评内容': '说是新装修的酒店，其实房间非常的破旧。毛巾很旧，还会掉毛。被子很薄，夜里给冷的睡不着。房间还有不知名的噪音，像手机震动的声音一直萦绕在耳边，让人烦躁的睡不着。最让人不满意的是洗手池水龙头的水小的不能再小了。接一杯水刷牙要接很久。唯一的就是离步行街很近。逛街很方便。', '短评打分': 1}
{'短评内容': '上海梦溪酒店位址很好,离外滩比较近,房间干净无异味,下次来沪还住这儿', '短评打分': 3}
{'短评内容': '位置绝佳，离人民广场很近，环境一般，性价比不错！', '短评打分': 5}
{'短评内容': '环境还不错，服务态度很好，价格适中，下次有机会在住哦', '短评打分': 5}
{'短评内容': '地理位置很方便，离南京路步行街和2号地铁都挺方便的，酒店设施还行。', '短评打分': 5}
{'短评内容': '位于苏州河边，离外滩挺近，距地铁站口略远，其它一切都挺好的', '短评打分': 5}
{'短评内容': '入住第一晚，没有洗澡水，卫生间还有条大蜈蚣。', '短评打分': 3}
{'短评内容': '不好 ，别去 ，房子好旧，地方也不大，交通还行，总体很差。', '短评打分': 1}
{'短评内容': '总体不错，离地铁站也不远。但单人间没有拖鞋，很不方便。', '短评打分': 1}
{'短评内容': '-', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '158的单人房床太小了。一对情侣都睡不下阿。', '短评打分': 5}
{'短评内容': '前台小姑娘人很好很帮忙，这点值得一赞！\n\n但是设施着实是比较落后，卫生间里见到爬行的小虫子是不觉得恐怖，但绝对和状态颇为一般的地毯和柜子还是蛮搭调的。。。打开衣橱都有点不敢放衣服进去。。。电梯直接是穿越到30年前的工具。。。\n\n不过，谢谢天他们有宽带！就是放电脑的台面空间太小，直接靠着电视了。。。', '短评打分': 1}
{'短评内容': '以前通过别的旅行网订过这个酒店，地理位置还可以，硬件设施太旧太差，环境卫生也搞得不好，才四月，屋里苍蝇虫子就开始飞来飞去了，屋内很简陋，房间很小，周边吃的也不多，不过楼下的面馆里的菜钣都很实惠，味道也做得不错，今天是一份米饭，一份鱼香茄子，赠送了一碗西红柿汤，米饭量蛮足，茄子味道很好，西红柿汤太咸了，一餐总共花了十三块五很便宜了。其它朋友来订的话建议不要订单人间，太小感觉闷。', '短评打分': 5}
{'短评内容': '亲戚住的，其它还好，就是交通不是很方便，不好打的，附近吃东西的地方也少', '短评打分': 5}
{'短评内容': '服务态度差!设施一般，别的还行吧!变通还算行。', '短评打分': 1}
{'短评内容': '便宜，位置好\n大床房还不错，世博期间房价就是这么贵没办法', '短评打分': 5}
{'短评内容': '不错，还满好的，离外滩很近，一走出去就看到东方明珠，', '短评打分': 5}
{'短评内容': '环境不是很好，条件一般', '短评打分': 3}
{'短评内容': '性价比合理的酒店，\n因为是世博会期间去的所以可能价格要比其他时段要贵一些。但是还是比较合适的地方，距离南京路以及外滩都不远，', '短评打分': 5}
{'短评内容': '除了地段优势，实在不怎么样，电梯又老又旧，总是摇摇欲坠的感觉，而且冬天屋里很冷。空调只能制冷。', '短评打分': 1}
{'短评内容': '好.......................................................................................................................................................................................................', '短评打分': 5}
{'短评内容': '服务员非常热情，房间干净，上网速度挺快，房间的电脑有好多影片看，离外滩和南京路步行街也近步行10分钟左右就到，性价比较高。下次来上海还选择梦溪。', '短评打分': 5}
{'短评内容': '我替朋友预定的这个酒店，刚刚入住进去，他说不错.因为是第一次到上海，能找到这么物美价廉的酒店入住，已经很满足啦！', '短评打分': 5}
{'短评内容': '该酒店设备有些陈旧，距离南京步行街大概需要步行二十分钟左右，有一家汉庭离步行街非常近', '短评打分': 3}
{'短评内容': '在世博期间绝对是个好住处。价廉房间还可以。', '短评打分': 5}
{'短评内容': '酒店的位置在一条小巷内，不太好找，不过房间很干净，像住在老上海的人家，有大大的衣柜和写字台！', '短评打分': 5}
{'短评内容': '我俩入住是家庭房, 世博期搶$, 地方還算舒適, 服務員也可以, 只是設施有點旧. 位置不好找, 街道较旧, 有股味, 步行到外滩,南京东路约十分钟.', '短评打分': 1}
{'短评内容': '不错啊，周边交通方便，酒店虽然设施有点陈旧，但卫生的确可以哦…当然，这个价位在上海这种地段也很值啊。', '短评打分': 5}
{'短评内容': '住房环境太就，不过可以上网', '短评打分': 5}
{'短评内容': '酒店位置很好。出行方便', '短评打分': 5}
{'短评内容': '极差的酒店！\r\n1、设施简陋（私人房改造、大堂受理处为一张桌子、房间没有大灯等）；\r\n2、隔音差，房客吵闹没人管（能听见别人在说什么、说话的人是男是女、如果仔细听还能知道有多少人在说话，哈哈，唉，无奈）；\r\n3、服务员态度极差，完全以势力眼看人（由于卫生间窗户坏，不能关闭，只好将卫生间门关上，不料门锁竟是坏的，夜里12点发现卫生间无法打开，叫来服务员，服务员发现是老人入住，竟然说下班了，没人修理。', '短评打分': 1}
{'短评内容': '其实要行好远，拖住一箱行李真是不好走。晚上8点左右静悄悄，只有一间便利商店。', '短评打分': 1}
{'短评内容': '我已不是第一次入住该酒店了.并已向很多朋友推荐过该酒店.该酒店位置非常好,尤其是去看世博简直太方便了,在酒店最近的北京东路福建路上乘公交801到南浦大桥终点站下就是世博浦西3号门(半淞园),这个门人相对较少,尤其是晚上出园乘车更方便.酒店其他条件均一般,但在上海这个大都市,紧邻南京路步行街和外滩,价位还算合理,我很满意.', '短评打分': 5}
{'短评内容': '不错，一走出就看到东方明珠，走外滩就10几分钟，刚刚好跟男朋友散步到外滩。很方便，很近。以后还会来。', '短评打分': 5}
{'短评内容': '设施一般 卫生一般 但是位置很好离南京路江滩都很近 价格优惠性价比不错', '短评打分': 3}
{'短评内容': '位置较好，到南京路步行街非常近，步行就10分钟左右，到外滩也非常近。服务员态度也好！下次去上海还会选择梦溪！', '短评打分': 5}
{'短评内容': '交通是非常的好。。。服务也是不错的，卫生打扫的很及时，室内设施确实是比较陈旧的了，总体来说还是比较满意的', '短评打分': 3}
{'短评内容': '+酒店位置尚可,房间一定要选好,我住的就有个小窗户对着电梯,没睡好', '短评打分': 5}
{'短评内容': '也就是世博期间能到这个价钱。。酒店像一般的小二星宾馆，标准间还不错，大床房很恐怖。。特别小。不过位置好，价格也还行', '短评打分': 1}
{'短评内容': '地理位置真的很好，附近就是南京路。服务态度不错，卫生打扫的很及时，住了五天，感觉不错。。。就是设施什么的确实都比较旧了', '短评打分': 5}
{'短评内容': '就是房间小点，服务员和环境，这个价位，也只能这样了。', '短评打分': 3}
{'短评内容': '酒店位置挺好，跟南京中路步行街很近，逛逛很方便。服务也挺好，房间卫生一般，挺好的  主要是交通方便  住的也还好。', '短评打分': 5}
{'短评内容': '环境不错，离南京路也不远， 唯一不足是床不是特别大', '短评打分': 5}
{'短评内容': '位置不错 离南京路只有十分钟左右的路程 就是卫生条件设施很一般 柜子桌子凳子什么的好多都是坏的', '短评打分': 1}
{'短评内容': '世博期间，这个价钱还能接受，适合家庭周末来上海玩适用。', '短评打分': 5}
{'短评内容': '房间隔音效果太差，换气扇噪音堪比工厂机器，根本无法入睡', '短评打分': 1}
{'短评内容': '梦溪酒店的位置实在是太好了！一出门就能看见东方明珠，直线距离也就几百米。用不了十分钟就能走到南京路步行街，这么好的位置，这么低的价格，真是性价比极高！', '短评打分': 3}
{'短评内容': '梦溪酒店的位置实在是太好了！一出门就能看见东方明珠，直线距离也就几百米。用不了十分钟就能走到南京路步行街，这么好的位置，这么低的价格，真是性价比极高！', '短评打分': 5}
{'短评内容': '酒店位置不大好找，下车走了很长时间才找到，房间小了点，床也小了点，窗外的噪音不小，光线不好，一进屋一股奇怪的味道，对面好像是在施工还是是个垃圾场，反正打开窗户感觉很不好的，床挺小，其他的还行吧，感觉一般。去南京路，城隍庙，火车站得坐公交车，不过有直接到的，交通还算便利。接待我们的前台跟欠她钱似的，不爽不爽，退房时的那个前台还不错。下次去应该不会住这里了\r\n', '短评打分': 1}
{'短评内容': ' 来时是7点 还没藤出房间  态度还可以', '短评打分': 5}
{'短评内容': '换了大床房爽歪歪', '短评打分': 5}
{'短评内容': ' 梦溪不错  家庭房够大 还有电脑 很安静 性价比高', '短评打分': 5}
{'短评内容': '位置较佳，距离南京路步行街仅需１０分钟（步行）！', '短评打分': 5}
{'短评内容': '很不错，这个价位很满意了，可以走路到南京路步行街，就打的的时候司机都找不到。', '短评打分': 3}
{'短评内容': '酒店的设施给人感觉不干净，而且床感觉潮湿，但离商业街很近，还是有点价值的', '短评打分': 3}
{'短评内容': '+挺好', '短评打分': 5}
{'短评内容': '唉,都是世博弄的上海酒店价格疯涨.这家酒店除了位置较好外其余的都一般(离南京东路地铁10min).没办法,来的匆忙几乎没什么经济型酒店预订了只好这家了.住了4晚,都是11~12点回来的玩的脚都快断了躺下去就睡了 没什么舒适可言.就是给我张床铺在马路上也能睡着了.下次一定提早订好点的...不能亏待了自己', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '位置不错\n距离南京路、外滩都不太远 \n不行10分钟内到达\n\n\n其他的方面\n设施很陈旧\n卫生也不大好\n卫生间有蟑螂\n浴室墙面很久未擦过\n服务员在客人还在的时候进房间收拾卫生\n\n不过冲着这个价格\n性价比也还好了\n图省钱自己住还成', '短评打分': 5}
{'短评内容': '没有想像中的离南京路那么近，特别是玩了一天后走15分钟走到南京路，累，再从南京路花15—20分钟走到外滩，更累，特别是对地图不敏感的我，在酒店周围四通八达的小巷里几乎每天出去都是出得去，就找不到回来的路，绕啊绕啊的，每天都是坐计程车回，害我多出一笔预算都是在计程车上，住了几天才发现笔直走就可以到南京路，感觉这个价位应该可以住设施更好的酒店，但是世博期间又是在上海，算了，不挑剔了，能住就行', '短评打分': 1}
{'短评内容': '湎店设施齐全有电脑,位置尚可去南京路及地铁较方便,', '短评打分': 5}
{'短评内容': '地理位置很好，交通方便~服務也很到位~ ', '短评打分': 5}
{'短评内容': '性价比不错。\n位置较好，\n房间光线有些不足，尤其旁边是垃圾中转站，有些异味。\n服务很热情。', '短评打分': 3}
{'短评内容': '+梦溪酒店位置不错.虽然旧了点,但卫生不错,服务态度也很好', '短评打分': 5}
{'短评内容': '卫生没有传说中的那么差，不过是蛮旧了。应该重新装修了.\r\n就图个交通方便.\r\n他们的单人房是货真价实的单人房，不要指望有大床！', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '设施有点旧，房间亮点的大灯都没，清洁的大婶很是一般啊', '短评打分': 3}
{'短评内容': '位置不错，到南京路外滩都是用的步行，到世博园打的才17很方便', '短评打分': 5}
{'短评内容': '我能到外滩走。\r\n\r\n这酒店附近卫生不太好。', '短评打分': 5}
{'短评内容': '还凑合吧 赶上世博 涨价了 设施什么的都一般 不想经济型酒店那么标准，唯独在价格上较有优势 ', '短评打分': 3}
{'短评内容': '房间设施挺老旧的，卫生间还是浴缸的那种了，有些落后，其他的还可以，特别是位置很好，出门10多分钟就可以走到南京路步行街和地铁站了。总体感觉能在世博期间在上海这样的位置能找到这个价位的房间已经实属不易了！~', '短评打分': 5}
{'短评内容': '还不错 价格很便宜  周围环境也很好   地铁也不远 打车也很方便', '短评打分': 5}
{'短评内容': '环境可以，交通方便，确定是靠近垃圾站，有些异味。\r\n前台小姐很热情，其它工作人员也不错。设施略陈旧。', '短评打分': 5}
{'短评内容': '比想象当中的好~~交通都蛮方便的~服务也都还可以~还不错吧~~', '短评打分': 5}
{'短评内容': '酒店有点旧，虽然位置不错但有点难找服务一般', '短评打分': 5}
{'短评内容': '房間還可以,雖然離步行街很近,但有點難找', '短评打分': 3}
{'短评内容': '很好！物美价廉！交通便利。环境也不错，下次去还会住的！！！', '短评打分': 5}
{'短评内容': '位置还不错，安静并且离南京路、外滩、人民广场比较方便，卫生条件和住房条件可以更好些', '短评打分': 5}
{'短评内容': '就那样 房间大小还行 卫生一般 位置还不错 家具一般 有电脑', '短评打分': 5}
{'短评内容': ' 好，各方面都不错', '短评打分': 5}
{'短评内容': '＋房间，卫生间挺大、环境一般。还赶上一个没窗的房间，太郁闷啦！', '短评打分': 5}
{'短评内容': '比我想象中的要好，房间挺大的，也很干净！！！值得推荐。地理位置还不错', '短评打分': 5}
{'短评内容': '地點離步行街很近,不過酒店店面不是很明顯', '短评打分': 5}
{'短评内容': '比较满意，谢啦！', '短评打分': 5}
{'短评内容': '离南京路非常近，交通非常方便，但是就是比较破了点，考虑价格，还凑和吧', '短评打分': 5}
{'短评内容': '离市中心近，交通便利，虽然设施有点旧，但卫生很好。', '短评打分': 5}
{'短评内容': '酒店很干净，位置也很好，价格也不太高，不错不错', '短评打分': 5}
{'短评内容': '酒店位置还不错，距人民广场也就十几分钟路程，就是在一条小路里面很难找。前台服务态度还不错，房间较小，设施一般，对于出游的学生来说性价比还行。不过没有吹风机很不方便，电视机画面很差，房间的隔音效果也不好，一大早就被隔壁退房的客人吵醒了。', '短评打分': 5}
{'短评内容': '位置很中心，但在小街里不太好找，交通不太便利。性价比还好。', '短评打分': 5}
{'短评内容': '酒店房间太小了，服务还可以吧！比较安静，到外滩、人民广场都很方便，设施太简陋，', '短评打分': 3}
{'短评内容': '条件一般', '短评打分': 5}
{'短评内容': '酒店位置不好，而且设备比较陈旧，卫生间不干净', '短评打分': 1}
{'短评内容': '位于上海南京东路步行街附近，步行10分钟以内，外地到上海旅游的人较适合，性价比高，出行非常方便。\r\n', '短评打分': 5}
{'短评内容': '上海真热，酒店真贵', '短评打分': 5}
{'短评内容': '酒店位置不错，离外滩和南京路都很近，在世博这个期间房价还是很超值的', '短评打分': 5}
{'短评内容': '房间有点小，卫生间也很小，不是特别好找，但是还算离外滩近，出门旅行还是不错。。', '短评打分': 5}
{'短评内容': '+一般', '短评打分': 5}
{'短评内容': '不计较环境的话，价格是比较有优势的。', '短评打分': 5}
{'短评内容': '地方还行，背靠苏州河，离南京路也很近，房间小点，设施老化，许多东西都破的，不敢用，屋子里还有蟑螂。除了地理位置不错，其他差点，要是能在100一下比较合理', '短评打分': 5}
{'短评内容': '不宜居住！', '短评打分': 1}
{'短评内容': '这家酒店离南京路挺近，走十几分钟就到了，但设施很不满意。。', '短评打分': 1}
{'短评内容': '地址位置还行，就是房间小了点', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 5}
{'短评内容': '地段还好，但周边环境不太好。房间设施太差，没有台子。其它还算可以吧。', '短评打分': 5}
{'短评内容': '距离南京路很近。房间较少。本来定了两间一样的房间，去到一间有窗、一间没窗；一间有电脑、一间没有。第二天晚上约1:30不知道外边发生啥事，很吵还有人搬东西的声音，每人管，害一个晚上没有睡好。', '短评打分': 1}
{'短评内容': '位置特好，离外滩一步之遥。', '短评打分': 5}
{'短评内容': '这里好像没什么值得说的，唯一一点可能就是现在世博期间这个地段这个价格就是卖点，这里的单人房真的就是单人，床太小了。还有一点需要改进的就是当天我出去了一下，忘了带房卡，回来的时候让前台帮我开一下房门，核对信息后上楼，门已经开了，没有任何服务员在，更不用说再核对了，我还以为我没关门呢，我的东西都还在房间里……', '短评打分': 5}
{'短评内容': '还算整洁，位置还好。', '短评打分': 5}
{'短评内容': '卫生条件太简陋，而且酒店服务人员服务态度还行，但行为不规范，酒店整体的环境就不好，与网上介绍的相差太远', '短评打分': 1}
{'短评内容': '前台有一个白头发的小姐态度很恶略 真讨厌 床也不是很大', '短评打分': 5}
{'短评内容': '地址 很好啊\r\n! 还可以嘛 ', '短评打分': 5}
{'短评内容': 'cha', '短评打分': 1}
{'短评内容': '交通非常方便，从火车站打车起步价就可以到。到火车站打车也很好打到。设施还好。', '短评打分': 5}
{'短评内容': '性价比高，服务态度不错，地理位置好。', '短评打分': 5}
{'短评内容': '我住的是家庭间，酒店给做升级了，结果家庭房超大，有三张床一个大沙发，屋子里有电脑，上网很方便，适合一家三口或四口住。地理位置很好，离南京路和外滩都很近。对其他方面要求不高的驴友可以选这家。', '短评打分': 5}
{'短评内容': '不错，我下次还会入住', '短评打分': 3}
{'短评内容': '位置挺方便~~就是房间有点小~\r\n洗衣服务慢`~早知道不洗了~', '短评打分': 5}
{'短评内容': '不错，我下次还会入住', '短评打分': 5}
{'短评内容': '屋内设施太过陈旧。', '短评打分': 5}
{'短评内容': '位于苏州河旁，离南京路步行街也就步行5分钟，不过酒店有些老旧了。\r\n深度游上海的话推荐这个酒店，坐地铁从人民广场站出发四通八达，很方便。', '短评打分': 5}
{'短评内容': '世博期间入住，很难找到如此便宜的酒店，离那个南京路步行街很近，很方便，就是晚上可以吃饭的地方比较少，值得推荐！！', '短评打分': 5}
{'短评内容': '酒店位置很好，闹中取静，各方面设施也可以，下次还订这家。', '短评打分': 5}
{'短评内容': '就地理位置好点 离步行街外滩近 条件不好', '短评打分': 1}
{'短评内容': '两个字：别去', '短评打分': 1}
{'短评内容': '位置非常好\r\n', '短评打分': 5}
{'短评内容': '马马虎虎吧，就这个价位的。', '短评打分': 5}
{'短评内容': '房间比较小，服务态度比较差', '短评打分': 1}
{'短评内容': '此区域只适合到北京路做机电五金生意的人住，地点比较背，附近餐饮服务少。最主要是太吵，和附近的房屋距离非常近，烂空调噪音非常大，夜里吵得无法入睡，因为白天到处跑，没有来得及搬家，住了二晚都快崩溃啦。所幸卫生还算不错。', '短评打分': 1}
{'短评内容': '位置好，靠近南京路，环境很安静，值得推荐', '短评打分': 5}
{'短评内容': '设备比较陈旧吧，但是地理位置还比较方便', '短评打分': 5}
{'短评内容': '非常差的酒店，浴缸里还有蟑螂在爬，很老的房子了，价格严重不符。交通也很不方便。以后还是住如家这类的酒店了，至少住着舒服点。', '短评打分': 1}
{'短评内容': '就是房间有点小呢...  服务态度还是很好的 位置也很好', '短评打分': 1}
{'短评内容': '位置好，性价比高，卫生，设施有点年份。', '短评打分': 5}
{'短评内容': '挨着垃圾站,有股子怪味;我住在房间还老是有电流噪音,把空调关了,电源也拔掉后还有,导致一夜没睡好;只有一部老电梯,正巧让我赶上一次坏了,幸好没关到,自己爬楼梯,可里面的乘客不知多久出来的.', '短评打分': 1}
{'短评内容': '房间很小,网上说有16平米但实际没有那么大,差很多,位置还不错交通很方便.', '短评打分': 3}
{'短评内容': '去年也住过,感觉这次住也挺好的,很安静,设施方面也没什么问题,位置也很方便,如果价格能再便宜些就更好了.', '短评打分': 3}
{'短评内容': '位置还好，这边出行还是很方便的，房间的卫生和设施还不错，服务也可以，我觉得这家酒店的性价比是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '服务还是比较满意的.位置还行,但是房间有些小而且我感觉酒店在面积上面都不是太大,性价比还是比较不错的.', '短评打分': 3}
{'短评内容': '房间还是比较不错的,性价比挺高的,服务还是比较满意的.位置不是太好找的.还是比较不错的一家酒店.', '短评打分': 3}
{'短评内容': '隔音不太好~', '短评打分': 1}
{'短评内容': '帮亲戚订的,服务很好,环境一般.舒适度还可以.', '短评打分': 5}
{'短评内容': '性价比不高，设施不好，位置还行', '短评打分': 1}
{'短评内容': '酒店的条件算是比较不错的，他们的环境和设施都还可以，服务也不错，主要就是他的位置好，交通挺方便的，下次我去上海，还会住梦溪。', '短评打分': 5}
{'短评内容': '房间比较干净，设施有点差，卫生间淋浴的喷头不太好，酒店的位置交通也不太方便，整体感觉一般', '短评打分': 5}
{'短评内容': '酒店的床单比较硬,而且房间里有很重的烟味,位置也不是很好找,其他方面也都挺一般的', '短评打分': 1}
{'短评内容': '酒店的周边环境不是很好,感觉很乱很脏的,酒店里边还可以了,房间里卫生还不错的,价格也比较合适.', '短评打分': 5}
{'短评内容': '价格还好 但房間有异味 窗外是垃圾场', '短评打分': 5}
{'短评内容': '晚上很吵，房间里有烟味，说给换被套床单也没换，睡的很不舒服', '短评打分': 1}
{'短评内容': '刚到时，吓一跳，正好在整修，不知是不是要拆迁还是什么，周围乱糟糟的\r\n不过地点离南京路步行街很近，还有就是很便宜，总体来说还行吧', '短评打分': 5}
{'短评内容': '房间小，设施有些老，但酒店的服务，卫生方便还可以，，性价比也挺高的', '短评打分': 5}
{'短评内容': '酒店设施太陈旧了,而且房间的隔音效果特别差;当天晚上都12点多,旁边的房间还很吵,非常影响休息;其他方面也就那么回事吧', '短评打分': 1}
{'短评内容': '当时住的房间有点小，这样的条件价格就有点高了，酒店的服务还是可以的', '短评打分': 1}
{'短评内容': '酒店的位置不明显,不太好找,服务很不错,房间也蛮干净,舒适的,价格适中', '短评打分': 5}
{'短评内容': '价格合适。', '短评打分': 5}
{'短评内容': '酒店的房间太小，硬件设施也比较老了，应该是个老酒店，但酒店的服务还可以，不过出行做出租车要走一会才有车打，做地铁也要走10多分钟', '短评打分': 5}
{'短评内容': '酒店的服务卫生还是不错的，价格也挺实惠的。', '短评打分': 5}
{'短评内容': '酒店挨着步行街，酒店设施太旧，前台服务人员也不热情，卫生还行，相对于设施环境来说，价格有点高', '短评打分': 1}
{'短评内容': '这家酒店感觉象私人开的一样，入住的时候不能信用卡预授权，而且房间很小，设施不好，下次不会再去了', '短评打分': 1}
{'短评内容': '不能叫酒店吧，招待所可能比较合适，除了地段好些，价格优惠些其他一无是处。住的 301房，后面竟然是好些辆垃圾车，第一天早晨竟然没热水，靠东边还是个立交桥工地一样的，环境贼差。怎么不能评0分，负的更好，除了大家有急事或者图方便的话，不推荐大家入住这家“招待所”', '短评打分': 1}
{'短评内容': '\u3000\u3000服务一般，周围环境较差，地段较好，附近就有到豫圆和人民广场（南京东路）的公车，不过千万别到旁边牛庄路７０９号的天香鱼府用餐，是家黑店．&lt;br /&gt;\n\u3000\u3000宾馆空调声音较响，房间隔音较差，我住４楼，好象楼上是木结构的，走路声音特响，睡不好啊，不过卫生间比较好，价格也不高，对一般人还是值得推荐住的\u3000', '短评打分': 3}
{'短评内容': '就是小了点,有时候还没有热水', '短评打分': 3}
{'短评内容': '位置比较奇特，很多上海人都不一定能找得到。离南京路到是较近，走过三个红绿灯就是。四周都是单行线，出租进不去，只能自己提行李。服务，前台有个男的态度很不错。退房的时候，换了个染金发的女的，那态度，别说了，跟谁欠她是的。而且明明是他们工作上的失误，却埋怨顾客。电梯很小，6个人，还都没有行李，就超载（亲身经历）。隔音不是很好，旁边房间的声音都能听得到。还有，明明主两天，但回到ELONG积分，变成一天就退', '短评打分': 3}
{'短评内容': '先说优点 房间大 位置好 服务热情 价格合理&lt;br /&gt;\n&lt;br /&gt;\n再说缺点 隔音差 总能听见工作人员的谈话声 还有 热水 早上没有热水 是昨晚剩下的 半凉不热的', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;环境不好 出行不便 价格不低&amp;lt;/P&amp;gt;', '短评打分': 1}
{'短评内容': '离南京;路是不远,但是到了酒店门口真的是心凉了一半', '短评打分': 3}
{'短评内容': '总的来说还可以，地理位置很好，服务也不错，在我们要求下免费让我们使用电脑倒数码相机的数据到U盘，但在晚上发现蟑螂3只，酒店应该定期灭蟑螂。', '短评打分': 3}
{'短评内容': '还有就是酒店能不能帮忙叫TAXI呀?每次都是自己拿着行李走到大街上去拦车.虽然不远,但是提着行李毕竟不方便嘛.', '短评打分': 5}
{'短评内容': '圣诞节的时候又去住了一次,总体感觉和以前一样,其他还好,就是前台的服务还可以改进一下,经常去,总不见笑脸.', '短评打分': 5}
{'短评内容': '又过来住了一次，价钱比去年涨了10块钱，但还是相当的有性价比。跟里面殿堂经理聊了两句，他说老客人的话两百也能住下。不错不错。', '短评打分': 5}
{'短评内容': '喳一眼看到，门面太小，大堂太小，周围环境一般，心凉了半截，房间还算干净（大床房）但比较小，离南京路很近，步行大概十分钟，对周围环境不是很高的人可以考虑，毕竟是上海，离南京路又那么近。 &amp;lt;BR&amp;gt;', '短评打分': 3}
