{'descr': '卫生差 设备差', 'star': 2}
{'descr': '不错不错,床很大,两米的,房间大,有二十个平方吧,卫生间带吹风,真是方便', 'star': 3}
{'descr': '交通方便，前台服务人员比较热情，前台还有免费上网，凭房卡还有免费饮料和咖啡。', 'star': 5}
{'descr': '我住的周末特价房，一百元一晚的，原以为挺小的，实际还不错。挺满意的，下次还去这家店', 'star': 3}
{'descr': '酒店设施还行。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店很好~配套设施很齐全，就是上楼要刷卡比较麻烦。', 'star': 5}
{'descr': '条件蛮好的，只是周末要比平时贵几十块钱呢，住其它地方好像没这样过！', 'star': 5}
{'descr': '我觉得这家店很好。。房间很大。。很干净。。。真的很不错。。强力推荐', 'star': 5}
{'descr': '一如既往地好。干净。特价房性价比高。热水很大。舒服。还有免费咖啡。', 'star': 5}
{'descr': '离观前街不远，交通方便。房间设施蛮好。性价比还是可以的。', 'star': 5}
{'descr': '地理位置不错，房间设施也很好，值得推荐，出去离观前街10分钟，很好', 'star': 5}
{'descr': '延续汉庭的标准，就是商务大床房床是由两个单人床拼起来的，中间有缝隙，睡起来不是很舒服', 'star': 5}
{'descr': '酒店蛮好的，住起来很舒服。。。。。。下次出差继续住\n', 'star': 5}
{'descr': '到我的去的地方交通方便。在市内，离酒吧街比较近', 'star': 5}
{'descr': '宾馆住宿条件不错', 'star': 5}
{'descr': '如果不是洗手間的排風扇不行，待換，我會給非常高的評價，位置是非常好的，旁邊就是著名的十泉街，鳳凰街，離觀前街打的也很近，走過去也可以。房間不錯，通風寬敞，夠大，服務也很好，我們燈壞了，門有問題，馬桶不通，服務人員都一趟一趟的調整，前臺服務MM也很親切。。。下次有機會再住啊', 'star': 5}
{'descr': '性价比是蛮不错的了。如果旅游或个人出行，建议依然住这里。。', 'star': 3}
{'descr': '位置各方面都还算可以，性价比蛮高。典型的汉庭快捷酒店，这个价格应该算很不错了。。', 'star': 5}
{'descr': '因为无窗,所以房间空气不好,晚上一定要开空调才能睡觉.只能说很普通的一家店.', 'star': 1}
{'descr': '地理位置还不错，就是离观前街较远.酒店有点小.服务还可以.适合经济型的..', 'star': 5}
{'descr': '地方不算大，有吹风机蛮好的方便，网速一般般，不过还算舒适的~', 'star': 5}
{'descr': '总体上感觉还不错，性价比也还行，下次旅游还会住', 'star': 5}
{'descr': '晚上睡觉比较安静，服务态度好，房间很干净', 'star': 5}
{'descr': '这家酒店的地理位置还可以，苏州本身就不是特别大，门口有车直达观前街和拙政园，距离十全街也只有一个路口，可以说出去玩的话还是比较方便的，酒店门口有几家小吃店和小肥羊火锅，还有一家24小时的便利店，而且服务特别的好，服务员都很友善，是一家值得推荐的酒店！', 'star': 5}
{'descr': '房间很闷，潮湿，位置和前台服务态度还好。', 'star': 1}
{'descr': '还行吧！~周边有吃有玩的还行吧！~周边有吃有玩的还行吧！~周边有吃有玩的还行吧！~周边有吃有玩的', 'star': 5}
{'descr': '挺好的，不错。第一次住汉庭，感觉蛮好的~~~以后还会来的', 'star': 5}
{'descr': '服务态度很好~交通也很方便哦~很满意！', 'star': 5}
{'descr': '汉庭十全街店很不错，前台也很热情，酒店离苏州几个园林都不远，游拙政园和狮子林方便的很！', 'star': 5}
{'descr': '除了那个沐浴洗发合一的东西让人顿时无语，其他还不错。工作人员很热心！', 'star': 5}
{'descr': '比较不错了 交通还算方便', 'star': 5}
{'descr': '地理位置还不错，买东西和去景点都很近。出行很方便。', 'star': 5}
{'descr': '不怎么好。。太旧了，不如以前住的汉庭好\r\n但是前台服务态度蛮不错的', 'star': 3}
{'descr': '前台有一位mm态度挺好的，还介绍我们苏州一日游，大厅有糖吃，有茶喝。房间挺干净的。', 'star': 5}
{'descr': '＋位置交通房间条件都很好，性价比高！', 'star': 3}
{'descr': '房间床较大（我住的是豪华大床房） 设施新 卫生服务好 位置较偏 离观前街较远', 'star': 1}
{'descr': '房间一般吧，经济型 的酒店业要求也别太高了啊，呵呵。交通比较方便.', 'star': 3}
{'descr': '住的虽然是最便宜的特价房，但是条件比想象的好很多，性价比很高！', 'star': 5}
{'descr': '地段靠近观前街，房间蛮干净的，双床的有一张床好大', 'star': 5}
{'descr': '很满意这家酒店\r\n下次还选他\r\n汉庭的咖啡确实很好喝哦 \r\n忽忽', 'star': 5}
{'descr': '+很不错，大而舒适，位置也好！', 'star': 5}
{'descr': '感觉没有之前住的好，电视没有点播，遥控被按得都看不清了，太旧', 'star': 5}
{'descr': '＋服务不错', 'star': 5}
{'descr': '不错哦这个店！高级大床果然很大很大~~~', 'star': 3}
{'descr': '基本能算性价比可以，主要是位置好，离苏州比较有特色的美食都很近。', 'star': 5}
{'descr': '十全街店我住了两次了，附近很方便服务也很到位，高级大床真的好爽阿……不过前台服务员有时候有点少，特别是高峰期时候。', 'star': 5}
{'descr': '我们在网上订的时候是159，但是到那入住的时候已经改为149了~最后结账还是收我们159，郁闷~修改了价格也不在网上立即显现出来的~最郁闷的是离店了收到的短信价格是149~~真是受不了~', 'star': 5}
{'descr': '房间还可以，就是有点小。房间设施不是很新，其他的都不错。性价比可以，这个价钱不错的。', 'star': 5}
{'descr': '相对来说 还是比较干净的 价格也还行\r\n前台的服务态度 非常好呢！', 'star': 5}
{'descr': '性价比还是不错的~服务人员很热情，离商业区不远，交通也比较便捷，就是出租车比较难拦到。。', 'star': 5}
{'descr': '总体还行吧~\r\n外面酒店毕竟不像自己家那么舒服拉！', 'star': 5}
{'descr': '还行，不错，蛮安静的.距离市中心很近，方便，周边吃的没找到什么', 'star': 5}
{'descr': '我们前一天住在对面的雅特商务酒店，简直是太脏，太小了，太臭了；第二天即换到汉庭快捷酒店，这里的标间宽敞舒适，床也很宽大，两个大人睡都够。而且他们的电梯只有客人和服务员凭卡才能进入，增加了客人的安全感。洗手间还有吹风机。就是大厅的沙发有点脏，有点异味。希望能换成新的。', 'star': 5}
{'descr': '还不错！住的还算舒服。就是乘坐电梯需要刷卡，而且只能刷自己的楼层。这样朋友住在别的楼层就只能爬楼梯了，这点不太方便，不过酒店是为了安全，出发点不错！', 'star': 5}
{'descr': '帮助朋友也定了一间房，下次还来，交通便利', 'star': 3}
{'descr': '有免费的打印，上网，传真，适合于商务出差', 'star': 5}
{'descr': '打车很不方便，位置比较方便，周围没有饭馆，比较可惜', 'star': 1}
{'descr': '地理位置都很好，服务也很好特别舒服。还有免费咖啡喝。。。', 'star': 5}
{'descr': '定了两间特价房，有一个因为没有特价的给免费升级成了商务大床，屋里比较干净，房间蛮大的，不错，还有前台服务员也比较热心，主动借给我会员卡去景点玩，可以8折，距离观前街不是很远，散步就到了，很不错。', 'star': 5}
{'descr': '离十全街很近。出门右拐直走到红绿灯左拐就到了。', 'star': 3}
{'descr': '不管是位置还是服务都不错的。我们住的是标间。', 'star': 3}
{'descr': '挺好找的一家。苏州的出租车师傅很是热情。然后就是酒店有吹风机，而且还蛮大的，空间来说。隔音也不错，虽然是临街的。', 'star': 5}
{'descr': '商务大床很大，二张床拼的，没拼好，呵呵，房间里较整洁，服务态度很好', 'star': 5}
{'descr': '酒店位置不错，服务周到，卫生条件很好~~~~~~~', 'star': 5}
{'descr': '挺好的，下次还会选择', 'star': 3}
{'descr': '有点老旧', 'star': 3}
{'descr': '有点老旧', 'star': 5}
{'descr': '距离十全街大约500米左右，十全街上卖衣服的小店很不错，吃饭的地方的也多。走路可至观前街，大约20分钟。公交四通八达。', 'star': 5}
{'descr': '位置很不错，喜欢，下次还会入住。', 'star': 5}
{'descr': '酒店大堂可以免费上网和打印。酒店设施齐全，服务也不错，距离观前街比较近，乘车到拙政园、狮子林也很方便。总之是一家很不错的酒店，推荐入住。', 'star': 5}
{'descr': '本店没有停车位，不过旁边的地下车位停车费可以在酒店报销。房间还行，双床房的房间比上海的大不少。', 'star': 1}
{'descr': '感觉还蛮干净', 'star': 5}
{'descr': '床单以及毛巾蛮旧的，上面还有一些污渍没洗掉的痕迹，真的有点晕啊，按说这样的经济型酒店应该是比较舒适的。', 'star': 1}
{'descr': '整体还可以，比较满意', 'star': 5}
{'descr': '不错 ~~~服务热情，交通方便！下次还会继续入住，多加努力努力~', 'star': 3}
{'descr': '服务很好~舒适度也挺好。我的是特价大床房。嘿嘿~比较值得！', 'star': 5}
{'descr': '这家店给我的主要印象是服务态度好，各个岗位的人员都相当有礼貌。整体性价比也不错。', 'star': 5}
{'descr': '不错，交通方便，性价比高。', 'star': 5}
{'descr': '房价感觉很挤。 特价房嘛。', 'star': 5}
{'descr': '179的特价房，除了隔音很不好之外，其他都还不错！曾住过该酒店同样价格的特价单间房，觉得双床房比单人房要好太多了！！', 'star': 3}
{'descr': '住的卫生间有窗户的东边的一个房间，建议将卫生间门上的玻璃拿掉或者在卫生间窗户上搞个窗帘。否则早上光线直接照进房间影响睡眠！', 'star': 5}
{'descr': '停车不方便', 'star': 3}
{'descr': '停车超不方便', 'star': 1}
{'descr': '离观前街不远。早餐品种多。推荐', 'star': 3}
{'descr': '干净、交通方便', 'star': 5}
{'descr': '位置不错,逛街方便,房间的床没想还挺宽的.', 'star': 5}
{'descr': '定的特价大床房，太小了，我看最多只能算特价单人房', 'star': 1}
{'descr': '还可以，以后还可以考虑！！！', 'star': 5}
{'descr': 'good', 'star': 5}
{'descr': '很好哦！酒店很干净，住着很舒服！特别说一下早餐，真的很好！15块超值，哈哈，啥都有！就是现在苏州修地铁，过去观前街稍远一点儿，但还是可以走小路的，问问前台的人！不错，下回还住着！', 'star': 5}
{'descr': '不错挺干净了，服务人员素质很高', 'star': 5}
{'descr': '地段很方便~ 设施也很齐全 喜欢汉庭', 'star': 5}
{'descr': '隔音不是很好，位置非常不错', 'star': 5}
{'descr': '地理位置挺好，服务业很好。房间里没有窗户，有点闷。大床房的还不如标准间宽敞，床和标准间的一样', 'star': 5}
{'descr': '地理位置一般，还好离观前街不算很远。', 'star': 5}
{'descr': '个人比较喜欢饮马桥的汉庭，交通很方便而且安静，房间也是设施比较新，而且周末百元房很划算，床是超大型的，就算四个人睡也是很好的，适合全家旅行的选择', 'star': 5}
{'descr': '个人比较喜欢饮马桥的汉庭，交通很方便而且安静，房间也是设施比较新，而且周末百元房很划算，床是超大型的，就算四个人睡也是很好的，适合全家旅行的选择', 'star': 5}
{'descr': '服务态度挺好的,在地理位置上很有优势，处于苏州市中心的中心 。到观前，十全街都特别方便', 'star': 5}
{'descr': '服务不错，应该多送两瓶水', 'star': 5}
{'descr': '总体很不错\n就是被忽悠办了个会员卡 不太爽', 'star': 3}
{'descr': '总的来说还可以 \n就是被忽悠办了个会员卡,不太爽', 'star': 5}
{'descr': '139的特价房还不错，只是一开始对于没窗户的房间不适应，感觉很压抑，似乎呼吸都有压迫，不过后来慢慢感觉好了，毕竟房间的通风还行。另外，酒店房间的隔音很差，隔壁房间关门还有卫生间放马桶盖的声音，在夜间都是那么的惊天动地。最后，总的来说还是价有所值吧', 'star': 3}
{'descr': '139的特价房还不错，只是一开始对于没窗户的房间不适应，感觉很压抑，似乎呼吸都有压迫，不过后来慢慢感觉好了，毕竟房间的通风还行。另外，酒店房间的隔音很差，隔壁房间关门还有卫生间放马桶盖的声音，在夜间都是那么的惊天动地。最后，总的来说还是价有所值吧', 'star': 5}
{'descr': '酒店价格合理,出行比较方便。房间布置比较温馨。有免费饮料供应，天冷的时候，喝一杯五谷茶感觉很温暖。\r\n', 'star': 5}
{'descr': 'good hotel at SZ', 'star': 5}
{'descr': '有一名前台经理业务不熟练,退房较慢.', 'star': 5}
{'descr': '订的特价房，和汉庭金卡会员一样价格，很实惠。\r\n房间没有窗户，但是并不狭小，卫生间的设施很好。\r\n洗完澡后发现还有电吹风提供使用，感觉和价格相比很超值，值得选择', 'star': 5}
{'descr': '性价比还可以~', 'star': 3}
{'descr': '白天施工，影响我休息', 'star': 3}
{'descr': '还不错，就是有点吵 ', 'star': 5}
{'descr': '酒店不错，比如家好。', 'star': 5}
{'descr': '环境优雅~~~服务态度好~~~', 'star': 3}
{'descr': '交通方便...环境舒适...价格合适...', 'star': 3}
{'descr': '交通方便…设施也不錯…', 'star': 3}
{'descr': '其他都挺好，就是入住那天因为加热棒坏了导致没有热水洗澡', 'star': 5}
{'descr': '隔音效果不怎么样，但是总体上不错的。推荐217房~~~', 'star': 5}
{'descr': '经常住，总体不错，值得推荐', 'star': 5}
{'descr': '交通很方便~~性价比很高~~', 'star': 5}
{'descr': '住着还行吧，年轻人较多，\r\n活力挺足，缺点就是对爱静的人来说有点闹腾。', 'star': 5}
{'descr': '感觉酒店很破旧,建议装修一下了,设备也很陈旧,条件不怎么样,服务一般,性价比也比较低.', 'star': 3}
{'descr': '汉庭酒店虽然一些设施老旧，但服务不错，价格优惠。', 'star': 3}
{'descr': '总体而言还算不错！三个毛病  1.乘电梯要刷房卡－－麻烦又无聊；2.特价房的隔音不是一般的差；3.空调效果有限', 'star': 5}
{'descr': '在这酒店住了三晚，觉得酒店管理不错，服务员的态度与素质都不错。酒店里的设施略差，有些东西已旧得掉了，都没有换掉。但总体上来说，还是蛮不错的。货真价实!', 'star': 5}
{'descr': '特价房千万不要住，没有窗户，不利健康。不过汉庭的服务真的太好了！', 'star': 5}
{'descr': '该酒店位于人民路和十梓街交叉口。位置还算不错，走路去观前街也比较方便，就当锻炼身体了。酒店服务和卫生都不错。特别是有两条网线，这样两人入住就不会只有一人能上网了。', 'star': 3}
{'descr': '可以', 'star': 5}
{'descr': '住的是特价房，虽然没窗，但也有个好处，睡觉可了睡晚些起来。总体感觉还成，大堂的免费咖啡不错，挺喜欢的。性价比高。', 'star': 5}
{'descr': '在苏州这个地方属于性价比很好的快捷经济型酒店了', 'star': 5}
{'descr': '感觉还行，预算不足的朋友可以考虑住这。\r\n比如家好像稍微差了一点点，细节方面。', 'star': 5}
{'descr': '各方面都还不错！只是有一点，没有必要也不太适合用“特价房”这种称呼。所谓的特价房与价格稍高一点的房间相比条件本来就差好多。这个价钱也算不上便宜！所谓“特价房”应该是同等条件之下的特价，而不应该是降低标准时称“特价”，这有误导消费者的嫌疑！', 'star': 5}
{'descr': '酒店不错！很实惠！', 'star': 5}
{'descr': '卫生还不错,性价比还是比较好的,地理位置也不错,在市中心出行都挺方便的,还是挺不错的.', 'star': 3}
{'descr': '服务态度很好,地理位置也比较不错靠近市中心.出行都比较方便,性价比也不错,挺满意的.', 'star': 3}
{'descr': '距离市中心很近，交通方便，就是房间有点小', 'star': 3}
{'descr': '蛮干净的，地理位置也很好，离市中心很近，周边吃的也多，就是房间有点小', 'star': 5}
{'descr': '印象中酒店好像是没有早餐的,其他方面都还可以,就是当是住的特价房是没有窗的,所以通风不太好.', 'star': 3}
{'descr': '交通方便,价格合理', 'star': 5}
{'descr': '打车不不方便，房间烟味重。', 'star': 1}
{'descr': '酒店挺不错的，建议旅游、商务人士选择入住。', 'star': 5}
{'descr': '感觉汉庭饮马桥这个店还是非常专业,性价比非常高的.整个环境比较安静,隔音也不错,又特别有安全感.不知道是不是我去的那天顾客不多还是什么原因,整个晚上没有一点声音.', 'star': 5}
{'descr': '服务人员很热情,房间里面也很宽敞,整洁.物有所值,如果酒店能提供数据线一类的就更好,更方便了.', 'star': 5}
{'descr': '洗手间的地上一摊摊坏掉的黑的。。。看着不舒服', 'star': 5}
{'descr': '酒店前台在办理入住和退房手续时候很慢等半天才办好,其它酒店各方面还是很满意的,设施很好很齐全,干净整洁,位置很好出行很方便.', 'star': 5}
{'descr': '酒店的整体还是不错的，服务卫生以及设施都很好的，酒店的位置不错的，在市中心的酒店，性价比不错的酒店', 'star': 5}
{'descr': '房间比较干净，位置也不错，也挺方便的，服务一般', 'star': 5}
{'descr': '环境不错，位置也好，服务很好，设施差了些，特别是性价比高！', 'star': 5}
{'descr': '说句实在话，真的很不错！在苏州100元住到这样的房间真的很超值！', 'star': 5}
{'descr': '酒店很老,装修差了点,房间设施也陈旧些.', 'star': 5}
{'descr': '设施条件挺舒适，价格经济实惠', 'star': 5}
{'descr': '酒店位置不错，店内卫生及服务都挺好的，就是所在街道较冷清，但离观前街和其他景区都比较近，交通还是挺方便的！', 'star': 5}
{'descr': '地理位置不错，吃、玩皆可，不过停车比较不便', 'star': 5}
{'descr': '总体都不错,安静,卫生.我住的房间木头墙,隔音效果不是太好!但走道里基本没什么声音,所以总体感觉不错!', 'star': 5}
{'descr': '非常的商旅宾馆，位置好，热水好', 'star': 5}
{'descr': '酒店各方面还是不错的;当时酒店旁边有施工的地方,很吵,影响到了休息;反映到了酒店,经过协调后,处理的还是比较好的', 'star': 5}
{'descr': '环境还不错，干净整洁，服务也很好', 'star': 5}
{'descr': '酒店价格很便宜,而且内部环境也蛮温馨,蛮舒适的,人员服务态度也好,住着很舒服', 'star': 5}
{'descr': '地段不错，服务一般，真的服务很一般，房间也还不错。特价房性价比非常好。舒适度也不错。空调好像一般。', 'star': 5}
{'descr': '除了卫生间卫生不太好,其它方面都还可以了.', 'star': 5}
{'descr': '对于经济型酒店来说,在苏州这个位置来说已经很不错的,价格也很便宜', 'star': 5}
{'descr': '普通住的话还不错，至少非常干净，地段也还算可以，就是前台的姑娘办事超慢，大概苏州的节奏比较慢吧．．．', 'star': 5}
{'descr': '本来预定的是大床房，入住时大床房暂无，前台服务员和热情的说可以给我免费升级家庭房，房间更宽敞了。虽然多了个小床没用，不过对汉庭的服务很满意。', 'star': 3}
{'descr': '设施还行，服务也没什么，只是一夜没睡好，我订的房间他给的靠里面一个学校的，窗户很小，而且那夜下雨雨水不知道打在楼下什么东西上一夜都很大的响声，到七点多钟又发出电钻的声音，以前住的都比这个好。', 'star': 3}
{'descr': '网上订的房间位置不好，吵一夜都没睡好！', 'star': 3}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': 'good', 'star': 3}
