{'descr': '不错 ，挺干净的！服务也比较周到', 'star': 5}
{'descr': '酒店有很重的味道，不知道是什么味道，很难闻，感觉很闷。\n酒店里有很多地方有很重的灰。\n酒店如果没有窗子，简直不能住。\n酒店外观也不是很好。\n设施。。。。我就不说了。\n总的来说。。。还是大家自己判断吧。', 'star': 1}
{'descr': '价格还行，离地铁有点远，吃饭比较方便，在麦当劳旁边', 'star': 5}
{'descr': '，还没有到呢，感觉还不错', 'star': 3}
{'descr': '交通方便，到各个北京景点都蛮方便的，但是就是有点特惠标准间有点小挤', 'star': 5}
{'descr': '房间有点小，卫生间有异味。服务还行，没有让人生气', 'star': 3}
{'descr': '环境不错～住的挺好的～', 'star': 3}
{'descr': '各方面来说，只能算是还可以吧。地理位置很好，去哪都很方便。但是酒店卫生一般，房间进去有烟味，开了很久排风扇也不是很管用，开窗通风效果也一般。毛巾浴巾比较旧了。房间很小，隔音非常差，楼道里，隔壁，楼上各种声音都能听到。。。有点对不起这个价钱诶。。', 'star': 1}
{'descr': '位置好，周围有超市，交通方便，房间干净，以后还住在这', 'star': 5}
{'descr': '多年来对如家酒店的干净、礼貌、清爽的印象在这间被无情的粉碎。破败、低矮的厂房改造的酒店，入口处很寒酸。前台这栋楼楼梯不隔音，下楼咚咚响。房间卫生极差！开了一间房，进门地面没清洁，满地卫生纸屑。换了一栋“厂房”，房间极其局促、卫生间臭不可耐，太臭、太臭了，几乎所有的房间都是这样。整夜没法睡，卫生也很差。夜深了，没地方去了，暂住一晚吧。一早逃离了这间破店，破招待所。', 'star': 1}
{'descr': '挺好的，暖气很足，被子很干净。地理位置也很好，交通方便。', 'star': 5}
{'descr': '1月31日住了一天，感觉比较杂乱。大厅里穿白制服的人（有如厨房工作人员）走来走去与前台服务员聊天，前台服务员谈不上什么服务，只是机械性的办理入住离店手续~', 'star': 1}
{'descr': '今天真是折腾死了……跟我想想的差距好大', 'star': 3}
{'descr': '交通便利，无窗的房间好小。', 'star': 3}
{'descr': '环境还可以，就是小广告太多，楼道有点乱，容易找不到。', 'star': 5}
{'descr': '距离什刹海不是很远 不过大门因为有商贩所以有点乱，将来改进了就好了。', 'star': 5}
{'descr': '位置挺好的，离鼓楼、后海都很近，地铁站也不远。', 'star': 5}
{'descr': '干净，购物方便。旁边有水果市场，天客隆超市，好多小饭店，以及麦当劳，很多选择。', 'star': 5}
{'descr': '嗷嗷方便 周围什么都有 水果店早餐店 麦当劳····超市····服务员们都超级热情！！下次回去还住那！', 'star': 5}
{'descr': '干净，购物方便。旁边有水果市场，天客隆超市，好多小饭店，以及麦当劳，很多选择。\n', 'star': 5}
{'descr': '服务员环境都还不错…', 'star': 3}
{'descr': '房间布置得挺温馨的，就是空间小了点，信号有点差，其他还不错。早餐也挺不错的，态度也行。', 'star': 5}
{'descr': '交通非常方便，就是房间太小了，不过够用，没有窗户的感觉不太好，房间隔音效果不太好！', 'star': 5}
{'descr': '酒店环境好 服务也好 单位出差的首选 主要是交通方便 价格也公道 服务员也很热情 还有早餐哦 离需出行地方也很近', 'star': 5}
{'descr': ' 好', 'star': 3}
{'descr': '酒店不太好找，周边环境也比较差，早餐一般。唯一的优点是安静。这是我第一次入住大名鼎鼎的如家，感觉比较失望。', 'star': 1}
{'descr': '房间有点异味，环境还可以，服务也不错，睡的很舒服', 'star': 5}
{'descr': '地理位置有优势，标间床很大，另外这里在地铁5号线，方便的很', 'star': 5}
{'descr': '房间的厕所有异味、换了一间还有、空间比其他的要小点！', 'star': 1}
{'descr': '环境还不错，就是小了点，蛮干净的！', 'star': 3}
{'descr': '酒店房间里环境不错，工作人员服务态度也好，进出酒店都会问一句“您好”，周边环境也好，挨着鬼街和鼓楼。房间面积要是再大点儿就好了。', 'star': 5}
{'descr': '还行，只是没有窗子，感觉有点压抑！服务挺好！', 'star': 3}
{'descr': ' 住得很开心', 'star': 3}
{'descr': '现在的安排很不好，前台先给了一个3103商务大床房间，进去一看，墙皮都潮湿的脱落了。又要求他们给换， 就给了一间仅靠厨房的商务大床房，吵闹的不行。没办法，加钱换成数码大床房。退房的时候，前台服务态度很不好。', 'star': 1}
{'descr': '酒店房间不大，外面的街道都是小摊，不过好在位置在城里。', 'star': 3}
{'descr': '地理位置有优势，而且最搞笑的是得穿过一个个水果铺才能到达酒店正门，今天刚刚入住，没有什么不满意的地方，标间床很大，另外这里在地铁5号线，方便的很', 'star': 5}
{'descr': '位置很好，周围很多吃吃喝喝的小店，离簋街 及地铁 雍和宫 等等都很近 其他一般话吧，正常如家水平', 'star': 5}
{'descr': '这个店很有如家风格，宾至如归，服务员态度不错，出门旅游也方便。', 'star': 5}
{'descr': '酒店地理位置非常好，环境也不错，下次来北京还会选这里的！', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '这儿地理位置很好，门口有超市，卖水果的，很好找，出门玩也很方便……', 'star': 3}
{'descr': '挺好的，离南锣鼓巷很近~周边都还不错，地铁也很近的~只有一点不好，就是门口有点脏脏的~其他的都不错，还会选择的~', 'star': 5}
{'descr': '，很好，谢谢！', 'star': 3}
{'descr': '非常不喜欢，设置太旧！就二层楼，房间内不知道是什么怪味。。。', 'star': 1}
{'descr': '酒店环境很好', 'star': 3}
{'descr': '环境挺好 住了两天 感觉不错 推荐 设施也不错', 'star': 5}
{'descr': '好。', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '环境很好', 'star': 3}
{'descr': ' 还可以。。挺干净', 'star': 3}
{'descr': '还是挺好的地方，地理位置也不错，床很大，房间有点小，不过舒服', 'star': 5}
{'descr': '挺好的，挨着中戏，周围好吃的也多，就是半夜服务员不知道怎么就开了门，吓了一跳', 'star': 5}
{'descr': '朋友入住后说是最差的酒店 忘记放牙刷 强烈不推荐', 'star': 1}
{'descr': '很好到家了', 'star': 3}
{'descr': '周边吃饭很方便，隔音不是一般差，隔壁看电视说话XXOO清清楚楚', 'star': 1}
{'descr': '房间小点，不过服务态度很不错，我就是冲着它的态度给好评的，呵呵。挺干净，赠送的早餐也不错，西芹拌腐竹我很爱啊~哈哈哈~前台的态度很亲切，走道上遇到服务员也会很热情主动跟你打招呼，感觉很好', 'star': 5}
{'descr': '很好，很干净，如家的一贯风格，像家一样，我和女朋友都喜欢！', 'star': 5}
{'descr': ' 客房还算干净 就是隔音还是差了些 ', 'star': 3}
{'descr': '交通位置便利，但是由于处在胡同内，如果是开车的话，非常不方便停车。\n冬季室内暖气不是非常热，空调效果也一般，硬件需要好好改进', 'star': 5}
{'descr': '服务很好，很干净，就是暖气有点太热。有家的感觉，很不错', 'star': 3}
{'descr': '没有停车场，不容易找。但是价格挺便宜的，而且屋子里很暖和', 'star': 5}
{'descr': '位置还可以。隔音太差，卫生较差，住了六天就没给擦过桌子，只好自己亲自打扫。因为位置好，住一天还行，不宜长住。', 'star': 1}
{'descr': '服务态度还不错', 'star': 3}
{'descr': '服务态度不错的', 'star': 3}
{'descr': '酒店虽然有些小但是位置挺好的，去哪里都很方便，第一次入住这里因为晚上到有些怕那个黑胡同，白天还好了，超市就在外面很方便的！', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '房间还不错，地理位置好。前台态度不是很满意，有挂客人电话的行为', 'star': 5}
{'descr': '地理位置好，房间确实不咋地，小，就是一睡觉的地方。', 'star': 3}
{'descr': '+离地铁5号线很近,距东直门也只有4站地,去美食街簋街也很方便', 'star': 5}
{'descr': '就是经济性酒店的样子，地利位置好，其他的一般', 'star': 3}
{'descr': '交通很方便 去过很多次了 虽然小了点 但感觉还是很不错', 'star': 3}
{'descr': '环境一般。', 'star': 5}
{'descr': '太潮了 希望以后把房间弄些干燥剂 其他的很好 还是不错的 推荐吧', 'star': 5}
{'descr': '交通方便,價錢適中,下次我會再來入住的。 ', 'star': 5}
{'descr': '这家店地理位置还行，离北新桥十分钟，但是能听到锅炉声音，而且洗漱后地上会很湿，总之不是很满意', 'star': 1}
{'descr': '我们住的特惠大床房就是房间太小了点，还有窗口是向走廊的，隔音不太好。其他都挺好的，附近有粥店，超市，麦当劳，很方便，地理位置也很好，离地铁也不远，交通也很方便，这个价格也值得了', 'star': 5}
{'descr': '位置尚可，但在菜市场内，白天车辆进出不方便。\n房间比较小，布局也不够合理。', 'star': 1}
{'descr': '门口有超市及多家小吃店、面包店、麦当劳，距离鬼街，南锣鼓巷，鼓楼等等都很近，出了胡同就是一个车站，对于这次北京行最满意的就是这家酒店了。\r\n服务员态度很好，每天都会把房间打扫的很干净，除了房间有点闷之外，但开了空调之后这些都不是问题的，真的是非常满意，下次去北京一定还住这家~', 'star': 5}
{'descr': '还不错，离南锣后海都挺近，交通很方便，这样的位置这里算是很便宜了\r\n有点潮，进了房间要开窗开门透气哈哈', 'star': 5}
{'descr': '不方便停车', 'star': 1}
{'descr': '酒店开在一个弄堂里面，弄堂口是水果摊之类的，感觉有点脏。酒店内部空间比较狭小，本来定了个特惠大床房，结果房间小的是在不舒服就换了个商务大床房，一个人出游住住还可以。', 'star': 1}
{'descr': '位置很好找，如家的一贯的品质。就是室内有些暗。', 'star': 5}
{'descr': '一般', 'star': 5}
{'descr': '酒店不错 虽然面积小了点 但是住着还是很舒服 让人放心 出门很方便 购物也很便捷 值得推荐 ', 'star': 5}
{'descr': '干净舒适，就是房间面积太小，显得性价比稍微有点欠缺，不过无伤大雅！', 'star': 5}
{'descr': '每次来北京都会入住这家酒店，位置非常好，服务也不错，卫生条件也还可以，以后还会光顾的。', 'star': 5}
{'descr': '经常入住，主要是因为交通便利，门口还有大超市', 'star': 5}
{'descr': '房间太小,空气不流通,很闷,而且隔音效果极差', 'star': 1}
{'descr': '又住了一次，很不错', 'star': 3}
{'descr': '每次给的房间都是一个服务员一个样。高级房和普通房只有房价上的差别，实质却是一样。', 'star': 1}
{'descr': '又住了一次，还不错，就是隔音差点，能听到隔壁的电视声', 'star': 5}
{'descr': '酒店周围环境比较一般,不过噪音有时挺大的,感觉比较吵,其他方面都挺好的,尤其地理位置非常方便,交通便利,价格也不贵,所以还是可以推荐的.', 'star': 3}
{'descr': '房间比较小里面的设施和卫生还可以感觉还是挺温馨的,服务态度也还可以,位置还是挺好找的,性价比不错.', 'star': 3}
{'descr': '还不错，门口吃饭很方便', 'star': 3}
{'descr': '经常入住的一家店，很不错，门口吃东西也很方便，有麦当劳，庆丰包子，嘉和一品粥', 'star': 5}
{'descr': '酒店的条件设施，地理位置，人员服务都是比较不错的，而且连锁酒店价格也相差不多，挺好的。', 'star': 3}
{'descr': '不好！', 'star': 3}
{'descr': '不错就是房子小了一点', 'star': 5}
{'descr': '房间面积不大不过还算温馨但是很糟心的是本来就不大的面积上还有口暗井踩上去还咣咣的,楼道有一道防盗门直接通楼外面早晨不到7点保洁就开始大声喧哗和咣咣撞门实在让人头疼!', 'star': 3}
{'descr': '优点:地理位置非常好,离簋街和鼓楼都近.出门就车站,地铁1站地.价格便宜.\r\n缺点:特价的大床间晚上睡觉时候听见机器轰鸣声一直在响像是锅炉那种,脑袋都快炸了\r\n我的房间地面有一快瓷砖是活动的还带个把手像是个井,踩上去还会咣咣响!\r\n最严重的是过道尽头是一扇通外面的大铁防盗门,早晨7点不到就有搞卫生的大妈大声喧哗和咣咣的撞门!!!!!!!\r\n如果图便宜可以来住,这些就只能忍受了!', 'star': 5}
{'descr': '地理位置不错，北新桥地铁A口出来向西走一站地，房间很小但是很干净舒适，卫生间还有挂衣服的地方，美中不足就是噪音很大，窗户冲着走廊，半夜两点有点来住店，说话听得很清楚，很吵，还有就是锅炉还是什么的嗡嗡响吵得睡不着觉。', 'star': 5}
{'descr': '多次入住的酒店，离地铁，鼓楼，后海，鬼街都很近，价格也是越来越贵了', 'star': 5}
{'descr': '总体如家的服务还是比较贴心的，很多小细节做的不错。不过有些房间由于条件所限，空气不是很好，是否考虑用一些先进的通风方式。', 'star': 5}
{'descr': '房间很小，床垫薄，刚到的时候房间都没有收拾，服务态度也很冷淡，地点比较隐蔽，不太好找，周围也没什么设施，因为不小心把可乐洒到了床单上，走的时候还硬扣了120元的清洗费，服务态度也很恶劣，也不知道什么床单洗一次要那么贵，没有留下好印象的地方，很不推荐！', 'star': 1}
{'descr': '服务不好，其它一般', 'star': 1}
{'descr': '位置非常好,当时订的特惠的房间,刚进去的时候,感觉面积有点小,卫生间倒比较大,房间里面也很干净,价格还是挺便宜的.', 'star': 3}
{'descr': '位于5号线地铁附近，出行方便，但酒店房间通风不好，房间气味太大了，另外房间的椅子上的布退色，衣服都被染色了，在这里住了3晚，都没有借到吹风机，都说是借出去了，真是太不方便了，下次不会再住这里了', 'star': 3}
{'descr': '房间有点小室内采光不好，其他交通方面很便利', 'star': 5}
{'descr': '酒店服务人员的态度都是不错的,但是酒店房间内部有点潮,而且没有窗户,通风条件不好,总体感觉还可以', 'star': 3}
{'descr': '交通非常方便，卫生也不错，就是房间太小而且没有明窗。我住的是特价房，不知道其他房间怎样。\r\n总体来说性价比非常高。', 'star': 5}
{'descr': '酒店各方面服务还算不错,住着挺舒服的.总体感觉还算不错.', 'star': 3}
{'descr': '房间很小，比较潮湿，但是150的价格还算不错。', 'star': 5}
{'descr': '交通很方便,吃东西也方便!', 'star': 5}
{'descr': '酒店很不错,干净舒适；位置也很方便；就是不太好找；但总体条件来看还是一家值得推荐的酒店；', 'star': 3}
{'descr': '酒店的人员服务态度特别好,房间也蛮干净的,就是房间里有股味道,可能是通风不太好吧,不过价格还是比较优惠的.', 'star': 3}
{'descr': '酒店的服务卫生方面还是不错的,设施也比较齐全的,周边交通不是很方便,价格方面还是比较合适的,整体感觉还是不错的,值得推荐', 'star': 3}
{'descr': '酒店的位置是还不错，挺方便，但是房间很小，而且窗户基本都是向楼道的，房间很潮，服务也很一般。', 'star': 3}
{'descr': '各方面都还可以，经济实惠', 'star': 5}
{'descr': '屋子太小，我们一共住了两个人，双标间，根本没有活动空间，住了这么多酒店，第一次看见这么小的房间，其他的还算可以', 'star': 5}
{'descr': '酒店的位置还是不错的，周边交通蛮方便的，房间里设施条件一般了，卫生弄的还是蛮干净的，整体感觉价格还可以了。', 'star': 5}
{'descr': '当时住的房间看见3只蟑螂,隔音效果也不好,后来换了个房间.感觉还可以,如果个人出行可以住这家.', 'star': 5}
{'descr': '觉得酒店各方面都还好,价格也不贵,住着也蛮舒适的.', 'star': 5}
{'descr': '这家如家相比其他家,房间内空间有些小,当时住的又是没窗户的房间,所以感觉有些憋闷,不过这家酒店位置非常好,而且价格也很实惠.', 'star': 5}
{'descr': '酒店的服务和环境都挺好的,酒店位置很好,交通很方便,地铁公交都很方便的,酒店离后海很近的,可以散步的非常好的,酒店的硬件设施都可以的,性价比不错的入住过很多次这家酒店了,唯一的缺点是房间没有窗户,有点闷了,通风条件差了点', 'star': 5}
{'descr': '舒适、整洁，经济实惠，整体不错', 'star': 5}
{'descr': '很不错的一家店', 'star': 5}
{'descr': '房间比较干净，服务也不错，酒店的位置也不错，外出方便，就是隔音有点不好，周围好象在施工似的，有点吵', 'star': 5}
{'descr': '好不容易去北京旅游一次，因为选错了酒店而破坏了整个行程，搞的心情很郁闷！1.我订的是标准间，可到了却说没有了，硬是给我住了大床房！2.第二天经交涉换了标准间，可是窗外1米左右的距离是正在施工的新大楼。别说阳光了白天不开灯都不行，施工的噪音更是让人无法忍耐！3.房子是板式房隔音效果很差，一下雨能听到噼里啪啦的雨点声。4.环境也不太好，该酒店是在一个菜市场后面。', 'star': 1}
{'descr': '酒店还不错,就是房间的面积有些小,而且通风效果也不是很好;价格和位置还是可以的;', 'star': 5}
{'descr': '挺不错的,,性价比蛮高的酒店.', 'star': 5}
{'descr': '当时住房间的空间小点，房间门口入口有点窄，可能别的房间不是这样，酒店的门脸不朝大街，不好找。外面的地段很方便', 'star': 5}
{'descr': '各方面服务都挺周到的,价格也很便宜,房间也蛮干净的,但是酒店门口有一个菜市场,所以会有点乱,房间的隔音效果也不太好', 'star': 5}
{'descr': '他们这个店位置很好，离后海很近，而且环境服务都不错，在这个位置，这个价位不算贵，唯一就是他的停车场太小，稍微一不小心就会刮到别人的车。', 'star': 5}
{'descr': '位置挺不错的,到天安门打车十几块钱就到了,步行几分钟也可以乘坐地铁.挺方便的,卫生条件也挺不错的,房间里挺干净的,价格也挺适合的,比较适合旅游的.', 'star': 5}
{'descr': '酒店整体还可以,卫生条件很不错,价格也很便宜,只是房间比较小很,有些压抑', 'star': 5}
{'descr': '酒店整体还不错，价格经济实惠，位置方便，服务也很周到', 'star': 5}
{'descr': '交通方便，周围景点多。到机场很快。\r\n虽然没有电梯，但是保安人员帮助拿行李，也算方便', 'star': 5}
{'descr': '卫生、服务还比较好，但是周边环境比较差，房间比较小，没有活动空间。', 'star': 5}
{'descr': '房间小，热水供应不好', 'star': 1}
{'descr': '噪音太大，锅炉发出来的嗡嗡的声音吵的晚上都睡不好觉。而且屋子隔音效果很差。更关键的是前台的态度很不好。明明知道噪音会响一天，但却撒谎说一会就不吵了。所以建议大家别去这家。注：我住的是标准间而不是特惠标准间。', 'star': 1}
{'descr': '酒店外面很乱，环境不是很好，酒店的内部也很一般，但酒店地理位置还是比较不错的', 'star': 5}
{'descr': '在网上订了个特惠大床房。到了宾馆一问，特惠的和普通人区别，前台说，特惠的窗户是朝走廊开的。但是晚上到房间一看，我的天，根本就是一个暗房。根本没有窗户，房间里只有一个床的空间，卫生间没有独立浴室，马桶旁边就是淋浴头。出来质问前台，前台又说，特惠的就是没有窗户。。前后矛盾！然后要求换一间其他的，坚持说就是没有！太过分了，之前，因为比较相信如家的，所以就没有事先看一下，这是不是有欺诈的嫌疑呢？我住的房间', 'star': 3}
{'descr': '店里服务员态度不好。订个特惠大床房，服务员刚说窗户朝走廊开。但是到了2223号，根本没有窗户，质问服务员，又说，所有特惠的都一样，没窗户，再问别的特惠大床怎么又窗户，马上又说，窗户是朝走廊开的。', 'star': 1}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 1}
