{'descr': '旁边施工，晚上没法休息，卫生成问题', 'star': 2}
{'descr': '性价比很高的酒店，还蛮喜欢的，服务也不错，文具很细心！\n唯一不足就是家具有点旧，地毯不是太干净。\n推荐！', 'star': 5}
{'descr': '很难得在石家庄找到价格实惠，环境不错，同事说都喜欢就ok了。', 'star': 5}
{'descr': '干净时尚价格优惠服务热情，停车方便购物方便', 'star': 5}
{'descr': '房间整洁空间合理。套房住着很舒服，服务人员人情周到。价格也很合适，停车方便', 'star': 5}
{'descr': '停车方便，服务热情，房间空间大，价格非常合理。唯一美中不足就是地毯有点脏。希望改进', 'star': 5}
{'descr': '这个酒店时尚，地理位置好。房间大停车方便。美中不足的就是地毯太脏', 'star': 5}
{'descr': '地理位置不错，服务热情周到。价位合理。房间宽敞明亮。停车位充足值得一住', 'star': 5}
{'descr': '时尚大方，温馨舒适~~购物就餐都很方便~~推荐入住哈', 'star': 5}
{'descr': '面积大，房间干净。服务周到停车方便非常满意。价格也合理', 'star': 5}
{'descr': '一如既往的舒适，高雅，早餐的种类也增加了很多，美味可口。还会支持富驿', 'star': 5}
{'descr': '。酒店周圍有飯館，樓下有便利店與面包店，算是方便。', 'star': 3}
{'descr': '总体感觉不错。早餐一般，而且在负一楼。只能电梯上楼，步行梯停用。', 'star': 5}
{'descr': ' 感觉很好……不错……', 'star': 3}
{'descr': '我认为啊 这是一个相当不错的酒店 就是钱稍微有点贵了 但是房间的风格特好 房间也不小，交通也听方便的 有超市  就是服务还得提高，酒店经理一定要管理好服务员 让他们有礼貌 很重要！！', 'star': 5}
{'descr': '总体感觉不错，地毯好像真不怎么干净，枕头和床垫还真的挺可以。', 'star': 3}
{'descr': '酒店位置方便，入住舒适，服务OK。还会再住，也会推给朋友。性价比高', 'star': 5}
{'descr': '性价比高的一个酒店，很有特色，但是老毛病了，房间隔音效果不好，卫生间老化了，淋浴房门关不严，洗澡整个卫生间都是水，溢出到房间内。', 'star': 5}
{'descr': ' 离北站很近，交通方便。酒店各方面都不错，如果是 在附近办事，值得推荐。', 'star': 3}
{'descr': '酒店人员服务态度很好，里面的设施也不错，还提供早餐，如果早餐再能及时补充就更好了，晚点去的话就基本没什么东西可吃了！', 'star': 5}
{'descr': '富驿时尚酒店（石家庄中华店）>很好，交通方便，附近娱乐场所是的都有，房间也很温馨，值得住，下次还去住，价格嘛，一般，不算贵也不算便宜的。', 'star': 5}
{'descr': ' 服务太度很好，房间很欧式', 'star': 3}
{'descr': '房间很时尚很舒适', 'star': 3}
{'descr': '酒店位置还可以，设施很新，风格独特，适合情侣入住，就是早餐一般，房间隔音稍差，不过这个价位还是蛮适合的。', 'star': 5}
{'descr': '连锁酒店，服务不错，价格再经济些为好，因为位置佳，希望不要再涨价了。早餐丰富，入住舒适。离火车站商场都很近，交通很便利。', 'star': 5}
{'descr': '都很满意，临街，楼下还有24小时超市，一切都很方便。到石家庄北站就是起步价。经济型酒店，算干净整洁，以后还会光顾', 'star': 5}
{'descr': '位置很好，交通，吃饭都很方便。替同事预订，反映很好。以后还会推荐给别人。酒店走廊灯光暗了点，前台服务有待提高。', 'star': 5}
{'descr': '酒店已经住过N次了。很方便舒适，酒店斜对面正在建超市，呷哺还在装修，以后吃饭就更方便了。是出差首选的商务酒店。有早餐。离火车站也很近。', 'star': 5}
{'descr': '经常入住，整体感觉不错，停车位太少，房间卫生有待提高，卫生间淋浴房门关不严，洗澡水溢出容易滑倒，退房查房速度需要提高', 'star': 5}
{'descr': '不错，设施很好，环境一流！价格偏高！不错，设施很好，环境一流！价格偏高！不错，设施很好，环境一流！价格偏高！不错，设施很好，环境一流！价格偏高！不错，设施很好，环境一流！价格偏高！不错，设施很好，环境一流！价格偏高！不错，设施很好，环境一流！价格偏高！', 'star': 5}
{'descr': '酒店位置很好，设施很新很齐全，就是网络稍有不稳，希望能处理一下。                                                ', 'star': 5}
{'descr': '这家酒店门面的外观设计的比较一般，像一家便捷旅店，酒店内部的装修还可以，色调上以黑、灰色为主很时尚，给人的感觉比较素雅、安逸。房间内日用品齐全，24小时有热水，毛巾浴巾都很干净，床很舒服。入住期间电路发生一点小故障，维修也比较及时，墙壁隔音不是很好，地毯有污渍，建议酒店应该定期清洗地毯，房间内没有服务手册，找不到服务台电话。早餐很丰富但味道一般，有切片面包却没有黄油、果酱，有果汁、牛奶却没有咖啡。', 'star': 5}
{'descr': '多次入住，环境不错，唯一的隔音效果太差,总台服务态度欠佳', 'star': 5}
{'descr': '网速超级给力，就是靠马路一侧有点吵。整体装修很温馨很舒适', 'star': 5}
{'descr': '真的不错。下次去的话 还住这个地方 就是不知道是石家庄就是不好打车还是酒店那不好打车。真的很难打车呀', 'star': 5}
{'descr': '不错，靠近石家庄北站。环境很好 在大道上。旁边有个菊花台 周边设施都很全', 'star': 5}
{'descr': '酒店的风格不错，具有现代的气息。早餐也不错，物有所值。下次还会住这里。', 'star': 5}
{'descr': '房间性价比很高，比石家庄快捷酒店温馨，唯一不足是房间隔音太差', 'star': 5}
{'descr': '酒店不错，温馨舒适，位置很好，就是网速不是太快。', 'star': 5}
{'descr': '1、环境尚可，服务较好，早餐也蛮不错的；\n2、地毯脏，不隔音，楼道的说话声音很清楚；尤其是我入住的隔壁房间每天深夜12：00左右都有大声地ZUOAI呻吟声，都把我吵醒，严重影响休息，建议加强隔音效果装饰。\n3、整体还不错。', 'star': 5}
{'descr': '入住比较愉快，位置很方便，附近超市饭店都有。早餐也比较丰富。还会入住。', 'star': 5}
{'descr': '酒店很好，前台接待素质都很高，房间温馨舒适，情侣和出差都很适合，位置也不错，离公交车站很近，打车也方便，周边餐饮也多，空调够凉，早餐在这个价位上还算可以，唯一的不足就是网速不稳定，打开网页没问题，视频和游戏就不行了，希望酒店能解决一下，这个问题在我去年入住的时候就有的。', 'star': 5}
{'descr': '2个月前入住，实话说还不如汉庭、如家的，房间倒是大，但总感觉脏兮兮的！', 'star': 1}
{'descr': '帮朋友订的酒店，反映不错，经济型，算干净整洁，以后还会光顾，', 'star': 5}
{'descr': '交通很方便，临街。住的还算舒适，灯光有点昏暗，一点压抑。早餐算丰盛', 'star': 5}
{'descr': '位置很方便，房间宽敞干净。就是前台的工作人员不给接房间电话，有点问题。', 'star': 5}
{'descr': '地理位置不错，房间还算干净地毯比较脏，隔音不好，性价比不错。。。', 'star': 5}
{'descr': 'everything seems OK but I dont feel anything special.\n', 'star': 5}
{'descr': '非常帅的一个酒店，我在杭州住过，没想到石家庄也有。。算比较时尚的。早饭很给力，有羊肉。。旁边有一个菊花台娱乐会所，。这名字起的让人浮想联翩啊。。哈哈', 'star': 5}
{'descr': '  干净卫生舒适   服务态度非常好   以后还回光顾。', 'star': 5}
{'descr': '环境较好，干净，整齐，服务员的态度较好。', 'star': 5}
{'descr': '酒店不错，最最让我记得住的是床很舒坦。。。', 'star': 5}
{'descr': '我挑不出什么毛病来 我住了很多次了 高层的 有房间会出现隔音不好的现象 不过影响不大 早餐很好吃  房间和图片几乎一样', 'star': 5}
{'descr': '不错，舒服..................', 'star': 3}
{'descr': '酒店交通比较方便，色调比较有特色。因为临街是主干道，特意要的不临街的房间，但晚上依然很吵；地毯很漂亮，但确实太脏了，而且房间里的地毯有异味。不太讲究客人可以入住。', 'star': 1}
{'descr': '真的不错，我开始订房间的时候。真没抱太大希望。结果去了以后发现卫生状况和室内设施都非常棒。下次去还住哪里。', 'star': 5}
{'descr': '酒店很干净服务好', 'star': 3}
{'descr': '很好阿。床很舒服。', 'star': 3}
{'descr': '很好，就是房间稍微有点小、地毯有点点脏，对于这个价位还可以，向朋友们推荐一下', 'star': 5}
{'descr': '酒店不错，下次还住这', 'star': 3}
{'descr': '虽然房间不是很大，但挺满意，唯一就是中央空调出风就点噪', 'star': 5}
{'descr': '酒店设施比较新，房间面积适中，离北站较近交通方便；服务项目较少，特别夏天应提供洗衣服务或提供烫衣板和熨斗。', 'star': 5}
{'descr': '我是冲着富驿的品牌去的，那是质量的保证。作为加盟店，客房整体不错，早餐也不错，服务要求不能很高。在同价位宾馆中，还是有时尚的感觉，但在富驿的品牌中不是最好。', 'star': 5}
{'descr': '挺干净的，而且非常便宜，还有早餐，感觉挺好的。', 'star': 5}
{'descr': '大至上滿意，隔壁客人有點吵。', 'star': 3}
{'descr': '挺干净的。楼道装修很别致。', 'star': 3}
{'descr': '真是越来越好了，这次住的6楼，房间已经装上隔音板了，原来隔音不好的缺点已经有了很好改善了 服务一如既往 不错', 'star': 5}
{'descr': '交通便利17路公交直达，服务态度很好，设备较新，周边餐饮很多。', 'star': 3}
{'descr': '酒店感觉不错，下次还住这，就是大厅', 'star': 3}
{'descr': '一如既往的好 住住就知道了 性价比要比一般的连锁酒店高很多', 'star': 5}
{'descr': '很好哦~ 服务什么的都很好  下次去还要选这里的！~', 'star': 5}
{'descr': '真的很好，在此感谢张小姐，我忘了退定金，她还特意跑到银行帮我汇过来，服务真的是一流', 'star': 5}
{'descr': '非常不错值得推荐！', 'star': 3}
{'descr': '酒店环境非常好', 'star': 3}
{'descr': '不错不错 这次早餐有了明显的提高 就是隔音不好 还是没有吹风机 前台很好 要个安静的房间 的确非常安静 就是隔壁的大哥 那个猛啊 一晚上听了3次床的咯吱声 还有隔壁大哥和小姐的高潮声 那个清楚啊 建议退房前看看 床有没有被弄坏', 'star': 5}
{'descr': '环境舒适！服务周到！就是早餐款式太少了！', 'star': 5}
{'descr': '   装修有特点，房间和床品都很舒适。可能是我们洗澡比较晚的原因，水不认而且水量很小，可以说根本不能冲澡。', 'star': 5}
{'descr': '＋环境还不错，房间有些闷。', 'star': 3}
{'descr': '第一次从网上预订酒店房间，选择了这，带父母家人一起入住。\n1。干净整洁，服务很到位。性价比高。\n2。有无线上网设置，不错。\n3。如果再有吹风机就更好了。\n4。地毯真的不干净，望加强打扫。\n总之，下次还来入住。', 'star': 5}
{'descr': '隔音真的蛮差的，电路也不怎么用，有个出风机还顶闸···真的好郁闷。不过整体还可以', 'star': 5}
{'descr': '＋酒店装修很不错，虽然价钱不算便宜，但相对提供的服务还是物有所值的。', 'star': 3}
{'descr': '性价比蛮高的一家酒店，早餐也不错，就是房间地毯有些脏，注意清洗下就很不错了', 'star': 5}
{'descr': '超级棒！很时尚！就是房间隔音不好！比如家一类快捷酒店好太多了', 'star': 5}
{'descr': '很舒适，早餐不错，很干净，价格也合适！--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '很舒适，早餐不错。就是灯光比较暗。从两个火车站打车到酒店都不超过10元钱。', 'star': 5}
{'descr': '的確是一間性價比非常高的酒店,我會推薦大家去住!不過就是沒空調有點熱= =', 'star': 5}
{'descr': '酒店环境不错，出行方便，只是隔音效果不好，早上7点就被隔壁房间的叫声搞醒了。。。', 'star': 5}
{'descr': '内部环境倒还可以，物超所值，就是吃饭品种太少了！', 'star': 5}
{'descr': ' 酒店环境、设施十分幽雅，但是隔音很差。隔壁说话能听得一清二楚', 'star': 3}
{'descr': '好', 'star': 3}
{'descr': '蛮不错的，性价比也不错，服务还可以。虽多几十元钱，比如家什么的舒服多了', 'star': 5}
{'descr': '非常干净整洁且性价比极高的一家酒店,地处石市的中华北大街上,周边饭馆挺多,有小肥羊等餐馆,且交通也比较便捷,距离北站不远,去火车站过马路有车直达!', 'star': 5}
{'descr': '还可以吧。\n地毯赃一些。\n隔音效果不好。\n\n尤其是位置不好找。\n如果外地出差的话一定要记住路线。\n打的一般都不知道那个酒店。\n饶了好久才找到那个地。\n\n\n早餐不错。\n建议在房间里放个吹风机。\n\n布局挺时尚的。\n', 'star': 5}
{'descr': '不错 很舒服 下次还会继续住 本来打算住3天了 后面住了5天！', 'star': 5}
{'descr': '内部环境也还可以，性价比挺高的，但就是吃饭只有砂锅，太单一了，望改进。', 'star': 5}
{'descr': '酒店较有时尚感。房间也是干净整洁。空间还可以。服务不错哦。附近餐饮饭店也蛮多的。正对面就有小肥羊和联华超市。非常方便。', 'star': 5}
{'descr': '酒店整体黑色为主，和名字很搭配，确有时尚感。房间也是干净整洁。空间还可以。服务不错哦。只是唯一不足的是酒店在全国很多城市都没有啊，真是遗憾呵呵。值得推荐入住啊。', 'star': 5}
{'descr': '性价比非常高的酒店，服务也好，非常满意，就是房间的隔音效果差些。', 'star': 5}
{'descr': '很棒  已经住过很多次了 以后还是会去的', 'star': 5}
{'descr': '早餐很丰富 宾馆装修很有特色  很有视觉感 比上海的好多了 和不错', 'star': 5}
{'descr': '位置还可以，周围吃饭的地方也有，打的也比较方便。\n酒店设备装修比较新，性价比比较高。\n缺点：早餐不行，还有就是地毯上有污迹。', 'star': 5}
{'descr': '环境非常好··黑色调感觉很温暖··房间设施很到位·需要改进的就是应该配备吹风机', 'star': 5}
{'descr': '新开张，比较干净，就是交通不很方便。但是性价比还是比较高的，下次还会入住。', 'star': 5}
{'descr': '服务热情，设施很新，空调很暖，热水很热，值得推荐！', 'star': 3}
{'descr': '挺好的\n环境好，设施挺好的很现代，喜欢这种色调，服务人员比较热情', 'star': 5}
{'descr': '驿家365连锁酒店（石家庄中华北大街店）价格实惠，住得也舒适，早餐也还行，综合打4分。。', 'star': 5}
{'descr': '很干净，位置很好。房间很新。床很舒服！不过房间有点小。', 'star': 5}
{'descr': '酒店服务人员的态度很好。房间很干净，床也很舒服！只是早餐不是很好。', 'star': 5}
{'descr': '不是第一次来了，就这个价位而言，还算有有特点，倒是也蛮干净的。就是房间隔音一般，而且走廊总在放音乐，房间信号不大好。', 'star': 5}
{'descr': '不是第一次来了，就这个价位而言，还算有有特点，倒是也蛮干净的。就是房间隔音一般，而且走廊总在放音乐。房间信号不大好。', 'star': 5}
{'descr': '就这个价位而言，还算有有特点，倒是也蛮干净的。就是房间隔音一般，而且走廊总在放音乐。早点我认为就快捷酒店而言已经不错了，如果不喜欢的话，隔壁365的煎饼在酒店大堂就可以闻到，味道也很不错。', 'star': 5}
{'descr': '就这个价位而言，还算有有特点，倒是也蛮干净的。就是房间隔音一般，而且走廊总在放音乐。早点我认为就快捷酒店而言已经不错了。', 'star': 5}
{'descr': '不错！老婆说很好！下次一定还在那里住！PS  早饭很好吃', 'star': 5}
{'descr': '随然门脸很小；但很干净。早餐也好.前台服务态度很好 、 \n', 'star': 5}
{'descr': '不错的酒店，里面的装修很喜欢，比较时尚，价位也很合理。', 'star': 5}
{'descr': '很好干净时尚！', 'star': 3}
{'descr': '性价比非常高，服务态度好，房间设计比较独到，很fashion是它最大的特点 就是隔音极差！！', 'star': 5}
{'descr': '房间很好，热水也不错，设施较新，床也挺舒服，也没有之前用户说的很吵不隔音的问题，虽然在街边，但是也并不很吵，总之比较满意了。', 'star': 5}
{'descr': ' 房屋设计风格很新颖 性价比很高 下次再来首选入住', 'star': 3}
{'descr': '一进屋很有感觉  太适合情侣了  很喜欢   舒服  温馨  浪漫  安静  以后常来  ', 'star': 3}
{'descr': '经济实惠，干净卫生，舒适整洁，极力推荐，超值之选！', 'star': 5}
{'descr': '房间不错，稍微小点，床很速度，宽带有点慢。。总体说还是可以的', 'star': 5}
{'descr': '酒店环境好…早餐也不错就是隔音效果不行…', 'star': 3}
{'descr': '总体还是不错，但是细节还得加强。例如电梯间地面上的瓜子壳等。成败在于细节，希望不要介意。', 'star': 5}
{'descr': '极力推荐，很好的酒店，完善的设施。就是隔音稍微差点。网络速度很快还有无线网真是不错', 'star': 5}
{'descr': '性价比还行，房间设置比较规范、合理，布局也较紧凑，卫生清洁比较放心。只是走廊太暗了一些。', 'star': 5}
{'descr': '酒店环境很好，房间住的很舒适。有无线信号非常不错。', 'star': 3}
